Time,HwTSet,PrimTSet,HwTOutlet,ActPow,HwActive,ChActive,PrimT
2017-11-01T00:00:11.408Z,54,,38.4,,,,52.9
2017-11-01T00:00:16.304Z,54,,38.4,,,,52.6
2017-11-01T00:00:26.304Z,54,,38.4,43,0,2,54.1
2017-11-01T00:00:41.405Z,54,,38.3,30,,,57
2017-11-01T00:00:46.306Z,54,,38.3,29,,,57
2017-11-01T00:00:56.304Z,54,,38.4,,,,58.4
2017-11-01T00:01:06.311Z,54,,38.4,,,,59.4
2017-11-01T00:01:16.310Z,54,,38.5,30,,,60.2
2017-11-01T00:01:26.311Z,54,,38.6,29,,,61.2
2017-11-01T00:01:36.305Z,54,,38.7,30,,,62
2017-11-01T00:01:51.405Z,54,,38.8,29,,,63.1
2017-11-01T00:01:56.307Z,54,,38.9,,,,63.5
2017-11-01T00:02:06.308Z,54,,39.1,29,,,64.1
2017-11-01T00:02:16.305Z,54,,39.2,,,,64.8
2017-11-01T00:02:26.322Z,54,,39.3,0,0,2,62.8
2017-11-01T00:02:36.312Z,54,,39.4,,,,61.9
2017-11-01T00:02:46.312Z,54,,39.5,,,,61.4
2017-11-01T00:02:56.403Z,54,,39.6,,,,59.9
2017-11-01T00:03:11.411Z,54,,39.7,,,,59.5
2017-11-01T00:03:16.308Z,54,,39.8,,,,58.7
2017-11-01T00:03:26.311Z,54,,39.8,,,,57.9
2017-11-01T00:03:41.413Z,54,,39.9,,,,57.3
2017-11-01T00:03:51.496Z,54,,39.9,,,,56.7
2017-11-01T00:03:56.308Z,54,,39.9,,,,56.2
2017-11-01T00:04:11.417Z,54,,39.9,,,,55.6
2017-11-01T00:04:16.308Z,54,,39.9,,,,54.9
2017-11-01T00:04:31.409Z,54,,39.8,,,,54.6
2017-11-01T00:04:36.309Z,54,,39.8,,,,54.1
2017-11-01T00:04:51.418Z,54,,39.8,,,,53.7
2017-11-01T00:04:56.308Z,54,,39.7,,,,53.4
2017-11-01T00:05:11.503Z,54,,39.7,,,,53
2017-11-01T00:05:21.498Z,54,,39.7,,,,52.8
2017-11-01T00:05:31.498Z,54,,39.6,42,0,2,55
2017-11-01T00:05:41.600Z,54,,39.6,32,,,57.1
