Time,HwActive,HwTOutlet,HwTSet,ActPow,PrimT,PrimTSet,ChActive
2017-11-02T00:00:07.138Z,,50.2,54,29,59.1,,
2017-11-02T00:00:17.153Z,,50.2,54,,60,,
2017-11-02T00:00:27.137Z,,50.2,54,,61.1,,
2017-11-02T00:00:37.135Z,,50.2,54,,61.5,,
2017-11-02T00:00:47.136Z,,50.2,54,29,62.2,,
2017-11-02T00:00:57.143Z,,50.2,54,29,63.1,,
2017-11-02T00:01:07.137Z,,50.1,54,,63.5,,
2017-11-02T00:01:17.142Z,,50.1,54,,64.1,,
2017-11-02T00:01:27.138Z,,50.1,54,,64.6,,
2017-11-02T00:01:37.138Z,0,50.1,54,0,63.5,,2
2017-11-02T00:01:47.143Z,,50.1,54,,61.9,,
2017-11-02T00:01:57.141Z,,50.1,54,,61.5,,
2017-11-02T00:02:07.139Z,,50,54,,59.9,,
2017-11-02T00:02:17.139Z,,50,54,,59.5,,
2017-11-02T00:02:27.143Z,,50,54,,58.7,,
2017-11-02T00:02:37.146Z,,50,54,,57.8,,
2017-11-02T00:02:47.145Z,,50.1,54,,56.9,,
2017-11-02T00:02:57.146Z,,50.1,54,,56.5,,
2017-11-02T00:03:07.147Z,,50.1,54,,55.9,,
2017-11-02T00:03:17.145Z,,50.1,54,,55.2,,
2017-11-02T00:03:27.145Z,,50.1,54,,54.7,,
2017-11-02T00:03:37.137Z,,50.1,54,,53.9,,
2017-11-02T00:03:47.146Z,,50.1,54,,53.7,,
2017-11-02T00:03:57.138Z,,50.1,54,,53.2,,
2017-11-02T00:04:07.140Z,,50.1,54,,52.9,,
2017-11-02T00:04:17.137Z,,50.2,54,,52.3,,
2017-11-02T00:04:27.135Z,0,50.2,54,41,55.1,,2
2017-11-02T00:04:37.140Z,,50.2,54,31,56.7,,
2017-11-02T00:04:47.140Z,,50.2,54,29,57.1,,
2017-11-02T00:04:57.139Z,,50.2,54,,58.2,,
2017-11-02T00:05:07.144Z,,50.2,54,,59.1,,
2017-11-02T00:05:17.143Z,,50.2,54,,60,,
2017-11-02T00:05:27.140Z,,50.2,54,30,61.1,,
2017-11-02T00:05:37.147Z,,50.2,54,29,61.5,,
2017-11-02T00:05:47.144Z,,50.2,54,,62.2,,
2017-11-02T00:05:57.145Z,,50.1,54,,63.1,,
2017-11-02T00:06:07.138Z,,50.1,54,30,63.5,,
2017-11-02T00:06:17.147Z,,50.1,54,29,64,,
2017-11-02T00:06:27.145Z,,50.1,54,,64.6,,
2017-11-02T00:06:37.147Z,0,50.1,54,0,64.9,,2
2017-11-02T00:06:47.144Z,,50,54,,62.6,,
2017-11-02T00:06:57.141Z,,50,54,,61.6,,
2017-11-02T00:07:07.141Z,,50,54,,60.5,,
2017-11-02T00:07:17.138Z,,49.9,54,,59.5,,
2017-11-02T00:07:27.144Z,,49.9,54,,58.7,,
2017-11-02T00:07:37.140Z,,49.9,54,,57.9,,
2017-11-02T00:07:47.142Z,,49.9,54,,56.9,,
2017-11-02T00:07:57.146Z,,49.9,54,,56.4,,
2017-11-02T00:08:07.153Z,,49.9,54,,55.7,,
2017-11-02T00:08:17.147Z,,49.9,54,,54.9,,
2017-11-02T00:08:27.141Z,,49.9,54,,54.6,,
2017-11-02T00:08:37.147Z,,49.9,54,,53.9,,
2017-11-02T00:08:47.140Z,,49.9,54,,53.5,,
2017-11-02T00:08:57.140Z,,50,54,,52.9,,
2017-11-02T00:09:07.144Z,,50,54,,52.6,,
2017-11-02T00:09:17.141Z,,50,54,,52,,
2017-11-02T00:09:27.145Z,0,50,54,40,55.2,,2
2017-11-02T00:09:37.140Z,,50,54,32,56.4,,
2017-11-02T00:09:47.140Z,,50,54,29,,,
2017-11-02T00:09:57.142Z,,50,54,,58,,
2017-11-02T00:10:07.140Z,,50,54,,58.6,,
2017-11-02T00:10:17.141Z,,50,54,,59.4,,
2017-11-02T00:10:27.144Z,,50,54,,60.1,,
2017-11-02T00:10:37.142Z,,50,54,,61.1,,
2017-11-02T00:10:47.141Z,,50,54,,61.5,,
2017-11-02T00:10:57.150Z,,50,54,30,62.1,,
2017-11-02T00:11:07.142Z,,50,54,,62.7,,
2017-11-02T00:11:17.140Z,,50,54,29,63.2,,
2017-11-02T00:11:27.142Z,,50,54,,63.6,,
2017-11-02T00:11:37.142Z,,50,54,,64,,
2017-11-02T00:11:47.142Z,,49.9,54,,64.5,,
2017-11-02T00:11:57.142Z,,49.9,54,,64.8,,
2017-11-02T00:12:07.147Z,0,49.9,54,0,63.8,,2
2017-11-02T00:12:17.144Z,,49.9,54,,61.9,,
