Time,HwActive,HwTOutlet,PrimTSet,ActPow,PrimT,ChActive,HwTSet
2017-11-03T00:00:07.968Z,,32.2,,0,65.1,,54
2017-11-03T00:00:17.969Z,0,32.2,,,62.8,2,54
2017-11-03T00:00:27.970Z,,32.3,,,61.6,,54
2017-11-03T00:00:37.970Z,,32.3,,,60.1,,54
2017-11-03T00:00:47.968Z,,32.2,,,59.6,,54
2017-11-03T00:00:58.001Z,,32.1,,,58.7,,54
2017-11-03T00:01:07.968Z,,32.1,,,57.8,,54
2017-11-03T00:01:17.979Z,,32.3,,,56.9,,54
2017-11-03T00:01:27.965Z,,32.3,,,56.4,,54
2017-11-03T00:01:37.965Z,,32.4,,,55.9,,54
2017-11-03T00:01:47.965Z,,32.4,,,55.2,,54
2017-11-03T00:01:57.973Z,,32.3,,,54.8,,54
2017-11-03T00:02:07.971Z,,32.3,,,54.3,,54
2017-11-03T00:02:17.966Z,,32.2,,,53.8,,54
2017-11-03T00:02:27.966Z,,32,,,53.4,,54
2017-11-03T00:02:37.977Z,0,31.9,,41,56.1,2,54
2017-11-03T00:02:47.966Z,,31.9,,33,57.6,,54
2017-11-03T00:02:57.967Z,,31.5,,30,58,,54
2017-11-03T00:03:07.977Z,,31.5,,29,59.1,,54
2017-11-03T00:03:17.968Z,,31.5,,,60,,54
2017-11-03T00:03:27.967Z,,31.5,,,60.4,,54
2017-11-03T00:03:37.972Z,,31.6,,,61.2,,54
2017-11-03T00:03:47.968Z,,31.9,,,62,,54
2017-11-03T00:03:57.971Z,,32,,,62.4,,54
2017-11-03T00:04:07.973Z,,32.1,,,63.1,,54
2017-11-03T00:04:17.965Z,,32.2,,,63.3,,54
2017-11-03T00:04:27.966Z,,32.2,,30,63.6,,54
2017-11-03T00:04:37.967Z,,32.2,,29,64,,54
2017-11-03T00:04:47.967Z,,32.3,,,64.4,,54
2017-11-03T00:04:57.971Z,,32.3,,,64.6,,54
2017-11-03T00:05:07.968Z,,32.2,,,64.9,,54
2017-11-03T00:05:17.980Z,0,32.2,,0,62.9,2,54
2017-11-03T00:05:27.971Z,,32.3,,,61.8,,54
2017-11-03T00:05:37.972Z,,32,,,60.8,,54
2017-11-03T00:05:47.972Z,,32.1,,,59.6,,54
2017-11-03T00:05:57.974Z,,32.1,,,58.7,,54
2017-11-03T00:06:07.971Z,,32.1,,,57.8,,54
2017-11-03T00:06:18.110Z,,32.3,,,56.9,,54
2017-11-03T00:06:27.971Z,,32.4,,,56.5,,54
2017-11-03T00:06:37.966Z,,32.5,,,55.9,,54
2017-11-03T00:06:47.971Z,,32.4,,,55.3,,54
2017-11-03T00:06:57.979Z,,32.2,,,54.8,,54
2017-11-03T00:07:07.969Z,,32.1,,,54.4,,54
2017-11-03T00:07:17.966Z,,32.2,,,53.9,,54
2017-11-03T00:07:27.971Z,,32.2,,,53.4,,54
2017-11-03T00:07:37.972Z,0,31.9,,41,56,2,54
2017-11-03T00:07:47.969Z,,31.8,,33,57.6,,54
2017-11-03T00:07:57.968Z,,31.4,,29,58,,54
2017-11-03T00:08:07.971Z,,31.4,,,59,,54
2017-11-03T00:08:17.971Z,,31.6,,,59.7,,54
2017-11-03T00:08:27.971Z,,31.5,,30,60.4,,54
2017-11-03T00:08:37.970Z,,31.5,,29,61.2,,54
2017-11-03T00:08:47.972Z,,31.8,,,62,,54
2017-11-03T00:08:57.975Z,,31.9,,,62.4,,54
2017-11-03T00:09:07.971Z,,32,,,63.1,,54
2017-11-03T00:09:17.974Z,,32.1,,30,63.3,,54
2017-11-03T00:09:27.977Z,,32.1,,29,63.6,,54
2017-11-03T00:09:37.975Z,,32.2,,30,64,,54
2017-11-03T00:09:47.975Z,,32.2,,29,64.4,,54
2017-11-03T00:09:57.984Z,,32.2,,,64.6,,54
2017-11-03T00:10:07.983Z,,32.3,,,64.8,,54
2017-11-03T00:10:17.982Z,0,32.4,,0,62.9,2,54
2017-11-03T00:10:28.031Z,,32.4,,,61.8,,54
2017-11-03T00:10:37.969Z,,32.4,,,60.9,,54
2017-11-03T00:10:47.982Z,,32.3,,,59.7,,54
2017-11-03T00:10:57.988Z,,32.1,,,58.8,,54
2017-11-03T00:11:07.978Z,,32,,,57.9,,54
2017-11-03T00:11:17.974Z,,32.2,,,56.9,,54
2017-11-03T00:11:27.981Z,,32.3,,,56.5,,54
2017-11-03T00:11:37.978Z,,32.3,,,55.9,,54
2017-11-03T00:11:47.969Z,,32.2,,,55.3,,54
2017-11-03T00:11:57.986Z,,32.3,,,54.8,,54
2017-11-03T00:12:07.978Z,,32.2,,,54.4,,54
2017-11-03T00:12:17.988Z,,32,,,53.9,,54
2017-11-03T00:12:27.979Z,,31.8,,,53.4,,54
2017-11-03T00:12:37.985Z,0,31.8,,41,56.1,2,54
2017-11-03T00:12:47.981Z,,31.8,,33,57.6,,54
2017-11-03T00:12:57.994Z,,31.6,,30,58.1,,54
2017-11-03T00:13:07.984Z,,31.5,,29,59,,54
