Time,ChActive,HwTOutlet,HwTSet,HwActive,PrimTSet,ActPow,PrimT
2017-11-05T00:00:09.639Z,,46.5,54,,,,54.5
2017-11-05T00:00:19.634Z,,46.5,54,,,,53.9
2017-11-05T00:00:29.734Z,,46.5,54,,,,53.6
2017-11-05T00:00:39.635Z,,46.5,54,,,,52.9
2017-11-05T00:00:49.638Z,1,46.5,54,0,,,52.6
2017-11-05T00:00:59.643Z,,46.5,54,,,39,56.1
2017-11-05T00:01:09.638Z,,46.5,54,,,29,56.9
2017-11-05T00:01:19.638Z,,46.5,54,,,,58
2017-11-05T00:01:29.823Z,,46.5,54,,,,59
2017-11-05T00:01:39.637Z,,46.5,54,,,,59.3
2017-11-05T00:01:49.642Z,,46.5,54,,,30,60.1
2017-11-05T00:01:59.638Z,,46.5,54,,,29,61.2
2017-11-05T00:02:14.744Z,,46.5,54,,,,62
2017-11-05T00:02:19.641Z,,46.5,54,,,,63.1
2017-11-05T00:02:29.736Z,,46.5,54,,,30,63.3
2017-11-05T00:02:39.636Z,,46.5,54,,,29,64
2017-11-05T00:02:49.636Z,,46.5,54,,,,64.4
2017-11-05T00:02:59.639Z,1,46.5,54,0,,0,63.5
2017-11-05T00:03:09.636Z,,46.5,54,,,,61.9
2017-11-05T00:03:19.641Z,,46.5,54,,,,61.8
2017-11-05T00:03:29.737Z,,46.5,54,,,,60.6
2017-11-05T00:03:39.645Z,,46.5,54,,,,59.8
2017-11-05T00:03:49.644Z,,46.5,54,,,,58.9
2017-11-05T00:03:59.638Z,,46.5,54,,,,57.9
2017-11-05T00:04:09.646Z,,46.5,54,,,,57.7
2017-11-05T00:04:19.641Z,,46.5,54,,,,56.9
2017-11-05T00:04:29.729Z,,46.5,54,,,,55.9
2017-11-05T00:04:39.644Z,,46.5,54,,,,55.7
2017-11-05T00:04:49.643Z,,46.5,54,,,,54.9
2017-11-05T00:04:59.646Z,,46.5,54,,,,54.7
2017-11-05T00:05:09.638Z,,46.5,54,,,,53.9
