Time,HwActive,HwTOutlet,ChActive,PrimT,ActPow,PrimTSet,HwTSet
2017-11-08T00:00:02.123Z,,49.1,,56.9,,,54
2017-11-08T00:00:12.121Z,,49.2,,56.2,,,54
2017-11-08T00:00:22.122Z,,49.2,,55.5,,,54
2017-11-08T00:00:32.124Z,,49.2,,54.9,,,54
2017-11-08T00:00:42.138Z,0,49.2,2,56,44,,54
2017-11-08T00:00:52.130Z,,49.2,,58.5,31,,54
2017-11-08T00:01:02.125Z,,49.2,,58.4,29,,54
2017-11-08T00:01:12.126Z,,,,59.6,,,
2017-11-08T00:01:22.131Z,,49.2,,60.1,29,,54
2017-11-08T00:01:32.123Z,,49.3,,60.7,,,54
2017-11-08T00:01:42.133Z,,49.3,,61.3,,,54
2017-11-08T00:01:52.125Z,,49.3,,61.8,,,54
2017-11-08T00:02:02.130Z,,49.3,,62.2,30,,54
2017-11-08T00:02:12.131Z,,49.3,,62.6,29,,54
2017-11-08T00:02:22.127Z,,49.3,,62.9,,,54
2017-11-08T00:02:32.130Z,,49.3,,63.2,,,54
2017-11-08T00:02:42.132Z,,49.3,,63.4,,,54
2017-11-08T00:02:52.127Z,,49.3,,63.6,30,,54
2017-11-08T00:03:02.131Z,,49.3,,63.9,29,,54
2017-11-08T00:03:12.127Z,,49.3,,64,29,,54
2017-11-08T00:03:22.124Z,,49.3,,64.2,,,54
2017-11-08T00:03:32.126Z,,49.2,,64.4,,,54
2017-11-08T00:03:42.126Z,,49.2,,64.6,,,54
2017-11-08T00:03:52.123Z,,49.2,,64.7,,,54
2017-11-08T00:04:02.127Z,,49.2,,64.8,,,54
2017-11-08T00:04:12.123Z,,49.2,,64.9,30,,54
2017-11-08T00:04:22.123Z,0,49.1,2,64.7,0,,54
2017-11-08T00:04:32.132Z,,49.1,,61.6,,,54
2017-11-08T00:04:42.128Z,,49.1,,60.7,,,54
2017-11-08T00:04:52.133Z,,49.1,,59.4,,,54
2017-11-08T00:05:02.127Z,,49.1,,58.4,,,54
2017-11-08T00:05:12.129Z,,,,57.6,,,
2017-11-08T00:05:22.123Z,,49.1,,56.7,,,54
2017-11-08T00:05:32.125Z,,49.2,,56.1,,,54
2017-11-08T00:05:42.127Z,,49.2,,55.4,,,54
2017-11-08T00:05:52.127Z,,49.2,,54.8,,,54
2017-11-08T00:06:02.130Z,0,49.2,2,58.3,37,,54
2017-11-08T00:06:12.125Z,,49.2,,58.7,29,,54
2017-11-08T00:06:22.134Z,,49.2,,59.3,,,54
2017-11-08T00:06:32.126Z,,49.2,,60.2,29,,54
2017-11-08T00:06:42.127Z,,49.3,,60.8,,,54
2017-11-08T00:06:52.130Z,,49.3,,61.4,,,54
2017-11-08T00:07:02.127Z,,49.3,,62,,,54
2017-11-08T00:07:12.126Z,,49.3,,62.6,30,,54
2017-11-08T00:07:22.131Z,,49.3,,62.9,29,,54
2017-11-08T00:07:32.125Z,,49.3,,63.3,29,,54
2017-11-08T00:07:42.131Z,,49.3,,63.6,,,54
2017-11-08T00:07:52.129Z,,49.3,,64,,,54
2017-11-08T00:08:02.128Z,,49.3,,64.2,,,54
2017-11-08T00:08:12.148Z,,,,64.5,,,
2017-11-08T00:08:22.135Z,,49.4,,64.7,,,54
2017-11-08T00:08:32.126Z,,49.3,,64.8,30,,54
2017-11-08T00:08:42.133Z,0,49.4,2,64.8,0,,54
2017-11-08T00:08:52.131Z,,49.4,,62,,,54
2017-11-08T00:09:02.128Z,,49.4,,60.9,,,54
2017-11-08T00:09:12.131Z,,,,59.8,,,
2017-11-08T00:09:22.128Z,,49.4,,58.7,,,54
2017-11-08T00:09:32.128Z,,49.4,,57.9,,,54
2017-11-08T00:09:42.140Z,,49.4,,57.1,,,54
2017-11-08T00:09:52.132Z,,49.4,,56.5,,,54
2017-11-08T00:10:02.130Z,,49.4,,55.9,,,54
2017-11-08T00:10:12.130Z,,49.4,,55.2,,,54
2017-11-08T00:10:22.135Z,,49.4,,54.8,,,54
2017-11-08T00:10:32.131Z,,49.4,,54.4,,,54
