Time,PrimTSet,ChActive,HwTOutlet,ActPow,PrimT,HwTSet,HwActive
2017-11-10T00:00:04.780Z,,,25.6,,61.1,54,
2017-11-10T00:00:14.777Z,,,25.9,,61.5,54,
2017-11-10T00:00:24.779Z,,,26,,62.1,54,
2017-11-10T00:00:34.788Z,,,26,,62.8,54,
2017-11-10T00:00:44.780Z,,,26.1,,63.3,54,
2017-11-10T00:00:54.781Z,,,26.2,,63.8,54,
2017-11-10T00:01:04.785Z,,,26.5,,64.1,54,
2017-11-10T00:01:14.780Z,61,1,26.3,29,64.5,54,0
2017-11-10T00:01:24.779Z,,,26.3,30,64.8,54,
2017-11-10T00:01:34.788Z,,1,26.6,0,62.7,54,0
2017-11-10T00:01:44.784Z,,,26.5,,61.8,54,
2017-11-10T00:01:54.781Z,,,26.7,,60.9,54,
2017-11-10T00:02:04.777Z,,,26,,59.7,54,
2017-11-10T00:02:14.779Z,,,26.3,,58.8,54,
2017-11-10T00:02:24.778Z,,,26.2,,57.9,54,
2017-11-10T00:02:34.779Z,,,26.1,,57.3,54,
2017-11-10T00:02:44.779Z,,,26.3,,56.7,54,
2017-11-10T00:02:54.779Z,,,25.7,,56.2,54,
2017-11-10T00:03:04.789Z,,,25.5,,55.6,54,
2017-11-10T00:03:14.794Z,,,25.9,,55.1,54,
2017-11-10T00:03:24.780Z,,,25.7,,54.7,54,
2017-11-10T00:03:34.785Z,,,25.6,,54.4,54,
2017-11-10T00:03:44.780Z,,,25.5,,53.9,54,
2017-11-10T00:03:54.780Z,,,25.5,,53.7,54,
2017-11-10T00:04:04.780Z,,,25.4,,53.4,54,
2017-11-10T00:04:14.786Z,,1,25.3,43,55.1,54,0
2017-11-10T00:04:24.783Z,,,25.1,35,57.3,54,
2017-11-10T00:04:34.787Z,,,24.9,29,57.7,54,
2017-11-10T00:04:44.781Z,,,25.3,,59,54,
2017-11-10T00:04:54.784Z,,,25.4,,60,54,
2017-11-10T00:05:04.780Z,,,25.4,,60.5,54,
2017-11-10T00:05:14.783Z,,,25.5,,61.3,54,
2017-11-10T00:05:24.783Z,,,25.5,,62.1,54,
2017-11-10T00:05:34.782Z,,,26,,62.6,54,
2017-11-10T00:05:44.784Z,,,26.1,,63.2,54,
2017-11-10T00:05:54.782Z,,,26.2,,63.6,54,
2017-11-10T00:06:04.782Z,,,26.3,,64,54,
2017-11-10T00:06:14.785Z,,,26.3,,64.4,54,
2017-11-10T00:06:24.798Z,,,26.6,,64.7,54,
2017-11-10T00:06:34.788Z,,1,26.6,0,64.9,54,0
2017-11-10T00:06:44.785Z,,,26.7,,62.6,54,
2017-11-10T00:06:54.781Z,,,26.7,,61.4,54,
