Time,HwActive,ActPow,HwTSet,PrimT,PrimTSet,ChActive,HwTOutlet
2017-11-11T00:00:06.336Z,,,54,55.3,,,31.4
2017-11-11T00:00:15.706Z,,,54,54.9,,,31.3
2017-11-11T00:00:30.787Z,,,54,54.6,,,31.5
2017-11-11T00:00:40.705Z,,,54,54.1,,,31.4
2017-11-11T00:00:45.617Z,,,54,53.9,,,31.6
2017-11-11T00:00:55.615Z,,,54,53.6,,,31.2
2017-11-11T00:01:05.616Z,0,44,54,54.1,,2,31.2
2017-11-11T00:01:15.711Z,,37,54,57.3,,,31.2
2017-11-11T00:01:25.615Z,,29,54,57.9,,,30.9
2017-11-11T00:01:35.615Z,,29,54,59,,,30.9
2017-11-11T00:01:50.715Z,,,54,60,,,30.9
2017-11-11T00:01:55.616Z,,30,54,60.5,,,31.2
2017-11-11T00:02:05.614Z,,29,54,61.3,,,31.5
2017-11-11T00:02:15.705Z,,29,54,62,,,31.3
2017-11-11T00:02:25.615Z,,,54,62.7,,,31.5
2017-11-11T00:02:35.623Z,,29,54,63.2,,,31.6
2017-11-11T00:02:45.616Z,0,29,54,63.8,61,2,31.8
2017-11-11T00:02:55.617Z,,,54,64.1,,,31.8
2017-11-11T00:03:05.617Z,,,54,64.6,,,31.8
2017-11-11T00:03:15.712Z,,0,54,65.1,,,31.9
2017-11-11T00:03:25.617Z,0,,54,62.8,,2,32.1
2017-11-11T00:03:35.617Z,,,54,61.8,,,31.6
2017-11-11T00:03:45.618Z,,,54,60.4,,,31.5
2017-11-11T00:03:55.618Z,,,54,59.8,,,31.5
2017-11-11T00:04:05.617Z,,,54,58.9,,,31.5
2017-11-11T00:04:15.703Z,,,54,57.9,,,31
2017-11-11T00:04:25.621Z,,,54,57.4,,,31
2017-11-11T00:04:35.619Z,,,54,56.8,,,31.2
2017-11-11T00:04:45.619Z,,,54,56.3,,,31
2017-11-11T00:04:55.618Z,,,54,55.7,,,30.8
2017-11-11T00:05:05.617Z,,,54,55.3,,,30.8
2017-11-11T00:05:15.707Z,,,54,54.9,,,30.9
2017-11-11T00:05:25.617Z,,,54,54.6,,,30.7
2017-11-11T00:05:35.618Z,,,54,54.3,,,30.6
2017-11-11T00:05:45.619Z,,,54,53.9,,,30.4
2017-11-11T00:05:55.619Z,,,54,53.6,,,30.4
2017-11-11T00:06:05.618Z,0,45,54,54.3,,2,30.4
2017-11-11T00:06:15.713Z,,37,54,57.4,,,30.3
2017-11-11T00:06:25.621Z,,29,54,57.9,,,30.1
2017-11-11T00:06:40.710Z,,,54,59,,,29.8
2017-11-11T00:06:45.617Z,,29,54,60,,,30.1
2017-11-11T00:06:55.620Z,,,54,60.5,,,30.2
2017-11-11T00:07:05.621Z,,,54,61.4,,,30.2
2017-11-11T00:07:15.716Z,,,54,62.1,,,30.3
2017-11-11T00:07:25.616Z,,,54,62.7,,,30.3
2017-11-11T00:07:35.625Z,,30,54,63.3,,,30.4
2017-11-11T00:07:45.620Z,,30,54,64,,,30.7
2017-11-11T00:07:55.626Z,,,54,64.1,,,30.9
2017-11-11T00:08:05.617Z,,29,54,64.6,,,30.9
2017-11-11T00:08:15.714Z,,0,54,65.1,,,30.9
2017-11-11T00:08:25.620Z,0,,54,62.9,,2,31.2
2017-11-11T00:08:35.625Z,,,54,61.6,,,31.2
2017-11-11T00:08:50.715Z,,,54,60.2,,,30.9
2017-11-11T00:08:55.622Z,,,54,59.7,,,30.7
2017-11-11T00:09:05.623Z,,,54,58.9,,,30.8
2017-11-11T00:09:15.725Z,,,54,57.9,,,30.7
2017-11-11T00:09:30.715Z,,,54,57.4,,,30.6
2017-11-11T00:09:35.625Z,,,54,56.8,,,30.6
2017-11-11T00:09:45.625Z,,,54,56.3,,,30.9
2017-11-11T00:10:00.894Z,,,54,55.7,,,30.6
2017-11-11T00:10:10.894Z,,,54,55.3,,,30.6
2017-11-11T00:10:20.895Z,,,54,54.9,,,30.7
2017-11-11T00:10:25.622Z,,,54,54.6,,,30.7
2017-11-11T00:10:35.619Z,,,54,54.1,,,30.6
2017-11-11T00:10:45.625Z,,,54,53.9,,,30.6
2017-11-11T00:10:55.616Z,,,54,53.6,,,30.6
2017-11-11T00:11:05.623Z,0,45,54,54,,2,30.6
2017-11-11T00:11:15.715Z,,38,54,57.2,,,30.4
2017-11-11T00:11:25.624Z,,29,54,57.8,,,30.1
2017-11-11T00:11:35.702Z,,29,54,59,,,30.1
2017-11-11T00:11:45.623Z,,,54,60,,,30.3
2017-11-11T00:11:55.624Z,,,54,60.4,,,30.3
2017-11-11T00:12:05.625Z,,,54,61.2,,,30.6
2017-11-11T00:12:15.714Z,,,54,62,,,30.7
2017-11-11T00:12:25.627Z,,,54,62.5,,,30.9
2017-11-11T00:12:35.627Z,,30,54,63.1,,,31
2017-11-11T00:12:45.618Z,,29,54,63.4,,,30.9
2017-11-11T00:12:55.621Z,,,54,64,,,31
2017-11-11T00:13:05.629Z,,,54,64.2,,,31
2017-11-11T00:13:15.708Z,,,54,64.6,,,31
2017-11-11T00:13:25.619Z,,,54,64.8,,,31
2017-11-11T00:13:35.623Z,0,0,54,62.9,,2,31.2
2017-11-11T00:13:45.626Z,,,54,61.9,,,30.9
2017-11-11T00:13:55.619Z,,,54,60.9,,,31.2
2017-11-11T00:14:05.625Z,,,54,59.8,,,31.2
2017-11-11T00:14:15.718Z,,,54,58.8,,,31.2
2017-11-11T00:14:25.626Z,,,54,57.9,,,30.9
2017-11-11T00:14:35.620Z,,,54,57.3,,,30.9
2017-11-11T00:14:45.627Z,,,54,56.6,,,31
2017-11-11T00:14:55.622Z,,,54,55.9,,,30.8
2017-11-11T00:15:05.621Z,,,54,55.4,,,31.2
2017-11-11T00:15:15.717Z,,,54,54.8,,,30.9
2017-11-11T00:15:25.629Z,,,54,54.4,,,31
2017-11-11T00:15:35.627Z,,,54,53.9,,,30.9
2017-11-11T00:15:45.619Z,,,54,53.5,,,30.9
2017-11-11T00:15:55.625Z,,,54,53.2,,,30.7
2017-11-11T00:16:05.631Z,0,44,54,53.1,,2,30.8
2017-11-11T00:16:15.722Z,,34,54,57,,,30.8
2017-11-11T00:16:25.633Z,,29,54,,,,30.7
2017-11-11T00:16:35.631Z,,,54,58,,,30.7
2017-11-11T00:16:45.622Z,,,54,59,,,30.7
2017-11-11T00:16:55.628Z,,,54,59.3,,,30.6
2017-11-11T00:17:05.622Z,,,54,60,,,30.7
2017-11-11T00:17:15.713Z,,,54,60.5,,,30.9
2017-11-11T00:17:25.623Z,,29,54,61.1,,,31
