Time,HwTSet,PrimTSet,HwActive,HwTOutlet,ActPow,ChActive,PrimT
2017-11-12T00:00:06.445Z,54,,0,33.6,44,2,54.4
2017-11-12T00:00:16.448Z,54,,,33.6,37,,58
2017-11-12T00:00:26.446Z,54,,,33.5,29,,58.4
2017-11-12T00:00:36.447Z,54,,,33.5,29,,59
2017-11-12T00:00:46.449Z,54,,,33.5,,,60
2017-11-12T00:00:56.447Z,54,,,33.6,,,60.5
2017-11-12T00:01:06.451Z,54,,,33.6,,,61.3
2017-11-12T00:01:21.548Z,54,,,33.5,30,,62
2017-11-12T00:01:26.448Z,54,,,33.6,29,,62.4
2017-11-12T00:01:36.448Z,54,,,33.8,,,63.1
2017-11-12T00:01:46.448Z,54,,,33.8,,,63.3
2017-11-12T00:01:56.450Z,54,,,33.9,,,63.6
2017-11-12T00:02:11.549Z,54,,,34,,,64
2017-11-12T00:02:16.451Z,54,,,33.8,,,64.2
2017-11-12T00:02:26.447Z,54,,,34,,,64.5
2017-11-12T00:02:41.502Z,54,,,34.2,,,64.7
2017-11-12T00:02:46.449Z,54,,,33.9,,,64.8
2017-11-12T00:02:56.460Z,54,,0,33.9,0,2,63.8
2017-11-12T00:03:06.454Z,54,,,34,,,61.9
2017-11-12T00:03:16.450Z,54,,,34,,,60.9
2017-11-12T00:03:26.445Z,54,,,34.1,,,59.8
2017-11-12T00:03:36.451Z,54,,,34,,,58.9
2017-11-12T00:03:46.453Z,54,,,34,,,57.9
2017-11-12T00:03:56.451Z,54,,,33.8,,,56.9
2017-11-12T00:04:06.451Z,54,,,33.9,,,56.6
2017-11-12T00:04:16.450Z,54,,,33.8,,,55.9
2017-11-12T00:04:26.453Z,54,61,0,33.9,0,2,55.4
2017-11-12T00:04:36.446Z,54,,,33.9,,,54.9
2017-11-12T00:04:46.447Z,54,,,33.7,,,54.6
2017-11-12T00:04:56.452Z,54,,,33.7,,,53.9
2017-11-12T00:05:06.452Z,54,,0,33.7,45,2,54.6
2017-11-12T00:05:16.449Z,54,,,33.5,32,,58
2017-11-12T00:05:26.451Z,54,,,33.6,29,,58
2017-11-12T00:05:41.509Z,54,,,33.5,,,59
2017-11-12T00:05:46.451Z,54,,,33.6,,,59.5
2017-11-12T00:05:56.457Z,54,,,33.6,,,60.1
2017-11-12T00:06:06.453Z,54,,,33.6,,,61.1
2017-11-12T00:06:16.453Z,54,,,33.6,,,61.2
2017-11-12T00:06:26.453Z,54,,,33.7,,,61.6
2017-11-12T00:06:36.457Z,54,,,33.7,30,,62
2017-11-12T00:06:46.454Z,54,,,33.7,29,,62.4
2017-11-12T00:06:56.456Z,54,,,33.7,,,62.7
2017-11-12T00:07:06.454Z,54,,,33.9,30,,62.8
2017-11-12T00:07:16.457Z,54,,,33.7,29,,63.1
2017-11-12T00:07:31.539Z,54,,,33.9,,,63.2
2017-11-12T00:07:36.457Z,54,,,34,,,63.3
2017-11-12T00:07:46.454Z,54,,,33.8,,,63.4
2017-11-12T00:07:56.456Z,54,,,33.8,,,63.5
2017-11-12T00:08:06.451Z,54,,,33.9,,,
2017-11-12T00:08:17.204Z,54,,,33.8,,,63.6
2017-11-12T00:08:26.453Z,54,,,34,,,
2017-11-12T00:08:36.454Z,54,,,33.8,,,63.8
2017-11-12T00:08:46.454Z,54,,,33.8,,,
2017-11-12T00:08:56.451Z,54,,,33.7,,,
2017-11-12T00:09:06.455Z,54,,,33.8,,,
2017-11-12T00:09:16.457Z,54,,,33.8,,,
2017-11-12T00:09:26.456Z,54,,,33.7,,,63.9
2017-11-12T00:09:36.456Z,54,,,33.8,,,
2017-11-12T00:09:46.456Z,54,,,33.8,,,
2017-11-12T00:09:56.458Z,54,,,33.9,,,63.9
2017-11-12T00:10:06.455Z,54,,,33.8,,,64
2017-11-12T00:10:16.455Z,54,,,33.8,,,
2017-11-12T00:10:26.456Z,54,,,34,,,64.1
2017-11-12T00:10:36.458Z,54,,,34.3,30,,
2017-11-12T00:10:46.473Z,54,,,34.1,29,,64.2
2017-11-12T00:11:01.638Z,54,,,34.3,,,
2017-11-12T00:11:06.454Z,54,,,34.5,,,64.4
2017-11-12T00:11:16.458Z,54,,,34.3,,,64.5
2017-11-12T00:11:26.458Z,54,,,34.3,,,
2017-11-12T00:11:36.457Z,54,,,34.3,,,64.6
2017-11-12T00:11:51.552Z,54,,,34.4,,,64.7
2017-11-12T00:11:56.460Z,54,,,34.3,,,
2017-11-12T00:12:06.458Z,54,,,34.6,30,,65.1
2017-11-12T00:12:16.459Z,54,,0,34.6,0,2,62.8
2017-11-12T00:12:26.459Z,54,,,34.7,,,61.8
2017-11-12T00:12:36.460Z,54,,,34.8,,,60.8
2017-11-12T00:12:46.493Z,54,,,34.9,,,59.6
2017-11-12T00:12:56.455Z,54,,,34.6,,,58.7
2017-11-12T00:13:06.460Z,54,,,34.5,,,57.9
2017-11-12T00:13:16.454Z,54,,,34.3,,,56.9
2017-11-12T00:13:26.456Z,54,,,34.1,,,56.7
2017-11-12T00:13:36.459Z,54,,,34.1,,,56.2
2017-11-12T00:13:46.454Z,54,,,34.2,,,55.7
2017-11-12T00:13:56.462Z,54,,,34.2,,,55.3
2017-11-12T00:14:06.611Z,54,,,34.5,,,54.9
2017-11-12T00:14:16.460Z,54,,0,34,40,2,58
2017-11-12T00:14:26.455Z,54,,,33.9,32,,59.1
2017-11-12T00:14:36.462Z,54,,,34,29,,
2017-11-12T00:14:46.459Z,54,,,34.2,,,60.4
2017-11-12T00:14:56.462Z,54,,,34.2,,,61.2
2017-11-12T00:15:06.460Z,54,,,34.2,,,62
2017-11-12T00:15:16.454Z,54,,,34.2,,,62.5
2017-11-12T00:15:26.454Z,54,,,34.1,,,63.1
2017-11-12T00:15:36.453Z,54,,,34.1,,,63.5
2017-11-12T00:15:46.463Z,54,,,34.1,,,64
2017-11-12T00:15:56.464Z,54,,,34.1,,,64.2
2017-11-12T00:16:06.463Z,54,,,34.1,,,64.5
2017-11-12T00:16:16.455Z,54,,,34.1,,,64.7
2017-11-12T00:16:26.466Z,54,,0,34.2,0,2,64.9
2017-11-12T00:16:41.505Z,54,,,34,,,62.8
2017-11-12T00:16:46.455Z,54,,,34,,,61.5
2017-11-12T00:16:56.463Z,54,,,34,,,59.9
2017-11-12T00:17:06.456Z,54,,,33.9,,,58.9
2017-11-12T00:17:21.546Z,54,,,34,,,58.6
2017-11-12T00:17:26.456Z,54,,,34,,,57.8
2017-11-12T00:17:36.456Z,54,,,34,,,56.9
2017-11-12T00:17:51.546Z,54,,,34,,,56.6
2017-11-12T00:17:56.461Z,54,,,34,,,55.9
2017-11-12T00:18:06.463Z,54,,,33.7,,,55.5
2017-11-12T00:18:16.463Z,54,,,33.8,,,54.9
2017-11-12T00:18:26.457Z,54,,,33.7,,,54.8
2017-11-12T00:18:36.457Z,54,,,33.6,,,54.5
2017-11-12T00:18:46.463Z,54,,,33.5,,,53.9
2017-11-12T00:18:56.463Z,54,,,33.4,,,53.8
2017-11-12T00:19:06.491Z,54,,,33.3,,,53.5
2017-11-12T00:19:16.530Z,54,,0,33.4,39,2,57
2017-11-12T00:19:26.457Z,54,,,33.3,29,,57.9
2017-11-12T00:19:36.464Z,54,,,33.2,,,58
2017-11-12T00:19:46.460Z,54,,,33.3,,,59.1
2017-11-12T00:19:56.455Z,54,,,33.3,,,60
2017-11-12T00:20:06.459Z,54,,,33.3,,,60.6
2017-11-12T00:20:16.459Z,54,,,33.5,,,61.3
2017-11-12T00:20:26.464Z,54,,,33.6,,,62
2017-11-12T00:20:41.548Z,54,,,33.5,,,62.4
2017-11-12T00:20:46.464Z,54,,,33.5,,,62.7
2017-11-12T00:20:56.463Z,54,,,33.6,,,63.1
2017-11-12T00:21:11.550Z,54,,,33.5,30,,63.4
2017-11-12T00:21:16.461Z,54,,,33.5,29,,63.6
2017-11-12T00:21:27.207Z,54,,,33.4,30,,64
2017-11-12T00:21:36.459Z,54,,,33.5,29,,64.1
2017-11-12T00:21:46.458Z,54,,,33.6,,,64.4
2017-11-12T00:22:06.457Z,54,,,33.8,,,64.6
2017-11-12T00:22:16.459Z,54,,,33.9,,,64.7
2017-11-12T00:22:26.460Z,54,,,33.7,,,64.9
2017-11-12T00:22:41.521Z,54,,0,33.8,0,2,63.9
2017-11-12T00:22:46.467Z,54,,,33.7,,,61.8
2017-11-12T00:22:56.468Z,54,,,33.7,,,60.9
2017-11-12T00:23:06.467Z,54,,,33.8,,,59.7
2017-11-12T00:23:16.462Z,54,,,33.8,,,58.8
2017-11-12T00:23:26.462Z,54,,,33.9,,,57.9
2017-11-12T00:23:36.463Z,54,,,33.9,,,56.9
2017-11-12T00:23:46.462Z,54,,,34,,,56.6
2017-11-12T00:23:56.465Z,54,,,33.8,,,55.9
2017-11-12T00:24:06.458Z,54,,,33.8,,,55.5
2017-11-12T00:24:16.468Z,54,,,33.9,,,54.8
2017-11-12T00:24:26.465Z,54,,0,33.9,39,2,58.1
2017-11-12T00:24:36.464Z,54,,,33.9,30,,58.9
2017-11-12T00:24:46.460Z,54,,,33.8,30,,59
2017-11-12T00:24:56.461Z,54,,,33.7,29,,60.1
2017-11-12T00:25:06.461Z,54,,,33.5,,,61.1
2017-11-12T00:25:16.462Z,54,,,33.4,,,61.4
2017-11-12T00:25:26.469Z,54,,,33.6,,,62.1
2017-11-12T00:25:36.464Z,54,,,33.7,,,62.6
2017-11-12T00:25:46.464Z,54,,,33.7,,,63.1
2017-11-12T00:25:56.464Z,54,,,33.7,,,63.5
2017-11-12T00:26:06.466Z,54,,,33.8,,,64
2017-11-12T00:26:16.467Z,54,,,33.9,,,64.2
2017-11-12T00:26:26.470Z,54,,,33.9,,,64.5
2017-11-12T00:26:36.466Z,54,,,33.9,,,64.8
2017-11-12T00:26:47.209Z,54,,0,33.8,0,2,63.5
2017-11-12T00:26:56.472Z,54,,,34,,,61.9
2017-11-12T00:27:06.470Z,54,,,33.9,,,60.9
2017-11-12T00:27:16.480Z,54,,,33.9,,,59.9
2017-11-12T00:27:26.461Z,54,,,33.8,,,58.9
2017-11-12T00:27:36.461Z,54,,,34,,,58.4
2017-11-12T00:27:46.462Z,54,,,33.9,,,57.7
2017-11-12T00:27:56.467Z,54,,,33.9,,,56.9
2017-11-12T00:28:06.464Z,54,,,33.9,,,56.5
2017-11-12T00:28:16.463Z,54,,,33.8,,,55.9
2017-11-12T00:28:26.465Z,54,,,33.6,,,55.5
2017-11-12T00:28:36.460Z,54,,,33.5,,,55.1
2017-11-12T00:28:46.464Z,54,,,33.5,,,54.8
2017-11-12T00:28:57.220Z,54,,,33.5,,,54.5
2017-11-12T00:29:06.472Z,54,,,33.5,,,54.1
2017-11-12T00:29:16.472Z,54,,,33.3,,,53.8
2017-11-12T00:29:26.466Z,54,,0,33.2,39,2,57.2
2017-11-12T00:29:36.472Z,54,,,33.1,33,,58.1
2017-11-12T00:29:46.474Z,54,,,33.1,29,,58.2
2017-11-12T00:29:56.464Z,54,,,33.2,,,59.5
2017-11-12T00:30:06.468Z,54,,,33.3,30,,60.2
2017-11-12T00:30:16.462Z,54,,,33.2,29,,61.1
2017-11-12T00:30:27.243Z,54,,,33.2,,,62
2017-11-12T00:30:37.218Z,54,,,33.3,,,62.2
2017-11-12T00:30:46.469Z,54,,,33.3,,,63.1
2017-11-12T00:30:56.472Z,54,,,33.5,,,63.3
2017-11-12T00:31:06.473Z,54,,,33.4,,,63.6
2017-11-12T00:31:16.467Z,54,,,33.5,,,64
2017-11-12T00:31:26.467Z,54,,,33.4,,,64.2
2017-11-12T00:31:36.467Z,54,,,33.5,,,64.6
2017-11-12T00:31:46.462Z,54,,,33.5,,,64.8
2017-11-12T00:31:56.463Z,54,,0,33.5,0,2,63.6
2017-11-12T00:32:06.470Z,54,,,33.6,,,61.9
2017-11-12T00:32:21.606Z,54,,,33.7,,,60.9
2017-11-12T00:32:26.471Z,54,,,33.9,,,59.9
2017-11-12T00:32:36.467Z,54,,,33.9,,,58.9
2017-11-12T00:32:51.563Z,54,,,33.8,,,57.9
2017-11-12T00:32:56.469Z,54,,,33.6,,,57.4
2017-11-12T00:33:06.465Z,54,,,33.6,,,56.8
2017-11-12T00:33:16.464Z,54,,,33.6,,,56.2
2017-11-12T00:33:26.465Z,54,,,33.6,,,55.7
2017-11-12T00:33:36.466Z,54,,,33.5,,,55.2
2017-11-12T00:33:46.465Z,54,,,33.5,,,54.9
2017-11-12T00:33:56.471Z,54,,,33.4,,,54.5
2017-11-12T00:34:06.465Z,54,,,33.3,,,54.1
2017-11-12T00:34:16.471Z,54,,,33.2,,,53.7
2017-11-12T00:34:26.476Z,54,,0,33.1,40,2,57.1
2017-11-12T00:34:36.470Z,54,,,32.9,33,,58
2017-11-12T00:34:46.464Z,54,,,33.1,29,,58.1
2017-11-12T00:34:56.472Z,54,,,33.1,,,59.4
2017-11-12T00:35:06.472Z,54,,,33.1,,,60
2017-11-12T00:35:16.467Z,54,,,33.2,,,61.1
2017-11-12T00:35:26.464Z,54,,,32.9,,,61.5
2017-11-12T00:35:41.515Z,54,,,33.2,,,62.1
2017-11-12T00:35:46.466Z,54,,,33.4,,,62.6
2017-11-12T00:35:56.472Z,54,,,33.3,,,63.1
2017-11-12T00:36:06.476Z,54,,,33.3,,,63.4
2017-11-12T00:36:16.467Z,54,,,33.3,,,64
2017-11-12T00:36:26.468Z,54,,,33.3,,,64.1
2017-11-12T00:36:36.467Z,54,,,33.5,,,64.4
2017-11-12T00:36:46.468Z,54,,,33.4,,,64.6
2017-11-12T00:37:01.568Z,54,,,33.5,,,64.8
2017-11-12T00:37:06.478Z,54,,0,33.6,0,2,62.9
2017-11-12T00:37:16.469Z,54,0,1,33.8,,0,61.5
2017-11-12T00:37:26.489Z,54,,1,19,74,0,65.4
2017-11-12T00:37:36.479Z,54,,,55,72,,60.7
2017-11-12T00:37:46.470Z,54,,,55.5,65,,59.9
2017-11-12T00:37:56.474Z,54,,,56.1,31,,57.9
2017-11-12T00:38:06.467Z,54,,,54.9,42,,56.6
2017-11-12T00:38:16.467Z,54,,,54.7,,,56.5
2017-11-12T00:38:26.468Z,54,,,54.8,33,,56.3
2017-11-12T00:38:36.466Z,54,,,54.9,43,,56.5
2017-11-12T00:38:46.469Z,54,,,54.9,40,,56.3
2017-11-12T00:38:56.474Z,54,,,52.7,79,,57
2017-11-12T00:39:06.469Z,54,,,55.4,52,,57.1
2017-11-12T00:39:16.471Z,54,,,55.6,30,,56.8
2017-11-12T00:39:26.471Z,54,,,54.6,45,,56
2017-11-12T00:39:36.472Z,54,,0,54.7,0,0,54.8
2017-11-12T00:39:46.471Z,54,,,54.4,,,55
2017-11-12T00:39:56.472Z,54,,,54.6,,,58
2017-11-12T00:40:06.472Z,54,,,54.8,,,58.3
2017-11-12T00:40:16.471Z,54,,,55.1,,,
2017-11-12T00:40:26.476Z,54,,,55.2,,,57.9
2017-11-12T00:40:36.467Z,54,61,0,55.2,44,2,57.4
2017-11-12T00:40:46.478Z,54,,,55,35,,60.4
2017-11-12T00:40:56.472Z,54,,,54.2,30,,62.5
2017-11-12T00:41:06.470Z,54,,,53.5,29,,61.8
2017-11-12T00:41:16.472Z,54,,,52.7,,,62
2017-11-12T00:41:26.471Z,54,,,51.6,,,62.5
2017-11-12T00:41:36.472Z,54,,,50.6,,,
2017-11-12T00:41:46.482Z,54,,,49.6,,,62.6
2017-11-12T00:41:56.474Z,54,,,48.5,,,
2017-11-12T00:42:06.474Z,54,,,47.7,,,
2017-11-12T00:42:16.473Z,54,,,47,,,
2017-11-12T00:42:26.473Z,54,,,46.1,,,62.7
2017-11-12T00:42:36.474Z,54,,,45.5,,,62.8
2017-11-12T00:42:46.470Z,54,,,44.9,,,
2017-11-12T00:42:56.474Z,54,,,44.3,,,62.9
2017-11-12T00:43:06.474Z,54,,,43.8,29,,63.1
2017-11-12T00:43:16.470Z,54,,,43.4,,,63.2
2017-11-12T00:43:26.470Z,54,,,43,,,63.3
2017-11-12T00:43:36.471Z,54,,,42.6,,,63.4
2017-11-12T00:43:46.476Z,54,,,42.3,,,63.5
2017-11-12T00:43:56.475Z,54,,,42.1,,,63.6
2017-11-12T00:44:06.472Z,54,,,41.9,,,63.8
2017-11-12T00:44:16.472Z,54,,,41.7,29,,64
2017-11-12T00:44:26.473Z,54,,,41.6,,,64.1
2017-11-12T00:44:36.471Z,54,,,41.4,,,64.2
2017-11-12T00:44:46.475Z,54,,,41.3,,,64.4
2017-11-12T00:44:56.477Z,54,,,41.2,,,64.6
2017-11-12T00:45:06.480Z,54,,,41.1,,,64.7
2017-11-12T00:45:16.477Z,54,,,41.1,,,64.8
2017-11-12T00:45:26.478Z,54,,0,40.9,0,2,64.9
2017-11-12T00:45:36.478Z,54,,,40.9,,,62.8
2017-11-12T00:45:46.470Z,54,,,40.8,,,61.4
2017-11-12T00:45:56.478Z,54,,,40.7,,,59.9
2017-11-12T00:46:06.477Z,54,,,40.7,,,58.9
2017-11-12T00:46:16.479Z,54,,,40.6,,,58.4
2017-11-12T00:46:26.472Z,54,,,40.5,,,57.7
2017-11-12T00:46:37.139Z,54,,,40.3,,,56.9
2017-11-12T00:46:46.474Z,54,,,40.2,,,56.4
2017-11-12T00:46:56.474Z,54,,,40,,,55.9
2017-11-12T00:47:07.139Z,54,,,39.9,,,55.4
2017-11-12T00:47:16.476Z,54,,0,39.8,,2,54.8
2017-11-12T00:47:26.474Z,54,,,39.7,39,,58.1
2017-11-12T00:47:36.475Z,54,,,39.5,29,,58.9
2017-11-12T00:47:46.477Z,54,,,39.4,,,59.1
2017-11-12T00:47:56.485Z,54,,,39.4,,,60.5
2017-11-12T00:48:06.477Z,54,,,39.4,,,61.1
2017-11-12T00:48:16.477Z,54,,,39.5,,,62
2017-11-12T00:48:26.478Z,54,,,39.5,,,62.4
2017-11-12T00:48:36.477Z,54,,,39.5,,,63.1
2017-11-12T00:48:46.474Z,54,,,39.5,30,,63.3
2017-11-12T00:48:56.484Z,54,,,39.5,29,,63.6
2017-11-12T00:49:06.482Z,54,,,39.5,,,64
2017-11-12T00:49:16.472Z,54,,,39.5,,,64.4
2017-11-12T00:49:26.487Z,54,,,39.5,,,64.6
2017-11-12T00:49:41.543Z,54,,,39.5,,,64.8
2017-11-12T00:49:46.482Z,54,,0,39.5,0,2,63.9
2017-11-12T00:50:01.682Z,54,,,39.4,,,61.9
2017-11-12T00:50:11.594Z,54,,,39.4,,,60.9
2017-11-12T00:50:16.475Z,54,,,39.4,,,59.9
2017-11-12T00:50:26.480Z,54,,,39.4,,,58.9
2017-11-12T00:50:41.583Z,54,,,39.3,,,57.9
2017-11-12T00:50:46.475Z,54,,,39.2,,,57.4
2017-11-12T00:51:01.683Z,54,,,38.9,,,56.8
2017-11-12T00:51:11.583Z,54,,,38.8,,,56.3
2017-11-12T00:51:16.480Z,54,,,38.7,,,55.7
2017-11-12T00:51:31.601Z,54,,,38.5,,,55.2
2017-11-12T00:51:36.473Z,54,,,38.4,,,54.8
2017-11-12T00:51:51.592Z,54,,,38.3,,,54.4
2017-11-12T00:52:01.684Z,54,,,38.2,,,53.9
2017-11-12T00:52:11.684Z,54,,,38.1,,,53.7
2017-11-12T00:52:26.691Z,54,,0,38,,2,53.4
2017-11-12T00:52:31.886Z,54,,,37.9,38,,57
2017-11-12T00:52:41.585Z,54,,,37.7,29,,57.8
2017-11-12T00:52:51.601Z,54,,,37.7,,,58.2
2017-11-12T00:53:01.685Z,54,,,37.7,,,59.3
2017-11-12T00:53:11.685Z,54,,,37.7,,,60
2017-11-12T00:53:21.686Z,54,,,37.8,30,,60.6
2017-11-12T00:53:31.586Z,54,,,37.8,29,,61.3
2017-11-12T00:53:36.492Z,54,,,37.8,29,,62
2017-11-12T00:53:51.685Z,54,,,37.8,,,62.2
2017-11-12T00:54:01.597Z,54,,,37.8,,,62.7
