Time,ChActive,HwTSet,HwActive,ActPow,HwTOutlet,PrimT,PrimTSet
2017-11-13T00:00:07.278Z,,54,,,51.6,61.1,
2017-11-13T00:00:17.281Z,,54,,,51.5,61.2,
2017-11-13T00:00:27.282Z,,54,,,51.5,62,
2017-11-13T00:00:37.287Z,,54,,,51.5,62.4,
2017-11-13T00:00:47.282Z,,54,,,51.5,63.1,
2017-11-13T00:00:57.369Z,,54,,30,51.4,63.3,
2017-11-13T00:01:07.287Z,,54,,29,51.4,63.6,
2017-11-13T00:01:17.277Z,,54,,30,51.4,64,
2017-11-13T00:01:27.283Z,,54,,29,51.4,64.1,
2017-11-13T00:01:42.379Z,,54,,,51.3,64.5,
2017-11-13T00:01:47.283Z,,54,,,51.3,64.7,
2017-11-13T00:01:57.390Z,,54,,,51.3,65.1,
2017-11-13T00:02:12.381Z,1,54,0,0,51.3,62.9,
2017-11-13T00:02:17.279Z,,54,,,51.3,61.8,
2017-11-13T00:02:27.281Z,0,54,2,,51.3,60.1,0
2017-11-13T00:02:37.308Z,0,54,2,57,29.3,62,
2017-11-13T00:02:52.384Z,0,54,0,0,58,58.8,
2017-11-13T00:02:57.382Z,,54,,,58,58,
2017-11-13T00:03:07.280Z,,54,,,58.7,59.1,
2017-11-13T00:03:17.278Z,,54,,,57.7,59.6,
2017-11-13T00:03:27.288Z,0,54,2,,51.3,58.7,
2017-11-13T00:03:38.431Z,0,54,2,30,50.6,55.4,
2017-11-13T00:03:48.132Z,0,54,0,0,55,55.4,
2017-11-13T00:03:57.381Z,,54,,,54.9,54.6,
2017-11-13T00:04:07.281Z,,54,,,54.8,56,
2017-11-13T00:04:17.280Z,,54,,,54.7,57.1,
2017-11-13T00:04:27.281Z,,54,,,54.8,57.2,
2017-11-13T00:04:37.281Z,,54,,,55,57.1,
2017-11-13T00:04:47.288Z,1,54,0,,55.1,56.8,61
2017-11-13T00:05:02.433Z,1,54,0,38,55,59,
2017-11-13T00:05:12.384Z,,54,,30,54.9,62.2,
2017-11-13T00:05:17.284Z,,54,,29,54.6,61.9,
2017-11-13T00:05:27.293Z,0,54,0,0,47,62.1,0
2017-11-13T00:05:37.386Z,,54,,,38.4,61.9,
2017-11-13T00:05:47.281Z,,54,,,38.3,61.4,
2017-11-13T00:05:57.375Z,0,54,0,0,38.3,61.3,0
2017-11-13T00:06:07.286Z,,54,,,38.4,61.2,
2017-11-13T00:06:18.141Z,,54,,,38.5,60.9,
2017-11-13T00:06:27.289Z,1,54,0,44,38.6,61.2,61
2017-11-13T00:06:38.143Z,,54,,35,38.9,62.4,
2017-11-13T00:06:47.285Z,,54,,31,39.3,63.4,
2017-11-13T00:06:57.399Z,,54,,29,39.9,62.8,
2017-11-13T00:07:07.281Z,,54,,,40.7,62.6,
2017-11-13T00:07:17.282Z,,54,,,41.7,62.9,
2017-11-13T00:07:27.283Z,,54,,,42.7,62.5,
2017-11-13T00:07:37.285Z,,54,,,43.8,62.2,
2017-11-13T00:07:47.291Z,,54,,,44.8,61.9,
2017-11-13T00:07:57.375Z,,54,,,45.8,61.8,
2017-11-13T00:08:07.280Z,,54,,,46.7,61.5,
2017-11-13T00:08:17.283Z,,54,,,47.5,61.4,
2017-11-13T00:08:27.437Z,,54,,,48.3,,
2017-11-13T00:08:38.139Z,,54,,,49.1,,
2017-11-13T00:08:47.281Z,,54,,,49.9,,
2017-11-13T00:08:57.381Z,,54,,,50.6,,
2017-11-13T00:09:07.281Z,,54,,,51.2,,
2017-11-13T00:09:17.291Z,,54,,,51.7,61.5,
2017-11-13T00:09:27.281Z,,54,,,52.2,,
2017-11-13T00:09:37.293Z,,54,,,52.5,61.6,
2017-11-13T00:09:47.282Z,,54,,,52.9,61.8,
2017-11-13T00:09:57.386Z,,54,,,53.2,,
2017-11-13T00:10:07.285Z,,54,,,53.5,62,
2017-11-13T00:10:17.283Z,,54,,,53.6,,
2017-11-13T00:10:27.286Z,,54,,,53.8,62.1,
2017-11-13T00:10:37.288Z,,54,,,53.9,,
2017-11-13T00:10:47.400Z,,54,,30,54,62.2,
2017-11-13T00:10:57.333Z,,54,,29,54.1,62.4,
2017-11-13T00:11:07.292Z,,54,,,54.2,62.5,
2017-11-13T00:11:17.284Z,,54,,,54.2,62.6,
2017-11-13T00:11:27.284Z,,54,,,54.2,,
2017-11-13T00:11:37.290Z,,54,,,54.3,62.7,
2017-11-13T00:11:52.375Z,,54,,30,54.3,62.8,
2017-11-13T00:11:57.387Z,,54,,29,54.3,62.9,
2017-11-13T00:12:07.293Z,,54,,,54.2,63.1,
2017-11-13T00:12:17.282Z,,54,,,54.2,63.2,
2017-11-13T00:12:27.284Z,,54,,,54.1,63.3,
2017-11-13T00:12:37.294Z,,54,,,54.1,63.4,
2017-11-13T00:12:47.283Z,,54,,,54,63.5,
2017-11-13T00:12:57.381Z,,54,,,54,63.8,
2017-11-13T00:13:07.291Z,,54,,,54,63.9,
2017-11-13T00:13:17.285Z,,54,,,53.9,64,
2017-11-13T00:13:27.283Z,,54,,,53.9,,
2017-11-13T00:13:37.296Z,,54,,,53.8,64.2,
2017-11-13T00:13:47.287Z,,54,,30,53.8,,
2017-11-13T00:13:57.378Z,,54,,29,53.7,64.4,
2017-11-13T00:14:07.287Z,,54,,,53.7,64.5,
2017-11-13T00:14:17.288Z,,54,,,53.7,64.6,
2017-11-13T00:14:27.287Z,,54,,,53.6,,
2017-11-13T00:14:37.289Z,,54,,,53.6,64.7,
2017-11-13T00:14:47.288Z,,54,,,53.5,,
2017-11-13T00:14:57.379Z,,54,,,53.5,64.8,
2017-11-13T00:15:07.284Z,,54,,,53.5,,
2017-11-13T00:15:17.289Z,,54,,,53.4,64.9,
2017-11-13T00:15:27.286Z,,54,,,53.4,,
2017-11-13T00:15:37.287Z,1,54,0,0,53.3,62.7,
2017-11-13T00:15:47.287Z,,54,,,53.3,60.9,
2017-11-13T00:15:57.379Z,,54,,,53.3,59.8,
2017-11-13T00:16:07.289Z,,54,,,53.2,58.9,
2017-11-13T00:16:17.287Z,,54,,,53.2,57.9,
2017-11-13T00:16:27.296Z,,54,,,53.1,56.9,
2017-11-13T00:16:37.289Z,,54,,,52.9,56.6,
2017-11-13T00:16:47.289Z,,54,,,52.7,55.9,
2017-11-13T00:16:57.380Z,,54,,,52.5,54.9,
2017-11-13T00:17:07.295Z,1,54,0,42,52.3,57,
2017-11-13T00:17:17.290Z,,54,,37,52.2,58.4,
2017-11-13T00:17:27.291Z,,54,,29,51.9,58.6,
2017-11-13T00:17:37.291Z,,54,,29,51.7,60,
2017-11-13T00:17:47.291Z,,54,,,51.6,60.1,
2017-11-13T00:17:57.377Z,,54,,,51.4,61.1,
2017-11-13T00:18:07.287Z,,54,,,51.3,61.2,
2017-11-13T00:18:17.287Z,,54,,,51.2,61.5,
2017-11-13T00:18:27.292Z,,54,,,51.1,62,
2017-11-13T00:18:37.289Z,,54,,,51.1,62.4,
2017-11-13T00:18:47.288Z,,54,,,51,62.7,
2017-11-13T00:18:57.386Z,,54,,29,50.9,63.1,
2017-11-13T00:19:07.290Z,,54,,,50.9,63.2,
2017-11-13T00:19:17.293Z,,54,,,50.8,63.4,
2017-11-13T00:19:27.291Z,,54,,,50.7,63.6,
2017-11-13T00:19:37.294Z,,54,,,50.7,63.8,
2017-11-13T00:19:47.298Z,,54,,30,50.6,64,
2017-11-13T00:20:02.443Z,,54,,29,50.5,64.1,
2017-11-13T00:20:12.394Z,,54,,,50.5,64.2,
2017-11-13T00:20:17.294Z,,54,,,50.4,64.4,
2017-11-13T00:20:27.289Z,,54,,,50.3,64.5,
2017-11-13T00:20:37.295Z,,54,,,50.3,64.6,
2017-11-13T00:20:47.288Z,,54,,30,50.2,,
2017-11-13T00:20:57.378Z,,54,,,50.2,64.7,
2017-11-13T00:21:07.289Z,,54,,29,50.1,,
2017-11-13T00:21:17.290Z,,54,,,50,64.8,
2017-11-13T00:21:27.296Z,,54,,30,50,64.9,
2017-11-13T00:21:42.388Z,,54,,29,49.9,,
2017-11-13T00:21:47.292Z,1,54,0,0,49.9,62.8,
2017-11-13T00:21:57.423Z,,54,,,49.8,61.9,
2017-11-13T00:22:07.291Z,,54,,,49.8,60.9,
2017-11-13T00:22:17.290Z,,54,,,49.8,58.9,
