Time,HwTOutlet,ChActive,HwTSet,PrimT,PrimTSet,HwActive,ActPow
2017-11-15T00:00:03.938Z,29.2,,54,63.2,,,
2017-11-15T00:00:13.947Z,29.2,,54,63.5,,,
2017-11-15T00:00:23.937Z,29.2,,54,64,,,
2017-11-15T00:00:33.937Z,29,,54,64.1,,,
2017-11-15T00:00:43.937Z,28.9,,54,64.5,,,
2017-11-15T00:00:53.938Z,29,,54,64.7,,,
2017-11-15T00:01:03.955Z,29.2,,54,65.1,,,
2017-11-15T00:01:13.950Z,29.1,1,54,62.8,,0,0
2017-11-15T00:01:23.939Z,29,,54,61.6,,,
2017-11-15T00:01:33.939Z,28.7,,54,60.8,,,
2017-11-15T00:01:43.937Z,28.6,,54,59.5,,,
2017-11-15T00:01:53.940Z,28.6,,54,58.6,,,
2017-11-15T00:02:03.941Z,28.5,,54,57.8,,,
2017-11-15T00:02:13.952Z,28.5,,54,56.9,,,
2017-11-15T00:02:29.053Z,28.5,,54,56.4,,,
2017-11-15T00:02:33.943Z,28.7,,54,55.7,,,
2017-11-15T00:02:43.977Z,29.3,,54,55.2,,,
2017-11-15T00:02:53.949Z,29.3,,54,54.8,,,
2017-11-15T00:03:03.942Z,29.1,,54,54.4,,,
2017-11-15T00:03:13.977Z,28.9,,54,53.9,,,
2017-11-15T00:03:23.948Z,28.7,1,54,53.4,,0,
2017-11-15T00:03:33.946Z,28.9,,54,57.2,,,38
2017-11-15T00:03:43.985Z,28.1,,54,57.9,,,30
2017-11-15T00:03:53.935Z,28.4,,54,58.2,,,29
2017-11-15T00:04:03.937Z,28.5,,54,59.5,,,29
2017-11-15T00:04:13.942Z,28.4,,54,60,,,
2017-11-15T00:04:23.938Z,28.6,,54,61.1,,,
2017-11-15T00:04:33.941Z,28.7,,54,61.5,,,
2017-11-15T00:04:43.945Z,28.6,,54,62,,,
2017-11-15T00:04:53.942Z,28.7,,54,62.6,,,
2017-11-15T00:05:03.941Z,28.7,,54,63.1,,,
2017-11-15T00:05:13.946Z,28.7,,54,63.4,,,
2017-11-15T00:05:23.936Z,28.7,,54,63.8,,,
2017-11-15T00:05:33.941Z,28.7,,54,64,,,
2017-11-15T00:05:43.937Z,28.6,,54,64.2,,,
2017-11-15T00:05:53.936Z,28.9,,54,64.5,,,
