Time,PrimTSet,ActPow,HwTOutlet,HwActive,PrimT,HwTSet,ChActive
2017-11-16T00:00:04.774Z,,,30.6,,63.5,54,
2017-11-16T00:00:14.767Z,,29,30.6,,64,54,
2017-11-16T00:00:24.768Z,,,30.6,,64.4,54,
2017-11-16T00:00:34.775Z,,,30.8,,64.8,54,
2017-11-16T00:00:44.772Z,,0,30.7,0,62.8,54,2
2017-11-16T00:00:54.766Z,,,30.8,,61.8,54,
2017-11-16T00:01:04.768Z,,,30.6,,60.4,54,
2017-11-16T00:01:14.768Z,,,30.4,,59.8,54,
2017-11-16T00:01:24.770Z,,,30.4,,58.8,54,
2017-11-16T00:01:34.772Z,,,30.4,,57.9,54,
2017-11-16T00:01:44.770Z,,,30.3,,56.9,54,
2017-11-16T00:01:54.776Z,,,30.6,,56.6,54,
2017-11-16T00:02:04.768Z,,,30.6,,55.9,54,
2017-11-16T00:02:14.771Z,,,30.6,,55.3,54,
2017-11-16T00:02:24.766Z,,,31,,54.8,54,
2017-11-16T00:02:34.766Z,,,30.3,,54.3,54,
2017-11-16T00:02:44.767Z,,,30.2,,53.8,54,
2017-11-16T00:02:54.768Z,,,30.3,,53.4,54,
2017-11-16T00:03:04.771Z,,,30.3,,52.9,54,
2017-11-16T00:03:14.771Z,,44,30.3,0,53.4,54,2
2017-11-16T00:03:24.768Z,,40,30.2,,56.1,54,
2017-11-16T00:03:34.770Z,,29,30.2,,56.9,54,
2017-11-16T00:03:44.772Z,,,30.1,,58,54,
2017-11-16T00:03:54.769Z,,,30.1,,59,54,
2017-11-16T00:04:04.769Z,,,29.8,,59.5,54,
2017-11-16T00:04:14.770Z,,,30,,60.4,54,
2017-11-16T00:04:24.770Z,,,30.2,,61.1,54,
2017-11-16T00:04:34.777Z,,,30.2,,62,54,
2017-11-16T00:04:44.768Z,,30,30.2,,62.5,54,
2017-11-16T00:04:54.769Z,,29,30.3,,63.1,54,
2017-11-16T00:05:04.769Z,,,30.3,,63.6,54,
2017-11-16T00:05:14.772Z,,,30.3,,64.1,54,
2017-11-16T00:05:24.771Z,,,30.7,,64.5,54,
2017-11-16T00:05:34.780Z,,0,30.7,0,64.9,54,2
2017-11-16T00:05:44.772Z,,,30.7,,62.7,54,
2017-11-16T00:05:54.770Z,,,30.7,,61.6,54,
2017-11-16T00:06:04.772Z,,,30.6,,60.4,54,
2017-11-16T00:06:14.767Z,,,30.4,,59.7,54,
2017-11-16T00:06:24.772Z,,,30.4,,58.8,54,
2017-11-16T00:06:34.768Z,,,30.4,,57.9,54,
2017-11-16T00:06:44.770Z,,,30.4,,56.9,54,
2017-11-16T00:06:54.772Z,,,30.7,,56.5,54,
2017-11-16T00:07:04.779Z,0,40,26.5,1,55.9,54,0
2017-11-16T00:07:14.790Z,,79,39.8,,57,54,
2017-11-16T00:07:24.775Z,,31,55.9,,59.8,54,
2017-11-16T00:07:34.777Z,,74,54.2,,57.9,54,
2017-11-16T00:07:44.781Z,,101,51.9,,58,54,
2017-11-16T00:07:54.776Z,,0,52.2,0,57.4,54,0
2017-11-16T00:08:04.774Z,,,55.8,,56.7,54,
2017-11-16T00:08:14.776Z,,,56.4,,56.6,54,
2017-11-16T00:08:24.775Z,,,56.5,,,54,
2017-11-16T00:08:34.773Z,,,56.4,,56.5,54,
2017-11-16T00:08:44.775Z,,,55.3,,56.4,54,
2017-11-16T00:08:54.780Z,61,44,51.4,0,57.3,54,2
2017-11-16T00:09:04.775Z,,33,46.8,,62,54,
2017-11-16T00:09:14.773Z,,29,43.3,,60.7,54,
2017-11-16T00:09:24.775Z,,,40.4,,60,54,
2017-11-16T00:09:34.771Z,,,37.8,,61.3,54,
2017-11-16T00:09:44.775Z,,,36,,61.9,54,
2017-11-16T00:09:54.772Z,,,34.7,,62,54,
