Time,HwTSet,PrimT,HwTOutlet,HwActive,ActPow,PrimTSet,ChActive
2017-11-17T00:00:05.699Z,54,63.2,26.6,,,,
2017-11-17T00:00:15.600Z,54,63.4,26.7,,,,
2017-11-17T00:00:25.598Z,54,63.5,26.5,,,,
2017-11-17T00:00:35.599Z,54,63.8,26.3,,,,
2017-11-17T00:00:45.599Z,54,64,26.7,,,,
2017-11-17T00:00:55.611Z,54,,26.8,,30,,
2017-11-17T00:01:05.690Z,54,64.2,26.8,,29,,
2017-11-17T00:01:15.599Z,54,64.4,26.8,,30,,
2017-11-17T00:01:25.615Z,54,,26.9,,29,,
2017-11-17T00:01:35.599Z,54,64.5,26.8,,,,
2017-11-17T00:01:45.599Z,54,64.6,26.9,,,,
2017-11-17T00:01:55.616Z,54,64.7,27.2,,,,
2017-11-17T00:02:05.690Z,54,64.8,27.3,,,,
2017-11-17T00:02:15.602Z,54,64.9,27.3,,,,
2017-11-17T00:02:25.602Z,54,64.9,27.4,0,0,,2
2017-11-17T00:02:35.600Z,54,61.8,27.5,,,,
2017-11-17T00:02:45.607Z,54,60.9,27.5,,,,
2017-11-17T00:02:55.607Z,54,59.6,27.5,,,,
2017-11-17T00:03:05.691Z,54,58.8,27.3,,,,
2017-11-17T00:03:15.612Z,54,57.9,27.3,,,,
2017-11-17T00:03:25.599Z,54,56.9,27.2,,,,
2017-11-17T00:03:35.602Z,54,55.9,26.9,,,,
2017-11-17T00:03:45.600Z,54,55.6,26.3,,,,
2017-11-17T00:03:55.605Z,54,54.9,26.3,0,44,,2
2017-11-17T00:04:05.688Z,54,58.1,26.1,,40,,
2017-11-17T00:04:15.600Z,54,58.9,26.1,,29,,
2017-11-17T00:04:25.601Z,54,59,26.5,,,,
2017-11-17T00:04:35.600Z,54,60.2,26.6,,,,
2017-11-17T00:04:45.602Z,54,61.1,26.6,,,,
2017-11-17T00:04:55.603Z,54,62,26.7,,,,
2017-11-17T00:05:05.719Z,54,62.2,26.8,,,,
2017-11-17T00:05:15.607Z,54,63.1,26.7,,,,
2017-11-17T00:05:25.598Z,54,63.3,26.8,,,,
2017-11-17T00:05:35.621Z,54,63.6,26.9,,,,
2017-11-17T00:05:45.604Z,54,64.1,26.8,,,,
2017-11-17T00:05:55.601Z,54,64.4,27.1,,,,
2017-11-17T00:06:05.701Z,54,64.7,27.1,,,,
2017-11-17T00:06:15.605Z,54,65.1,27.1,,0,,
2017-11-17T00:06:25.611Z,54,62.9,27.1,0,,,2
2017-11-17T00:06:35.600Z,54,61.6,27.2,,,,
2017-11-17T00:06:45.605Z,54,59.9,27.1,,,,
2017-11-17T00:06:55.599Z,54,58.9,27.3,,,,
2017-11-17T00:07:05.692Z,54,58.5,26.9,,,,
2017-11-17T00:07:15.606Z,54,57.8,27.1,,,,
2017-11-17T00:07:25.603Z,54,56.9,26.8,,,,
2017-11-17T00:07:35.604Z,54,56.3,26.7,,,,
2017-11-17T00:07:45.603Z,54,55.7,26.6,,,,
2017-11-17T00:07:55.602Z,54,54.9,26.1,,,,
2017-11-17T00:08:05.700Z,54,54.8,26.1,,,,
2017-11-17T00:08:15.607Z,54,54.3,26.1,,,,
2017-11-17T00:08:25.603Z,54,53.9,26,,,,
2017-11-17T00:08:35.601Z,54,53.6,25.9,,,,
2017-11-17T00:08:45.606Z,54,53.3,25.5,,,,
2017-11-17T00:08:55.604Z,54,52.9,25.3,0,,,2
2017-11-17T00:09:05.709Z,54,57.1,25.3,,35,,
2017-11-17T00:09:15.608Z,54,57.4,25.3,,30,,
2017-11-17T00:09:25.603Z,54,58.1,25.3,,30,,
2017-11-17T00:09:35.602Z,54,59,25.7,,29,,
2017-11-17T00:09:45.603Z,54,60,25.5,,,,
2017-11-17T00:09:55.606Z,54,60.4,25.9,,,,
2017-11-17T00:10:05.704Z,54,61.1,25.9,,,,
2017-11-17T00:10:15.606Z,54,62,25.9,,,,
2017-11-17T00:10:25.603Z,54,62.1,26.2,,,,
2017-11-17T00:10:35.606Z,54,62.6,26.3,,,,
2017-11-17T00:10:45.612Z,54,63.1,26.3,,,,
2017-11-17T00:10:55.604Z,54,63.3,26.2,,,,
2017-11-17T00:11:05.719Z,54,63.6,26.5,,,,
2017-11-17T00:11:15.610Z,54,64,26.5,,,,
2017-11-17T00:11:25.606Z,54,64.1,26.6,,,,
2017-11-17T00:11:35.737Z,54,64.4,26.8,,,,
2017-11-17T00:11:45.602Z,54,64.6,26.6,,,,
2017-11-17T00:11:55.609Z,54,64.7,27.1,,,,
2017-11-17T00:12:05.705Z,54,64.9,26.9,,,,
2017-11-17T00:12:15.623Z,54,62.9,27.2,0,0,,2
2017-11-17T00:12:25.604Z,54,61.6,27.1,0,0,61,2
2017-11-17T00:12:35.611Z,54,59.9,27.3,,,,
2017-11-17T00:12:45.607Z,54,58.9,26.9,,,,
2017-11-17T00:12:55.605Z,54,58.5,27.2,,,,
2017-11-17T00:13:05.697Z,54,57.7,26.9,,,,
2017-11-17T00:13:15.609Z,54,56.8,26.7,,,,
2017-11-17T00:13:25.616Z,54,55.9,26.3,,,,
2017-11-17T00:13:35.605Z,54,55.5,26.3,,,,
2017-11-17T00:13:45.602Z,54,54.9,25.7,,,,
2017-11-17T00:13:55.603Z,54,54.1,26,0,,,2
2017-11-17T00:14:05.693Z,54,58.1,25.9,,36,,
2017-11-17T00:14:15.611Z,54,58.5,25.7,,30,,
2017-11-17T00:14:25.604Z,54,59,25.9,,29,,
2017-11-17T00:14:35.605Z,54,60,25.9,,30,,
2017-11-17T00:14:45.604Z,54,60.4,26.2,,29,,
2017-11-17T00:14:55.606Z,54,61.2,26.2,,,,
2017-11-17T00:15:05.706Z,54,62,26.2,,30,,
2017-11-17T00:15:15.606Z,54,62.4,26.3,,29,,
2017-11-17T00:15:25.606Z,54,63.1,26.5,,,,
2017-11-17T00:15:35.617Z,54,63.3,26.6,,,,
2017-11-17T00:15:45.604Z,54,63.6,26.8,,,,
2017-11-17T00:15:55.607Z,54,64,26.6,,,,
2017-11-17T00:16:05.706Z,54,64.4,26.6,,,,
2017-11-17T00:16:15.608Z,54,64.6,26.8,,,,
2017-11-17T00:16:25.610Z,54,64.8,26.8,,,,
2017-11-17T00:16:35.611Z,54,62.9,27.1,0,0,,2
2017-11-17T00:16:45.607Z,54,61.9,26.8,,,,
2017-11-17T00:16:55.606Z,54,60.9,26.8,,,,
2017-11-17T00:17:05.695Z,54,59.8,26.9,,,,
2017-11-17T00:17:15.610Z,54,58.7,27.1,,,,
2017-11-17T00:17:25.607Z,54,57.9,27.2,,,,
2017-11-17T00:17:35.607Z,54,56.9,26.7,,,,
2017-11-17T00:17:45.606Z,54,56.4,26.2,,,,
2017-11-17T00:17:55.613Z,54,55.9,26,,,,
2017-11-17T00:18:05.702Z,54,54.9,26.3,,,,
2017-11-17T00:18:15.605Z,54,54.7,25.9,,,,
2017-11-17T00:18:25.608Z,54,54.3,25.9,,,,
2017-11-17T00:18:35.609Z,54,53.8,25.7,,,,
2017-11-17T00:18:45.619Z,54,53.5,25.5,,,,
2017-11-17T00:18:55.612Z,54,53,25.5,0,,,2
2017-11-17T00:19:05.702Z,54,57,25.7,,37,,
2017-11-17T00:19:15.606Z,54,57.6,25.4,,30,,
2017-11-17T00:19:25.621Z,54,58,25.7,,29,,
2017-11-17T00:19:35.613Z,54,59.1,25.9,,,,
2017-11-17T00:19:45.609Z,54,60,26,,,,
2017-11-17T00:19:55.615Z,54,60.5,26.1,,,,
2017-11-17T00:20:05.700Z,54,61.2,26.3,,,,
2017-11-17T00:20:15.615Z,54,62,26.1,,,,
2017-11-17T00:20:25.608Z,54,62.4,26.2,,,,
2017-11-17T00:20:35.607Z,54,63.1,26.5,,,,
2017-11-17T00:20:45.611Z,54,63.3,26.6,,,,
2017-11-17T00:20:55.608Z,54,63.6,26.5,,,,
2017-11-17T00:21:05.701Z,54,64,26.5,,,,
2017-11-17T00:21:15.613Z,54,64.2,26.6,,,,
2017-11-17T00:21:25.611Z,54,64.5,26.5,,,,
2017-11-17T00:21:35.618Z,54,64.7,26.6,,,,
2017-11-17T00:21:45.612Z,54,65.1,26.6,,0,,
2017-11-17T00:21:55.613Z,54,62.8,26.9,0,,,2
2017-11-17T00:22:05.717Z,54,61.5,26.9,,,,
2017-11-17T00:22:15.615Z,54,59.8,26.8,,,,
2017-11-17T00:22:25.623Z,54,58.9,26.7,,,,
2017-11-17T00:22:35.613Z,54,57.9,26.7,,,,
2017-11-17T00:22:45.611Z,54,57.6,26.7,,,,
2017-11-17T00:22:55.634Z,54,56.8,26.2,,,,
2017-11-17T00:23:05.707Z,54,55.9,26.1,,,,
2017-11-17T00:23:20.714Z,54,55.4,25.7,,,,
2017-11-17T00:23:25.614Z,54,54.9,25.7,,,,
2017-11-17T00:23:35.614Z,54,54.4,26.2,,,,
2017-11-17T00:23:45.611Z,54,53.9,26.1,,,,
2017-11-17T00:23:55.616Z,54,53.4,25.5,0,,,2
2017-11-17T00:24:05.705Z,54,57.1,25.4,,38,,
2017-11-17T00:24:15.624Z,54,57.9,25.3,,30,,
2017-11-17T00:24:25.611Z,54,58.1,26,,29,,
2017-11-17T00:24:35.616Z,54,59.3,26.1,,,,
2017-11-17T00:24:45.634Z,54,60,26.2,,,,
2017-11-17T00:24:55.615Z,54,61.1,26,,,,
2017-11-17T00:25:05.740Z,54,61.4,26,,,,
2017-11-17T00:25:15.630Z,54,62,26.2,,,,
2017-11-17T00:25:25.609Z,54,62.6,26.3,,,,
2017-11-17T00:25:35.624Z,54,63.1,26.3,,,,
2017-11-17T00:25:45.614Z,54,63.5,26.3,,30,,
2017-11-17T00:25:55.610Z,54,64,26.6,,29,,
2017-11-17T00:26:05.711Z,54,64.1,26.6,,,,
2017-11-17T00:26:15.617Z,54,64.5,26.7,,,,
2017-11-17T00:26:25.613Z,54,64.7,26.8,,,,
2017-11-17T00:26:35.619Z,54,64.9,27.1,0,0,,2
2017-11-17T00:26:45.613Z,54,62.8,27.1,,,,
2017-11-17T00:26:55.614Z,54,61.4,27.1,,,,
2017-11-17T00:27:05.715Z,54,59.9,26.9,,,,
2017-11-17T00:27:15.619Z,54,58.9,26.9,,,,
2017-11-17T00:27:25.617Z,54,57.9,26.8,,,,
2017-11-17T00:27:35.614Z,54,57.6,26.5,,,,
2017-11-17T00:27:45.615Z,54,56.7,26.7,,,,
2017-11-17T00:27:55.624Z,54,55.9,26.9,,,,
2017-11-17T00:28:05.724Z,54,55.4,26.8,,,,
2017-11-17T00:28:15.621Z,54,54.8,26.3,,,,
2017-11-17T00:28:25.618Z,54,54.5,25.9,,,,
2017-11-17T00:28:40.714Z,54,53.9,25.4,,,,
2017-11-17T00:28:45.611Z,54,53.5,25.4,,,,
2017-11-17T00:28:55.618Z,54,53.1,25.3,0,,,2
2017-11-17T00:29:05.715Z,54,57,25.3,,37,,
2017-11-17T00:29:15.615Z,54,57.6,25.7,,30,,
2017-11-17T00:29:25.615Z,54,58,25.4,,29,,
2017-11-17T00:29:35.618Z,54,59.1,25.5,,,,
2017-11-17T00:29:45.615Z,54,60,25.9,,29,,
2017-11-17T00:29:55.632Z,54,60.5,25.9,,,,
2017-11-17T00:30:05.735Z,54,61.2,26,,,,
2017-11-17T00:30:15.622Z,54,62,26.2,,30,,
2017-11-17T00:30:25.618Z,54,62.4,26.3,,29,,
2017-11-17T00:30:35.617Z,54,63.1,26.5,,,,
2017-11-17T00:30:45.614Z,54,63.3,26.5,,30,,
2017-11-17T00:30:55.621Z,54,63.6,26.3,,29,,
2017-11-17T00:31:05.704Z,54,64,26.6,,30,,
2017-11-17T00:31:15.619Z,54,64.2,26.6,,29,,
2017-11-17T00:31:25.613Z,54,64.5,26.8,,,,
2017-11-17T00:31:35.614Z,54,64.7,26.7,,,,
2017-11-17T00:31:45.618Z,54,64.9,26.8,0,0,,2
2017-11-17T00:31:55.624Z,54,61.9,26.8,,,,
2017-11-17T00:32:05.733Z,54,60.9,26.9,,,,
2017-11-17T00:32:15.621Z,54,59.9,26.9,,,,
2017-11-17T00:32:25.617Z,54,58.9,26.8,,,,
2017-11-17T00:32:35.625Z,54,57.9,26.3,,,,
2017-11-17T00:32:45.615Z,54,56.9,26.2,,,,
2017-11-17T00:32:55.615Z,54,56.7,26.3,,,,
2017-11-17T00:33:05.710Z,54,55.9,26.6,,,,
2017-11-17T00:33:15.635Z,54,55.3,26.5,,,,
2017-11-17T00:33:25.628Z,54,54.8,26,,,,
2017-11-17T00:33:40.727Z,54,54.4,25.5,,,,
2017-11-17T00:33:45.619Z,54,53.8,25.7,,,,
2017-11-17T00:33:55.615Z,54,53.3,25.5,0,,,2
2017-11-17T00:34:05.718Z,54,57.1,25.4,,38,,
2017-11-17T00:34:15.618Z,54,57.8,25.1,,31,,
2017-11-17T00:34:25.619Z,54,58.1,25.4,,29,,
2017-11-17T00:34:35.625Z,54,59.3,25.6,,,,
2017-11-17T00:34:45.616Z,54,60,25.9,,,,
2017-11-17T00:34:55.625Z,54,61.1,25.6,,30,,
2017-11-17T00:35:05.718Z,54,61.4,26.2,,29,,
2017-11-17T00:35:15.616Z,54,62.1,26.1,,,,
2017-11-17T00:35:25.615Z,54,62.6,26.1,,,,
2017-11-17T00:35:35.633Z,54,63.1,26.2,,,,
2017-11-17T00:35:45.631Z,54,63.4,26.2,,,,
2017-11-17T00:35:55.618Z,54,64,26.2,,,,
2017-11-17T00:36:05.722Z,54,64.1,26.5,,,,
2017-11-17T00:36:15.636Z,54,64.4,26.6,,,,
2017-11-17T00:36:25.634Z,54,64.6,26.7,,,,
2017-11-17T00:36:35.624Z,54,65.1,26.8,,,,
2017-11-17T00:36:45.661Z,54,62.9,26.8,0,0,,2
2017-11-17T00:36:55.636Z,54,61.6,26.5,,,,
2017-11-17T00:37:05.718Z,54,59.9,26.9,,,,
2017-11-17T00:37:15.639Z,54,58.9,26.8,,,,
2017-11-17T00:37:25.651Z,54,58.5,26.7,,,,
2017-11-17T00:37:35.619Z,54,57.7,26.9,,,,
2017-11-17T00:37:50.721Z,54,56.8,26.7,,,,
2017-11-17T00:37:55.623Z,54,55.9,26.6,,,,
2017-11-17T00:38:05.710Z,54,55.5,26.3,,,,
2017-11-17T00:38:15.634Z,54,54.9,26.5,,,,
2017-11-17T00:38:25.620Z,54,54.5,26.2,,,,
2017-11-17T00:38:35.622Z,54,53.9,25.6,,,,
2017-11-17T00:38:45.628Z,54,53.6,25.6,,,,
2017-11-17T00:38:55.621Z,54,53.1,25.4,0,,,2
2017-11-17T00:39:10.785Z,54,57,25.6,,37,,
2017-11-17T00:39:15.631Z,54,57.6,25.4,,31,,
2017-11-17T00:39:30.732Z,54,58,25.3,,30,,
2017-11-17T00:39:40.727Z,54,59.1,25.5,,29,,
2017-11-17T00:39:45.633Z,54,60,25.7,,,,
2017-11-17T00:39:55.629Z,54,60.5,26,,,,
2017-11-17T00:40:05.781Z,54,61.3,26,,,,
2017-11-17T00:40:15.621Z,54,62,26.1,,,,
2017-11-17T00:40:25.644Z,54,62.4,26.1,,,,
2017-11-17T00:40:35.621Z,54,63.1,26.1,,,,
2017-11-17T00:40:45.626Z,54,63.3,26,,,,
2017-11-17T00:40:55.626Z,54,63.6,26.3,,,,
2017-11-17T00:41:05.724Z,54,64,26.3,,,,
2017-11-17T00:41:15.625Z,54,64.2,26.6,,,,
2017-11-17T00:41:25.624Z,54,64.5,26.6,,30,,
2017-11-17T00:41:35.624Z,54,64.7,26.7,,29,,
2017-11-17T00:41:45.625Z,54,64.9,26.7,0,0,,2
2017-11-17T00:41:55.630Z,54,61.9,26.8,,,,
2017-11-17T00:42:05.726Z,54,60.9,26.8,,,,
2017-11-17T00:42:20.726Z,54,59.8,26.9,,,,
2017-11-17T00:42:25.626Z,54,58.9,26.6,,,,
2017-11-17T00:42:35.626Z,54,57.9,26.7,,,,
2017-11-17T00:42:45.626Z,54,57.3,26.6,,,,
2017-11-17T00:42:55.620Z,54,56.6,26.5,,,,
2017-11-17T00:43:05.712Z,54,55.9,26.1,,,,
2017-11-17T00:43:15.620Z,54,55.3,26.2,,,,
2017-11-17T00:43:25.624Z,54,54.8,26.1,,,,
2017-11-17T00:43:35.623Z,54,54.3,25.6,,,,
2017-11-17T00:43:45.630Z,54,53.8,25.5,,,,
2017-11-17T00:43:55.626Z,54,53.3,25.4,0,,,2
2017-11-17T00:44:05.715Z,54,57,25.3,,38,,
2017-11-17T00:44:15.624Z,54,57.8,25.1,,30,,
2017-11-17T00:44:25.624Z,54,58,25.1,,29,,
2017-11-17T00:44:35.630Z,54,59.1,25.7,,,,
2017-11-17T00:44:45.622Z,54,60,25.6,,,,
2017-11-17T00:44:55.635Z,54,61.1,25.7,,,,
2017-11-17T00:45:06.733Z,54,61.4,25.7,,,,
2017-11-17T00:45:15.629Z,54,62,26.1,,29,,
2017-11-17T00:45:25.626Z,54,62.5,26.1,,30,,
2017-11-17T00:45:35.627Z,54,63.1,26.1,,29,,
2017-11-17T00:45:45.622Z,54,63.4,26.5,,,,
2017-11-17T00:45:55.623Z,54,63.8,26.5,,,,
2017-11-17T00:46:05.726Z,54,64,26.6,,,,
2017-11-17T00:46:15.636Z,54,64.4,26.6,,,,
2017-11-17T00:46:25.625Z,54,64.6,26.6,,,,
2017-11-17T00:46:35.625Z,54,64.8,26.9,,,,
2017-11-17T00:46:45.627Z,54,63.5,26.7,0,0,,2
2017-11-17T00:46:55.632Z,54,61.8,26.7,,,,
2017-11-17T00:47:05.727Z,54,60.9,26.8,,,,
2017-11-17T00:47:15.629Z,54,59.7,26.9,,,,
2017-11-17T00:47:25.626Z,54,58.7,26.6,,,,
2017-11-17T00:47:35.648Z,54,57.8,26.9,,,,
2017-11-17T00:47:45.642Z,54,56.9,27.1,,,,
