Time,PrimT,HwTOutlet,HwTSet,ActPow,HwActive,ChActive,PrimTSet
2017-11-19T00:00:02.426Z,60.7,45,54,30,,,
2017-11-19T00:00:12.402Z,60.8,,,29,,,
2017-11-19T00:00:22.402Z,60.9,45.1,54,,,,
2017-11-19T00:00:27.248Z,61.1,45.1,54,,,,
2017-11-19T00:00:37.248Z,,45.2,54,,,,
2017-11-19T00:00:47.248Z,61.2,45.3,54,,,,
2017-11-19T00:00:57.253Z,61.3,45.3,54,,,,
2017-11-19T00:01:07.251Z,61.4,45.4,54,,,,
2017-11-19T00:01:17.251Z,,45.5,54,,,,
2017-11-19T00:01:27.250Z,61.5,45.5,54,30,,,
2017-11-19T00:01:37.256Z,61.6,45.6,54,,,,
2017-11-19T00:01:47.253Z,61.9,45.7,54,29,,,
2017-11-19T00:01:57.253Z,62,45.8,54,,,,
2017-11-19T00:02:07.255Z,,45.9,54,,,,
2017-11-19T00:02:17.255Z,62.1,,,,,,
2017-11-19T00:02:27.254Z,,46,54,,,,
2017-11-19T00:02:37.256Z,62.2,46,54,,,,
2017-11-19T00:02:47.255Z,62.4,46.1,54,,,,
2017-11-19T00:02:57.252Z,62.5,46.1,54,,,,
2017-11-19T00:03:07.254Z,62.6,46.2,54,,,,
2017-11-19T00:03:17.258Z,62.7,46.3,54,,,,
2017-11-19T00:03:27.251Z,62.8,46.4,54,,,,
2017-11-19T00:03:37.254Z,,46.4,54,,,,
2017-11-19T00:03:47.254Z,63.1,46.5,54,,,,
2017-11-19T00:03:57.251Z,,46.6,54,,,,
2017-11-19T00:04:07.254Z,63.2,46.6,54,,,,
2017-11-19T00:04:17.253Z,62.7,46.7,54,0,0,2,
2017-11-19T00:04:27.253Z,60.8,46.8,54,,,,
2017-11-19T00:04:37.257Z,59.8,46.9,54,,,,
2017-11-19T00:04:47.255Z,58.9,46.9,54,,,,
2017-11-19T00:04:57.257Z,57.9,47,54,,,,
2017-11-19T00:05:07.258Z,57.7,47.1,54,,,,
2017-11-19T00:05:17.254Z,56.9,47.1,54,,,,
2017-11-19T00:05:27.254Z,56.5,47.2,54,,,,
2017-11-19T00:05:37.256Z,55.9,47.3,54,,,,
2017-11-19T00:05:47.255Z,55.4,47.3,54,,,,
2017-11-19T00:05:57.265Z,54.9,47.4,54,,,,
2017-11-19T00:06:12.315Z,54.7,47.5,54,,,,
2017-11-19T00:06:17.252Z,53.9,,,,,,
2017-11-19T00:06:27.255Z,,47.6,54,,,,
2017-11-19T00:06:37.256Z,53.6,47.7,54,,,,
2017-11-19T00:06:47.254Z,53.3,47.8,54,,,,
2017-11-19T00:07:02.355Z,52.9,47.9,54,,,,
2017-11-19T00:07:07.257Z,52.8,47.9,54,,,,
2017-11-19T00:07:17.257Z,52.3,48,54,,,,
2017-11-19T00:07:27.257Z,,48,54,,,,
2017-11-19T00:07:37.256Z,,48.1,54,,,,
2017-11-19T00:07:47.253Z,,48.2,54,,,,
2017-11-19T00:07:57.255Z,52.2,48.2,54,,,,
2017-11-19T00:08:07.256Z,,48.3,54,,,,
2017-11-19T00:08:17.252Z,52.1,48.3,54,,,,
2017-11-19T00:08:27.259Z,,48.3,54,,,,
2017-11-19T00:08:37.253Z,,48.4,54,,,,
2017-11-19T00:08:47.257Z,,48.4,54,,,,
2017-11-19T00:08:57.257Z,52,48.4,54,,,,
2017-11-19T00:09:07.255Z,52.1,48.4,54,,,,
2017-11-19T00:09:17.252Z,,48.4,54,,,,
2017-11-19T00:09:27.258Z,56.2,48.4,54,39,0,2,
2017-11-19T00:09:42.356Z,58.1,48.3,54,32,,,
2017-11-19T00:09:47.257Z,56.8,48.3,54,29,,,
2017-11-19T00:09:57.258Z,57,48.3,54,,,,
2017-11-19T00:10:07.254Z,58.1,48.3,54,,,,
2017-11-19T00:10:17.259Z,58.2,48.3,54,,,,
2017-11-19T00:10:27.259Z,58.4,48.2,54,30,,,
2017-11-19T00:10:37.257Z,58.7,48.2,54,29,,,
2017-11-19T00:10:47.258Z,59,48.2,54,,,,
2017-11-19T00:10:57.258Z,59.1,48.2,54,,,,
2017-11-19T00:11:07.257Z,59.4,48.1,54,,,,
2017-11-19T00:11:22.414Z,59.5,48.2,54,,,,
2017-11-19T00:11:27.253Z,59.7,48.1,54,30,,,
2017-11-19T00:11:37.267Z,59.8,48.1,54,29,,,
2017-11-19T00:11:47.262Z,60,48.1,54,,,,
2017-11-19T00:11:57.262Z,,48.2,54,,,,
2017-11-19T00:12:07.257Z,60.2,48.2,54,,,,
2017-11-19T00:12:17.256Z,60.4,48.2,54,,,,
2017-11-19T00:12:27.260Z,60.5,48.2,54,,,,
2017-11-19T00:12:37.266Z,60.6,48.2,54,,,,
2017-11-19T00:12:47.256Z,60.7,48.3,54,,,,
2017-11-19T00:12:57.262Z,60.8,48.3,54,,,,
2017-11-19T00:13:07.257Z,61.1,48.3,54,,,,
2017-11-19T00:13:17.266Z,,48.3,54,,,,
2017-11-19T00:13:27.258Z,61.2,48.4,54,,,,
2017-11-19T00:13:37.258Z,61.3,48.4,54,30,,,
2017-11-19T00:13:47.261Z,61.4,48.4,54,29,,,
2017-11-19T00:13:57.260Z,61.5,48.4,54,,,,
2017-11-19T00:14:07.261Z,61.6,48.4,54,,,,
2017-11-19T00:14:17.258Z,61.8,48.4,54,,,,
2017-11-19T00:14:27.257Z,62,48.5,54,,,,
2017-11-19T00:14:37.262Z,,48.5,54,,,,
2017-11-19T00:14:47.389Z,62.1,48.5,54,,,,
2017-11-19T00:14:57.263Z,62.2,48.5,54,,,,
2017-11-19T00:15:07.264Z,62.5,48.5,54,,,,
2017-11-19T00:15:17.258Z,62.6,48.6,54,,,,
2017-11-19T00:15:27.257Z,62.7,48.6,54,,,,
2017-11-19T00:15:37.260Z,62.8,48.6,54,29,0,2,61
2017-11-19T00:15:47.262Z,63.1,48.6,54,,,,
2017-11-19T00:15:57.256Z,,48.6,54,,,,
2017-11-19T00:16:07.262Z,63.2,48.6,54,,,,
2017-11-19T00:16:17.258Z,63.4,48.7,54,,,,
2017-11-19T00:16:27.261Z,63.5,48.7,54,,,,
2017-11-19T00:16:37.265Z,63.6,48.7,54,,,,
2017-11-19T00:16:47.261Z,64,48.8,54,29,,,
2017-11-19T00:16:57.263Z,,48.8,54,,,,
2017-11-19T00:17:07.264Z,64.1,48.8,54,,,,
2017-11-19T00:17:17.261Z,64.2,48.9,54,,,,
2017-11-19T00:17:27.260Z,64.4,48.9,54,,,,
2017-11-19T00:17:37.259Z,64.6,49,54,,,,
2017-11-19T00:17:47.263Z,64.7,49,54,,,,
2017-11-19T00:17:57.258Z,64.8,49,54,,,,
2017-11-19T00:18:07.270Z,63.9,49.1,54,0,0,2,
2017-11-19T00:18:22.358Z,61.9,49.1,54,,,,
2017-11-19T00:18:27.260Z,60.9,49.1,54,,,,
2017-11-19T00:18:37.262Z,59.8,49.2,54,,,,
2017-11-19T00:18:47.268Z,58.9,49.2,54,,,,
2017-11-19T00:18:57.258Z,57.9,49.3,54,,,,
2017-11-19T00:19:07.258Z,56.9,49.3,54,,,,
2017-11-19T00:19:17.262Z,56.8,49.4,54,,,,
2017-11-19T00:19:27.260Z,55.9,49.4,54,,,,
2017-11-19T00:19:37.259Z,55.6,49.4,54,,,,
2017-11-19T00:19:47.263Z,54.8,49.6,54,,,,
2017-11-19T00:19:57.265Z,58.3,49.6,54,38,0,2,
2017-11-19T00:20:07.269Z,58.7,49.7,54,36,,,
2017-11-19T00:20:17.261Z,59,49.7,54,29,,,
2017-11-19T00:20:27.260Z,60,49.7,54,,,,
2017-11-19T00:20:42.375Z,61.1,49.7,54,,,,
2017-11-19T00:20:47.261Z,62,49.8,54,30,,,
2017-11-19T00:20:57.260Z,62.1,49.8,54,29,,,
2017-11-19T00:21:07.262Z,63.1,49.8,54,29,,,
2017-11-19T00:21:17.266Z,63.3,49.8,54,,,,
2017-11-19T00:21:32.425Z,64,49.8,54,,,,
2017-11-19T00:21:37.261Z,64.2,49.8,54,,,,
2017-11-19T00:21:47.268Z,64.6,49.8,54,,,,
2017-11-19T00:21:57.268Z,62.9,49.9,54,0,0,2,
2017-11-19T00:22:07.262Z,61.9,49.9,54,,,,
2017-11-19T00:22:17.262Z,60.9,49.9,54,,,,
2017-11-19T00:22:27.262Z,59.9,49.9,54,,,,
2017-11-19T00:22:37.268Z,58.9,49.9,54,,,,
2017-11-19T00:22:47.267Z,58.7,49.9,54,,,,
2017-11-19T00:22:57.264Z,57.9,49.9,54,,,,
2017-11-19T00:23:07.264Z,56.7,49.9,54,,1,0,0
2017-11-19T00:23:17.264Z,59,54.6,54,43,1,0,
2017-11-19T00:23:27.264Z,56.4,34,54,42,,,
2017-11-19T00:23:37.893Z,55.9,54.4,54,34,,,
2017-11-19T00:23:47.267Z,54.9,54.4,54,30,,,
2017-11-19T00:23:57.261Z,54.8,54.1,54,29,,,
2017-11-19T00:24:07.268Z,53.9,54.1,54,0,0,0,
2017-11-19T00:24:17.333Z,54,53.8,54,,,,
2017-11-19T00:24:27.267Z,55,53.5,54,,,,
2017-11-19T00:24:37.269Z,55.3,53.4,54,,,,
2017-11-19T00:24:47.270Z,55.6,53.2,54,,,,
2017-11-19T00:24:57.270Z,55.7,53,54,,,,
2017-11-19T00:25:07.264Z,56,52.7,54,43,0,2,61
