Time,HwActive,HwTOutlet,PrimT,PrimTSet,HwTSet,ActPow,ChActive
2017-11-20T00:00:09.076Z,,30.4,54.7,,54,,
2017-11-20T00:00:19.076Z,,30.3,54.1,,54,,
2017-11-20T00:00:29.077Z,,30.3,53.7,,54,,
2017-11-20T00:00:39.078Z,,30.3,53.2,,54,,
2017-11-20T00:00:49.074Z,,30.3,52.8,,54,,
2017-11-20T00:00:59.076Z,,30.2,52.3,,54,,
2017-11-20T00:01:09.077Z,,29.8,51.9,,54,,
2017-11-20T00:01:19.076Z,,29.7,51.7,,54,,
2017-11-20T00:01:29.081Z,,29.6,51.3,,54,,
2017-11-20T00:01:39.072Z,,29.6,,,54,,
2017-11-20T00:01:49.077Z,,29.2,,,54,,
2017-11-20T00:01:59.076Z,,29,51.2,,54,,
2017-11-20T00:02:09.078Z,,28.9,,,54,,
2017-11-20T00:02:19.083Z,,28.6,,,54,,
2017-11-20T00:02:29.092Z,,28.1,51.1,,54,,
2017-11-20T00:02:44.194Z,,27.5,,,54,,
2017-11-20T00:02:54.189Z,,27.2,,,54,,
2017-11-20T00:03:04.178Z,,26.8,,,54,,
2017-11-20T00:03:09.081Z,,26.3,,,54,,
2017-11-20T00:03:19.074Z,,26.1,,,54,,
2017-11-20T00:03:29.082Z,,25.9,51.2,,54,,
2017-11-20T00:03:39.074Z,,25.6,,,54,,
2017-11-20T00:03:49.082Z,,25.4,51.3,,54,,
2017-11-20T00:03:59.077Z,,25.1,,,54,,
2017-11-20T00:04:09.080Z,,25.1,51.4,,54,,
2017-11-20T00:04:19.075Z,,25,51.5,,54,,
2017-11-20T00:04:29.075Z,,24.8,,,54,,
2017-11-20T00:04:39.083Z,,24.5,,,54,,
2017-11-20T00:04:49.078Z,,24.5,,,54,,
2017-11-20T00:04:59.077Z,,24.5,51.6,,54,,
2017-11-20T00:05:09.079Z,,24.4,,,54,,
2017-11-20T00:05:19.081Z,,24.3,,,54,,
2017-11-20T00:05:29.077Z,,24.2,,,54,,
2017-11-20T00:05:39.077Z,,24,,,54,,
2017-11-20T00:05:49.078Z,,23.9,,,54,,
2017-11-20T00:05:59.077Z,,23.9,,,54,,
2017-11-20T00:06:09.092Z,0,23.9,54.4,,54,41,2
2017-11-20T00:06:19.077Z,,23.9,56.9,,54,29,
2017-11-20T00:06:29.079Z,,24.4,54.8,,54,,
2017-11-20T00:06:39.084Z,,25.3,56.1,,54,,
2017-11-20T00:06:49.079Z,,25.7,57.1,,54,29,
2017-11-20T00:06:59.081Z,,26.3,,,54,,
2017-11-20T00:07:09.081Z,,26.9,57.7,,54,,
2017-11-20T00:07:19.079Z,,27.4,57.8,,54,,
2017-11-20T00:07:29.077Z,,27.9,58,,54,30,
2017-11-20T00:07:39.078Z,0,28.3,57.8,,54,0,2
2017-11-20T00:07:49.084Z,,28.4,55.4,,54,,
2017-11-20T00:07:59.089Z,,28.5,54.3,,54,,
2017-11-20T00:08:09.084Z,,28.5,53.5,,54,,
2017-11-20T00:08:19.083Z,,28.3,52.7,,54,,
2017-11-20T00:08:29.080Z,,27.9,51.7,,54,,
2017-11-20T00:08:39.078Z,,27.8,51.1,,54,,
2017-11-20T00:08:49.079Z,,27.7,50.3,,54,,
2017-11-20T00:08:59.081Z,,27.7,49.7,,54,,
2017-11-20T00:09:09.081Z,,27.7,49.1,,54,,
2017-11-20T00:09:19.084Z,,27.7,48.6,,54,,
2017-11-20T00:09:29.082Z,,27.7,48.1,,54,,
2017-11-20T00:09:39.081Z,,27.8,47.7,,54,,
2017-11-20T00:09:49.082Z,,27.7,47.2,,54,,
2017-11-20T00:09:59.082Z,,27.4,46.8,,54,,
2017-11-20T00:10:09.083Z,,27.3,46.3,,54,,
2017-11-20T00:10:19.079Z,,27.3,45.9,,54,,
2017-11-20T00:10:29.081Z,,27.3,45.5,,54,,
2017-11-20T00:10:39.086Z,,27.2,45.1,,54,,
2017-11-20T00:10:49.080Z,,27.4,44.8,,54,,
2017-11-20T00:10:59.085Z,,27.5,44.5,,54,,
