Time,ActPow,PrimT,HwActive,ChActive,HwTOutlet,PrimTSet,HwTSet
2017-11-21T00:00:07.908Z,,58.4,,,51.7,,54
2017-11-21T00:00:23.055Z,,57.7,,,51.7,,54
2017-11-21T00:00:27.923Z,,56.9,,,51.7,,54
2017-11-21T00:00:38.084Z,,56.5,,,51.7,,54
2017-11-21T00:00:47.911Z,,55.9,,,51.7,,54
2017-11-21T00:00:57.903Z,,55.5,,,51.7,,54
2017-11-21T00:01:07.912Z,,55.1,,,51.8,,54
2017-11-21T00:01:17.907Z,,54.8,,,51.8,,54
2017-11-21T00:01:27.903Z,,54.5,,,51.8,,54
2017-11-21T00:01:38.069Z,,54.1,,,51.8,,54
2017-11-21T00:01:47.915Z,44,54.1,0,2,51.8,,54
2017-11-21T00:01:57.905Z,35,58.1,,,51.8,,54
2017-11-21T00:02:07.903Z,29,,,,51.8,,54
2017-11-21T00:02:17.907Z,,59.3,,,51.8,,54
2017-11-21T00:02:27.906Z,,60.1,,,51.8,,54
2017-11-21T00:02:38.088Z,,60.8,,,51.8,,54
2017-11-21T00:02:47.905Z,,61.6,,,51.8,,54
2017-11-21T00:02:57.904Z,,62.2,,,51.7,,54
2017-11-21T00:03:07.903Z,,62.8,,,51.7,,54
2017-11-21T00:03:17.911Z,,63.3,,,51.7,,54
2017-11-21T00:03:27.906Z,,63.6,,,51.7,,54
2017-11-21T00:03:38.082Z,,64.1,,,51.6,,54
2017-11-21T00:03:47.908Z,,64.5,,,51.6,,54
2017-11-21T00:03:57.908Z,,64.7,,,51.6,,54
2017-11-21T00:04:07.906Z,,64.9,,,51.6,,54
2017-11-21T00:04:17.915Z,0,62.6,0,2,51.6,,54
2017-11-21T00:04:27.906Z,,61.5,,,51.6,,54
2017-11-21T00:04:38.086Z,,60.7,,,51.5,,54
2017-11-21T00:04:47.915Z,,59.6,,,51.6,,54
2017-11-21T00:04:57.916Z,,58.8,,,51.6,,54
2017-11-21T00:05:07.916Z,,58,,,51.6,,54
2017-11-21T00:05:17.908Z,,57.3,,,51.6,,54
2017-11-21T00:05:27.906Z,,56.8,,,51.6,,54
2017-11-21T00:05:38.113Z,,56.2,,,51.6,,54
2017-11-21T00:05:47.909Z,,55.7,,,51.6,,54
2017-11-21T00:05:57.910Z,,55.3,,,51.6,,54
2017-11-21T00:06:07.909Z,,54.9,,,51.6,,54
