Time,PrimTSet,ActPow,HwTSet,PrimT,HwActive,ChActive,HwTOutlet
2017-11-23T00:00:03.658Z,,,54,55.4,,,43.8
2017-11-23T00:00:13.571Z,,,54,54.9,,,43.7
2017-11-23T00:00:23.572Z,,,54,54.4,,,43.6
2017-11-23T00:00:33.579Z,,43,54,56.3,0,2,43.6
2017-11-23T00:00:43.884Z,,37,54,58,,,43.5
2017-11-23T00:00:53.564Z,,29,54,58.3,,,43.4
2017-11-23T00:01:03.665Z,,,54,59,,,43.4
2017-11-23T00:01:13.571Z,,,54,60,,,43.4
2017-11-23T00:01:23.567Z,,,54,61.1,,,43.4
2017-11-23T00:01:33.575Z,,30,54,61.2,,,43.4
2017-11-23T00:01:43.568Z,,29,54,62,,,43.4
2017-11-23T00:01:53.569Z,,,54,62.4,,,43.5
2017-11-23T00:02:03.654Z,,,54,63.1,,,43.5
2017-11-23T00:02:13.573Z,,,54,63.2,,,43.6
2017-11-23T00:02:23.565Z,,,54,63.5,,,43.7
2017-11-23T00:02:33.574Z,,29,54,64,,,43.8
2017-11-23T00:02:43.572Z,,,54,64.1,,,43.8
2017-11-23T00:02:53.573Z,,,54,64.2,,,43.9
2017-11-23T00:03:03.654Z,,,54,64.6,,,43.9
2017-11-23T00:03:13.571Z,,,54,64.8,,,43.9
2017-11-23T00:03:23.568Z,,0,54,63.9,0,2,44
2017-11-23T00:03:33.569Z,,,54,61.9,,,44.1
2017-11-23T00:03:43.567Z,,,54,60.9,,,44.1
2017-11-23T00:03:53.572Z,,,54,59.9,,,44.1
2017-11-23T00:04:03.666Z,,,54,58.9,,,44.1
2017-11-23T00:04:13.569Z,,,54,58.7,,,44.1
2017-11-23T00:04:23.573Z,,,54,57.9,,,44.1
2017-11-23T00:04:33.565Z,,,54,56.9,,,44.1
2017-11-23T00:04:43.570Z,,,54,56.7,,,44
2017-11-23T00:04:53.571Z,,,54,55.9,,,44
2017-11-23T00:05:03.666Z,,,54,55.6,,,43.9
2017-11-23T00:05:13.576Z,,,54,54.9,,,43.8
2017-11-23T00:05:23.569Z,,,54,54.6,,,43.8
2017-11-23T00:05:33.575Z,,43,54,56.5,0,2,43.7
2017-11-23T00:05:43.571Z,,38,54,58,,,43.6
2017-11-23T00:05:53.568Z,,29,54,58.5,,,43.5
2017-11-23T00:06:03.656Z,,,54,59,,,43.5
2017-11-23T00:06:13.575Z,,29,54,60.1,,,43.5
2017-11-23T00:06:23.575Z,,,54,61.1,,,43.5
2017-11-23T00:06:33.572Z,,,54,61.4,,,43.5
2017-11-23T00:06:43.575Z,,,54,62,,,43.6
2017-11-23T00:06:53.574Z,,,54,62.5,,,43.6
2017-11-23T00:07:03.660Z,,30,54,63.1,,,43.7
2017-11-23T00:07:13.573Z,,29,54,63.3,,,43.7
2017-11-23T00:07:23.571Z,,,54,63.6,,,43.8
2017-11-23T00:07:33.576Z,,,54,64,,,43.9
2017-11-23T00:07:43.575Z,,30,54,64.2,,,44
2017-11-23T00:07:53.567Z,,29,54,64.5,,,44
2017-11-23T00:08:03.660Z,,,54,64.7,,,44
2017-11-23T00:08:13.572Z,,0,54,64.9,0,2,44.1
2017-11-23T00:08:23.576Z,,,54,61.9,,,44.1
2017-11-23T00:08:33.572Z,,,54,,,,44.2
2017-11-23T00:08:43.574Z,,,54,59.9,,,44.2
2017-11-23T00:08:53.631Z,,,54,59.8,,,44.2
2017-11-23T00:09:03.667Z,,,54,58.9,,,44.2
2017-11-23T00:09:13.569Z,,,54,57.9,,,44.2
2017-11-23T00:09:23.574Z,,,54,56.9,,,44.2
2017-11-23T00:09:33.575Z,,,54,,,,44.2
2017-11-23T00:09:43.570Z,,,54,55.9,,,44.2
2017-11-23T00:09:53.575Z,,,54,,,,44.1
2017-11-23T00:10:03.664Z,,,54,55.4,,,44
2017-11-23T00:10:13.570Z,,,54,55,0,2,43.9
2017-11-23T00:10:23.569Z,,,54,54.4,,,43.9
2017-11-23T00:10:33.576Z,,42,54,56.3,0,2,43.8
2017-11-23T00:10:43.580Z,,37,54,58,,,43.7
2017-11-23T00:10:53.575Z,,29,54,58.3,,,43.6
2017-11-23T00:11:03.661Z,,30,54,59,,,43.5
2017-11-23T00:11:13.577Z,,29,54,60,,,43.5
2017-11-23T00:11:23.576Z,,,54,61.1,,,43.5
2017-11-23T00:11:33.575Z,,,54,61.2,,,43.5
2017-11-23T00:11:48.663Z,,,54,62,,,43.6
2017-11-23T00:11:53.570Z,,,54,62.2,,,43.6
2017-11-23T00:12:03.669Z,,,54,63.1,,,43.7
2017-11-23T00:12:13.581Z,,30,54,,,,43.8
2017-11-23T00:12:23.578Z,,29,54,63.4,,,43.8
2017-11-23T00:12:33.573Z,,,54,63.6,,,43.9
2017-11-23T00:12:43.571Z,,,54,64,,,44
2017-11-23T00:12:53.578Z,,,54,64.1,,,44
2017-11-23T00:13:03.660Z,,30,54,64.4,,,44
2017-11-23T00:13:18.726Z,,29,54,64.6,,,44.1
2017-11-23T00:13:23.572Z,,,54,64.8,,,44.2
2017-11-23T00:13:33.597Z,,0,54,62.8,0,2,44.2
2017-11-23T00:13:48.677Z,,,54,61.9,,,44.3
2017-11-23T00:13:53.574Z,,,54,60.9,,,44.3
2017-11-23T00:14:08.727Z,,,54,59.9,,,44.4
2017-11-23T00:14:18.675Z,,,54,58.9,,,44.4
2017-11-23T00:14:28.730Z,,,54,58.6,,,44.4
2017-11-23T00:14:33.579Z,,,54,57.8,,,44.4
2017-11-23T00:14:48.737Z,,,54,56.9,,,44.3
2017-11-23T00:14:53.577Z,,,54,56.6,,,44.3
2017-11-23T00:15:08.728Z,,,54,55.9,,,44.3
2017-11-23T00:15:18.830Z,,,54,55.5,,,44.2
2017-11-23T00:15:38.828Z,,,54,54.8,,,44.2
2017-11-23T00:15:39.939Z,,37,54,58.2,0,2,44
2017-11-23T00:16:03.634Z,,29,54,58.6,,,43.9
2017-11-23T00:16:03.703Z,,29,54,60,,,43.9
2017-11-23T00:16:18.637Z,,,54,60.1,,,43.8
2017-11-23T00:16:23.634Z,,,54,61.1,,,43.8
2017-11-23T00:16:38.838Z,,,54,62,,,43.9
2017-11-23T00:16:48.626Z,,,54,,,,43.9
2017-11-23T00:16:53.634Z,,,54,62.5,,,43.9
2017-11-23T00:17:03.666Z,,,54,63.1,,,44
2017-11-23T00:17:18.736Z,,,54,63.3,,,44.1
2017-11-23T00:17:28.830Z,,,54,63.6,,,44.1
2017-11-23T00:17:33.578Z,,,54,63.9,,,44.1
2017-11-23T00:17:43.581Z,,,54,64.1,,,44.2
