Time,ActPow,HwTSet,HwActive,PrimTSet,PrimT,HwTOutlet,ChActive
2017-11-28T00:00:07.707Z,,54,,,,46.6,
2017-11-28T00:00:17.705Z,,54,,,54.6,46.5,
2017-11-28T00:00:27.855Z,30,54,,,54.7,46.5,
2017-11-28T00:00:37.708Z,29,54,,,54.8,46.5,
2017-11-28T00:00:47.704Z,,54,,,55,46.4,
2017-11-28T00:00:57.703Z,,54,,,,46.4,
2017-11-28T00:01:07.702Z,,54,,,55.1,46.4,
2017-11-28T00:01:17.706Z,,54,,,55.2,46.4,
2017-11-28T00:01:27.823Z,30,54,,,55.3,46.4,
2017-11-28T00:01:37.705Z,29,54,,,55.4,46.5,
2017-11-28T00:01:52.808Z,,54,,,55.6,46.5,
2017-11-28T00:01:57.710Z,,54,,,55.7,46.5,
2017-11-28T00:02:07.704Z,,54,,,56,46.5,
2017-11-28T00:02:17.714Z,,54,,,,46.5,
2017-11-28T00:02:27.809Z,33,54,,,56.1,46.5,
2017-11-28T00:02:37.711Z,29,54,,,56.2,46.5,
2017-11-28T00:02:47.710Z,,54,,,56.3,46.5,
2017-11-28T00:02:57.717Z,,54,,,56.4,46.5,
2017-11-28T00:03:07.711Z,,54,,,56.5,46.5,
2017-11-28T00:03:17.704Z,,54,,,,46.5,
2017-11-28T00:03:27.809Z,30,54,,,56.6,46.5,
2017-11-28T00:03:37.710Z,29,54,,,56.7,46.5,
2017-11-28T00:03:47.707Z,,54,,,56.8,46.6,
2017-11-28T00:03:57.709Z,,54,,,56.9,46.6,
2017-11-28T00:04:07.707Z,,54,,,57,46.6,
2017-11-28T00:04:17.709Z,,54,,,57.1,46.6,
2017-11-28T00:04:27.801Z,30,54,,,,46.6,
2017-11-28T00:04:37.718Z,,54,,,57.2,46.6,
2017-11-28T00:04:47.712Z,29,54,,,57.3,46.6,
2017-11-28T00:04:57.711Z,,54,,,57.4,46.6,
2017-11-28T00:05:07.707Z,,54,,,57.6,46.7,
2017-11-28T00:05:17.717Z,,54,,,57.7,46.7,
2017-11-28T00:05:27.806Z,,54,,,57.8,46.7,
2017-11-28T00:05:37.706Z,,54,,,57.9,46.8,
2017-11-28T00:05:47.714Z,,54,,,58,46.8,
2017-11-28T00:05:57.706Z,30,54,,,58.1,46.9,
2017-11-28T00:06:07.706Z,29,54,,,,46.9,
2017-11-28T00:06:17.705Z,,54,,,58.2,46.9,
2017-11-28T00:06:27.806Z,30,54,,,58.3,46.9,
2017-11-28T00:06:37.708Z,29,54,,,58.4,46.9,
2017-11-28T00:06:47.705Z,,54,,,58.5,47,
2017-11-28T00:06:57.706Z,,54,,,58.6,47,
2017-11-28T00:07:07.706Z,,54,,,58.7,47,
2017-11-28T00:07:17.710Z,,54,,,58.8,47.1,
2017-11-28T00:07:27.800Z,,54,,,58.9,47.1,
