Time,ChActive,PrimTSet,HwActive,HwTSet,PrimT,HwTOutlet,ActPow
2017-11-29T00:00:04.534Z,,,,54,56.5,34.1,
2017-11-29T00:00:14.527Z,,,,54,56.6,34.1,30
2017-11-29T00:00:29.660Z,,,,54,56.7,34.1,
2017-11-29T00:00:34.528Z,,,,54,57,34.1,31
2017-11-29T00:00:44.530Z,,,,54,57.1,34.1,30
2017-11-29T00:00:54.531Z,,,,54,,34.1,29
2017-11-29T00:01:04.568Z,,,,54,57.2,34,30
2017-11-29T00:01:19.661Z,,,,54,,34.1,29
2017-11-29T00:01:24.528Z,,,,54,57.3,34.1,30
2017-11-29T00:01:34.537Z,,,,54,57.4,34.1,29
2017-11-29T00:01:44.528Z,,,,54,57.6,34.1,
2017-11-29T00:01:54.531Z,,,,54,57.7,34.1,30
2017-11-29T00:02:04.533Z,,,,54,58,34.1,31
2017-11-29T00:02:14.535Z,,,,54,,34.1,29
2017-11-29T00:02:24.534Z,,,,54,,34.1,
2017-11-29T00:02:34.527Z,,,,54,58.1,34.1,30
2017-11-29T00:02:44.532Z,,,,54,58.2,34.1,31
2017-11-29T00:02:54.525Z,,,,54,58.4,34.1,
2017-11-29T00:03:04.527Z,,,,54,58.5,34.1,29
2017-11-29T00:03:14.532Z,,,,54,,34.1,
2017-11-29T00:03:24.529Z,,,,54,,34.1,
2017-11-29T00:03:34.532Z,,,,54,58.6,34.1,30
2017-11-29T00:03:44.530Z,,,,54,58.7,34.1,
2017-11-29T00:03:54.529Z,,,,54,58.8,34.1,31
2017-11-29T00:04:04.529Z,,,,54,59,34.1,
2017-11-29T00:04:14.532Z,,,,54,,34.1,
2017-11-29T00:04:24.532Z,,,,54,59.1,34.1,
2017-11-29T00:04:34.527Z,,,,54,59.3,34.1,
2017-11-29T00:04:44.532Z,,,,54,59.4,34.1,
2017-11-29T00:04:54.534Z,,,,54,59.5,34.1,29
2017-11-29T00:05:04.531Z,,,,54,59.4,34.2,
2017-11-29T00:05:14.531Z,,,,54,,34.2,30
2017-11-29T00:05:24.528Z,,,,54,59.5,34.2,29
2017-11-29T00:05:34.534Z,,,,54,,34.2,
2017-11-29T00:05:49.618Z,,,,54,,34.2,
2017-11-29T00:05:54.528Z,,,,54,59.6,34.2,30
2017-11-29T00:06:04.533Z,,,,54,59.7,34.2,29
2017-11-29T00:06:14.532Z,,,,54,,34.2,
2017-11-29T00:06:24.536Z,,,,54,,34.2,
2017-11-29T00:06:34.534Z,,,,54,,34.2,
2017-11-29T00:06:44.534Z,,,,54,59.8,34.3,30
2017-11-29T00:06:54.528Z,,,,54,,34.3,29
2017-11-29T00:07:04.535Z,,,,54,59.9,34.3,30
2017-11-29T00:07:14.534Z,,,,54,60,34.3,29
2017-11-29T00:07:24.528Z,,,,54,,34.3,
2017-11-29T00:07:34.532Z,,,,54,,34.3,
2017-11-29T00:07:44.530Z,,,,54,60.1,34.3,
2017-11-29T00:07:54.537Z,,,,54,,34.3,
2017-11-29T00:08:04.536Z,,,,54,60.2,34.4,30
2017-11-29T00:08:14.530Z,,,,54,60.4,34.4,29
2017-11-29T00:08:24.532Z,,,,54,,34.4,
2017-11-29T00:08:34.540Z,,,,54,,34.4,
2017-11-29T00:08:44.534Z,,,,54,60.5,34.4,
2017-11-29T00:08:54.536Z,,,,54,60.6,34.4,
2017-11-29T00:09:09.629Z,,,,54,,34.4,
2017-11-29T00:09:14.533Z,,,,54,60.7,34.4,
2017-11-29T00:09:24.681Z,,,,54,,34.4,
2017-11-29T00:09:34.539Z,,,,54,60.8,34.5,
2017-11-29T00:09:44.535Z,,,,54,,34.5,
2017-11-29T00:09:54.539Z,,,,54,60.9,34.5,30
2017-11-29T00:10:04.534Z,,,,54,,34.5,
2017-11-29T00:10:14.532Z,,,,54,61.1,34.5,29
2017-11-29T00:10:24.541Z,,,,54,,34.5,30
2017-11-29T00:10:34.534Z,,,,54,61.2,34.5,29
2017-11-29T00:10:44.535Z,,,,54,,34.5,
2017-11-29T00:10:54.535Z,,,,54,61.3,34.6,
2017-11-29T00:11:09.629Z,,,,54,,34.6,
2017-11-29T00:11:14.533Z,,,,54,61.4,34.6,
