Time,ActPow,HwTSet,HwTOutlet,PrimTSet,PrimT,ChActive,HwActive
2017-11-30T00:00:05.349Z,,54,52.3,,,,
2017-11-30T00:00:15.350Z,,54,52.3,,,,
2017-11-30T00:00:25.352Z,,54,52.4,,,,
2017-11-30T00:00:35.347Z,,54,52.4,,,,
2017-11-30T00:00:45.355Z,,54,52.4,,,,
2017-11-30T00:00:55.352Z,,54,52.4,,,,
2017-11-30T00:01:05.355Z,,54,52.4,,64.2,,
2017-11-30T00:01:15.349Z,30,54,52.4,,,,
2017-11-30T00:01:25.354Z,29,54,52.4,,,,
2017-11-30T00:01:35.364Z,,54,52.4,,,,
2017-11-30T00:01:45.350Z,,54,52.4,,,,
2017-11-30T00:01:55.351Z,,54,52.4,,,,
2017-11-30T00:02:05.378Z,,54,52.5,,,,
2017-11-30T00:02:15.352Z,,54,52.5,,64.4,,
2017-11-30T00:02:25.349Z,,54,52.5,,,,
2017-11-30T00:02:35.353Z,,54,52.4,,,,
2017-11-30T00:02:45.349Z,,54,52.5,,,,
2017-11-30T00:02:55.352Z,0,54,52.5,,62.8,1,0
2017-11-30T00:03:05.348Z,,54,52.5,,60.9,,
2017-11-30T00:03:15.348Z,,54,52.5,,60.6,,
2017-11-30T00:03:25.350Z,45,54,52.5,,60.2,1,0
2017-11-30T00:03:35.363Z,33,54,52.5,,65.2,,
2017-11-30T00:03:45.369Z,0,54,52.5,,60.7,1,0
2017-11-30T00:03:55.349Z,,54,52.5,,58.9,,
2017-11-30T00:04:05.350Z,,54,52.5,,58.8,,
2017-11-30T00:04:15.351Z,,54,52.4,,57.9,,
2017-11-30T00:04:25.351Z,,54,52.4,,56.9,,
2017-11-30T00:04:35.350Z,,54,52.4,,56.7,,
2017-11-30T00:04:45.357Z,,54,52.3,,55.9,,
2017-11-30T00:04:55.351Z,,54,52.3,,55.5,,
2017-11-30T00:05:05.351Z,,54,52.2,,54.9,,
2017-11-30T00:05:15.350Z,,54,52.1,,53.9,,
2017-11-30T00:05:25.355Z,,54,52.1,,53.8,,
2017-11-30T00:05:35.353Z,,54,52,,53.3,,
2017-11-30T00:05:45.355Z,,54,51.9,,52.9,,
2017-11-30T00:05:55.357Z,,54,51.8,,52.6,,
2017-11-30T00:06:05.352Z,,54,51.7,,52.2,,
2017-11-30T00:06:15.358Z,,54,51.6,,51.9,,
2017-11-30T00:06:25.362Z,,54,51.5,,51.8,,
2017-11-30T00:06:35.361Z,,54,51.4,,51.6,,
2017-11-30T00:06:45.352Z,,54,51.2,,51.4,,
2017-11-30T00:06:55.365Z,,54,51.1,,51.2,,
2017-11-30T00:07:05.353Z,,54,50.9,,51,,
2017-11-30T00:07:15.355Z,,54,50.8,,50.9,,
2017-11-30T00:07:25.360Z,,54,50.7,,50.6,,
2017-11-30T00:07:35.353Z,,54,50.5,,50.5,,
2017-11-30T00:07:45.363Z,,54,50.4,,50.3,,
2017-11-30T00:07:55.352Z,,54,50.3,,50.1,,
2017-11-30T00:08:05.353Z,,54,50.1,,49.9,,
2017-11-30T00:08:15.360Z,,54,50,,49.7,,
2017-11-30T00:08:25.358Z,44,54,49.9,,50,1,0
2017-11-30T00:08:35.354Z,32,54,49.7,,54,,
2017-11-30T00:08:45.363Z,30,54,49.6,,54,,
2017-11-30T00:08:55.356Z,29,54,49.3,,55,,
2017-11-30T00:09:05.357Z,,54,49.2,,55.5,,
2017-11-30T00:09:15.354Z,,54,49.1,,56.1,,
2017-11-30T00:09:25.360Z,,54,49,,56.6,,
2017-11-30T00:09:35.374Z,,54,48.9,,57,,
2017-11-30T00:09:45.375Z,,54,48.8,,57.3,,
2017-11-30T00:09:55.356Z,,54,48.8,,57.7,,
2017-11-30T00:10:05.354Z,,54,48.7,,58,,
2017-11-30T00:10:15.355Z,30,54,48.6,,58.1,,
2017-11-30T00:10:25.357Z,29,54,48.6,,58.3,,
2017-11-30T00:10:35.361Z,,54,48.6,,58.4,,
2017-11-30T00:10:45.359Z,,54,48.6,,58.5,,
2017-11-30T00:10:55.358Z,,54,48.6,,58.6,,
2017-11-30T00:11:05.355Z,,54,48.6,,58.7,,
2017-11-30T00:11:15.355Z,,54,48.6,,58.8,,
2017-11-30T00:11:25.359Z,,54,48.6,,,,
2017-11-30T00:11:35.363Z,,54,48.7,,58.9,,
2017-11-30T00:11:45.387Z,30,54,48.7,,59,,
2017-11-30T00:11:55.367Z,29,54,48.7,,,,
2017-11-30T00:12:05.355Z,,54,48.7,,,,
2017-11-30T00:12:15.374Z,,54,48.7,,59.1,,
2017-11-30T00:12:25.354Z,30,54,48.7,,,,
2017-11-30T00:12:35.359Z,29,54,48.7,,,,
2017-11-30T00:12:45.358Z,,54,48.7,,59.3,,
2017-11-30T00:12:55.360Z,,54,48.8,,,,
2017-11-30T00:13:05.363Z,30,54,48.8,,59.4,,
2017-11-30T00:13:15.358Z,29,54,48.8,,,,
2017-11-30T00:13:25.357Z,30,54,48.8,,59.5,,
2017-11-30T00:13:35.362Z,29,54,48.8,,,,
2017-11-30T00:13:45.380Z,30,54,48.8,,59.6,,
2017-11-30T00:13:55.360Z,29,54,48.8,,59.7,,
2017-11-30T00:14:05.360Z,30,54,48.9,,,,
2017-11-30T00:14:15.357Z,,54,48.9,,59.8,,
2017-11-30T00:14:25.357Z,,54,48.9,,59.9,,
2017-11-30T00:14:35.360Z,,54,48.9,,60,,
2017-11-30T00:14:45.367Z,,54,48.9,,,,
2017-11-30T00:14:55.355Z,,54,48.9,,,,
2017-11-30T00:15:05.358Z,,54,48.9,,60.1,,
2017-11-30T00:15:15.356Z,,54,48.9,,,,
2017-11-30T00:15:25.360Z,,54,49,,60.2,,
2017-11-30T00:15:35.356Z,,54,49,,,,
2017-11-30T00:15:45.359Z,,54,49,,60.4,,
2017-11-30T00:15:55.358Z,,54,49,,,,
2017-11-30T00:16:05.361Z,,54,49,,60.5,,
2017-11-30T00:16:15.364Z,,54,49,,,,
2017-11-30T00:16:25.361Z,,54,49,,,,
2017-11-30T00:16:35.362Z,,54,49.1,,60.6,,
2017-11-30T00:16:45.358Z,,54,49.1,,,,
2017-11-30T00:16:55.363Z,29,54,49.2,,60.7,,
2017-11-30T00:17:05.373Z,30,54,49.2,,,,
2017-11-30T00:17:15.362Z,,54,49.2,,60.8,,
2017-11-30T00:17:25.360Z,29,54,49.3,,,,
2017-11-30T00:17:35.360Z,,54,49.3,,,,
2017-11-30T00:17:45.365Z,30,54,49.3,,,,
2017-11-30T00:17:55.364Z,,54,49.3,,,,
2017-11-30T00:18:05.380Z,29,54,49.3,,60.9,,
2017-11-30T00:18:15.362Z,30,54,49.4,,,,
2017-11-30T00:18:25.358Z,29,54,49.4,,,,
2017-11-30T00:18:35.368Z,,54,49.4,,,,
2017-11-30T00:18:45.365Z,30,54,49.4,,,,
2017-11-30T00:18:55.366Z,,54,49.6,,,,
2017-11-30T00:19:05.357Z,,54,49.6,,,,
2017-11-30T00:19:15.363Z,29,54,49.6,,,,
2017-11-30T00:19:25.367Z,30,54,49.6,,,,
2017-11-30T00:19:35.361Z,,54,49.7,,,,
2017-11-30T00:19:45.364Z,29,54,49.7,,,,
2017-11-30T00:19:55.359Z,30,54,49.7,,,,
2017-11-30T00:20:05.361Z,,54,49.7,,60.8,,
2017-11-30T00:20:15.361Z,,54,49.8,,,,
2017-11-30T00:20:25.364Z,,54,49.8,,,,
2017-11-30T00:20:35.369Z,29,54,49.8,,,,
2017-11-30T00:20:45.365Z,,54,49.8,,60.7,,
2017-11-30T00:20:55.365Z,30,54,49.9,,,,
2017-11-30T00:21:05.371Z,29,54,49.9,,,,
2017-11-30T00:21:15.369Z,,54,49.9,,60.6,,
2017-11-30T00:21:25.359Z,,54,50,,,,
2017-11-30T00:21:35.362Z,,54,50,,,,
2017-11-30T00:21:45.363Z,,54,50.1,,,,
2017-11-30T00:21:55.364Z,,54,50.1,,60.5,,
2017-11-30T00:22:05.359Z,30,54,50.1,,,,
2017-11-30T00:22:15.361Z,29,54,50.1,,,,
2017-11-30T00:22:25.362Z,30,54,50.2,,,,
2017-11-30T00:22:35.360Z,,54,50.2,,,,
2017-11-30T00:22:45.361Z,,54,50.2,,,,
2017-11-30T00:22:55.362Z,,54,50.2,,,,
2017-11-30T00:23:05.361Z,,54,50.2,,,,
2017-11-30T00:23:15.369Z,,54,50.2,,,,
2017-11-30T00:23:25.361Z,,54,50.2,,,,
2017-11-30T00:23:35.372Z,29,54,50.2,,,,
2017-11-30T00:23:45.364Z,30,54,50.2,,,,
2017-11-30T00:23:55.367Z,,54,50.2,,,,
2017-11-30T00:24:05.364Z,,54,50.2,,,,
2017-11-30T00:24:15.361Z,29,54,50.3,,60.6,,
2017-11-30T00:24:25.367Z,,54,50.3,,,,
2017-11-30T00:24:35.362Z,,54,50.3,,,,
2017-11-30T00:24:45.373Z,30,54,50.3,,60.7,,
2017-11-30T00:24:55.365Z,29,54,50.3,,,,
2017-11-30T00:25:05.362Z,30,54,50.3,,,,
2017-11-30T00:25:15.369Z,,54,50.3,,,,
2017-11-30T00:25:25.373Z,,54,50.4,,,,
2017-11-30T00:25:35.364Z,29,54,50.4,,,,
2017-11-30T00:25:45.365Z,30,54,50.4,,60.8,,
2017-11-30T00:25:55.371Z,,54,50.4,,,,
2017-11-30T00:26:05.363Z,,54,50.5,,,,
2017-11-30T00:26:15.365Z,,54,50.5,,,,
2017-11-30T00:26:25.366Z,,54,50.5,,,,
2017-11-30T00:26:35.363Z,29,54,50.5,,,,
2017-11-30T00:26:45.366Z,30,54,50.5,,60.9,,
2017-11-30T00:26:55.365Z,,54,50.5,,60.8,,
2017-11-30T00:27:05.377Z,,54,50.5,,60.9,,
2017-11-30T00:27:15.363Z,29,54,50.5,,60.8,,
2017-11-30T00:27:25.366Z,30,54,50.5,,60.9,,
2017-11-30T00:27:35.362Z,29,54,50.5,,60.8,,
2017-11-30T00:27:45.369Z,,54,50.5,,60.9,,
2017-11-30T00:27:55.363Z,30,54,50.6,,60.8,,
2017-11-30T00:28:05.364Z,29,54,50.6,,,,
2017-11-30T00:28:15.362Z,30,54,50.6,,,,
2017-11-30T00:28:25.363Z,29,54,50.6,,,,
2017-11-30T00:28:35.362Z,30,54,50.6,,,,
2017-11-30T00:28:45.387Z,29,54,50.7,,,,
2017-11-30T00:28:55.371Z,30,54,50.7,,,,
2017-11-30T00:29:05.367Z,,54,50.7,,60.7,,
2017-11-30T00:29:15.366Z,,54,50.7,,,,
2017-11-30T00:29:25.368Z,,54,50.7,,,,
2017-11-30T00:29:35.364Z,,54,50.8,,,,
2017-11-30T00:29:45.368Z,29,54,50.8,,,,
2017-11-30T00:29:55.367Z,30,54,50.8,,,,
2017-11-30T00:30:05.366Z,,54,50.8,,,,
2017-11-30T00:30:15.367Z,,54,50.8,,,,
2017-11-30T00:30:25.370Z,,54,50.8,,,,
2017-11-30T00:30:35.369Z,,54,50.9,,,,
2017-11-30T00:30:45.375Z,,54,50.9,,,,
2017-11-30T00:30:55.366Z,29,54,50.9,,,,
2017-11-30T00:31:05.366Z,30,54,50.9,,,,
2017-11-30T00:31:15.369Z,,54,50.9,,,,
2017-11-30T00:31:25.365Z,,54,50.9,,,,
2017-11-30T00:31:35.368Z,,54,50.9,,,,
2017-11-30T00:31:45.373Z,,54,50.9,,,,
2017-11-30T00:31:55.371Z,29,54,50.9,,,,
2017-11-30T00:32:05.369Z,30,54,50.9,,60.8,,
2017-11-30T00:32:15.371Z,,54,50.9,,,,
2017-11-30T00:32:25.370Z,,54,50.9,,,,
2017-11-30T00:32:35.367Z,,54,50.9,,,,
2017-11-30T00:32:45.372Z,,54,50.9,,60.9,,
2017-11-30T00:32:55.374Z,30,54,50.9,61,60.9,1,0
2017-11-30T00:33:05.373Z,30,54,50.9,,61.1,,
2017-11-30T00:33:15.369Z,29,54,50.9,,61.1,,
2017-11-30T00:33:25.367Z,,54,50.9,,,,
2017-11-30T00:33:35.371Z,30,54,51,,,,
2017-11-30T00:33:45.374Z,29,54,51,,,,
2017-11-30T00:33:55.368Z,,54,51,,61.2,,
2017-11-30T00:34:05.386Z,,54,51,,,,
2017-11-30T00:34:15.371Z,,54,51,,,,
2017-11-30T00:34:25.370Z,,54,51,,,,
2017-11-30T00:34:35.370Z,,54,51,,61.3,,
2017-11-30T00:34:45.372Z,,54,51,,,,
2017-11-30T00:34:55.370Z,,54,51,,,,
2017-11-30T00:35:05.372Z,,54,51.1,,,,
2017-11-30T00:35:15.370Z,,54,51.1,,,,
2017-11-30T00:35:25.374Z,,54,51.1,,61.4,,
2017-11-30T00:35:35.385Z,,54,51.1,,,,
