Time,HwActive,HwTOutlet,PrimT,ActPow,PrimTSet,ChActive,HwTSet
2017-12-01T00:00:06.174Z,,34.6,,,,,54
2017-12-01T00:00:16.176Z,,34.6,,,,,54
2017-12-01T00:00:26.243Z,,34.6,64.1,,,,54
2017-12-01T00:00:36.271Z,,34.8,,,,,54
2017-12-01T00:00:46.192Z,,34.8,,,,,54
2017-12-01T00:00:56.232Z,,34.7,64.2,,,,54
2017-12-01T00:01:06.176Z,,34.6,,,,,54
2017-12-01T00:01:16.180Z,,34.7,,,,,54
2017-12-01T00:01:26.194Z,,34.7,,,,,54
2017-12-01T00:01:36.297Z,,34.7,64.4,,,,54
2017-12-01T00:01:46.178Z,,34.7,,,,,54
2017-12-01T00:01:56.195Z,,34.7,,,,,54
2017-12-01T00:02:06.194Z,,34.8,64.5,,,,54
2017-12-01T00:02:16.177Z,,34.8,,,,,54
2017-12-01T00:02:26.177Z,,34.7,,,,,54
2017-12-01T00:02:36.297Z,,34.7,64.6,30,,,54
2017-12-01T00:02:46.183Z,,34.8,,29,,,54
2017-12-01T00:02:56.175Z,,34.8,,,,,54
2017-12-01T00:03:06.178Z,,34.8,,,,,54
2017-12-01T00:03:16.180Z,,34.9,64.7,,,,54
2017-12-01T00:03:26.183Z,,34.9,,,,,54
2017-12-01T00:03:36.272Z,,34.8,,,,,54
2017-12-01T00:03:46.202Z,,34.8,64.8,,,,54
2017-12-01T00:03:56.178Z,,34.9,,,,,54
2017-12-01T00:04:06.178Z,,34.9,,,,,54
2017-12-01T00:04:16.175Z,,34.8,,,,,54
2017-12-01T00:04:26.199Z,,34.8,,,,,54
2017-12-01T00:04:36.318Z,,34.8,64.9,,,,54
2017-12-01T00:04:46.181Z,,34.7,,,,,54
2017-12-01T00:04:56.178Z,,34.7,,,,,54
2017-12-01T00:05:06.183Z,0,34.8,63.4,0,,2,54
2017-12-01T00:05:16.189Z,,,61.3,,,,
2017-12-01T00:05:26.179Z,,34.8,60.4,,,,54
2017-12-01T00:05:36.358Z,,34.8,59.1,,,,54
2017-12-01T00:05:46.189Z,,34.8,58.3,,,,54
2017-12-01T00:05:56.180Z,,34.7,57.6,,,,54
2017-12-01T00:06:06.179Z,,34.7,56.8,,,,54
2017-12-01T00:06:16.191Z,,34.7,56.2,,,,54
2017-12-01T00:06:26.190Z,,34.6,55.7,,,,54
2017-12-01T00:06:36.274Z,,34.4,55.3,,,,54
2017-12-01T00:06:46.179Z,,34.3,54.8,,,,54
2017-12-01T00:06:56.223Z,0,34.3,58.3,38,,2,54
2017-12-01T00:07:06.252Z,,34.3,58.8,29,,,54
2017-12-01T00:07:16.194Z,,34.3,59.4,,,,54
2017-12-01T00:07:26.184Z,,34.4,60.2,29,,,54
2017-12-01T00:07:36.269Z,,34.3,60.7,,,,54
2017-12-01T00:07:46.187Z,,34.2,61.2,,,,54
2017-12-01T00:07:56.180Z,,34.2,61.6,,,,54
2017-12-01T00:08:06.178Z,,34.3,62,,,,54
2017-12-01T00:08:16.198Z,,,62.4,,,,
2017-12-01T00:08:26.204Z,,34.3,62.6,,,,54
