Time,HwTOutlet,PrimT,ChActive,PrimTSet,ActPow,HwActive,HwTSet
2017-12-02T00:00:07.006Z,46.9,,,,,,54
2017-12-02T00:00:17.005Z,46.9,,,,,,54
2017-12-02T00:00:27.005Z,46.9,62.1,,,,,54
2017-12-02T00:00:37.007Z,46.9,,,,,,54
2017-12-02T00:00:47.098Z,46.9,,,,,,54
2017-12-02T00:00:57.002Z,46.9,,,,,,54
2017-12-02T00:01:07.007Z,46.9,,,,,,54
2017-12-02T00:01:17.003Z,46.9,62.2,,,30,,54
2017-12-02T00:01:27.002Z,46.9,,,,,,54
2017-12-02T00:01:37.003Z,46.9,,,,29,,54
2017-12-02T00:01:47.101Z,46.9,,,,30,,54
2017-12-02T00:01:57.002Z,46.9,62.4,,,29,,54
2017-12-02T00:02:07.002Z,47,,,,,,54
2017-12-02T00:02:17.003Z,47,,,,,,54
2017-12-02T00:02:27.060Z,47,,,,,,54
2017-12-02T00:02:37.003Z,47,62.5,,,,,54
2017-12-02T00:02:47.105Z,46.9,,,,30,,54
2017-12-02T00:02:57.004Z,46.9,,,,29,,54
2017-12-02T00:03:07.002Z,46.9,,,,,,54
2017-12-02T00:03:17.003Z,46.8,,,,,,54
2017-12-02T00:03:27.003Z,46.8,62.6,,,,,54
2017-12-02T00:03:37.003Z,46.8,,,,,,54
2017-12-02T00:03:47.092Z,46.8,,,,,,54
2017-12-02T00:03:57.002Z,46.8,,,,,,54
2017-12-02T00:04:07.002Z,46.8,,,,,,54
2017-12-02T00:04:17.009Z,46.8,,,,,,54
2017-12-02T00:04:27.021Z,46.8,62.7,,,,,54
2017-12-02T00:04:37.111Z,46.8,,,,,,54
2017-12-02T00:04:47.119Z,46.8,,,,,,54
2017-12-02T00:04:57.011Z,46.8,,,,,,54
2017-12-02T00:05:07.004Z,46.8,,,,,,54
2017-12-02T00:05:17.009Z,46.8,62.8,,,,,54
2017-12-02T00:05:27.020Z,46.8,,,,30,,54
2017-12-02T00:05:37.012Z,46.8,,,,29,,54
2017-12-02T00:05:47.096Z,46.7,,,,,,54
2017-12-02T00:05:57.007Z,46.7,,,,,,54
2017-12-02T00:06:07.006Z,46.7,,,,,,54
2017-12-02T00:06:17.007Z,46.8,62.9,,,,,54
2017-12-02T00:06:27.005Z,46.8,,,,,,54
2017-12-02T00:06:37.060Z,46.8,,,,,,54
2017-12-02T00:06:47.096Z,46.8,,,,,,54
2017-12-02T00:06:57.008Z,46.8,,,,,,54
2017-12-02T00:07:07.005Z,46.8,,,,,,54
2017-12-02T00:07:17.009Z,46.8,,,,,,54
2017-12-02T00:07:27.005Z,46.8,,,,,,54
2017-12-02T00:07:37.006Z,46.8,62.9,,,,,54
2017-12-02T00:07:47.095Z,46.9,63.1,,,,,54
2017-12-02T00:07:57.020Z,46.9,,,,,,54
2017-12-02T00:08:07.010Z,46.9,,,,,,54
2017-12-02T00:08:17.111Z,46.9,,,,30,,54
2017-12-02T00:08:27.006Z,47,,,,29,,54
2017-12-02T00:08:37.009Z,47,,,,,,54
2017-12-02T00:08:47.095Z,46.9,,,,,,54
2017-12-02T00:08:57.013Z,46.9,,,,,,54
2017-12-02T00:09:07.009Z,46.9,,,,30,,54
2017-12-02T00:09:17.007Z,46.9,63.2,,,29,,54
2017-12-02T00:09:27.009Z,46.9,,,,30,,54
2017-12-02T00:09:37.009Z,46.9,63.1,,,29,,54
2017-12-02T00:09:47.098Z,46.9,63.2,,,,,54
2017-12-02T00:09:57.010Z,47,,,,,,54
2017-12-02T00:10:07.008Z,47,,,,30,,54
2017-12-02T00:10:17.010Z,47,,,,29,,54
2017-12-02T00:10:27.008Z,47,,,,,,54
2017-12-02T00:10:37.006Z,47,,,,,,54
2017-12-02T00:10:47.102Z,47,,,,,,54
2017-12-02T00:10:57.008Z,47,,,,,,54
2017-12-02T00:11:07.007Z,47,,,,,,54
2017-12-02T00:11:17.007Z,47.1,,,,30,,54
2017-12-02T00:11:27.081Z,47.1,,,,29,,54
2017-12-02T00:11:37.023Z,47.1,,,,,,54
2017-12-02T00:11:47.103Z,47.1,,,,,,54
2017-12-02T00:11:57.022Z,47.1,,,,,,54
2017-12-02T00:12:07.013Z,47.1,,,,,,54
2017-12-02T00:12:17.013Z,47.1,,,,,,54
2017-12-02T00:12:27.008Z,47.1,,,,,,54
2017-12-02T00:12:37.021Z,47.1,,,,,,54
2017-12-02T00:12:47.104Z,47.1,63.3,,,,,54
2017-12-02T00:12:57.146Z,47.1,,,,,,54
2017-12-02T00:13:07.126Z,47.2,,,,,,54
2017-12-02T00:13:17.022Z,47.2,,,,,,54
2017-12-02T00:13:27.008Z,47.2,,,,30,,54
