Time,HwTOutlet,ChActive,ActPow,PrimTSet,PrimT,HwTSet,HwActive
2017-12-07T00:00:03.243Z,28.3,,,,59.6,54,
2017-12-07T00:00:13.140Z,28.4,,,,57.9,54,
2017-12-07T00:00:23.136Z,27.9,,,,57.6,54,
2017-12-07T00:00:33.138Z,27.7,,,,56.9,54,
2017-12-07T00:00:43.140Z,27.8,,,,55.9,54,
2017-12-07T00:00:53.139Z,27.2,,,,55.6,54,
2017-12-07T00:01:03.249Z,27.1,,,,54.9,54,
2017-12-07T00:01:13.134Z,27.3,,,,54.4,54,
2017-12-07T00:01:23.137Z,28.4,,,,53.9,54,
2017-12-07T00:01:33.139Z,28.1,,,,53.4,54,
2017-12-07T00:01:43.133Z,28.1,,,,52.9,54,
2017-12-07T00:01:53.137Z,28,,,,52.7,54,
2017-12-07T00:02:03.243Z,28.3,,,,52.3,54,
2017-12-07T00:02:13.141Z,28,,,,52.1,54,
2017-12-07T00:02:23.134Z,27.8,,,,51.9,54,
2017-12-07T00:02:33.138Z,27.9,,,,51.7,54,
2017-12-07T00:02:43.138Z,27.7,,,,51.5,54,
2017-12-07T00:02:53.133Z,27.8,,,,51.4,54,
2017-12-07T00:03:03.255Z,27.8,,,,51.2,54,
2017-12-07T00:03:13.141Z,27.8,,,,50.9,54,
2017-12-07T00:03:23.136Z,27.7,,,,,54,
2017-12-07T00:03:33.136Z,27.4,,,,50.6,54,
2017-12-07T00:03:48.246Z,27.3,,,,50.5,54,
2017-12-07T00:03:53.135Z,27.5,,,,50.3,54,
2017-12-07T00:04:03.253Z,27.5,,,,50.1,54,
2017-12-07T00:04:18.244Z,27.4,,,,49.9,54,
2017-12-07T00:04:23.137Z,27.2,,,,49.8,54,
2017-12-07T00:04:33.138Z,27.1,,,,49.6,54,
2017-12-07T00:04:43.135Z,27.2,,,,49.3,54,
2017-12-07T00:04:53.140Z,27.1,1,41,,52.1,54,0
2017-12-07T00:05:03.251Z,26.9,,35,,53.5,54,
2017-12-07T00:05:13.142Z,27.1,,30,,54,54,
2017-12-07T00:05:23.144Z,27.1,,29,,55,54,
2017-12-07T00:05:33.140Z,27.1,,30,,55.4,54,
2017-12-07T00:05:43.139Z,27.3,,29,,56.1,54,
2017-12-07T00:05:53.145Z,27.7,,,,56.7,54,
2017-12-07T00:06:03.247Z,27.3,,,,57,54,
2017-12-07T00:06:13.136Z,27.2,,,,57.4,54,
2017-12-07T00:06:28.354Z,27.3,,,,57.6,54,
2017-12-07T00:06:38.276Z,27.2,,,,58,54,
2017-12-07T00:06:43.150Z,27.3,,30,,58.1,54,
2017-12-07T00:06:53.138Z,27.2,,,,58.3,54,
2017-12-07T00:07:03.249Z,27.3,,29,,58.5,54,
2017-12-07T00:07:13.146Z,27.3,,30,,58.7,54,
2017-12-07T00:07:23.140Z,27.3,,,,58.8,54,
2017-12-07T00:07:33.136Z,27.3,,29,,,54,
2017-12-07T00:07:43.142Z,27.3,,,,59,54,
2017-12-07T00:07:58.251Z,27.4,,,,59.1,54,
2017-12-07T00:08:03.240Z,27.4,,,,59.3,54,
2017-12-07T00:08:13.139Z,27.5,,,,59.4,54,
2017-12-07T00:08:23.144Z,27.5,,,,59.5,54,
2017-12-07T00:08:38.267Z,27.5,,,,59.6,54,
2017-12-07T00:08:44.228Z,27.7,,,,,54,
2017-12-07T00:08:53.147Z,27.8,,,,,54,
2017-12-07T00:09:03.247Z,27.8,,,,59.8,54,
2017-12-07T00:09:13.139Z,27.9,,,,,54,
2017-12-07T00:09:23.139Z,27.8,,,,59.9,54,
2017-12-07T00:09:33.139Z,27.9,,,,,54,
2017-12-07T00:09:43.140Z,27.9,,,,60,54,
2017-12-07T00:09:53.143Z,28,,,,,54,
2017-12-07T00:10:03.248Z,27.9,,,,60.1,54,
2017-12-07T00:10:13.144Z,27.9,,,,60.2,54,
2017-12-07T00:10:23.140Z,28,,,,60.4,54,
2017-12-07T00:10:33.140Z,28.1,,,,,54,
2017-12-07T00:10:43.142Z,28,,,,60.5,54,
2017-12-07T00:10:53.139Z,28.1,,,,60.6,54,
2017-12-07T00:11:03.242Z,28,,30,,60.7,54,
