Time,ChActive,PrimT,HwTOutlet,HwActive,HwTSet,ActPow,PrimTSet
2017-12-08T09:28:34.290Z,,,45.3,,54,,
2017-12-08T09:28:44.293Z,,64.4,45.2,,54,,
2017-12-08T09:28:54.291Z,,,45.3,,54,,
2017-12-08T09:29:04.291Z,,,45.3,,54,,
2017-12-08T09:29:14.295Z,,,45.2,,54,30,
2017-12-08T09:29:24.292Z,,64.5,45.3,,54,29,
2017-12-08T09:29:34.292Z,,,45.3,,54,,
2017-12-08T09:29:44.291Z,,,45.3,,54,,
2017-12-08T09:29:54.292Z,,,45.4,,54,30,
2017-12-08T09:30:04.292Z,,64.6,45.4,,54,29,
2017-12-08T09:30:14.292Z,,,45.4,,54,,
2017-12-08T09:30:24.293Z,,,45.4,,54,,
2017-12-08T09:30:34.290Z,,,45.5,,54,,
2017-12-08T09:30:44.292Z,,64.7,45.5,,54,,
2017-12-08T09:30:54.303Z,,,45.5,,54,,
2017-12-08T09:31:04.292Z,,,45.5,,54,,
2017-12-08T09:31:14.316Z,,64.8,45.5,,54,,
2017-12-08T09:31:24.293Z,,,45.6,,54,,
2017-12-08T09:31:34.340Z,,,45.6,,54,,
2017-12-08T09:31:44.295Z,,64.9,45.6,,54,,
2017-12-08T09:31:54.327Z,,,45.6,,54,,
2017-12-08T09:32:04.321Z,,,45.6,,54,,
2017-12-08T09:32:14.321Z,,65.1,45.6,,54,30,
2017-12-08T09:32:24.293Z,1,62.8,45.6,0,54,0,
2017-12-08T09:32:34.305Z,,60.9,45.6,,54,,
2017-12-08T09:32:44.306Z,,59.7,45.7,,54,,
2017-12-08T09:32:54.295Z,,58.9,45.7,,54,,
2017-12-08T09:33:04.297Z,,57.9,45.7,,54,,
2017-12-08T09:33:14.299Z,,57.3,45.6,,54,,
2017-12-08T09:33:24.292Z,,56.7,45.6,,54,,
2017-12-08T09:33:34.355Z,,55.9,45.5,,54,,
2017-12-08T09:33:44.353Z,,55.5,45.5,,54,,
2017-12-08T09:33:59.525Z,,54.9,45.4,,54,,
2017-12-08T09:34:09.472Z,1,57,45.3,0,54,42,
2017-12-08T09:34:19.492Z,,58.9,45.3,,54,32,
2017-12-08T09:34:29.495Z,,59,45.2,,54,29,
2017-12-08T09:34:34.387Z,,60,45.1,,54,,
2017-12-08T09:34:49.526Z,,60.4,45.1,,54,,
2017-12-08T09:34:59.454Z,,61.1,45.1,,54,,
2017-12-08T09:35:04.344Z,,61.3,45.1,,54,,
2017-12-08T09:35:19.365Z,,61.6,45.1,,54,,
2017-12-08T09:35:29.371Z,,62,45.1,,54,,
2017-12-08T09:35:34.344Z,,62.2,45.1,,54,,
2017-12-08T09:35:44.297Z,,62.4,45,,54,,
2017-12-08T09:35:59.362Z,,62.6,45,,54,,
2017-12-08T09:36:09.402Z,,62.7,45,,54,,
2017-12-08T09:36:14.317Z,,62.8,45,,54,,
2017-12-08T09:36:24.315Z,,62.9,45.1,,54,,
2017-12-08T09:36:34.298Z,,63.1,45.1,,54,,
2017-12-08T09:36:44.312Z,,63.2,45.1,,54,,
2017-12-08T09:36:54.308Z,,63.3,45.1,,54,,
2017-12-08T09:37:04.333Z,,,45.1,,54,,
2017-12-08T09:37:19.409Z,,63.4,45.1,,54,,
2017-12-08T09:37:24.310Z,,,45.1,,54,30,
2017-12-08T09:37:34.296Z,,63.5,45.2,,54,29,
2017-12-08T09:37:44.340Z,,,45.2,,54,,
2017-12-08T09:37:54.295Z,,63.6,45.2,,54,,
2017-12-08T09:38:04.337Z,,,45.2,,54,30,
2017-12-08T09:38:14.298Z,,63.8,45.2,,54,29,
2017-12-08T09:38:24.300Z,,,45.3,,54,,
2017-12-08T09:39:59.457Z,,,45.3,,54,,
2017-12-08T09:40:09.553Z,,64.1,45.3,,54,,
2017-12-08T09:40:19.470Z,,,45.3,,54,,
2017-12-08T09:40:29.466Z,,,45.4,,54,30,
