Time,HwTOutlet,HwActive,PrimT,ActPow,ChActive,PrimTSet,HwTSet
2017-12-10T00:00:05.616Z,32.1,,,,,,54
2017-12-10T00:00:15.613Z,32.1,,55,29,,,54
2017-12-10T00:00:25.616Z,32.2,,,,,,54
2017-12-10T00:00:35.614Z,32.2,,,,,,54
2017-12-10T00:00:45.613Z,32.2,,55.1,,,,54
2017-12-10T00:00:55.615Z,32.2,,,,,,54
2017-12-10T00:01:05.614Z,32.7,,55.2,30,,,54
2017-12-10T00:01:15.621Z,32.2,,55.3,29,,,54
2017-12-10T00:01:25.616Z,32.2,,,,,,54
2017-12-10T00:01:35.620Z,32.2,,55.4,,,,54
2017-12-10T00:01:45.620Z,32.3,,,,,,54
2017-12-10T00:01:55.618Z,32.3,,55.5,,,,54
2017-12-10T00:02:05.619Z,32.2,,55.6,,,,54
2017-12-10T00:02:15.621Z,32.3,,,,,,54
2017-12-10T00:02:25.616Z,32.3,,55.7,,,,54
2017-12-10T00:02:35.621Z,32.3,,,,,,54
2017-12-10T00:02:45.621Z,32.3,,55.9,,,,54
2017-12-10T00:02:55.624Z,32.3,,56,,,,54
2017-12-10T00:03:05.623Z,32.3,,,,,,54
2017-12-10T00:03:15.615Z,32.3,,,30,,,54
2017-12-10T00:03:25.621Z,20.1,1,56.4,29,0,0,54
2017-12-10T00:03:35.629Z,51.5,,54.7,56,,,54
2017-12-10T00:03:45.619Z,49.8,,53.7,59,,,54
2017-12-10T00:03:55.619Z,49.7,,54,80,,,54
2017-12-10T00:04:05.629Z,52.2,,55.4,71,,,54
2017-12-10T00:04:15.624Z,53.2,,56.2,67,,,54
2017-12-10T00:04:25.614Z,53.7,,56.3,63,,,54
2017-12-10T00:04:35.617Z,53.9,,56.5,,,,54
2017-12-10T00:04:45.623Z,54,,56.6,64,,,54
2017-12-10T00:04:55.615Z,54.1,,56.7,65,,,54
2017-12-10T00:05:05.622Z,54.1,,,63,,,54
2017-12-10T00:05:15.615Z,54.2,,,,,,54
2017-12-10T00:05:25.618Z,54.1,,,64,,,54
2017-12-10T00:05:35.616Z,54.1,,,,,,54
2017-12-10T00:05:45.616Z,54.1,,,63,,,54
2017-12-10T00:05:55.621Z,54.1,,,,,,54
2017-12-10T00:06:05.620Z,54.1,,,64,,,54
2017-12-10T00:06:15.619Z,54.1,,56.6,65,,,54
2017-12-10T00:06:25.617Z,54,,,63,,,54
2017-12-10T00:06:35.620Z,54.1,0,56.2,0,0,,54
2017-12-10T00:06:45.621Z,53.7,,54.9,,,,54
2017-12-10T00:06:55.618Z,53.8,,55,,,,54
2017-12-10T00:07:05.627Z,54.1,,55.2,,,,54
2017-12-10T00:07:15.618Z,54.4,,,,,,54
2017-12-10T00:07:25.626Z,54.6,,55.1,,,,54
2017-12-10T00:07:35.617Z,54.7,0,,,2,61,54
2017-12-10T00:07:45.617Z,54.7,,55,,,,54
2017-12-10T00:07:55.632Z,54.6,,,,,,54
2017-12-10T00:08:05.626Z,54.6,,54.9,,,,54
2017-12-10T00:08:15.619Z,54.3,,,,,,54
2017-12-10T00:08:25.619Z,53.5,,,,,,54
2017-12-10T00:08:35.712Z,52.4,,54.8,,,,54
2017-12-10T00:08:45.621Z,51.2,,,,,,54
2017-12-10T00:08:55.626Z,50.3,,54.7,,,,54
2017-12-10T00:09:05.624Z,49.3,,,,,,54
2017-12-10T00:09:15.623Z,47.7,,,,,,54
2017-12-10T00:09:25.619Z,46.3,,,,,,54
2017-12-10T00:09:35.622Z,45.4,,54.6,,,,54
2017-12-10T00:09:45.621Z,44.3,,,,,,54
2017-12-10T00:09:55.619Z,43.3,,,,,,54
2017-12-10T00:10:05.621Z,42.5,,,,,,54
2017-12-10T00:10:15.619Z,41.7,,,,,,54
2017-12-10T00:10:25.638Z,40.8,0,58.3,39,2,,54
2017-12-10T00:10:35.619Z,40.2,,57.6,29,,,54
2017-12-10T00:10:45.625Z,39.8,,54.7,29,,,54
2017-12-10T00:10:55.622Z,39.6,,55.3,30,,,54
2017-12-10T00:11:05.628Z,39.6,,54.7,29,,,54
2017-12-10T00:11:15.622Z,39.6,,53.8,,,,54
2017-12-10T00:11:25.622Z,39.7,,52.9,,,,54
2017-12-10T00:11:35.619Z,39.8,,52.4,,,,54
2017-12-10T00:11:45.619Z,39.8,,51.9,,,,54
2017-12-10T00:11:55.625Z,39.8,,51.5,,,,54
2017-12-10T00:12:05.625Z,39.7,,51.2,,,,54
2017-12-10T00:12:15.625Z,39.6,,51,,,,54
2017-12-10T00:12:25.627Z,39.5,,50.9,,,,54
2017-12-10T00:12:35.623Z,39.3,,50.7,,,,54
2017-12-10T00:12:45.626Z,39.2,,50.6,30,,,54
2017-12-10T00:12:55.623Z,38.9,,,,,,54
2017-12-10T00:13:05.630Z,38.7,,,29,,,54
2017-12-10T00:13:15.624Z,38.6,,50.7,,,,54
2017-12-10T00:13:25.622Z,38.5,,,,,,54
2017-12-10T00:13:35.625Z,38.4,,50.9,,,,54
2017-12-10T00:13:45.625Z,38.3,,51,,,,54
2017-12-10T00:13:55.624Z,38.2,,51.1,,,,54
2017-12-10T00:14:05.630Z,38.1,,51.2,,,,54
2017-12-10T00:14:15.625Z,38,,51.3,,,,54
2017-12-10T00:14:25.625Z,38,,51.4,,,,54
2017-12-10T00:14:35.621Z,37.9,,51.5,,,,54
2017-12-10T00:14:45.625Z,37.9,,51.6,,,,54
2017-12-10T00:14:55.622Z,37.8,,51.7,,,,54
2017-12-10T00:15:05.625Z,37.8,,51.8,,,,54
2017-12-10T00:15:15.626Z,37.7,,51.9,,,,54
2017-12-10T00:15:25.621Z,37.7,,,,,,54
2017-12-10T00:15:35.624Z,37.6,,52.1,31,,,54
2017-12-10T00:15:45.624Z,37.6,,52.3,33,,,54
2017-12-10T00:15:55.621Z,37.6,,52.4,31,,,54
2017-12-10T00:16:05.626Z,37.5,,52.6,,,,54
2017-12-10T00:16:15.628Z,37.5,,52.8,,,,54
2017-12-10T00:16:25.628Z,37.5,,,,,,54
2017-12-10T00:16:35.629Z,37.4,,52.9,,,,54
2017-12-10T00:16:45.624Z,37.4,,53,,,,54
2017-12-10T00:16:55.624Z,37.4,,,30,,,54
2017-12-10T00:17:05.622Z,37.4,,,,,,54
2017-12-10T00:17:15.622Z,37.3,,,,,,54
2017-12-10T00:17:25.628Z,37.3,,53.1,32,,,54
2017-12-10T00:17:35.630Z,37.3,,53.4,34,,,54
2017-12-10T00:17:45.626Z,37.3,,53.6,35,,,54
2017-12-10T00:17:55.625Z,37.3,,53.8,33,,,54
2017-12-10T00:18:05.639Z,37.3,,53.9,,,,54
2017-12-10T00:18:15.625Z,37.3,,54,,,,54
2017-12-10T00:18:25.627Z,37.3,,,,,,54
2017-12-10T00:18:35.629Z,37.3,,54.1,,,,54
2017-12-10T00:18:45.625Z,37.3,,54.3,,,,54
2017-12-10T00:18:55.629Z,37.3,,,32,,,54
2017-12-10T00:19:05.627Z,37.3,,,,,,54
2017-12-10T00:19:15.627Z,37.2,,54.4,33,,,54
2017-12-10T00:19:25.630Z,37.2,,54.6,35,,,54
2017-12-10T00:19:35.631Z,37.2,,54.8,37,,,54
2017-12-10T00:19:45.632Z,37.2,,55.1,38,,,54
2017-12-10T00:19:55.623Z,37.2,,55.2,36,,,54
2017-12-10T00:20:05.624Z,37.2,,55.4,,,,54
2017-12-10T00:20:15.623Z,37.2,,55.5,,,,54
2017-12-10T00:20:25.624Z,37.2,,55.6,,,,54
2017-12-10T00:20:35.625Z,37.2,,55.7,,,,54
2017-12-10T00:20:45.626Z,37.2,,55.9,,,,54
2017-12-10T00:20:55.627Z,37.2,,56,37,,,54
2017-12-10T00:21:05.628Z,37.2,,56.2,38,,,54
2017-12-10T00:21:15.628Z,37.2,,56.1,35,,,54
2017-12-10T00:21:25.624Z,37.2,,56.2,36,,,54
2017-12-10T00:21:35.627Z,37.2,,56.3,37,,,54
2017-12-10T00:21:45.635Z,37.2,,56.5,38,,,54
2017-12-10T00:21:55.630Z,37.2,,56.7,40,,,54
2017-12-10T00:22:05.633Z,37.2,,57,,,,54
2017-12-10T00:22:15.633Z,37.3,,57.2,,,,54
2017-12-10T00:22:25.625Z,37.3,,57.3,,,,54
2017-12-10T00:22:35.625Z,37.3,,57.6,,,,54
2017-12-10T00:22:45.625Z,37.3,,57.7,,,,54
2017-12-10T00:22:55.625Z,37.3,,,38,,,54
2017-12-10T00:23:05.625Z,37.4,,,,,,54
2017-12-10T00:23:15.627Z,37.4,,57.8,39,,,54
2017-12-10T00:23:25.630Z,37.4,,58,40,,,54
2017-12-10T00:23:35.627Z,37.4,,,,,,54
2017-12-10T00:23:45.629Z,37.4,,58.2,41,,,54
2017-12-10T00:23:55.630Z,37.4,,58.4,42,,,54
2017-12-10T00:24:05.630Z,37.5,,58.6,41,,,54
2017-12-10T00:24:15.632Z,37.5,,58.8,42,,,54
2017-12-10T00:24:25.628Z,37.5,,59,43,,,54
2017-12-10T00:24:35.628Z,37.5,,59.1,,,,54
2017-12-10T00:24:45.629Z,37.6,,59.4,,,,54
2017-12-10T00:24:55.626Z,37.6,,59.5,42,,,54
2017-12-10T00:25:05.633Z,37.6,,59.6,,,,54
2017-12-10T00:25:15.627Z,37.7,,59.7,,,,54
2017-12-10T00:25:25.628Z,37.7,,59.8,,,,54
2017-12-10T00:25:35.627Z,37.8,,59.9,,,,54
2017-12-10T00:25:45.630Z,37.8,,60,,,,54
2017-12-10T00:25:55.629Z,37.8,,60.1,,,,54
2017-12-10T00:26:05.633Z,37.8,,60.2,,,,54
2017-12-10T00:26:15.630Z,37.8,,60.4,,,,54
2017-12-10T00:26:25.630Z,37.8,,,,,,54
2017-12-10T00:26:35.629Z,37.8,,60.5,,,,54
2017-12-10T00:26:45.629Z,37.8,,60.6,,,,54
2017-12-10T00:26:55.631Z,37.8,,60.7,,,,54
2017-12-10T00:27:05.632Z,37.8,,60.8,,,,54
2017-12-10T00:27:15.626Z,37.9,,60.9,,,,54
2017-12-10T00:27:25.630Z,37.9,,61.1,,,,54
