Time,PrimTSet,HwTOutlet,HwActive,ChActive,PrimT,ActPow,HwTSet
2017-12-12T00:00:06.265Z,,23.6,,,,,54
2017-12-12T00:00:16.264Z,,23.6,,,,,54
2017-12-12T00:00:26.273Z,,23.3,,,56.2,,54
2017-12-12T00:00:36.272Z,,23,,,,,54
2017-12-12T00:00:46.272Z,,23.2,,,,30,54
2017-12-12T00:00:56.267Z,,23.4,,,,29,54
2017-12-12T00:01:06.263Z,,23.6,,,56.3,,54
2017-12-12T00:01:16.262Z,,23.7,,,,,54
2017-12-12T00:01:26.277Z,,23.7,,,,,54
2017-12-12T00:01:36.269Z,,23.8,,,,30,54
2017-12-12T00:01:46.263Z,,23.8,,,,29,54
2017-12-12T00:01:56.266Z,,23.8,,,56.4,,54
2017-12-12T00:02:06.272Z,,23.9,,,,30,54
2017-12-12T00:02:16.263Z,,23.8,,,,29,54
2017-12-12T00:02:26.271Z,,23.6,,,,,54
2017-12-12T00:02:36.263Z,,23.8,,,56.5,30,54
2017-12-12T00:02:46.264Z,,23.8,,,,,54
2017-12-12T00:02:56.265Z,,23.9,,,,29,54
2017-12-12T00:03:06.265Z,,23.6,,,,,54
2017-12-12T00:03:16.266Z,,23.6,,,,,54
2017-12-12T00:03:26.265Z,,23.8,,,56.6,,54
2017-12-12T00:03:36.270Z,,23.6,,,,,54
2017-12-12T00:03:46.268Z,,23.7,,,,30,54
2017-12-12T00:03:56.265Z,,23.8,,,,29,54
2017-12-12T00:04:06.266Z,,23.7,,,,,54
2017-12-12T00:04:16.266Z,,23.7,,,56.7,,54
2017-12-12T00:04:26.272Z,,24.2,,,,,54
2017-12-12T00:04:36.266Z,,24,,,,,54
2017-12-12T00:04:46.267Z,,24.3,,,,,54
2017-12-12T00:04:56.265Z,,23.9,,,,,54
2017-12-12T00:05:06.265Z,,24.2,,,56.8,,54
2017-12-12T00:05:16.266Z,,24,,,,,54
2017-12-12T00:05:26.291Z,,23.6,,,,,54
2017-12-12T00:05:36.267Z,,24.2,,,,,54
2017-12-12T00:05:46.267Z,,23.7,,,,,54
2017-12-12T00:05:56.269Z,,24.2,,,,30,54
2017-12-12T00:06:06.295Z,,24.3,,,56.9,29,54
2017-12-12T00:06:16.273Z,,23.8,,,,,54
2017-12-12T00:06:31.392Z,,23.9,,,,,54
2017-12-12T00:06:36.269Z,,23.8,,,56.9,,54
2017-12-12T00:06:46.270Z,,23.9,0,2,56.9,0,54
2017-12-12T00:06:56.269Z,,23.6,,,54.9,,54
2017-12-12T00:07:06.270Z,,23.8,,,53.8,,54
2017-12-12T00:07:16.267Z,,22.7,,,52.7,,54
2017-12-12T00:07:26.273Z,,22.8,,,51.9,,54
2017-12-12T00:07:36.388Z,,22.4,,,50.9,,54
2017-12-12T00:07:46.271Z,,22.2,,,50.7,,54
2017-12-12T00:07:56.273Z,,22.1,,,49.9,,54
2017-12-12T00:08:06.268Z,,22,,,49.7,,54
2017-12-12T00:08:16.272Z,,21.6,,,48.9,,54
2017-12-12T00:08:26.272Z,,21.3,,,,,54
2017-12-12T00:08:36.271Z,,20.9,,,48.5,,54
2017-12-12T00:08:46.267Z,,20.5,,,47.9,,54
2017-12-12T00:08:56.271Z,,20.6,,,,,54
2017-12-12T00:09:06.272Z,,20.5,,,47.6,,54
2017-12-12T00:09:16.269Z,,20.5,,,47.3,,54
2017-12-12T00:09:26.273Z,,20.4,,,46.9,,54
2017-12-12T00:09:36.273Z,,20.4,,,46.8,,54
2017-12-12T00:09:46.269Z,,20,,,46.4,,54
2017-12-12T00:09:56.275Z,,20.1,,,,,54
