Time,PrimTSet,HwTOutlet,PrimT,HwTSet,HwActive,ActPow,ChActive
2017-12-13T00:00:07.088Z,,37.3,,54,,,
2017-12-13T00:00:17.087Z,,37.3,,54,,,
2017-12-13T00:00:27.084Z,,37.2,,54,,,
2017-12-13T00:00:37.097Z,,37.2,,54,,,
2017-12-13T00:00:47.086Z,,37.1,60.9,54,,,
2017-12-13T00:00:57.082Z,,36.9,,54,,,
2017-12-13T00:01:07.088Z,,36.9,,54,,,
2017-12-13T00:01:17.084Z,,36.8,61.1,54,,,
2017-12-13T00:01:27.083Z,,36.8,61.1,54,,30,
2017-12-13T00:01:37.082Z,,36.8,,54,,29,
2017-12-13T00:01:47.085Z,,36.8,,54,,,
2017-12-13T00:01:57.083Z,,36.9,,54,,,
2017-12-13T00:02:07.084Z,,36.9,,54,,,
2017-12-13T00:02:17.082Z,,36.9,61.2,54,,,
2017-12-13T00:02:27.083Z,,36.9,,54,,,
2017-12-13T00:02:37.084Z,,36.9,,54,,,
2017-12-13T00:02:47.083Z,,36.8,,54,,,
2017-12-13T00:02:57.088Z,,36.8,,54,,30,
2017-12-13T00:03:07.086Z,,36.7,,54,,29,
2017-12-13T00:03:17.092Z,,36.7,,54,,,
2017-12-13T00:03:27.082Z,,36.7,,54,,,
2017-12-13T00:03:37.101Z,,36.7,,54,,,
2017-12-13T00:03:47.084Z,,36.7,,54,,,
2017-12-13T00:03:57.097Z,,36.7,61.3,54,,,
2017-12-13T00:04:07.101Z,,36.8,61.2,54,,,
2017-12-13T00:04:17.084Z,,36.8,61.3,54,,,
2017-12-13T00:04:27.086Z,,36.7,61.2,54,,30,
2017-12-13T00:04:37.084Z,,36.7,61.3,54,,29,
2017-12-13T00:04:47.087Z,,36.7,,54,,,
2017-12-13T00:04:57.093Z,,36.7,,54,,,
2017-12-13T00:05:07.083Z,,36.8,,54,,,
2017-12-13T00:05:17.085Z,,36.8,,54,,,
2017-12-13T00:05:27.087Z,,36.8,,54,,,
2017-12-13T00:05:37.092Z,,36.8,,54,,30,
2017-12-13T00:05:47.084Z,,36.7,,54,,29,
2017-12-13T00:05:57.089Z,,36.8,,54,,,
2017-12-13T00:06:07.088Z,,36.8,,54,,,
2017-12-13T00:06:17.090Z,,36.9,,54,,,
2017-12-13T00:06:27.086Z,,36.9,,54,,,
2017-12-13T00:06:37.085Z,,36.9,,54,,,
2017-12-13T00:06:47.090Z,,37.1,,54,,30,
2017-12-13T00:06:57.089Z,,37.1,,54,,29,
2017-12-13T00:07:07.085Z,,37.1,,54,,,
2017-12-13T00:07:17.092Z,,37.2,61.4,54,,,
2017-12-13T00:07:27.091Z,,37.1,,54,,,
2017-12-13T00:07:37.085Z,,37.1,,54,,,
2017-12-13T00:07:47.090Z,,37.1,,54,,,
2017-12-13T00:07:57.111Z,,37.1,,54,,,
2017-12-13T00:08:07.088Z,,36.9,,54,,,
2017-12-13T00:08:17.089Z,,36.9,,54,,,
2017-12-13T00:08:27.093Z,,36.9,,54,,30,
2017-12-13T00:08:37.093Z,,36.8,,54,,29,
2017-12-13T00:08:47.094Z,,36.8,,54,,30,
2017-12-13T00:08:57.121Z,,36.8,,54,,29,
2017-12-13T00:09:07.092Z,,36.8,,54,,,
2017-12-13T00:09:17.102Z,,36.9,,54,,,
2017-12-13T00:09:27.090Z,,36.8,,54,,,
2017-12-13T00:09:37.089Z,,36.9,,54,,,
2017-12-13T00:09:47.092Z,,37.1,,54,,,
2017-12-13T00:09:57.097Z,,37.1,,54,,,
2017-12-13T00:10:07.091Z,,37.2,,54,,,
2017-12-13T00:10:17.096Z,,37.2,,54,,30,
2017-12-13T00:10:27.089Z,,37.2,,54,,,
2017-12-13T00:10:37.094Z,,37.2,,54,,,
2017-12-13T00:10:47.095Z,,37.2,61.5,54,,29,
2017-12-13T00:10:57.098Z,,37.2,61.4,54,,,
2017-12-13T00:11:07.089Z,,37.2,61.5,54,,,
2017-12-13T00:11:17.088Z,,37.2,,54,,,
2017-12-13T00:11:27.131Z,,37.1,,54,,30,
2017-12-13T00:11:37.096Z,,37.1,,54,,29,
2017-12-13T00:11:47.089Z,,37.1,,54,,,
2017-12-13T00:11:57.100Z,,37.1,,54,,,
2017-12-13T00:12:07.094Z,,37.1,,54,,,
2017-12-13T00:12:17.088Z,,37.2,,54,,,
2017-12-13T00:12:27.091Z,,37.2,,54,,,
2017-12-13T00:12:37.096Z,,37.2,,54,,,
2017-12-13T00:12:47.087Z,,37.1,,54,,,
2017-12-13T00:12:57.089Z,,37.1,,54,,,
2017-12-13T00:13:07.090Z,,37.2,,54,,30,
2017-12-13T00:13:17.103Z,,37.2,,54,,29,
2017-12-13T00:13:27.093Z,,37.2,61.6,54,,,
2017-12-13T00:13:37.090Z,,37.2,,54,,,
2017-12-13T00:13:47.091Z,,37.3,,54,,,
2017-12-13T00:13:57.092Z,,37.3,,54,,,
2017-12-13T00:14:07.089Z,,37.3,,54,,,
2017-12-13T00:14:17.096Z,,37.3,,54,,30,
2017-12-13T00:14:27.091Z,,37.3,,54,,,
2017-12-13T00:14:37.093Z,,37.3,,54,,,
2017-12-13T00:14:47.090Z,,37.3,,54,,29,
2017-12-13T00:14:57.090Z,,37.3,,54,,,
2017-12-13T00:15:07.105Z,,37.3,61.8,54,,,
2017-12-13T00:15:17.091Z,,37.4,,54,,,
2017-12-13T00:15:27.091Z,,37.4,,54,,,
2017-12-13T00:15:37.095Z,,37.4,,54,,,
2017-12-13T00:15:47.095Z,,37.4,,54,,30,
2017-12-13T00:15:57.093Z,,37.4,,54,,29,
2017-12-13T00:16:07.097Z,,37.4,,54,,,
2017-12-13T00:16:17.099Z,,37.4,61.9,54,,,
2017-12-13T00:16:27.091Z,,37.3,,54,,,
2017-12-13T00:16:37.092Z,,37.4,,54,,,
2017-12-13T00:16:47.090Z,,37.4,,54,,,
2017-12-13T00:16:57.092Z,,37.4,,54,,,
2017-12-13T00:17:07.091Z,,37.4,,54,,,
2017-12-13T00:17:17.091Z,,37.4,,54,,,
2017-12-13T00:17:27.092Z,,37.4,,54,,,
2017-12-13T00:17:37.092Z,,37.4,,54,,,
2017-12-13T00:17:47.091Z,,37.4,62,54,,,
2017-12-13T00:17:57.094Z,,37.4,61.9,54,,,
2017-12-13T00:18:07.103Z,,37.3,62,54,,30,
2017-12-13T00:18:17.091Z,,37.3,,54,,29,
2017-12-13T00:18:27.100Z,,37.3,,54,,30,
2017-12-13T00:18:37.096Z,,37.3,,54,,29,
2017-12-13T00:18:47.092Z,,37.3,,54,,,
2017-12-13T00:18:57.243Z,,37.3,,54,,,
2017-12-13T00:19:07.092Z,,37.3,,54,,,
2017-12-13T00:19:17.091Z,,37.4,,54,,,
2017-12-13T00:19:27.103Z,,37.3,,54,,30,
2017-12-13T00:19:37.094Z,,37.3,,54,,,
2017-12-13T00:19:47.106Z,,37.3,62.1,54,,29,
2017-12-13T00:19:57.096Z,,37.3,,54,,,
2017-12-13T00:20:07.111Z,,37.3,,54,,,
2017-12-13T00:20:17.097Z,,37.3,,54,,,
2017-12-13T00:20:27.095Z,,37.3,,54,,,
2017-12-13T00:20:37.097Z,,37.3,,54,,,
2017-12-13T00:20:47.097Z,,37.3,,54,,,
2017-12-13T00:20:57.100Z,,37.4,,54,,,
2017-12-13T00:21:07.097Z,,37.5,,54,,,
2017-12-13T00:21:17.097Z,,37.5,,54,,30,
2017-12-13T00:21:27.093Z,,37.5,,54,,29,
2017-12-13T00:21:37.094Z,,37.6,,54,,,
2017-12-13T00:21:47.097Z,,37.6,62.2,54,,,
2017-12-13T00:21:57.094Z,,37.6,,54,,,
2017-12-13T00:22:07.096Z,,37.6,,54,,,
2017-12-13T00:22:17.097Z,,37.6,,54,,,
2017-12-13T00:22:27.098Z,,37.6,,54,,30,
2017-12-13T00:22:37.098Z,,37.5,,54,,29,
2017-12-13T00:22:47.100Z,,37.5,,54,,,
2017-12-13T00:22:57.100Z,,37.5,,54,,,
2017-12-13T00:23:07.095Z,,37.5,,54,,,
2017-12-13T00:23:17.099Z,,37.5,,54,,,
2017-12-13T00:23:27.099Z,,37.5,,54,,,
2017-12-13T00:23:37.100Z,,37.5,62.4,54,,30,
2017-12-13T00:23:47.100Z,,37.4,,54,,29,
2017-12-13T00:23:57.104Z,,37.4,,54,,,
2017-12-13T00:24:07.105Z,,37.5,,54,,,
2017-12-13T00:24:17.107Z,,37.5,,54,,,
2017-12-13T00:24:27.101Z,,37.5,,54,,,
2017-12-13T00:24:37.099Z,,37.5,,54,,30,
2017-12-13T00:24:47.110Z,,37.5,,54,,29,
2017-12-13T00:24:57.099Z,,37.5,,54,,,
2017-12-13T00:25:07.101Z,,37.5,,54,,,
2017-12-13T00:25:17.101Z,,37.5,,54,,30,
2017-12-13T00:25:27.100Z,,37.5,,54,,,
2017-12-13T00:25:37.102Z,,37.5,,54,,29,
2017-12-13T00:25:47.096Z,,37.5,,54,,,
2017-12-13T00:25:57.098Z,,37.5,,54,,,
2017-12-13T00:26:07.098Z,,37.6,62.5,54,,,
2017-12-13T00:26:17.104Z,,37.6,,54,,30,
