Time,PrimTSet,HwTOutlet,HwActive,HwTSet,ActPow,PrimT,ChActive
2017-12-15T00:00:03.886Z,,27.9,,54,,42.7,
2017-12-15T00:00:13.724Z,,28,,54,,42.8,
2017-12-15T00:00:23.723Z,,28.1,,54,,42.9,
2017-12-15T00:00:33.721Z,,28.3,,54,30,43,
2017-12-15T00:00:43.722Z,,28.4,,54,,43.1,
2017-12-15T00:00:53.721Z,,28.5,,54,29,43.2,
2017-12-15T00:01:03.826Z,,28.6,,54,,43.3,
2017-12-15T00:01:13.730Z,,28.6,0,54,0,41.5,2
2017-12-15T00:01:23.726Z,,28.7,,54,,40.2,
2017-12-15T00:01:33.727Z,,28.9,,54,,39.5,
2017-12-15T00:01:43.736Z,,28.9,,54,,38.7,
2017-12-15T00:01:53.726Z,,28.9,,54,,38.2,
2017-12-15T00:02:03.827Z,,28.9,,54,,37.7,
2017-12-15T00:02:13.720Z,,28.9,,54,,37.3,
2017-12-15T00:02:23.727Z,,28.7,,54,,36.8,
2017-12-15T00:02:33.722Z,,28.7,,54,,36.5,
2017-12-15T00:02:43.733Z,,28.6,,54,,36.2,
2017-12-15T00:02:53.724Z,,28.6,,54,,35.9,
2017-12-15T00:03:03.824Z,,28.6,,54,,35.7,
2017-12-15T00:03:18.836Z,,28.5,,54,,35.5,
2017-12-15T00:03:23.727Z,,28.4,0,54,44,36.5,2
2017-12-15T00:03:33.727Z,,28.4,,54,31,42.1,
2017-12-15T00:03:43.726Z,,28.3,,54,30,41.6,
2017-12-15T00:03:53.727Z,,28.3,,54,29,41.2,
2017-12-15T00:04:03.858Z,,28.3,,54,,42.2,
2017-12-15T00:04:13.729Z,,28.3,,54,,42.4,
2017-12-15T00:04:23.730Z,,28.4,,54,30,43,
2017-12-15T00:04:33.732Z,,28.5,,54,29,43.2,
2017-12-15T00:04:43.721Z,,28.7,,54,,43.5,
2017-12-15T00:04:53.725Z,,28.9,,54,,43.8,
