Time,PrimT,PrimTSet,ActPow,HwTSet,ChActive,HwTOutlet,HwActive
2017-12-18T00:00:06.274Z,,,,54,,25.5,
2017-12-18T00:00:26.173Z,32,,,54,,25.4,
2017-12-18T00:00:36.175Z,,5,,54,0,25.4,0
2017-12-18T00:00:46.174Z,,,,54,,25.3,
2017-12-18T00:00:56.182Z,,61,,,1,,0
2017-12-18T00:01:06.275Z,,,,54,,25.1,
2017-12-18T00:01:16.171Z,,,,54,,25.1,
2017-12-18T00:01:36.175Z,,,,54,,25,
2017-12-18T00:01:56.171Z,31.9,,,54,,25,
2017-12-18T00:02:06.272Z,,,,54,,24.9,
2017-12-18T00:02:16.177Z,,,,54,,24.9,
2017-12-18T00:02:36.176Z,,,,54,,24.9,
2017-12-18T00:02:46.181Z,,,,54,,24.8,
2017-12-18T00:02:56.183Z,31.9,61,0,,1,,0
2017-12-18T00:03:06.278Z,,,,54,,24.8,
2017-12-18T00:03:16.178Z,31.8,,,54,,24.8,
2017-12-18T00:03:26.218Z,,,,54,,24.7,
2017-12-18T00:03:46.175Z,,,,54,,24.7,
2017-12-18T00:03:56.176Z,,,,54,,24.5,
2017-12-18T00:04:16.171Z,,5,,54,0,24.5,0
2017-12-18T00:04:36.178Z,,61,,54,1,24.4,0
2017-12-18T00:04:46.173Z,31.7,,,54,,24.4,
2017-12-18T00:05:06.272Z,,,,54,,24.4,
2017-12-18T00:05:16.176Z,,5,,54,0,24.3,0
2017-12-18T00:05:26.179Z,,61,,54,1,24.3,0
2017-12-18T00:05:36.172Z,,,,54,,24.3,
2017-12-18T00:05:56.186Z,,,,54,,24.2,
2017-12-18T00:06:06.274Z,,,,54,,24.2,
2017-12-18T00:06:16.172Z,,,,54,,24.2,
2017-12-18T00:06:26.175Z,,5,,54,0,24.2,0
2017-12-18T00:06:36.176Z,31.6,61,,54,1,24.2,0
2017-12-18T00:06:46.175Z,,,,54,,24,
2017-12-18T00:07:06.279Z,,5,,54,0,24,0
2017-12-18T00:07:16.179Z,,61,,54,1,24,0
2017-12-18T00:07:26.172Z,,,,54,,23.9,
2017-12-18T00:07:36.181Z,,,,54,,23.9,
2017-12-18T00:07:46.172Z,,,,54,,23.9,
2017-12-18T00:07:56.172Z,,,,54,,23.9,
2017-12-18T00:08:06.284Z,,,,54,,23.9,
2017-12-18T00:08:16.182Z,31.5,,,54,,23.8,
2017-12-18T00:08:26.173Z,31.6,,,54,,23.8,
2017-12-18T00:08:36.175Z,31.5,,,54,,23.8,
2017-12-18T00:08:56.179Z,,,,54,,23.8,
2017-12-18T00:09:06.263Z,,,,54,,23.7,
2017-12-18T00:09:16.185Z,,,,54,,23.7,
2017-12-18T00:09:26.175Z,,,,54,,23.7,
2017-12-18T00:09:36.186Z,,,,54,,23.7,
2017-12-18T00:09:46.174Z,,,,54,,23.6,
2017-12-18T00:09:56.174Z,,,,54,,23.6,
2017-12-18T00:10:06.264Z,,,,54,,23.6,
2017-12-18T00:10:16.174Z,,,,54,,23.6,
2017-12-18T00:10:26.183Z,,,,54,,23.6,
2017-12-18T00:10:36.175Z,31.4,,,,,,
