Time,HwTOutlet,HwActive,PrimT,HwTSet,ChActive,PrimTSet,ActPow
2017-12-20T00:00:07.901Z,28,,,54,,,
2017-12-20T00:00:17.801Z,28,,,54,,,
2017-12-20T00:00:27.805Z,28,,31.7,54,,,
2017-12-20T00:00:37.801Z,27.9,,,54,,,
2017-12-20T00:00:47.801Z,27.9,,,54,,,
2017-12-20T00:00:57.806Z,27.8,,,54,,,
2017-12-20T00:01:07.897Z,27.8,,31.8,54,,,
2017-12-20T00:01:17.801Z,27.7,,,54,,,
2017-12-20T00:01:27.805Z,27.7,,,54,,,
2017-12-20T00:01:37.812Z,27.5,,31.9,54,,,
2017-12-20T00:01:47.802Z,27.5,,,54,,,
2017-12-20T00:01:57.802Z,27.4,,,54,,,
2017-12-20T00:02:07.893Z,27.4,,31.9,54,,,
2017-12-20T00:02:17.803Z,27.3,,32,54,,,
2017-12-20T00:02:27.808Z,27.2,,,54,,,
2017-12-20T00:02:37.806Z,27.2,,,54,,,
2017-12-20T00:02:47.804Z,27.1,,,54,,,
2017-12-20T00:02:57.803Z,27.1,,,54,,,
2017-12-20T00:03:07.905Z,26.9,,32.1,54,,,
2017-12-20T00:03:17.803Z,26.9,,,54,,,
2017-12-20T00:03:27.804Z,26.8,,,54,,,
2017-12-20T00:03:37.803Z,26.8,,,54,,,
2017-12-20T00:03:47.802Z,26.7,,,54,,,
2017-12-20T00:03:57.803Z,26.7,,,54,,,
2017-12-20T00:04:07.904Z,26.6,,,54,,,
2017-12-20T00:04:17.807Z,26.6,,,54,,,
2017-12-20T00:04:27.808Z,26.5,,,54,,,
2017-12-20T00:04:37.805Z,26.5,,,54,,,
2017-12-20T00:04:47.805Z,26.3,,,54,,,
2017-12-20T00:04:57.805Z,26.3,,,54,,,
2017-12-20T00:05:07.905Z,26.2,,,54,,,
2017-12-20T00:05:17.806Z,26.2,,,54,,,
2017-12-20T00:05:27.809Z,26.1,,,54,,,
2017-12-20T00:05:37.806Z,26.1,,,54,,,
2017-12-20T00:05:47.806Z,26,,,54,,,
2017-12-20T00:05:57.806Z,26,,,54,,,
2017-12-20T00:06:07.893Z,26,,,54,,,
2017-12-20T00:06:17.807Z,25.9,0,32.1,54,1,61,0
2017-12-20T00:06:27.807Z,25.9,,32,54,,,
2017-12-20T00:06:38.087Z,25.7,,32.1,54,,,
2017-12-20T00:06:47.806Z,25.7,,32,54,,,
2017-12-20T00:06:57.814Z,25.7,,,54,,,
2017-12-20T00:07:07.907Z,25.6,,,54,,,
2017-12-20T00:07:17.805Z,25.6,,,54,,,
2017-12-20T00:07:27.805Z,25.5,,,54,,,
2017-12-20T00:07:37.807Z,25.5,,,54,,,
2017-12-20T00:07:47.808Z,25.4,,,54,,,
2017-12-20T00:07:57.817Z,25.4,,,54,,,
2017-12-20T00:08:08.063Z,25.4,,,54,,,
2017-12-20T00:08:17.809Z,25.3,,31.9,54,,,
2017-12-20T00:08:27.808Z,25.3,,,54,,,
2017-12-20T00:08:37.809Z,25.3,,,54,,,
2017-12-20T00:08:47.810Z,25.1,,,54,,,
2017-12-20T00:08:57.808Z,25.1,,,54,,,
2017-12-20T00:09:07.906Z,25.1,,,54,,,
2017-12-20T00:09:17.810Z,25,,,54,,,
2017-12-20T00:09:27.810Z,25,,,54,,,
2017-12-20T00:09:37.811Z,25,,,54,,,
2017-12-20T00:09:47.808Z,24.9,,31.8,54,,,
2017-12-20T00:09:57.806Z,24.9,,,54,,,
2017-12-20T00:10:07.909Z,24.9,,,54,,,
2017-12-20T00:10:17.809Z,24.8,,,54,,,
2017-12-20T00:10:27.806Z,24.8,,,54,,,
2017-12-20T00:10:37.806Z,24.8,,,54,,,
2017-12-20T00:10:47.812Z,24.7,,,54,,,
2017-12-20T00:10:57.811Z,24.7,,,54,,,
