Time,ChActive,HwActive,HwTSet,HwTOutlet,PrimTSet,PrimT,ActPow
2017-12-21T00:00:08.727Z,,,54,22,,32,30
2017-12-21T00:00:18.622Z,,,54,22.1,,32.3,29
2017-12-21T00:00:28.620Z,,,54,22.2,,32.6,
2017-12-21T00:00:38.628Z,,,54,22.4,,33.1,
2017-12-21T00:00:48.629Z,,,54,22.5,,,
2017-12-21T00:00:58.620Z,,,54,22.7,,33.3,
2017-12-21T00:01:08.712Z,,,54,22.8,,33.4,
2017-12-21T00:01:18.620Z,,,54,23.1,,33.5,
2017-12-21T00:01:28.620Z,1,0,54,23.2,,32.9,0
2017-12-21T00:01:38.622Z,,,54,23.4,,30.8,
2017-12-21T00:01:48.620Z,,,54,23.6,,29.9,
2017-12-21T00:01:58.624Z,,,54,23.7,,29.8,
2017-12-21T00:02:08.717Z,,,54,23.8,,28.9,
2017-12-21T00:02:18.620Z,,,54,23.8,,28.4,
2017-12-21T00:02:28.625Z,,,54,23.9,,27.8,
2017-12-21T00:02:38.637Z,,,54,23.9,,27.6,
2017-12-21T00:02:48.627Z,,,54,23.9,,27.2,
2017-12-21T00:02:58.622Z,,,54,24,,26.9,
2017-12-21T00:03:08.728Z,,,54,24,,26.7,
2017-12-21T00:03:18.623Z,,,54,23.9,,26.5,
2017-12-21T00:03:28.621Z,,,54,23.9,,26.3,
2017-12-21T00:03:38.624Z,,,54,23.9,,25.9,
2017-12-21T00:03:48.631Z,,,54,23.9,,,
2017-12-21T00:03:58.621Z,,,54,23.8,,25.8,
2017-12-21T00:04:08.743Z,,,54,23.8,,25.7,
2017-12-21T00:04:18.632Z,,,54,23.8,,25.5,
2017-12-21T00:04:28.624Z,,,54,23.7,,25.4,
2017-12-21T00:04:38.622Z,,,54,23.7,,,
2017-12-21T00:04:48.623Z,,,54,23.7,,,
2017-12-21T00:04:58.624Z,,,54,23.6,,,
2017-12-21T00:05:08.714Z,,,54,23.6,,,
2017-12-21T00:05:18.624Z,,,54,23.6,,,
2017-12-21T00:05:28.625Z,,,54,23.6,,,
2017-12-21T00:05:38.624Z,,,54,23.6,,,
