Time,ChActive,HwTSet,PrimTSet,ActPow,HwActive,PrimT,HwTOutlet
2017-12-23T00:00:00.263Z,,54,,,,,20.9
2017-12-23T00:00:10.274Z,,54,,,,,20.9
2017-12-23T00:00:20.262Z,,54,,,,,20.9
2017-12-23T00:00:30.264Z,,54,,,,,20.9
2017-12-23T00:00:40.264Z,,54,,,,,20.9
2017-12-23T00:00:50.266Z,,54,,,,,20.8
2017-12-23T00:01:00.262Z,,54,,,,,20.8
2017-12-23T00:01:10.264Z,,54,,,,21.6,20.8
2017-12-23T00:01:20.271Z,,54,,,,21.6,20.8
2017-12-23T00:01:30.264Z,,54,,,,,20.8
2017-12-23T00:01:40.263Z,,54,,,,,20.8
2017-12-23T00:01:50.273Z,,54,,,,,20.6
2017-12-23T00:02:00.265Z,,54,,,,,20.6
2017-12-23T00:02:10.265Z,,54,,,,,20.6
2017-12-23T00:02:20.269Z,,54,,,,,20.6
2017-12-23T00:02:30.265Z,,54,,,,,20.6
2017-12-23T00:02:40.266Z,,54,,,,,20.6
2017-12-23T00:02:50.266Z,,54,,,,,20.5
2017-12-23T00:03:00.266Z,,54,,,,21.4,20.5
2017-12-23T00:03:10.266Z,,54,,,,21.6,20.5
2017-12-23T00:03:20.271Z,,54,,,,,20.5
2017-12-23T00:03:30.266Z,,54,,,,,20.5
2017-12-23T00:03:45.366Z,,54,,,,,20.5
2017-12-23T00:03:50.266Z,,54,,,,,20.4
2017-12-23T00:04:00.264Z,,54,,,,,20.4
2017-12-23T00:04:10.267Z,,54,,,,,20.4
2017-12-23T00:04:20.267Z,,54,,,,,20.4
2017-12-23T00:04:30.267Z,,54,,,,,20.4
2017-12-23T00:04:40.267Z,,54,,,,,20.2
2017-12-23T00:04:50.267Z,,54,,,,,20.2
2017-12-23T00:05:00.268Z,,54,,,,,20.2
2017-12-23T00:05:10.264Z,,54,,,,,20.2
2017-12-23T00:05:20.268Z,,54,,,,,20.2
2017-12-23T00:05:30.264Z,,54,,,,,20.2
2017-12-23T00:05:40.268Z,,54,,,,,20.2
2017-12-23T00:05:50.273Z,,54,,,,,20.1
2017-12-23T00:06:00.269Z,,54,,,,,20.1
2017-12-23T00:06:10.268Z,,54,,,,,20.1
2017-12-23T00:06:20.270Z,,54,,,,,20.1
2017-12-23T00:06:30.265Z,,54,,,,,20.1
2017-12-23T00:06:40.469Z,,54,,,,,20.1
2017-12-23T00:06:50.266Z,,54,,,,,20.1
2017-12-23T00:07:00.265Z,,54,,,,,20.1
2017-12-23T00:07:10.266Z,,54,,,,,20.1
2017-12-23T00:07:20.271Z,,54,,,,,20
2017-12-23T00:07:30.268Z,,54,,,,,20
2017-12-23T00:07:40.269Z,,54,,,,,20
2017-12-23T00:07:50.269Z,,54,,,,,20
2017-12-23T00:08:00.270Z,,54,,,,,20
2017-12-23T00:08:10.270Z,,54,,,,,20
2017-12-23T00:08:20.271Z,,54,,,,,20
2017-12-23T00:08:30.271Z,,54,,,,,20
2017-12-23T00:08:40.271Z,,54,,,,,19.8
2017-12-23T00:08:50.271Z,,54,,,,,19.8
2017-12-23T00:09:00.272Z,,54,,,,,19.8
2017-12-23T00:09:10.272Z,,54,,,,,19.8
2017-12-23T00:09:20.271Z,,54,,,,,19.8
2017-12-23T00:09:30.267Z,,54,,,,,19.8
2017-12-23T00:09:40.267Z,,54,,,,,19.8
2017-12-23T00:09:50.273Z,,54,,,,,19.8
2017-12-23T00:10:00.268Z,,54,,,,,19.7
2017-12-23T00:10:10.268Z,,54,,,,,19.7
2017-12-23T00:10:20.274Z,,54,,,,,19.7
2017-12-23T00:10:30.270Z,,54,,,,,19.7
2017-12-23T00:10:40.268Z,,54,,,,,19.7
2017-12-23T00:10:50.269Z,,54,,,,,19.7
2017-12-23T00:11:00.271Z,,54,,,,,19.7
2017-12-23T00:11:10.273Z,,54,,,,,19.7
2017-12-23T00:11:20.275Z,1,54,61,0,0,21.6,19.7
2017-12-23T00:11:30.271Z,,54,,,,,19.6
2017-12-23T00:11:40.275Z,,54,,,,,19.6
2017-12-23T00:11:50.268Z,,54,,,,,19.6
2017-12-23T00:12:00.271Z,,54,,,,,19.6
2017-12-23T00:12:10.271Z,,54,,,,,19.6
2017-12-23T00:12:20.274Z,,54,,,,21.7,19.6
2017-12-23T00:12:30.270Z,,54,,,,21.6,19.6
2017-12-23T00:12:40.269Z,,54,,,,21.7,19.6
2017-12-23T00:12:50.269Z,,54,,,,21.6,19.6
2017-12-23T00:13:00.271Z,,54,,,,,19.6
2017-12-23T00:13:10.271Z,,54,,,,,19.6
2017-12-23T00:13:20.275Z,,54,,,,,19.6
2017-12-23T00:13:30.277Z,,54,,,,,19.4
2017-12-23T00:13:40.273Z,,54,,,,21.7,19.4
