Time,ActPow,HwTOutlet,PrimT,ChActive,HwTSet,PrimTSet,HwActive
2017-12-24T00:00:01.090Z,,21.2,28.2,,54,,
2017-12-24T00:00:11.095Z,,21.2,,,54,,
2017-12-24T00:00:21.085Z,,21.2,,,54,,
2017-12-24T00:00:31.088Z,,21.2,,,54,,
2017-12-24T00:00:41.090Z,,21.2,,,54,,
2017-12-24T00:00:51.086Z,,21.2,,,54,,
2017-12-24T00:01:01.095Z,,21.1,,,54,,
2017-12-24T00:01:11.089Z,,21.2,,,54,,
2017-12-24T00:01:21.086Z,,21.2,,,54,,
2017-12-24T00:01:31.086Z,,21.2,,,54,,
2017-12-24T00:01:41.088Z,,21.2,,,54,,
2017-12-24T00:01:51.091Z,,21.1,,,54,,
2017-12-24T00:02:01.097Z,,21.1,,,54,,
2017-12-24T00:02:11.087Z,,21.1,,,54,,
2017-12-24T00:02:21.198Z,,21.1,,,54,,
2017-12-24T00:02:31.087Z,,21.1,,,54,,
2017-12-24T00:02:41.089Z,,21.1,,,54,,
2017-12-24T00:02:51.087Z,,21.1,,,54,,
2017-12-24T00:03:01.087Z,,21.1,,,54,,
2017-12-24T00:03:11.091Z,,21.1,,,54,,
2017-12-24T00:03:21.088Z,,21.1,,,54,,
2017-12-24T00:03:31.094Z,,21.1,,,54,,
2017-12-24T00:03:41.088Z,,21.1,,,54,,
2017-12-24T00:03:51.095Z,,20.9,,,54,,
2017-12-24T00:04:01.094Z,,21.1,,,54,,
2017-12-24T00:04:11.092Z,,20.9,28.1,,54,,
2017-12-24T00:04:21.090Z,,20.9,,,54,,
2017-12-24T00:04:31.090Z,,20.9,,,54,,
2017-12-24T00:04:41.094Z,,20.9,,,54,,
2017-12-24T00:04:51.087Z,,20.9,,,54,,
2017-12-24T00:05:01.091Z,,20.9,,,54,,
2017-12-24T00:05:11.089Z,,20.9,,,54,,
2017-12-24T00:05:21.089Z,,20.9,,,54,,
2017-12-24T00:05:31.089Z,,20.9,,,54,,
2017-12-24T00:05:41.101Z,,20.9,,,54,,
2017-12-24T00:05:51.090Z,,20.9,,,54,,
2017-12-24T00:06:01.092Z,,20.9,,,54,,
2017-12-24T00:06:11.090Z,,20.9,,,54,,
2017-12-24T00:06:21.091Z,,20.8,,,54,,
2017-12-24T00:06:31.091Z,,20.8,,,54,,
2017-12-24T00:06:41.091Z,,20.8,,,54,,
2017-12-24T00:06:51.091Z,,20.8,,,54,,
2017-12-24T00:07:01.101Z,43,20.8,30.3,1,54,,0
2017-12-24T00:07:11.095Z,35,20.8,33.1,,54,,
2017-12-24T00:07:21.092Z,29,20.8,31.7,,54,,
2017-12-24T00:07:31.092Z,30,20.8,32,,54,,
2017-12-24T00:07:41.091Z,29,20.8,32.1,,54,,
2017-12-24T00:07:51.093Z,,20.8,32.2,,54,,
2017-12-24T00:08:01.096Z,,20.9,32.3,,54,,
2017-12-24T00:08:11.093Z,,21.1,32.5,,54,,
2017-12-24T00:08:21.093Z,,21.2,32.6,,54,,
2017-12-24T00:08:31.093Z,,21.5,32.7,,54,,
2017-12-24T00:08:41.093Z,,21.7,32.8,,54,,
2017-12-24T00:08:51.093Z,,21.9,33.1,,54,,
2017-12-24T00:09:01.099Z,,22.1,,,54,,
2017-12-24T00:09:11.094Z,,22.4,33.2,,54,,
2017-12-24T00:09:21.094Z,,22.5,,,54,,
2017-12-24T00:09:31.094Z,,22.7,33.3,,54,,
2017-12-24T00:09:41.099Z,,22.8,33.4,,54,,
2017-12-24T00:09:51.094Z,,23,33.5,,54,,
2017-12-24T00:10:01.095Z,0,23.2,31.9,1,54,,0
2017-12-24T00:10:11.096Z,,23.2,30.9,,54,,
2017-12-24T00:10:21.095Z,,23.3,29.9,,54,,
2017-12-24T00:10:31.101Z,,23.4,28.9,,54,,
2017-12-24T00:10:41.094Z,,23.6,28.8,,54,,
2017-12-24T00:10:51.092Z,,23.6,27.8,,54,,
2017-12-24T00:11:01.097Z,,23.7,27.7,,54,,
2017-12-24T00:11:11.097Z,,23.7,27.3,,54,,
2017-12-24T00:11:21.096Z,,23.7,26.9,,54,,
2017-12-24T00:11:31.095Z,,23.7,26.6,,54,,
2017-12-24T00:11:41.096Z,,23.7,26.4,,54,,
2017-12-24T00:11:51.097Z,,23.7,25.9,,54,,
2017-12-24T00:12:01.100Z,,23.6,25.8,,54,,
2017-12-24T00:12:11.097Z,,23.6,25.7,,54,,
2017-12-24T00:12:21.095Z,,23.6,25.4,,54,,
2017-12-24T00:12:31.098Z,,23.4,25.3,,54,,
2017-12-24T00:12:41.093Z,,23.4,25.2,,54,,
2017-12-24T00:12:51.097Z,,23.4,24.9,,54,,
2017-12-24T00:13:01.098Z,0,23.3,24.9,1,54,61,0
2017-12-24T00:13:11.093Z,,23.3,,,54,,
2017-12-24T00:13:21.099Z,,23.3,,,54,,
2017-12-24T00:13:31.098Z,,23.2,,,54,,
2017-12-24T00:13:41.093Z,,23.2,,,54,,
2017-12-24T00:13:51.096Z,,23.2,,,54,,
2017-12-24T00:14:01.098Z,,23.2,,,54,,
2017-12-24T00:14:11.096Z,43,23.2,27.1,1,54,,0
2017-12-24T00:14:21.098Z,33,23.2,32.1,,54,,
2017-12-24T00:14:31.110Z,29,23.1,31.9,,54,,
2017-12-24T00:14:41.099Z,,23.1,32,,54,,
2017-12-24T00:14:51.110Z,,23.1,32.2,,54,,
2017-12-24T00:15:01.098Z,0,23.2,30.8,1,54,,0
2017-12-24T00:15:11.122Z,,23.2,29.8,,54,,
2017-12-24T00:15:21.099Z,,23.3,28.9,,54,,
2017-12-24T00:15:31.097Z,,23.3,28.4,,54,,
2017-12-24T00:15:41.095Z,,23.4,27.7,,54,,
2017-12-24T00:15:51.105Z,,23.6,27.3,,54,,
2017-12-24T00:16:01.100Z,,23.7,26.9,,54,,
2017-12-24T00:16:11.100Z,,23.8,26.7,,54,,
2017-12-24T00:16:21.101Z,,23.9,26.5,,54,,
2017-12-24T00:16:31.097Z,,24,26.3,,54,,
2017-12-24T00:16:41.097Z,,24,26.1,,54,,
2017-12-24T00:16:51.102Z,,24,25.9,,54,,
2017-12-24T00:17:01.098Z,,24,25.8,,54,,
2017-12-24T00:17:11.098Z,,24,25.7,,54,,
2017-12-24T00:17:21.102Z,,24,25.5,,54,,
2017-12-24T00:17:31.101Z,,24,25.4,,54,,
2017-12-24T00:17:41.101Z,,24,,,54,,
2017-12-24T00:17:51.102Z,,24,25.3,,54,,
2017-12-24T00:18:01.103Z,,23.9,25.2,,54,,
2017-12-24T00:18:11.103Z,,23.9,,,54,,
2017-12-24T00:18:21.104Z,,23.9,,,54,,
2017-12-24T00:18:31.103Z,,23.8,,,54,,
2017-12-24T00:18:41.109Z,,23.8,,,54,,
2017-12-24T00:18:51.096Z,,23.8,,,54,,
