Time,HwActive,PrimT,ActPow,ChActive,HwTSet,PrimTSet,HwTOutlet
2017-12-26T00:00:02.741Z,,,,,54,,25.9
2017-12-26T00:00:12.738Z,,,,,54,,25.9
2017-12-26T00:00:22.733Z,,31.1,,,54,,25.9
2017-12-26T00:00:32.733Z,,,,,54,,25.7
2017-12-26T00:00:42.734Z,,,,,54,,25.7
2017-12-26T00:00:52.738Z,,,,,54,,25.6
2017-12-26T00:01:02.737Z,,,,,54,,25.6
2017-12-26T00:01:12.736Z,,,,,54,,25.6
2017-12-26T00:01:22.738Z,,,,,54,,25.6
2017-12-26T00:01:32.738Z,,,,,54,,25.5
2017-12-26T00:01:42.735Z,,,,,54,,25.5
2017-12-26T00:01:52.733Z,,,,,54,,25.5
2017-12-26T00:02:02.740Z,,31.1,,,54,,25.4
2017-12-26T00:02:12.741Z,,30.9,,,54,,25.4
2017-12-26T00:02:22.735Z,,,,,54,,25.3
2017-12-26T00:02:32.740Z,,,,,54,,25.3
2017-12-26T00:02:42.739Z,,,,,54,,25.3
2017-12-26T00:02:52.738Z,,,,,54,,25.3
2017-12-26T00:03:02.735Z,,,,,54,,25.1
2017-12-26T00:03:12.738Z,,,,,54,,25.1
2017-12-26T00:03:22.736Z,,,,,54,,25.1
2017-12-26T00:03:32.738Z,,,,,54,,25.1
2017-12-26T00:03:42.737Z,,30.8,,,54,,25
2017-12-26T00:03:52.738Z,,,,,54,,25
2017-12-26T00:04:02.738Z,,,,,54,,25
2017-12-26T00:04:12.739Z,,,,,54,,24.9
2017-12-26T00:04:22.739Z,,,,,54,,24.9
2017-12-26T00:04:32.734Z,,,,,54,,24.9
2017-12-26T00:04:42.741Z,,,,,54,,24.8
2017-12-26T00:04:52.738Z,,,,,54,,24.8
2017-12-26T00:05:02.738Z,,30.7,,,54,,24.8
2017-12-26T00:05:12.739Z,,30.8,,,54,,24.8
2017-12-26T00:05:22.742Z,,30.7,,,54,,24.7
2017-12-26T00:05:32.742Z,,,,,54,,24.7
2017-12-26T00:05:42.736Z,,,,,54,,24.7
2017-12-26T00:05:52.740Z,,,,,54,,24.7
2017-12-26T00:06:02.747Z,,,,,54,,24.7
2017-12-26T00:06:12.740Z,,,,,54,,24.5
2017-12-26T00:06:22.738Z,,,,,54,,24.5
