Time,PrimTSet,HwTOutlet,HwTSet,PrimT,HwActive,ActPow,ChActive
2017-12-28T00:00:06.380Z,,30,54,,,,
2017-12-28T00:00:26.379Z,,29.7,54,,,,
2017-12-28T00:00:36.386Z,,29.6,54,,,,
2017-12-28T00:00:46.382Z,,,,34.4,,,
2017-12-28T00:00:56.385Z,,29.5,54,,,,
2017-12-28T00:01:16.377Z,,29.3,54,,,,
2017-12-28T00:01:26.384Z,,29.2,54,,,,
2017-12-28T00:01:36.387Z,,29.1,54,,,,
2017-12-28T00:01:56.379Z,,29,54,34.5,,,
2017-12-28T00:02:06.377Z,,,,34.4,,,
2017-12-28T00:02:16.383Z,,28.9,54,,,,
2017-12-28T00:02:36.380Z,,28.6,54,,,,
2017-12-28T00:02:56.381Z,,28.5,54,,,,
2017-12-28T00:03:06.381Z,,,,34.3,0,44,1
2017-12-28T00:03:16.400Z,,28.4,54,40,,32,
2017-12-28T00:03:26.383Z,,28.4,54,38.7,,29,
2017-12-28T00:03:36.383Z,,28.3,54,38.6,,,
2017-12-28T00:03:46.384Z,,28.3,54,39.3,,,
2017-12-28T00:03:56.381Z,,28.3,54,,,,
2017-12-28T00:04:06.382Z,,28.3,54,,,,
2017-12-28T00:04:16.386Z,,,,39.5,,,
2017-12-28T00:04:26.387Z,,28.5,54,,,,
2017-12-28T00:04:36.391Z,,28.6,54,39.6,,,
2017-12-28T00:04:46.388Z,,,,39.8,,,
2017-12-28T00:04:56.384Z,,28.7,54,,,,
2017-12-28T00:05:06.385Z,,28.9,54,39.9,,,
2017-12-28T00:05:16.380Z,,29.2,54,40,,,
2017-12-28T00:05:36.388Z,,29.3,54,39.9,,,
2017-12-28T00:05:46.382Z,,29.5,54,,,,
2017-12-28T00:06:06.384Z,,29.5,54,,,,
2017-12-28T00:06:16.384Z,,29.6,54,40,,,
2017-12-28T00:06:26.385Z,,29.7,54,,,,
2017-12-28T00:06:36.382Z,,29.7,54,40.1,,,
2017-12-28T00:06:46.386Z,,29.7,54,40.3,,,
2017-12-28T00:06:56.382Z,,29.7,54,,,,
2017-12-28T00:07:06.383Z,,29.7,54,40.4,,,
2017-12-28T00:07:16.386Z,,29.8,54,40.7,,29,
2017-12-28T00:07:26.381Z,,29.8,54,,,,
2017-12-28T00:07:36.384Z,,29.8,54,40.8,,,
2017-12-28T00:07:46.381Z,,30,54,41,,30,
2017-12-28T00:07:56.383Z,,30,54,,,,
2017-12-28T00:08:06.389Z,,,,41.1,,29,
2017-12-28T00:08:16.382Z,,30,54,41.3,,,
2017-12-28T00:08:26.385Z,,30.1,54,,,,
2017-12-28T00:08:36.394Z,,,,41.5,,,
2017-12-28T00:08:46.388Z,,30.2,54,41.6,,,
2017-12-28T00:08:56.385Z,,30.3,54,41.7,,,
2017-12-28T00:09:06.385Z,,30.3,54,41.8,,,
2017-12-28T00:09:16.384Z,,30.4,54,42,,,
2017-12-28T00:09:26.395Z,,30.6,54,,,,
2017-12-28T00:09:36.384Z,,30.6,54,42.1,,,
2017-12-28T00:09:46.384Z,,30.7,54,42.3,,,
2017-12-28T00:09:56.389Z,,30.8,54,,,,
2017-12-28T00:10:06.386Z,,,,42.4,,,
