Time,HwTSet,PrimTSet,HwActive,ChActive,ActPow,HwTOutlet,PrimT
2017-12-30T00:00:03.019Z,,,0,2,0,,40.3
2017-12-30T00:00:13.022Z,54,,,,,31.4,38.5
2017-12-30T00:00:23.021Z,54,,,,,31.5,37.8
2017-12-30T00:00:33.020Z,,,,,,,37.1
2017-12-30T00:00:43.022Z,54,,,,,31.6,36.4
2017-12-30T00:00:53.024Z,54,,,,,31.8,35.9
2017-12-30T00:01:03.021Z,54,,,,,31.8,35.5
2017-12-30T00:01:13.022Z,54,,,,,31.8,35.2
2017-12-30T00:01:23.023Z,54,,,,,31.8,34.8
2017-12-30T00:01:33.024Z,54,,,,,31.8,34.5
2017-12-30T00:01:53.023Z,54,,,,,31.8,34.2
2017-12-30T00:02:03.020Z,,,,,,,33.8
2017-12-30T00:02:13.020Z,54,,,,,31.6,33.6
2017-12-30T00:02:23.024Z,54,,,,,31.5,
2017-12-30T00:02:33.025Z,,,,,,,33.4
2017-12-30T00:02:43.022Z,54,,,,,31.5,
2017-12-30T00:02:53.026Z,54,,,,,31.4,33.1
2017-12-30T00:03:13.020Z,54,,,,,31.3,
2017-12-30T00:03:23.030Z,,,,,,,33.1
2017-12-30T00:03:33.026Z,54,,,,,31.2,32.9
2017-12-30T00:03:43.023Z,54,,,,,31.2,32.9
2017-12-30T00:03:53.020Z,54,,,,,31.2,
2017-12-30T00:04:03.023Z,54,,,,,31,
2017-12-30T00:04:13.021Z,54,,,,,31,
2017-12-30T00:04:33.026Z,54,,,,,30.9,
2017-12-30T00:04:43.024Z,,,0,2,45,,33.8
2017-12-30T00:04:53.037Z,54,,,,32,30.9,39.7
2017-12-30T00:05:03.027Z,54,,,,29,30.9,38.7
2017-12-30T00:05:13.020Z,54,,,,,30.8,
2017-12-30T00:05:23.028Z,,,,,,,39.9
2017-12-30T00:05:33.028Z,54,,,,30,30.8,40.1
2017-12-30T00:05:43.028Z,54,,,,,30.8,
2017-12-30T00:05:53.027Z,54,,,,29,30.8,40.5
2017-12-30T00:06:03.024Z,,,0,2,0,,38.9
2017-12-30T00:06:13.026Z,54,,,,,30.9,37.2
2017-12-30T00:06:23.023Z,54,,,,,31,36.5
2017-12-30T00:06:33.029Z,54,,,,,31.2,35.7
2017-12-30T00:06:43.030Z,54,,,,,31.3,
2017-12-30T00:06:53.035Z,,,,,,,34.7
2017-12-30T00:07:03.028Z,54,,,,,31.3,
2017-12-30T00:07:13.027Z,54,,,,,31.3,34.3
2017-12-30T00:07:23.028Z,,,,,,,33.7
2017-12-30T00:07:33.030Z,54,,,,,31.3,33.4
2017-12-30T00:07:53.037Z,54,,,,,31.2,32.8
2017-12-30T00:08:03.031Z,54,,,,,31,32.6
2017-12-30T00:08:23.022Z,54,,,,,30.9,32.3
2017-12-30T00:08:33.031Z,54,,,,,30.8,32.2
2017-12-30T00:08:53.030Z,54,,,,,30.7,32.1
2017-12-30T00:09:03.023Z,,,,,,,31.9
2017-12-30T00:09:13.028Z,54,,,,,30.6,31.8
2017-12-30T00:09:23.023Z,54,,,,,30.4,31.7
2017-12-30T00:09:33.026Z,,,,,,,31.6
2017-12-30T00:09:43.026Z,54,,0,2,43,30.3,33.5
2017-12-30T00:09:53.034Z,54,,,,34,30.2,36
2017-12-30T00:10:03.028Z,54,,,,30,30.1,36.3
2017-12-30T00:10:13.026Z,,,,,29,,37.8
2017-12-30T00:10:23.029Z,54,,,,,30.1,38.5
2017-12-30T00:10:33.030Z,54,,,,29,30,39.2
2017-12-30T00:10:43.030Z,54,,,,,30,
2017-12-30T00:10:53.034Z,,,,,29,,40
2017-12-30T00:11:03.024Z,54,,,,,30,40.1
2017-12-30T00:11:13.032Z,,,,,,,40.5
2017-12-30T00:11:23.034Z,54,,,,,30,41
2017-12-30T00:11:33.035Z,54,,,,,30.1,
2017-12-30T00:11:43.034Z,,,,,,,41.2
2017-12-30T00:11:53.032Z,54,,,,,30.2,41.3
2017-12-30T00:12:03.026Z,54,,,,30,30.3,41.4
2017-12-30T00:12:13.026Z,54,,,,,30.4,
