Time,HwTSet,PrimTSet,ActPow,HwActive,HwTOutlet,ChActive,PrimT
2018-01-01T00:00:04.673Z,54,,44,0,50.8,2,55.3
2018-01-01T00:00:14.670Z,54,,37,,50.7,,58.4
2018-01-01T00:00:24.663Z,54,,29,,50.6,,58.8
2018-01-01T00:00:34.667Z,54,,,,50.5,,60
2018-01-01T00:00:44.667Z,54,,,,50.4,,60.2
2018-01-01T00:00:54.668Z,54,,,,50.3,,61.1
2018-01-01T00:01:04.664Z,54,,,,50.3,,61.2
2018-01-01T00:01:14.666Z,54,,,,50.2,,61.5
2018-01-01T00:01:24.670Z,54,,,,50.2,,62
2018-01-01T00:01:34.672Z,54,,,,50.1,,62.1
2018-01-01T00:01:44.664Z,54,,,,50.1,,62.4
2018-01-01T00:01:54.672Z,54,,,,50.1,,62.5
2018-01-01T00:02:04.678Z,54,,30,,50.1,,62.6
2018-01-01T00:02:14.668Z,54,,29,,50,,62.7
2018-01-01T00:02:24.664Z,54,,,,50,,62.8
2018-01-01T00:02:34.673Z,54,,,,50,,62.9
2018-01-01T00:02:44.668Z,54,,,,50,,63.1
2018-01-01T00:02:54.670Z,54,,,,49.9,,
2018-01-01T00:03:04.672Z,54,,30,,49.9,,
2018-01-01T00:03:14.668Z,54,,29,,49.9,,63.2
2018-01-01T00:03:24.665Z,54,,,,49.8,,
2018-01-01T00:03:34.675Z,54,,,,49.8,,
2018-01-01T00:03:44.666Z,54,,,,49.8,,
2018-01-01T00:03:54.666Z,54,,,,49.7,,
2018-01-01T00:04:04.668Z,54,,,,49.7,,
2018-01-01T00:04:14.668Z,54,,,,49.7,,
2018-01-01T00:04:24.667Z,54,,,,49.7,,
2018-01-01T00:04:34.669Z,54,,,,49.7,,
2018-01-01T00:04:44.665Z,54,,,,49.7,,
2018-01-01T00:04:54.665Z,54,,30,,49.7,,
2018-01-01T00:05:04.678Z,54,,29,,49.7,,
2018-01-01T00:05:14.665Z,54,,30,,49.7,,
