Time,ChActive,PrimTSet,ActPow,HwActive,PrimT,HwTSet,HwTOutlet
2018-01-02T00:00:05.498Z,,,30,,33.1,54,17.1
2018-01-02T00:00:15.501Z,,,29,,33.6,54,17.5
2018-01-02T00:00:25.500Z,,,,,33.9,54,17.9
2018-01-02T00:00:35.492Z,,,,,34.1,54,18.4
2018-01-02T00:00:45.508Z,,,,,34.2,54,18.8
2018-01-02T00:00:55.509Z,,,,,34.4,54,19.2
2018-01-02T00:01:05.497Z,,,,,34.5,54,19.4
2018-01-02T00:01:15.507Z,,,,,34.7,54,19.7
2018-01-02T00:01:25.497Z,,,,,34.8,54,20
2018-01-02T00:01:35.491Z,,,,,34.9,54,20.2
2018-01-02T00:01:45.515Z,,,,,35.1,54,20.5
2018-01-02T00:01:55.496Z,,,,,,54,20.6
2018-01-02T00:02:05.495Z,,,,,,54,20.8
2018-01-02T00:02:15.505Z,,,,,35.2,54,20.9
2018-01-02T00:02:25.498Z,,,,,35.3,54,21.1
2018-01-02T00:02:35.496Z,,,,,35.5,54,21.2
2018-01-02T00:02:45.494Z,,,,,35.6,54,21.3
2018-01-02T00:02:55.514Z,,,,,35.8,54,21.5
2018-01-02T00:03:10.604Z,,,,,36,54,21.5
2018-01-02T00:03:15.504Z,,,,,36.1,54,21.6
2018-01-02T00:03:25.501Z,,,,,36.2,54,21.7
2018-01-02T00:03:35.489Z,,,,,36.3,54,21.9
2018-01-02T00:03:45.500Z,,,,,36.5,54,22
2018-01-02T00:03:55.490Z,,,,,36.6,54,22.1
2018-01-02T00:04:05.491Z,,,,,36.8,54,22.1
2018-01-02T00:04:15.494Z,,,,,37.1,54,22.2
2018-01-02T00:04:25.490Z,,,,,37.2,54,22.4
2018-01-02T00:04:35.488Z,,,,,37.3,54,22.5
2018-01-02T00:04:45.494Z,,,,,37.5,54,22.6
2018-01-02T00:04:55.495Z,1,,0,0,36.8,54,22.7
2018-01-02T00:05:05.501Z,,,,,34.9,54,22.8
2018-01-02T00:05:15.489Z,,,,,33.9,54,22.8
2018-01-02T00:05:25.496Z,,,,,33.6,54,23
2018-01-02T00:05:35.492Z,,,,,32.9,54,23
2018-01-02T00:05:45.488Z,,,,,32.3,54,23
2018-01-02T00:05:55.496Z,,,,,31.9,54,23
2018-01-02T00:06:05.492Z,,,,,31.6,54,23
2018-01-02T00:06:15.492Z,,,,,30.9,54,22.8
2018-01-02T00:06:25.493Z,,,,,,54,22.8
2018-01-02T00:06:35.493Z,,,,,30.6,54,22.8
2018-01-02T00:06:45.496Z,,,,,30.3,54,22.8
2018-01-02T00:06:55.497Z,,,,,30.1,54,22.7
2018-01-02T00:07:05.491Z,,,,,29.9,54,22.7
2018-01-02T00:07:15.498Z,,,,,29.8,54,22.7
2018-01-02T00:07:25.489Z,,,,,29.5,54,22.7
2018-01-02T00:07:35.500Z,,,,,29.3,54,22.7
2018-01-02T00:07:45.511Z,1,,41,0,32.1,54,22.6
2018-01-02T00:07:55.494Z,,,32,,36,54,22.6
2018-01-02T00:08:05.497Z,,,29,,35.8,54,22.6
2018-01-02T00:08:15.489Z,,,,,36,54,22.6
2018-01-02T00:08:25.493Z,,,,,36.1,54,22.6
2018-01-02T00:08:35.490Z,,,,,36.5,54,22.6
2018-01-02T00:08:45.495Z,,,,,37.1,54,22.7
2018-01-02T00:08:55.495Z,1,,0,0,36.8,54,23
2018-01-02T00:09:05.492Z,,,,,34.9,54,23.1
2018-01-02T00:09:15.495Z,,,,,33.9,54,23.3
2018-01-02T00:09:25.494Z,,,,,32.9,54,23.4
2018-01-02T00:09:35.499Z,,,,,32.8,54,23.6
2018-01-02T00:09:45.498Z,,,,,32.3,54,23.6
2018-01-02T00:09:55.494Z,,,,,31.9,54,23.7
2018-01-02T00:10:05.491Z,,,,,31.7,54,23.7
2018-01-02T00:10:15.494Z,,,,,31.5,54,23.4
2018-01-02T00:10:25.682Z,,,,,31.2,54,23.4
2018-01-02T00:10:35.492Z,,,,,30.9,54,23.4
2018-01-02T00:10:45.498Z,,,,,30.7,54,23.4
2018-01-02T00:10:55.494Z,,,,,30.5,54,23.4
2018-01-02T00:11:05.493Z,,,,,30.4,54,23.4
2018-01-02T00:11:15.492Z,,,,,30.2,54,23.3
2018-01-02T00:11:25.513Z,,,,,30.1,54,23.2
2018-01-02T00:11:35.495Z,,,,,29.9,54,23.1
2018-01-02T00:11:45.493Z,,,,,29.8,54,23
2018-01-02T00:11:55.499Z,,,,,29.6,54,23
2018-01-02T00:12:05.494Z,,,,,,54,22.8
2018-01-02T00:12:15.509Z,,,,,,54,22.8
2018-01-02T00:12:25.496Z,,,,,,54,22.8
2018-01-02T00:12:35.508Z,,,,,,54,23
2018-01-02T00:12:45.494Z,,,,,,54,23.1
2018-01-02T00:12:55.504Z,,,,,,54,23.1
2018-01-02T00:13:05.494Z,,,,,29.5,54,23.1
2018-01-02T00:13:15.504Z,,,,,,54,23
2018-01-02T00:13:25.513Z,,,,,,54,22.8
2018-01-02T00:13:35.493Z,,,,,,54,22.7
2018-01-02T00:13:45.498Z,,,,,,54,22.6
2018-01-02T00:13:55.495Z,,,,,,54,22.5
2018-01-02T00:14:05.495Z,,,,,,54,22.4
2018-01-02T00:14:15.495Z,,,,,,54,22.2
2018-01-02T00:14:25.496Z,,,,,,54,22.1
2018-01-02T00:14:35.495Z,,,,,,54,22
2018-01-02T00:14:45.499Z,,,,,,54,21.9
2018-01-02T00:14:55.496Z,,,,,,54,21.7
2018-01-02T00:15:05.496Z,,,,,,54,21.6
2018-01-02T00:15:15.495Z,,,,,,54,21.5
2018-01-02T00:15:25.498Z,,,,,,54,21.5
2018-01-02T00:15:35.496Z,,,,,,54,21.3
2018-01-02T00:15:45.497Z,,,,,29.6,54,21.2
2018-01-02T00:15:55.497Z,,,,,,54,21.1
2018-01-02T00:16:05.497Z,,,,,,54,20.9
2018-01-02T00:16:15.504Z,,,,,,54,20.8
2018-01-02T00:16:25.498Z,0,5,,0,,54,20.6
2018-01-02T00:16:35.497Z,,,,,,54,20.6
2018-01-02T00:16:45.502Z,,,,,,54,20.5
2018-01-02T00:16:55.500Z,1,61,,0,29.8,54,20.4
2018-01-02T00:17:05.496Z,,,,,,54,20.2
2018-01-02T00:17:15.504Z,,,,,,54,20.2
2018-01-02T00:17:25.498Z,,,,,,54,20.1
2018-01-02T00:17:35.496Z,,,,,,54,20
2018-01-02T00:17:45.507Z,,,,,,54,20
2018-01-02T00:17:55.498Z,,,,,,54,19.8
2018-01-02T00:18:05.498Z,,,,,,54,19.7
2018-01-02T00:18:15.508Z,,,,,,54,19.7
2018-01-02T00:18:25.500Z,,,,,29.9,54,19.6
2018-01-02T00:18:35.497Z,,,,,,54,19.4
2018-01-02T00:18:45.498Z,,,,,,54,19.4
2018-01-02T00:18:55.504Z,,,,,,54,19.3
2018-01-02T00:19:05.501Z,,,,,,54,19.3
2018-01-02T00:19:15.501Z,,,,,,54,19.2
2018-01-02T00:19:25.501Z,,,,,,54,19.2
2018-01-02T00:19:35.501Z,,,,,,54,19
2018-01-02T00:19:45.503Z,,,,,,54,19
2018-01-02T00:19:55.503Z,,,,,,54,18.9
2018-01-02T00:20:05.498Z,,,,,,54,18.8
2018-01-02T00:20:15.502Z,,,,,,54,18.8
2018-01-02T00:20:25.502Z,,,,,,54,18.6
2018-01-02T00:20:35.501Z,,,,,,54,18.6
2018-01-02T00:20:50.598Z,,,,,,54,18.6
2018-01-02T00:20:55.499Z,,,,,,54,18.5
2018-01-02T00:21:05.498Z,,,,,,54,18.5
2018-01-02T00:21:15.501Z,,,,,,54,18.4
2018-01-02T00:21:25.502Z,,,,,29.8,54,18.4
2018-01-02T00:21:35.499Z,,,,,,54,18.4
2018-01-02T00:21:45.504Z,,,,,,54,18.2
2018-01-02T00:21:55.498Z,,,,,,54,18.2
2018-01-02T00:22:05.503Z,,,,,,54,18.1
2018-01-02T00:22:15.503Z,,,,,,54,18.1
2018-01-02T00:22:25.507Z,,,,,,54,18.1
2018-01-02T00:22:35.507Z,,,,,,54,17.9
2018-01-02T00:22:45.504Z,,,,,,54,17.9
2018-01-02T00:22:55.499Z,,,,,,54,17.8
2018-01-02T00:23:05.503Z,,,,,,54,17.8
2018-01-02T00:23:15.505Z,1,,43,0,31.5,54,17.8
2018-01-02T00:23:25.505Z,,,34,,35.2,54,17.8
2018-01-02T00:23:35.513Z,,,29,,34.9,54,17.7
2018-01-02T00:23:45.499Z,,,30,,34,54,17.8
2018-01-02T00:23:55.502Z,,,,,35.1,54,17.9
2018-01-02T00:24:05.516Z,,,29,,35.2,54,18.4
2018-01-02T00:24:15.503Z,,,,,35.4,54,18.6
2018-01-02T00:24:25.504Z,,,,,35.7,54,19
2018-01-02T00:24:40.601Z,,,29,,36,54,19.4
2018-01-02T00:24:45.505Z,,,30,,36.1,54,19.8
2018-01-02T00:24:55.501Z,,,29,,36.3,54,20.1
2018-01-02T00:25:05.505Z,,,,,36.5,54,20.4
2018-01-02T00:25:15.500Z,,,,,36.6,54,20.6
2018-01-02T00:25:25.510Z,,,,,36.8,54,20.9
2018-01-02T00:25:35.553Z,,,,,37.1,54,21.1
2018-01-02T00:25:45.508Z,,,,,,54,21.2
2018-01-02T00:25:55.524Z,,,,,37.2,54,21.3
2018-01-02T00:26:05.504Z,,,,,,54,21.5
2018-01-02T00:26:15.502Z,,,,,37.4,54,21.5
2018-01-02T00:26:25.501Z,,,,,37.5,54,21.6
2018-01-02T00:26:35.508Z,,,,,37.6,54,21.7
2018-01-02T00:26:45.507Z,,,30,,37.8,54,21.9
2018-01-02T00:26:55.506Z,,,29,,38,54,21.9
2018-01-02T00:27:05.506Z,,,,,,54,22
2018-01-02T00:27:15.504Z,,,,,38.2,54,22.1
2018-01-02T00:27:25.510Z,,,,,38.3,54,22.2
2018-01-02T00:27:35.502Z,,,,,38.5,54,22.2
2018-01-02T00:27:45.517Z,,,,,38.6,54,22.4
2018-01-02T00:27:55.516Z,,,30,,38.9,54,22.5
2018-01-02T00:28:05.505Z,1,61,0,0,37.7,54,22.6
2018-01-02T00:28:15.504Z,,,,,35.9,54,22.7
2018-01-02T00:28:25.514Z,,,,,34.9,54,22.8
2018-01-02T00:28:35.509Z,,,,,34.6,54,22.8
2018-01-02T00:28:45.510Z,,,,,33.9,54,22.8
2018-01-02T00:28:55.510Z,,,,,33.4,54,22.8
2018-01-02T00:29:05.509Z,,,,,32.9,54,22.8
2018-01-02T00:29:15.512Z,,,,,32.6,54,22.8
2018-01-02T00:29:25.507Z,,,,,32.2,54,22.8
2018-01-02T00:29:35.503Z,,,,,31.9,54,22.7
2018-01-02T00:29:45.507Z,,,,,31.7,54,22.7
2018-01-02T00:29:55.520Z,,,,,31.4,54,22.7
2018-01-02T00:30:05.506Z,,,,,31.1,54,22.7
2018-01-02T00:30:15.503Z,,,,,30.9,54,22.7
2018-01-02T00:30:25.503Z,,,,,30.7,54,22.7
2018-01-02T00:30:35.504Z,,,,,30.5,54,22.7
2018-01-02T00:30:45.508Z,,,,,30.4,54,22.7
2018-01-02T00:30:55.521Z,,,,,30.2,54,22.6
2018-01-02T00:31:05.508Z,,,,,30.1,54,22.6
2018-01-02T00:31:15.510Z,,,,,,54,22.6
2018-01-02T00:31:25.509Z,,,,,,54,22.6
2018-01-02T00:31:35.504Z,,,,,,54,22.6
2018-01-02T00:31:45.507Z,,,,,,54,22.7
2018-01-02T00:31:55.507Z,,,,,,54,22.8
2018-01-02T00:32:05.519Z,,,,,,54,22.8
2018-01-02T00:32:15.506Z,,,,,,54,22.8
2018-01-02T00:32:25.512Z,,,,,,54,22.7
2018-01-02T00:32:35.505Z,,,,,,54,22.7
2018-01-02T00:32:45.512Z,,,,,,54,22.6
2018-01-02T00:32:55.504Z,,,,,,54,22.4
2018-01-02T00:33:05.820Z,,,,,,54,22.2
2018-01-02T00:33:15.520Z,,,,,,54,22.1
2018-01-02T00:33:25.512Z,,,,,,54,22
2018-01-02T00:33:35.622Z,,,,,,54,21.9
2018-01-02T00:33:45.512Z,,,,,,54,21.7
2018-01-02T00:33:55.515Z,,,,,,54,21.6
2018-01-02T00:34:05.516Z,,,,,,54,21.6
2018-01-02T00:34:15.518Z,,,,,,54,21.5
2018-01-02T00:34:25.507Z,,,,,,54,21.3
2018-01-02T00:34:35.507Z,,,,,30.2,54,21.2
2018-01-02T00:34:45.523Z,,,,,,54,21.1
2018-01-02T00:34:55.506Z,,,,,,54,20.9
2018-01-02T00:35:05.514Z,,,,,,54,20.8
2018-01-02T00:35:15.505Z,,,,,30.3,54,20.6
2018-01-02T00:35:25.506Z,,,,,,54,20.6
2018-01-02T00:35:35.507Z,,,,,,54,20.5
2018-01-02T00:35:45.514Z,,,,,,54,20.4
2018-01-02T00:35:55.508Z,,,,,30.4,54,20.4
2018-01-02T00:36:05.509Z,,,,,,54,20.2
2018-01-02T00:36:15.507Z,,,,,,54,20.2
2018-01-02T00:36:25.507Z,,,,,,54,20.1
2018-01-02T00:36:35.507Z,,,,,,54,20
2018-01-02T00:36:45.510Z,,,,,30.5,54,20
2018-01-02T00:36:55.509Z,,,,,,54,19.8
2018-01-02T00:37:05.510Z,,,,,,54,19.8
2018-01-02T00:37:15.510Z,,,,,,54,19.7
2018-01-02T00:37:25.510Z,,,,,,54,19.7
2018-01-02T00:37:35.510Z,,,,,,54,19.6
2018-01-02T00:37:45.511Z,,,,,,54,19.6
2018-01-02T00:37:55.510Z,,,,,,54,19.4
2018-01-02T00:38:05.510Z,,,,,,54,19.4
2018-01-02T00:38:15.511Z,,,,,,54,19.3
2018-01-02T00:38:25.516Z,,,,,,54,19.3
2018-01-02T00:38:35.512Z,,,,,,54,19.3
2018-01-02T00:38:45.515Z,,,,,,54,19.2
2018-01-02T00:38:55.529Z,,,,,,54,19.2
2018-01-02T00:39:05.513Z,,,,,,54,19.2
2018-01-02T00:39:15.509Z,,,,,,54,19
2018-01-02T00:39:25.510Z,,,,,,54,19
2018-01-02T00:39:35.519Z,,,,,,54,19
2018-01-02T00:39:45.515Z,,,,,,54,18.9
2018-01-02T00:39:55.512Z,,,,,,54,18.9
2018-01-02T00:40:05.519Z,,,,,,54,18.9
2018-01-02T00:40:15.511Z,,,,,,54,18.8
2018-01-02T00:40:25.513Z,,,,,,54,18.8
2018-01-02T00:40:35.511Z,,,,,,54,18.8
2018-01-02T00:40:45.514Z,,,,,30.4,54,18.8
2018-01-02T00:40:55.511Z,,,,,,54,18.6
2018-01-02T00:41:05.531Z,,,,,,54,18.6
2018-01-02T00:41:15.514Z,1,5,,0,,54,18.6
2018-01-02T00:41:25.514Z,,61,,,,54,18.5
2018-01-02T00:41:35.509Z,,,,,,54,18.5
2018-01-02T00:41:45.514Z,,,,,,54,18.5
2018-01-02T00:41:55.519Z,0,,,0,,54,18.5
2018-01-02T00:42:05.512Z,,5,,,,54,18.4
2018-01-02T00:42:15.511Z,,,,,,54,18.4
2018-01-02T00:42:25.510Z,1,,,0,30.3,54,18.4
2018-01-02T00:42:35.513Z,,61,,,,54,18.4
2018-01-02T00:42:45.517Z,,,,,,54,18.4
2018-01-02T00:42:55.511Z,,,,,,54,18.2
2018-01-02T00:43:05.514Z,,,,,,54,18.2
2018-01-02T00:43:15.515Z,,,,,,54,18.2
2018-01-02T00:43:25.510Z,,,,,,54,18.2
2018-01-02T00:43:35.512Z,,,,,,54,18.1
2018-01-02T00:43:45.517Z,,,,,30.2,54,18.1
2018-01-02T00:43:55.515Z,,,,,,54,18.1
2018-01-02T00:44:05.516Z,,,,,,54,18.1
2018-01-02T00:44:15.517Z,,,,,,54,17.9
2018-01-02T00:44:25.510Z,,,,,,54,17.9
2018-01-02T00:44:35.512Z,,,,,,54,17.9
2018-01-02T00:44:45.517Z,,,,,,54,17.9
2018-01-02T00:44:55.511Z,,,,,,54,17.9
2018-01-02T00:45:05.513Z,,,,,,54,17.8
2018-01-02T00:45:15.515Z,,,,,,54,17.8
2018-01-02T00:45:25.511Z,,,,,,54,17.8
2018-01-02T00:45:35.515Z,,,,,30.1,54,17.8
2018-01-02T00:45:45.518Z,,,,,,54,17.8
2018-01-02T00:45:55.515Z,,,,,,54,17.8
2018-01-02T00:46:05.519Z,,,,,,54,17.8
2018-01-02T00:46:15.514Z,,,,,,54,17.8
2018-01-02T00:46:25.511Z,,,,,,54,17.7
2018-01-02T00:46:35.512Z,,,,,,54,17.7
2018-01-02T00:46:45.517Z,,,,,,54,17.7
