Time,PrimTSet,ActPow,HwActive,PrimT,HwTSet,ChActive,HwTOutlet
2018-01-03T00:00:06.308Z,,,,46.7,54,,30.4
2018-01-03T00:00:16.307Z,,,,46.9,54,,30.6
2018-01-03T00:00:26.313Z,,,,47,54,,30.7
2018-01-03T00:00:36.310Z,,,,47.1,54,,30.8
2018-01-03T00:00:46.313Z,,,,47.2,54,,30.8
2018-01-03T00:00:56.307Z,,,,47.3,54,,30.9
2018-01-03T00:01:06.312Z,,0,0,46.7,54,2,31
2018-01-03T00:01:16.311Z,,,,44.5,54,,31.2
2018-01-03T00:01:26.308Z,,,,43.7,54,,31.2
2018-01-03T00:01:36.307Z,,,,42.9,54,,31.2
2018-01-03T00:01:46.315Z,,,,42.2,54,,31
2018-01-03T00:01:56.308Z,,,,41.7,54,,31
2018-01-03T00:02:06.311Z,,,,41.2,54,,30.9
2018-01-03T00:02:16.310Z,,,,40.9,54,,30.8
2018-01-03T00:02:26.309Z,,,,40.5,54,,30.8
2018-01-03T00:02:36.309Z,,,,40.2,54,,30.7
2018-01-03T00:02:46.316Z,,38,0,44.1,54,2,30.6
2018-01-03T00:02:56.311Z,,29,,46.8,54,,30.6
2018-01-03T00:03:06.326Z,,,,45.2,54,,30.4
2018-01-03T00:03:16.311Z,,,,46.1,54,,30.3
2018-01-03T00:03:26.311Z,,,,46.6,54,,30.3
2018-01-03T00:03:36.308Z,,,,46.8,54,,30.4
2018-01-03T00:03:46.313Z,,0,0,45.3,54,2,30.4
2018-01-03T00:03:56.309Z,,,,43.6,54,,30.7
2018-01-03T00:04:06.320Z,,,,42.9,54,,30.7
2018-01-03T00:04:16.312Z,,,,42.1,54,,30.7
2018-01-03T00:04:26.316Z,,,,41.5,54,,30.7
2018-01-03T00:04:36.311Z,,,,41.1,54,,30.6
2018-01-03T00:04:46.314Z,,,,40.7,54,,30.6
2018-01-03T00:04:56.311Z,,,,40.4,54,,30.4
2018-01-03T00:05:06.314Z,,,,40.1,54,,30.3
2018-01-03T00:05:16.314Z,,,,39.9,54,,30.2
2018-01-03T00:05:26.319Z,,,,39.7,54,,30.2
2018-01-03T00:05:36.316Z,,,,39.4,54,,30.1
2018-01-03T00:05:46.311Z,,,,39.2,54,,30
2018-01-03T00:05:56.312Z,,,,38.9,54,,30
2018-01-03T00:06:06.313Z,,,,38.7,54,,29.8
2018-01-03T00:06:16.318Z,,,,38.5,54,,29.8
2018-01-03T00:06:26.313Z,,,,38.3,54,,29.8
2018-01-03T00:06:36.313Z,,,,38.2,54,,29.7
2018-01-03T00:06:46.311Z,,,,38.1,54,,29.7
2018-01-03T00:06:56.315Z,,,,,54,,29.6
2018-01-03T00:07:06.315Z,,,,38,54,,29.5
2018-01-03T00:07:16.319Z,,,,37.9,54,,29.3
2018-01-03T00:07:26.314Z,,,,37.8,54,,29.3
2018-01-03T00:07:36.336Z,,,,,54,,29.2
2018-01-03T00:07:46.318Z,,,,37.7,54,,29.2
2018-01-03T00:07:56.320Z,,,,37.6,54,,29.1
2018-01-03T00:08:06.316Z,,,,37.5,54,,29.1
2018-01-03T00:08:16.324Z,,42,0,39.2,54,2,29
2018-01-03T00:08:26.325Z,,29,,44.2,54,,29
2018-01-03T00:08:36.330Z,,,,42.9,54,,28.9
2018-01-03T00:08:46.312Z,,,,43.4,54,,28.9
2018-01-03T00:08:56.314Z,,29,,44.5,54,,28.9
2018-01-03T00:09:06.314Z,,,,44.6,54,,29
2018-01-03T00:09:16.314Z,,,,45.1,54,,29.1
2018-01-03T00:09:26.313Z,,,,45.4,54,,29.2
2018-01-03T00:09:36.322Z,,,,45.7,54,,29.5
2018-01-03T00:09:46.313Z,,,,45.9,54,,29.6
2018-01-03T00:09:56.316Z,,,,46.1,54,,29.7
2018-01-03T00:10:06.325Z,,,,46.3,54,,29.8
2018-01-03T00:10:16.317Z,,,,46.4,54,,30
2018-01-03T00:10:26.314Z,,,,46.5,54,,30.1
2018-01-03T00:10:36.326Z,,,,46.6,54,,30.1
2018-01-03T00:10:46.314Z,,,,,54,,30.2
2018-01-03T00:10:56.321Z,,,,,54,,30.3
2018-01-03T00:11:06.320Z,,,,,54,,30.4
2018-01-03T00:11:16.325Z,,0,,,54,,30.6
2018-01-03T00:11:26.322Z,,,0,44.6,54,2,30.7
2018-01-03T00:11:36.328Z,,,,43.2,54,,30.7
2018-01-03T00:11:46.313Z,,,,42.4,54,,30.7
2018-01-03T00:11:56.320Z,,,,41.7,54,,30.7
2018-01-03T00:12:06.347Z,,,,41,54,,30.6
2018-01-03T00:12:16.349Z,,,,40.6,54,,30.4
2018-01-03T00:12:26.314Z,,,,40.1,54,,30.3
2018-01-03T00:12:36.317Z,,,,39.7,54,,30.2
2018-01-03T00:12:46.320Z,,,,39.4,54,,30.1
2018-01-03T00:12:56.317Z,,,,38.9,54,,30.1
2018-01-03T00:13:06.316Z,,,,38.7,54,,30
2018-01-03T00:13:16.317Z,,,,38.5,54,,29.8
2018-01-03T00:13:26.315Z,,,,38.3,54,,29.7
2018-01-03T00:13:36.319Z,,41,0,40.8,54,2,29.6
2018-01-03T00:13:46.319Z,,29,,45.1,54,,29.5
2018-01-03T00:13:56.321Z,,,,43.8,54,,29.3
2018-01-03T00:14:06.318Z,,,,44.1,54,,29.3
2018-01-03T00:14:16.321Z,,,,45.3,54,,29.3
2018-01-03T00:14:26.323Z,,,,,54,,29.3
2018-01-03T00:14:36.316Z,,,,45.8,54,,29.6
2018-01-03T00:14:46.326Z,,,,46,54,,29.7
2018-01-03T00:14:56.319Z,,,,46.3,54,,29.8
2018-01-03T00:15:06.332Z,,30,,46.5,54,,29.8
2018-01-03T00:15:16.329Z,,29,,46.8,54,,30
2018-01-03T00:15:26.330Z,,,,47,54,,30.1
2018-01-03T00:15:36.319Z,,,,47.1,54,,30.2
2018-01-03T00:15:46.323Z,,30,,47.3,54,,30.3
2018-01-03T00:15:56.318Z,,29,,47.4,54,,30.4
2018-01-03T00:16:06.326Z,,0,0,46.4,54,2,30.4
2018-01-03T00:16:16.321Z,,,,44.5,54,,30.6
2018-01-03T00:16:26.319Z,,,,43.6,54,,30.6
2018-01-03T00:16:36.319Z,,,,42.8,54,,30.6
2018-01-03T00:16:46.319Z,,,,41.9,54,,30.6
2018-01-03T00:16:56.317Z,,,,41.4,54,,30.4
2018-01-03T00:17:06.322Z,,,,40.9,54,,30.3
2018-01-03T00:17:16.318Z,,,,40.5,54,,30.3
2018-01-03T00:17:26.320Z,,,,40.2,54,,30.2
2018-01-03T00:17:36.321Z,,,,39.8,54,,30.1
2018-01-03T00:17:46.318Z,,,,39.5,54,,30
2018-01-03T00:17:56.317Z,,,,39.3,54,,29.8
2018-01-03T00:18:06.322Z,,,,39.1,54,,29.8
2018-01-03T00:18:16.323Z,,,,38.9,,,
2018-01-03T00:18:26.323Z,,,,38.6,54,,29.6
2018-01-03T00:18:36.324Z,,42,0,41.3,54,2,29.5
2018-01-03T00:18:46.320Z,,30,,43.3,54,,29.5
2018-01-03T00:18:56.324Z,,29,,43.4,54,,29.5
2018-01-03T00:19:06.319Z,,,,44.5,54,,29.6
2018-01-03T00:19:16.332Z,,,,45,54,,29.6
2018-01-03T00:19:26.320Z,,,,45.6,54,,29.7
2018-01-03T00:19:36.323Z,,0,0,43.7,54,2,29.8
2018-01-03T00:19:46.320Z,,,,42.3,54,,30
2018-01-03T00:19:56.324Z,,,,41.8,54,,30.1
2018-01-03T00:20:06.320Z,,,,41.1,54,,30.1
2018-01-03T00:20:16.325Z,,,,40.5,54,,30.1
2018-01-03T00:20:26.322Z,,,,40.2,54,,30
2018-01-03T00:20:36.322Z,,,,39.8,54,,29.8
2018-01-03T00:20:46.333Z,,,,39.5,54,,29.7
2018-01-03T00:20:56.326Z,,,,39.2,54,,29.7
2018-01-03T00:21:06.325Z,,,,38.8,54,,29.6
2018-01-03T00:21:16.329Z,,,,38.6,,,
2018-01-03T00:21:26.336Z,,,,38.4,54,,29.3
2018-01-03T00:21:36.326Z,,,,38.2,54,,29.3
2018-01-03T00:21:46.323Z,,,,38,54,,29.2
2018-01-03T00:21:56.320Z,,,,37.9,54,,29.2
2018-01-03T00:22:06.322Z,,,,37.7,54,,29.1
2018-01-03T00:22:16.328Z,,,,37.6,54,,29
2018-01-03T00:22:26.331Z,,,,37.5,54,,29
2018-01-03T00:22:36.322Z,,,,,54,,28.9
2018-01-03T00:22:46.332Z,,,,37.4,54,,28.7
2018-01-03T00:22:56.326Z,,,,,54,,28.7
2018-01-03T00:23:06.324Z,,,,37.2,54,,28.7
2018-01-03T00:23:16.321Z,,,,37.1,54,,28.9
2018-01-03T00:23:26.324Z,,,,36.9,54,,29
2018-01-03T00:23:36.322Z,,42,0,39.6,54,2,29.1
2018-01-03T00:23:46.323Z,,30,,41.5,54,,29.1
2018-01-03T00:23:56.324Z,,29,,41.8,54,,29.2
2018-01-03T00:24:06.325Z,,,,43,54,,29.2
2018-01-03T00:24:16.334Z,,,,43.6,54,,29.3
2018-01-03T00:24:26.327Z,,0,0,41.7,54,2,29.3
2018-01-03T00:24:36.327Z,,,,40.5,54,,29.5
2018-01-03T00:24:46.328Z,,,,40,54,,29.5
2018-01-03T00:24:56.330Z,,,,39.4,54,,29.3
2018-01-03T00:25:06.322Z,,,,38.8,54,,29.2
2018-01-03T00:25:16.332Z,,,,38.4,54,,29.1
2018-01-03T00:25:26.331Z,,,,38.1,54,,29
