Time,PrimTSet,ActPow,HwActive,PrimT,HwTOutlet,HwTSet,ChActive
2018-01-04T00:00:07.136Z,,,,,11.6,54,
2018-01-04T00:00:17.136Z,,,,,11.6,54,
2018-01-04T00:00:27.140Z,,,,,11.6,54,
2018-01-04T00:00:37.138Z,,,,,11.6,54,
2018-01-04T00:00:47.140Z,,,,36.5,11.6,54,
2018-01-04T00:00:57.138Z,,,,,11.6,54,
2018-01-04T00:01:07.140Z,,,,,11.6,54,
2018-01-04T00:01:17.138Z,,,,,11.6,54,
2018-01-04T00:01:27.145Z,,40,0,39.6,11.6,54,2
2018-01-04T00:01:37.142Z,,32,,41.4,12.2,54,
2018-01-04T00:01:47.142Z,,29,,39.9,13.1,54,
2018-01-04T00:01:57.148Z,,,,40.5,14.2,54,
2018-01-04T00:02:07.140Z,,,,41.3,15.1,54,
2018-01-04T00:02:17.141Z,,,,,15.7,54,
2018-01-04T00:02:27.143Z,,,,41.4,16.2,54,
2018-01-04T00:02:37.138Z,,,,,16.5,54,
2018-01-04T00:02:47.138Z,,,,41.5,16.8,54,
2018-01-04T00:02:57.140Z,,,,41.6,17.1,54,
2018-01-04T00:03:07.138Z,,,,41.7,17.1,54,
2018-01-04T00:03:17.138Z,,,,41.8,17.4,54,
2018-01-04T00:03:27.138Z,,,,42,17.3,54,
2018-01-04T00:03:37.137Z,,,,,17.4,54,
2018-01-04T00:03:47.144Z,,,,42.1,17.4,54,
2018-01-04T00:03:57.136Z,,,,,17.4,54,
2018-01-04T00:04:07.139Z,,,,,17.5,54,
2018-01-04T00:04:17.153Z,,,,,17.5,54,
2018-01-04T00:04:27.143Z,,,,42.2,17.5,54,
2018-01-04T00:04:37.143Z,,,,,17.7,54,
2018-01-04T00:04:47.145Z,,,,42.3,17.7,54,
2018-01-04T00:04:57.145Z,,30,,42.4,17.7,54,
2018-01-04T00:05:07.141Z,,29,,42.6,17.8,54,
2018-01-04T00:05:17.139Z,,,,,17.9,54,
2018-01-04T00:05:27.138Z,,,,42.7,17.8,54,
2018-01-04T00:05:37.137Z,,,,42.9,17.8,54,
2018-01-04T00:05:47.144Z,,,,43,17.8,54,
2018-01-04T00:05:57.147Z,,,,43.1,17.9,54,
2018-01-04T00:06:07.140Z,,,,43.2,17.8,54,
2018-01-04T00:06:17.144Z,,,,43.3,17.9,54,
2018-01-04T00:06:27.143Z,,,,43.5,17.9,54,
2018-01-04T00:06:37.140Z,,,,43.6,18.1,54,
2018-01-04T00:06:47.146Z,,,,43.7,18.1,54,
2018-01-04T00:06:57.146Z,,,,43.8,18.2,54,
2018-01-04T00:07:07.141Z,,,,44,18.1,54,
2018-01-04T00:07:17.142Z,,,,,17.9,54,
2018-01-04T00:07:27.143Z,,,,44.2,18.1,54,
2018-01-04T00:07:37.140Z,,,,44.3,18.2,54,
2018-01-04T00:07:47.144Z,,,,44.4,18.2,54,
2018-01-04T00:07:57.146Z,,,,44.5,18.2,54,
2018-01-04T00:08:07.139Z,,,,44.6,18.2,54,
2018-01-04T00:08:17.140Z,,0,0,44.7,18.4,54,2
2018-01-04T00:08:27.139Z,,,,42.7,18.4,54,
2018-01-04T00:08:37.144Z,,,,41.3,17.8,54,
2018-01-04T00:08:47.143Z,,,,40.7,17.4,54,
2018-01-04T00:08:57.155Z,,,,39.8,17,54,
2018-01-04T00:09:07.140Z,,,,39.4,16.7,54,
2018-01-04T00:09:17.148Z,,,,38.8,16.5,54,
2018-01-04T00:09:27.145Z,,,,38.4,16.4,54,
2018-01-04T00:09:37.147Z,,,,37.9,16.2,54,
2018-01-04T00:09:47.148Z,,,,37.7,16.1,54,
2018-01-04T00:09:57.147Z,,,,37.5,15.9,54,
2018-01-04T00:10:07.149Z,,,,37.2,15.9,54,
2018-01-04T00:10:17.201Z,,,,36.9,15.9,54,
2018-01-04T00:10:27.148Z,,,,36.7,15.7,54,
2018-01-04T00:10:37.145Z,,,,36.6,15.7,54,
2018-01-04T00:10:47.146Z,,,,36.4,15.7,54,
2018-01-04T00:10:57.148Z,,,,36.3,15.6,54,
2018-01-04T00:11:07.169Z,,,,36.1,15.6,54,
2018-01-04T00:11:17.143Z,,,,36,15.4,54,
2018-01-04T00:11:27.143Z,,,,,15.3,54,
2018-01-04T00:11:37.147Z,,,,36,15.9,54,
2018-01-04T00:11:47.140Z,,,,35.9,16.5,54,
2018-01-04T00:11:57.157Z,,,,35.9,15.9,54,
2018-01-04T00:12:07.146Z,,,,36,15.1,54,
2018-01-04T00:12:17.147Z,,,,35.9,14.5,54,
2018-01-04T00:12:27.144Z,,,,,14,54,
2018-01-04T00:12:37.144Z,,,,36,13.7,54,
2018-01-04T00:12:47.146Z,,,,,13.4,54,
2018-01-04T00:12:57.144Z,,,,,13.2,54,
2018-01-04T00:13:07.144Z,,,,36.1,13.1,54,
2018-01-04T00:13:17.145Z,,,,,12.9,54,
2018-01-04T00:13:27.144Z,,,,36.2,12.8,54,
2018-01-04T00:13:37.143Z,,,,,12.8,54,
2018-01-04T00:13:47.143Z,,,,36.3,12.6,54,
