Time,HwTOutlet,PrimTSet,PrimT,ChActive,HwTSet,HwActive,ActPow
2018-01-05T00:00:07.965Z,28.7,,35.9,,54,,
2018-01-05T00:00:17.964Z,28.7,,35.7,,54,,
2018-01-05T00:00:27.966Z,28.7,,,,54,,
2018-01-05T00:00:37.965Z,28.7,,,,54,,
2018-01-05T00:00:47.964Z,28.7,,,,54,,
2018-01-05T00:00:57.962Z,28.7,,,,54,,
2018-01-05T00:01:07.968Z,28.7,,,,54,,
2018-01-05T00:01:17.972Z,28.7,,,,54,,
2018-01-05T00:01:27.963Z,28.7,,35.6,,54,,
2018-01-05T00:01:37.964Z,28.7,,35.7,,54,,
2018-01-05T00:01:47.964Z,28.7,,35.6,,54,,
2018-01-05T00:01:57.969Z,28.7,,,,54,,
2018-01-05T00:02:07.965Z,28.7,,,,54,,
2018-01-05T00:02:17.965Z,28.7,,,,54,,
2018-01-05T00:02:27.966Z,28.7,,,,54,,
2018-01-05T00:02:37.968Z,28.7,,,,54,,
2018-01-05T00:02:47.966Z,28.7,,,,54,,
2018-01-05T00:02:57.967Z,28.7,,35.7,,54,,
2018-01-05T00:03:07.966Z,28.7,,,,54,,
2018-01-05T00:03:17.967Z,28.7,,,,54,,
2018-01-05T00:03:27.966Z,28.7,,,,54,,
2018-01-05T00:03:37.967Z,28.7,,,,54,,
2018-01-05T00:03:47.967Z,28.7,,,,54,,
2018-01-05T00:03:57.963Z,28.7,,,,54,,
2018-01-05T00:04:07.964Z,28.7,,35.8,,54,,
2018-01-05T00:04:17.965Z,28.7,,,,54,,
2018-01-05T00:04:27.965Z,28.7,,,,54,,
2018-01-05T00:04:37.963Z,28.7,,,,54,,
2018-01-05T00:04:47.967Z,28.7,,,,54,,
2018-01-05T00:04:57.964Z,28.7,,,,54,,
2018-01-05T00:05:07.968Z,28.7,,,,54,,
2018-01-05T00:05:17.969Z,28.7,,35.9,,54,,
2018-01-05T00:05:27.965Z,28.7,,,,54,,
2018-01-05T00:05:37.969Z,28.7,,,,54,,
2018-01-05T00:05:47.965Z,28.7,,,,54,,
2018-01-05T00:05:57.970Z,28.6,,38.2,1,54,0,42
2018-01-05T00:06:07.974Z,28.6,,42,,54,,31
2018-01-05T00:06:17.971Z,28.6,,40.9,,54,,29
2018-01-05T00:06:27.968Z,28.6,,41,,54,,29
2018-01-05T00:06:37.971Z,28.6,,41.6,,54,,
2018-01-05T00:06:47.969Z,28.6,,42,,54,,
2018-01-05T00:06:57.972Z,28.6,,42,,54,,
2018-01-05T00:07:07.966Z,28.6,,42.2,,54,,
2018-01-05T00:07:17.970Z,28.6,,42.3,,54,,
2018-01-05T00:07:27.969Z,28.6,,42.4,,54,,
2018-01-05T00:07:37.968Z,28.6,,42.7,,54,,
2018-01-05T00:07:47.968Z,28.6,,42.8,,54,,
2018-01-05T00:07:57.973Z,28.6,,43,,54,,
2018-01-05T00:08:07.966Z,28.6,,43.1,,54,,
2018-01-05T00:08:17.967Z,28.6,,,,54,,
2018-01-05T00:08:27.968Z,28.6,,43.2,,54,,
2018-01-05T00:08:37.970Z,28.6,,43.3,,54,,
2018-01-05T00:08:47.969Z,28.6,,,,54,,
2018-01-05T00:08:57.966Z,28.6,,,,54,,
2018-01-05T00:09:07.971Z,28.6,,,,54,,
2018-01-05T00:09:17.972Z,28.6,,43.4,,54,,
2018-01-05T00:09:27.972Z,28.6,,,,54,,
2018-01-05T00:09:37.973Z,28.6,,43.5,,54,,
2018-01-05T00:09:47.970Z,28.6,,,,54,,
2018-01-05T00:09:57.974Z,28.6,,43.6,,54,,
2018-01-05T00:10:07.974Z,28.6,,43.7,,54,,
2018-01-05T00:10:17.970Z,28.6,,43.8,,54,,
2018-01-05T00:10:27.975Z,28.6,,44,,54,,29
2018-01-05T00:10:37.974Z,28.6,,,,54,,
2018-01-05T00:10:47.967Z,28.6,,44.1,,54,,
2018-01-05T00:10:57.968Z,28.6,,44.2,,54,,
2018-01-05T00:11:07.969Z,28.7,,44.3,,54,,
2018-01-05T00:11:17.969Z,28.7,,44.4,,54,,
2018-01-05T00:11:27.972Z,28.7,,44.5,,54,,
2018-01-05T00:11:37.972Z,28.7,,44.6,,54,,
2018-01-05T00:11:47.971Z,28.7,,44.7,,54,,
2018-01-05T00:11:57.970Z,28.7,,44.8,,54,,
2018-01-05T00:12:07.973Z,28.7,,45,,54,,
2018-01-05T00:12:17.975Z,28.7,,45.1,,54,,
