Time,HwTOutlet,HwActive,PrimTSet,ActPow,HwTSet,ChActive,PrimT
2018-01-07T00:00:09.614Z,28.5,,,,54,,45
2018-01-07T00:00:19.609Z,27.7,,,,54,,44.8
2018-01-07T00:00:29.624Z,26.9,,,,54,,44.6
2018-01-07T00:00:39.611Z,26.5,,,,54,,
2018-01-07T00:00:49.619Z,25.7,,,,54,,
2018-01-07T00:00:59.616Z,25.1,,,,54,,44.5
2018-01-07T00:01:09.621Z,24.7,,,,54,,44.6
2018-01-07T00:01:19.608Z,24,,,,54,,44.7
2018-01-07T00:01:29.619Z,23.6,,,,54,,
2018-01-07T00:01:39.612Z,23.1,,,,54,,44.8
2018-01-07T00:01:49.616Z,22.7,,,,54,,44.9
2018-01-07T00:01:59.613Z,22.4,,,,54,,45
2018-01-07T00:02:09.611Z,22.4,,,,54,,45.1
2018-01-07T00:02:19.623Z,21.6,,,,54,,
2018-01-07T00:02:29.618Z,20.9,,,,54,,45.2
2018-01-07T00:02:39.609Z,20.6,,,,54,,45.3
2018-01-07T00:02:49.613Z,20.5,,,,54,,45.4
2018-01-07T00:02:59.613Z,20.6,,,,54,,45.5
2018-01-07T00:03:09.610Z,20.8,,,,54,,45.6
2018-01-07T00:03:19.609Z,21.1,0,,0,54,2,45.3
2018-01-07T00:03:29.613Z,21.2,,,,54,,42.9
2018-01-07T00:03:39.613Z,21.3,,,,54,,41.7
2018-01-07T00:03:49.614Z,21.5,,,,54,,41.1
2018-01-07T00:03:59.609Z,21.6,,,,54,,40.2
2018-01-07T00:04:09.612Z,21.6,,,,54,,39.7
2018-01-07T00:04:19.610Z,21.7,,,,54,,39.2
2018-01-07T00:04:29.612Z,21.7,,,,54,,38.7
2018-01-07T00:04:39.610Z,21.7,,,,54,,38.3
2018-01-07T00:04:49.614Z,21.7,,,,54,,38
2018-01-07T00:04:59.616Z,21.9,,,,54,,37.7
2018-01-07T00:05:09.619Z,22,,,,54,,37.5
2018-01-07T00:05:19.611Z,22,,,,54,,37.3
2018-01-07T00:05:29.619Z,22.1,,,,54,,36.9
2018-01-07T00:05:39.614Z,22.1,,,,54,,36.8
2018-01-07T00:05:49.616Z,22.2,,,,54,,36.6
2018-01-07T00:05:59.610Z,22.2,,,,54,,36.4
2018-01-07T00:06:09.622Z,22.4,,,,54,,36.3
2018-01-07T00:06:19.613Z,22.4,,,,54,,36.2
2018-01-07T00:06:29.611Z,22.5,,,,54,,
2018-01-07T00:06:39.612Z,22.5,,,,54,,
2018-01-07T00:06:49.615Z,22.5,,,,54,,
2018-01-07T00:06:59.613Z,22.7,,,,54,,
2018-01-07T00:07:09.620Z,22.8,,,,54,,
2018-01-07T00:07:19.613Z,22.8,,,,54,,36.1
2018-01-07T00:07:29.612Z,22.8,,,,54,,
2018-01-07T00:07:39.613Z,22.7,,,,54,,
2018-01-07T00:07:49.616Z,22.6,,,,54,,
2018-01-07T00:07:59.611Z,22.4,,,,54,,
2018-01-07T00:08:09.614Z,22.2,,,,54,,
2018-01-07T00:08:19.614Z,22.1,,,,54,,
2018-01-07T00:08:29.612Z,21.9,,,,54,,36.2
2018-01-07T00:08:39.614Z,21.7,,,,54,,
2018-01-07T00:08:49.615Z,21.6,,,,54,,
2018-01-07T00:08:59.612Z,21.5,,,,54,,36.3
2018-01-07T00:09:09.615Z,21.3,,,,54,,
2018-01-07T00:09:19.620Z,21.2,,,,54,,
2018-01-07T00:09:29.612Z,21.1,,,,54,,36.4
2018-01-07T00:09:39.615Z,20.9,,,,54,,
