Time,HwTSet,HwTOutlet,ChActive,PrimT,HwActive,ActPow,PrimTSet
2018-01-08T00:00:00.431Z,54,13.9,,,,,
2018-01-08T00:00:10.435Z,54,13.9,,,,,
2018-01-08T00:00:20.430Z,54,13.9,,47.4,,,
2018-01-08T00:00:30.434Z,54,13.7,,,,,
2018-01-08T00:00:40.434Z,54,13.9,,,,,
2018-01-08T00:00:50.436Z,54,13.7,,,,,
2018-01-08T00:01:00.436Z,54,13.7,,,,,
2018-01-08T00:01:10.431Z,54,13.7,,,,,
2018-01-08T00:01:30.437Z,54,13.7,,47.3,,,
2018-01-08T00:01:40.437Z,54,13.7,,,,,
2018-01-08T00:01:50.442Z,54,13.7,,,,,
2018-01-08T00:02:00.435Z,54,13.7,,,,,
2018-01-08T00:02:10.437Z,54,13.7,,,,,
2018-01-08T00:02:20.441Z,54,13.7,,,,,
2018-01-08T00:02:30.437Z,54,13.7,,47.2,,,
2018-01-08T00:02:40.432Z,54,13.7,,,,,
2018-01-08T00:02:50.432Z,54,13.7,,,,,
2018-01-08T00:03:00.441Z,54,13.7,,,,,
2018-01-08T00:03:10.432Z,54,13.7,,,,,
2018-01-08T00:03:20.433Z,54,13.7,,,,,
2018-01-08T00:03:30.436Z,54,13.6,,47.1,,,
2018-01-08T00:03:40.434Z,54,13.6,,,,,
2018-01-08T00:03:50.432Z,54,13.6,,,,,
2018-01-08T00:04:00.437Z,54,13.6,,,,,
2018-01-08T00:04:10.436Z,54,13.6,,,,,
2018-01-08T00:04:20.433Z,54,13.6,,47,,,
2018-01-08T00:04:30.434Z,54,13.6,,,,,
2018-01-08T00:04:40.433Z,54,13.6,,,,,
2018-01-08T00:04:50.434Z,54,13.6,,,,,
2018-01-08T00:05:00.433Z,54,13.6,,,,,
2018-01-08T00:05:10.442Z,54,13.6,,,,,
2018-01-08T00:05:20.436Z,54,13.6,,46.9,,,
2018-01-08T00:05:30.443Z,54,13.6,,46.9,,,
2018-01-08T00:05:40.439Z,54,13.6,,,,,
2018-01-08T00:05:50.439Z,54,13.6,,,,,
2018-01-08T00:06:00.439Z,54,13.6,,,,,
2018-01-08T00:06:10.446Z,54,13.6,,,,,
2018-01-08T00:06:20.435Z,54,13.6,0,,2,,0
2018-01-08T00:06:30.469Z,54,13.1,0,42.3,0,,
2018-01-08T00:06:40.436Z,54,15,,41.8,,,
2018-01-08T00:06:50.438Z,54,25.3,,40.6,,,
2018-01-08T00:07:00.439Z,54,32.3,,39.9,,,
2018-01-08T00:07:10.440Z,54,36.2,,40.1,,,
2018-01-08T00:07:20.437Z,54,38.3,,40.7,,,
2018-01-08T00:07:30.437Z,54,39.3,,41.2,,,5
2018-01-08T00:07:40.437Z,54,39.5,,41.5,,,
2018-01-08T00:07:50.462Z,54,39.6,,41.6,,,
2018-01-08T00:08:00.436Z,54,39.7,,41.7,,,
2018-01-08T00:08:10.437Z,54,39.6,,41.8,,,
2018-01-08T00:08:20.444Z,54,39.2,,41.9,,,
2018-01-08T00:08:30.435Z,54,38.4,,,,,
2018-01-08T00:08:40.436Z,54,37.5,,,,,
2018-01-08T00:08:50.437Z,54,36.1,,,,,
2018-01-08T00:09:00.443Z,54,34.7,,,,,
2018-01-08T00:09:10.437Z,54,33.4,,,,,
2018-01-08T00:09:20.436Z,54,32.1,,,,,
2018-01-08T00:09:30.439Z,54,30.7,,,,,
2018-01-08T00:09:40.439Z,54,29.6,,41.8,,,
2018-01-08T00:09:50.437Z,54,28.5,,,,,
2018-01-08T00:10:00.436Z,54,27.7,,,,,
2018-01-08T00:10:10.440Z,54,26.8,,,,,
2018-01-08T00:10:20.440Z,54,26.1,,,,,
2018-01-08T00:10:30.441Z,54,25.5,,,,,
2018-01-08T00:10:40.442Z,54,24.9,,,,,
2018-01-08T00:10:50.438Z,54,24.4,,,,,
2018-01-08T00:11:00.440Z,54,23.9,,,,,
2018-01-08T00:11:10.441Z,54,23.4,,,,,
2018-01-08T00:11:20.441Z,54,23,,,,,
2018-01-08T00:11:30.438Z,54,22.6,,41.7,,,
2018-01-08T00:11:40.442Z,54,22.2,,,,,
2018-01-08T00:11:50.441Z,54,22,,,,,
2018-01-08T00:12:00.439Z,54,21.6,,,,,
2018-01-08T00:12:10.439Z,54,21.3,,,,,
2018-01-08T00:12:20.445Z,54,20.9,,,,,
2018-01-08T00:12:30.443Z,54,20.5,,,,,
2018-01-08T00:12:40.441Z,54,20.1,,,,,
2018-01-08T00:12:50.460Z,54,20.1,,,,,
2018-01-08T00:13:00.439Z,54,19.8,,,,,
2018-01-08T00:13:10.438Z,54,19.7,,,,,
2018-01-08T00:13:20.438Z,54,19.6,,,,,
2018-01-08T00:13:30.443Z,54,19.3,,,,,
2018-01-08T00:13:40.447Z,54,19.2,,,,,
