Time,PrimTSet,HwTSet,ActPow,HwTOutlet,PrimT,HwActive,ChActive
2018-01-09T00:00:01.263Z,,54,30,49.6,,,
2018-01-09T00:00:11.255Z,,54,29,49.6,,,
2018-01-09T00:00:21.255Z,,54,,49.6,,,
2018-01-09T00:00:31.254Z,,54,,49.6,,,
2018-01-09T00:00:41.254Z,,54,30,49.6,,,
2018-01-09T00:00:51.255Z,,54,29,49.6,,,
2018-01-09T00:01:01.255Z,,54,,49.6,,,
2018-01-09T00:01:11.260Z,,54,30,49.6,,,
2018-01-09T00:01:21.252Z,,54,29,49.6,64.6,,
2018-01-09T00:01:31.256Z,,54,,49.6,,,
2018-01-09T00:01:41.254Z,,54,,49.6,64.5,,
2018-01-09T00:01:51.262Z,,54,,49.6,64.6,,
2018-01-09T00:02:01.257Z,,54,,49.6,64.5,,
2018-01-09T00:02:11.260Z,,54,30,49.6,64.6,,
2018-01-09T00:02:21.256Z,,54,,49.6,,,
2018-01-09T00:02:31.258Z,,54,29,49.6,,,
2018-01-09T00:02:41.258Z,,54,,49.4,,,
2018-01-09T00:02:51.256Z,,54,,49.4,,,
2018-01-09T00:03:01.258Z,,54,,49.3,,,
2018-01-09T00:03:11.267Z,,54,,49.3,64.5,,
2018-01-09T00:03:21.261Z,,54,,49.2,64.6,,
2018-01-09T00:03:31.262Z,,54,30,49.2,,,
2018-01-09T00:03:41.259Z,,54,29,49.3,,,
2018-01-09T00:03:51.259Z,,54,30,49.3,,,
2018-01-09T00:04:01.259Z,,54,29,49.4,,,
2018-01-09T00:04:11.259Z,,54,30,49.4,,,
2018-01-09T00:04:21.259Z,,54,29,49.6,,,
2018-01-09T00:04:31.258Z,,54,30,49.7,,,
2018-01-09T00:04:41.260Z,,54,29,49.7,,,
2018-01-09T00:04:51.259Z,,54,,49.7,,,
2018-01-09T00:05:01.258Z,,54,,49.7,,,
2018-01-09T00:05:11.259Z,,54,,49.7,,,
2018-01-09T00:05:21.256Z,,54,,49.8,,,
2018-01-09T00:05:31.260Z,,54,,49.8,,,
2018-01-09T00:05:41.271Z,,54,,49.7,,,
2018-01-09T00:05:51.262Z,,54,,49.7,,,
2018-01-09T00:06:01.261Z,,54,,49.7,,,
2018-01-09T00:06:11.260Z,,54,,49.7,,,
2018-01-09T00:06:21.262Z,,54,,49.7,,,
2018-01-09T00:06:31.258Z,,54,,49.7,,,
2018-01-09T00:06:41.259Z,,54,,49.7,,,
2018-01-09T00:06:51.258Z,,54,,49.7,,,
2018-01-09T00:07:01.262Z,,54,,49.7,,,
2018-01-09T00:07:11.261Z,,54,,49.7,,,
2018-01-09T00:07:21.268Z,,54,,49.7,,,
2018-01-09T00:07:31.256Z,,54,,49.7,,,
2018-01-09T00:07:41.259Z,,54,,49.6,,,
2018-01-09T00:07:51.263Z,,54,,49.6,,,
2018-01-09T00:08:01.261Z,,54,,49.6,,,
2018-01-09T00:08:11.261Z,,54,,49.6,,,
2018-01-09T00:08:21.259Z,,54,30,49.6,,,
2018-01-09T00:08:31.260Z,,54,29,49.6,,,
2018-01-09T00:08:41.263Z,,54,,49.6,,,
2018-01-09T00:08:51.260Z,,54,,49.6,64.5,,
2018-01-09T00:09:01.259Z,,54,,49.6,,,
2018-01-09T00:09:11.265Z,,54,,49.6,,,
2018-01-09T00:09:21.259Z,,54,,49.6,,,
2018-01-09T00:09:31.261Z,,54,,49.6,,,
2018-01-09T00:09:41.259Z,,54,30,49.6,,,
2018-01-09T00:09:51.259Z,,54,,49.6,,,
2018-01-09T00:10:01.265Z,,54,29,49.6,,,
2018-01-09T00:10:11.265Z,,54,30,49.6,,,
2018-01-09T00:10:21.260Z,,54,29,49.6,64.4,,
2018-01-09T00:10:31.260Z,,54,,49.6,,,
2018-01-09T00:10:41.261Z,,54,,49.6,,,
2018-01-09T00:10:51.261Z,,54,,49.6,,,
2018-01-09T00:11:01.257Z,,54,30,49.6,,,
2018-01-09T00:11:11.264Z,,54,29,49.6,,,
2018-01-09T00:11:21.264Z,,54,,49.6,,,
2018-01-09T00:11:31.261Z,,54,,49.6,64.2,,
2018-01-09T00:11:41.259Z,,54,,49.6,,,
2018-01-09T00:11:51.260Z,,54,,49.6,,,
2018-01-09T00:12:01.265Z,,54,,49.6,,,
2018-01-09T00:12:11.259Z,,54,30,49.6,64.1,,
2018-01-09T00:12:21.264Z,,54,29,49.6,,,
2018-01-09T00:12:31.262Z,,54,,49.6,,,
2018-01-09T00:12:41.260Z,,54,,49.6,,,
2018-01-09T00:12:51.258Z,,54,,49.6,64,,
2018-01-09T00:13:01.261Z,,54,,49.6,,,
2018-01-09T00:13:11.270Z,,54,,49.6,64,,
2018-01-09T00:13:21.260Z,,54,30,49.6,63.9,,
2018-01-09T00:13:31.416Z,,54,,49.7,,,
2018-01-09T00:13:41.260Z,,54,29,49.7,,,
2018-01-09T00:13:51.259Z,,54,,49.6,,,
2018-01-09T00:14:01.260Z,,54,,49.6,63.8,,
2018-01-09T00:14:11.263Z,,54,,49.6,,,
2018-01-09T00:14:21.274Z,,54,,49.6,,,
2018-01-09T00:14:31.263Z,,54,,49.6,63.6,,
2018-01-09T00:14:41.274Z,,54,,49.6,,,
2018-01-09T00:14:51.264Z,,54,,49.6,,,
2018-01-09T00:15:01.262Z,,54,,49.6,,,
2018-01-09T00:15:11.265Z,,54,30,49.6,63.5,,
2018-01-09T00:15:21.260Z,,54,29,49.6,,,
2018-01-09T00:15:31.262Z,,54,,49.6,,,
2018-01-09T00:15:41.262Z,,54,,49.6,,,
2018-01-09T00:15:51.268Z,,54,,49.4,,,
2018-01-09T00:16:01.262Z,,54,,49.4,,,
2018-01-09T00:16:11.264Z,,54,,49.4,,,
2018-01-09T00:16:21.262Z,,54,,49.4,,,
2018-01-09T00:16:31.269Z,,54,,49.4,,,
2018-01-09T00:16:41.264Z,,54,30,49.4,,,
2018-01-09T00:16:51.264Z,,54,29,49.4,63.4,,
2018-01-09T00:17:01.274Z,,54,,49.4,63.5,,
2018-01-09T00:17:11.264Z,,54,30,49.4,,,
2018-01-09T00:17:21.264Z,,54,29,49.4,,,
2018-01-09T00:17:31.270Z,,54,30,49.4,63.4,,
2018-01-09T00:17:41.270Z,,54,29,49.4,,,
2018-01-09T00:17:51.271Z,,54,,49.4,63.5,,
2018-01-09T00:18:01.265Z,,54,,49.4,63.4,,
2018-01-09T00:18:11.269Z,,54,,49.4,63.5,,
2018-01-09T00:18:21.273Z,,54,,49.4,,,
2018-01-09T00:18:31.264Z,,54,,49.4,63.4,,
2018-01-09T00:18:41.264Z,,54,,49.4,63.5,,
2018-01-09T00:18:51.263Z,,54,,49.4,63.4,,
2018-01-09T00:19:01.276Z,,54,,49.3,63.5,,
2018-01-09T00:19:11.275Z,,54,,49.3,,,
2018-01-09T00:19:21.263Z,,54,,49.3,,,
2018-01-09T00:19:31.270Z,,54,,49.3,,,
2018-01-09T00:19:41.268Z,,54,,49.3,,,
2018-01-09T00:19:51.266Z,,54,,49.3,,,
2018-01-09T00:20:01.267Z,,54,,49.2,,,
2018-01-09T00:20:11.284Z,,54,,49.2,,,
2018-01-09T00:20:21.269Z,,54,,49.2,,,
2018-01-09T00:20:31.272Z,,54,30,49.2,,,
2018-01-09T00:20:41.266Z,,54,29,49.2,,,
2018-01-09T00:20:51.265Z,,54,,49.2,,,
2018-01-09T00:21:01.267Z,,54,,49.2,,,
2018-01-09T00:21:11.281Z,,54,,49.2,,,
2018-01-09T00:21:21.265Z,,54,,49.2,,,
2018-01-09T00:21:31.267Z,,54,,49.2,,,
2018-01-09T00:21:41.267Z,,54,,49.2,,,
2018-01-09T00:21:51.267Z,,54,,49.2,,,
2018-01-09T00:22:01.269Z,,54,,49.2,,,
2018-01-09T00:22:11.270Z,,54,,49.2,,,
2018-01-09T00:22:21.269Z,,54,,49.2,,,
2018-01-09T00:22:31.270Z,,54,,49.2,63.6,,
2018-01-09T00:22:41.267Z,,54,,49.2,,,
2018-01-09T00:22:51.266Z,,54,,49.2,,,
2018-01-09T00:23:01.271Z,,54,,49.2,,,
2018-01-09T00:23:11.270Z,,54,,49.2,,,
