Time,ChActive,ActPow,HwActive,PrimT,HwTOutlet,PrimTSet,HwTSet
2018-01-10T00:00:06.922Z,,,,,15.1,,54
2018-01-10T00:00:16.951Z,,,,,15.1,,54
2018-01-10T00:00:26.908Z,,,,,15,,54
2018-01-10T00:00:36.919Z,,,,,15,,54
2018-01-10T00:00:46.898Z,,,,33.8,14.8,,54
2018-01-10T00:00:56.927Z,,,,,14.8,,54
2018-01-10T00:01:06.906Z,,,,,14.8,,54
2018-01-10T00:01:16.895Z,,,,,14.7,,54
2018-01-10T00:01:26.899Z,,,,,14.7,,54
2018-01-10T00:01:36.896Z,,,,,14.5,,54
2018-01-10T00:01:46.957Z,,,,,14.5,,54
2018-01-10T00:01:56.899Z,,,,,14.5,,54
2018-01-10T00:02:06.938Z,,,,,14.5,,54
2018-01-10T00:02:16.895Z,,,,,14.3,,54
2018-01-10T00:02:26.896Z,,,,,14.3,,54
2018-01-10T00:02:36.900Z,,,,,14.3,,54
2018-01-10T00:02:46.899Z,,,,,14.3,,54
2018-01-10T00:02:56.897Z,,,,,14.3,,54
2018-01-10T00:03:06.900Z,,,,,14.2,,54
2018-01-10T00:03:16.905Z,,,,,14.2,,54
2018-01-10T00:03:26.894Z,,,,,14.2,,54
2018-01-10T00:03:36.963Z,,,,,14,,54
2018-01-10T00:03:46.894Z,,,,,14,,54
2018-01-10T00:03:56.917Z,,,,33.7,14,,54
2018-01-10T00:04:06.945Z,,,,,14,,54
2018-01-10T00:04:16.898Z,1,,0,,14,,54
2018-01-10T00:04:26.918Z,,36,,38.3,14,,54
2018-01-10T00:04:36.899Z,,29,,38.9,14.2,,54
2018-01-10T00:04:46.903Z,,,,38,15,,54
2018-01-10T00:04:56.925Z,,30,,39.2,,,
2018-01-10T00:05:06.949Z,,,,39.4,17,,54
2018-01-10T00:05:16.897Z,,29,,39.7,17.5,,54
2018-01-10T00:05:26.923Z,,,,39.8,17.9,,54
2018-01-10T00:05:36.919Z,,30,,40,18.4,,54
2018-01-10T00:05:46.903Z,,29,,40.1,18.6,,54
2018-01-10T00:05:56.895Z,,,,,18.9,,54
2018-01-10T00:06:06.964Z,,29,,40.3,19,,54
2018-01-10T00:06:16.896Z,,,,40.5,19,,54
2018-01-10T00:06:26.901Z,,,,40.6,19.2,,54
2018-01-10T00:06:36.895Z,,,,40.8,19.3,,54
2018-01-10T00:06:46.900Z,,29,,41,19.4,,54
2018-01-10T00:06:56.935Z,,30,,41.2,19.7,,54
2018-01-10T00:07:06.930Z,,29,,41.4,19.7,,54
2018-01-10T00:07:16.901Z,,,,41.6,20,,54
2018-01-10T00:07:26.929Z,,,,41.8,20,,54
2018-01-10T00:07:36.967Z,,,,41.9,20.1,,54
2018-01-10T00:07:46.901Z,,30,,42.1,20.2,,54
2018-01-10T00:07:56.904Z,,29,,42.2,20.4,,54
2018-01-10T00:08:06.966Z,,30,,42.4,20.5,,54
2018-01-10T00:08:16.896Z,,29,,42.6,20.5,,54
2018-01-10T00:08:26.920Z,,,,42.8,20.6,,54
2018-01-10T00:08:36.896Z,,,,42.9,20.8,,54
2018-01-10T00:08:46.905Z,,,,43.1,20.9,,54
2018-01-10T00:08:56.897Z,,30,,43.2,21.1,,54
2018-01-10T00:09:06.898Z,,29,,43.4,21.1,,54
2018-01-10T00:09:16.918Z,,30,,43.5,21.2,,54
2018-01-10T00:09:26.957Z,,29,,43.6,21.3,,54
2018-01-10T00:09:36.900Z,,,,43.8,21.3,,54
2018-01-10T00:09:46.938Z,,,,44,21.3,,54
2018-01-10T00:09:56.908Z,,29,,44.1,,,
2018-01-10T00:10:06.948Z,,,,44.2,21.2,,54
2018-01-10T00:10:16.899Z,,,,44.4,21.2,,54
2018-01-10T00:10:26.950Z,,,,44.5,21.3,,54
2018-01-10T00:10:36.900Z,,,,44.6,21.5,,54
2018-01-10T00:10:46.915Z,1,30,0,44.8,21.7,61,54
2018-01-10T00:10:56.956Z,,,,,21.7,,54
2018-01-10T00:11:06.917Z,,29,,45,21.9,,54
2018-01-10T00:11:16.908Z,,,,45.2,21.9,,54
2018-01-10T00:11:26.909Z,,30,,45.3,21.9,,54
2018-01-10T00:11:36.930Z,,29,,45.4,22,,54
2018-01-10T00:11:46.900Z,,30,,45.6,22.1,,54
2018-01-10T00:11:56.970Z,,,,,22.2,,54
2018-01-10T00:12:06.901Z,,29,,45.8,22.2,,54
2018-01-10T00:12:16.935Z,,,,45.9,22.4,,54
2018-01-10T00:12:26.934Z,,,,46.1,22.4,,54
2018-01-10T00:12:36.912Z,,,,46.2,22.4,,54
2018-01-10T00:12:46.969Z,,30,,46.3,22.4,,54
2018-01-10T00:12:56.975Z,,,,46.5,,,
2018-01-10T00:13:06.910Z,,0,,46.6,22.6,,54
2018-01-10T00:13:16.939Z,1,,0,44.3,23,,54
2018-01-10T00:13:26.974Z,,,,42.9,22.7,,54
2018-01-10T00:13:36.902Z,,,,42.1,22.4,,54
2018-01-10T00:13:46.992Z,,,,41.3,22.1,,54
2018-01-10T00:13:56.902Z,,,,40.7,,,
2018-01-10T00:14:06.910Z,,,,40.3,21.5,,54
2018-01-10T00:14:16.901Z,,,,39.8,,,
2018-01-10T00:14:26.980Z,,,,39.5,21.7,,54
2018-01-10T00:14:36.921Z,,,,39.1,21.6,,54
2018-01-10T00:14:46.913Z,,,,38.7,21.5,,54
2018-01-10T00:14:56.903Z,,,,38.4,21.3,,54
2018-01-10T00:15:06.914Z,,,,38.2,21.2,,54
2018-01-10T00:15:16.905Z,,,,38,21.1,,54
2018-01-10T00:15:26.903Z,,,,37.8,20.9,,54
2018-01-10T00:15:36.904Z,,,,37.6,20.8,,54
2018-01-10T00:15:46.907Z,,,,37.5,20.6,,54
2018-01-10T00:15:56.994Z,,,,37.3,,,
2018-01-10T00:16:06.929Z,,,,37.2,20.4,,54
2018-01-10T00:16:16.985Z,,,,,20.2,,54
2018-01-10T00:16:26.904Z,,,,37.1,20.2,,54
2018-01-10T00:16:36.935Z,,,,,20.2,,54
2018-01-10T00:16:46.940Z,,,,,20.1,,54
2018-01-10T00:16:56.905Z,,,,,19.8,,54
2018-01-10T00:17:06.949Z,,,,,19.6,,54
2018-01-10T00:17:16.940Z,,,,,19.2,,54
2018-01-10T00:17:26.917Z,,,,,19,,54
2018-01-10T00:17:36.933Z,,,,,18.8,,54
2018-01-10T00:17:46.974Z,,,,,18.5,,54
2018-01-10T00:17:57.002Z,,,,,18.4,,54
2018-01-10T00:18:06.955Z,,,,37.2,18.2,,54
2018-01-10T00:18:16.973Z,,,,,17.9,,54
2018-01-10T00:18:26.911Z,,,,37.3,17.8,,54
2018-01-10T00:18:37.016Z,,,,,17.7,,54
2018-01-10T00:18:46.917Z,,,,37.4,17.4,,54
2018-01-10T00:18:56.907Z,,,,,17.3,,54
2018-01-10T00:19:06.908Z,,,,,17.1,,54
2018-01-10T00:19:16.978Z,,,,37.5,17,,54
2018-01-10T00:19:26.918Z,,,,,16.8,,54
2018-01-10T00:19:36.978Z,,,,37.6,16.7,,54
2018-01-10T00:19:56.924Z,,,,,16.4,,54
2018-01-10T00:20:06.952Z,,,,37.7,16.2,,54
2018-01-10T00:20:26.914Z,,,,,16.1,,54
2018-01-10T00:20:36.952Z,,,,,15.9,,54
2018-01-10T00:20:46.905Z,,,,,15.7,,54
2018-01-10T00:20:56.926Z,,,,,15.6,,54
2018-01-10T00:21:06.910Z,,,,,15.4,,54
2018-01-10T00:21:16.917Z,,,,,15.3,,54
2018-01-10T00:21:26.907Z,,,,,15.1,,54
2018-01-10T00:21:36.904Z,,,,,15.1,,54
2018-01-10T00:21:56.948Z,,,,,15.1,,54
2018-01-10T00:22:06.973Z,,,,,15.1,,54
2018-01-10T00:22:26.936Z,,,,,14.8,,54
2018-01-10T00:22:36.912Z,,,,,14.7,,54
2018-01-10T00:22:56.931Z,,,,,14.7,,54
2018-01-10T00:23:06.983Z,,,,37.6,14.7,,54
2018-01-10T00:23:26.940Z,,,,,14.7,,54
2018-01-10T00:23:36.976Z,,,,,14.5,,54
2018-01-10T00:23:56.906Z,,,,,14.3,,54
2018-01-10T00:24:06.974Z,,,,,14.3,,54
2018-01-10T00:24:16.913Z,,,,37.5,,,
2018-01-10T00:24:26.951Z,,,,,14.3,,54
2018-01-10T00:24:36.910Z,,,,,14.3,,54
2018-01-10T00:24:56.922Z,,,,,14.3,,54
2018-01-10T00:25:07.074Z,,,,,14.3,,54
2018-01-10T00:25:16.916Z,,,,37.4,,,
2018-01-10T00:25:26.906Z,,,,,14.3,,54
2018-01-10T00:25:36.985Z,,,,,14.2,,54
2018-01-10T00:25:56.955Z,,,,,13.9,,54
2018-01-10T00:26:06.987Z,,,,37.3,,,
2018-01-10T00:26:16.918Z,,,,37.3,13.9,,54
2018-01-10T00:26:26.966Z,,,,,14,,54
2018-01-10T00:26:36.914Z,,,,,13.9,,54
2018-01-10T00:26:46.914Z,1,45,0,38.1,,,
2018-01-10T00:26:56.967Z,,32,,42.3,13.9,,54
2018-01-10T00:27:06.908Z,,29,,40.9,13.9,,54
2018-01-10T00:27:16.937Z,,,,41.1,14.2,,54
2018-01-10T00:27:26.921Z,,30,,41.6,15.6,,54
2018-01-10T00:27:36.918Z,,29,,,17.3,,54
2018-01-10T00:27:46.909Z,,,,,17.9,,54
2018-01-10T00:27:56.925Z,,30,,41.7,,,
2018-01-10T00:28:06.911Z,,29,,41.8,18.4,,54
2018-01-10T00:28:16.949Z,,,,41.9,18.9,,54
2018-01-10T00:28:26.909Z,,,,,19.2,,54
2018-01-10T00:28:36.908Z,,,,42,,,
2018-01-10T00:28:46.940Z,,,,42.1,19.4,,54
2018-01-10T00:29:06.913Z,,,,42.3,19.7,,54
2018-01-10T00:29:16.919Z,,30,,42.7,,,
2018-01-10T00:29:26.984Z,,29,,42.8,19.8,,54
2018-01-10T00:29:36.922Z,,29,,43,,,
2018-01-10T00:29:46.927Z,,,,43.1,20.1,,54
2018-01-10T00:30:06.910Z,,,,43.3,20.4,,54
2018-01-10T00:30:16.949Z,,,,43.7,20.4,,54
2018-01-10T00:30:26.986Z,,,,43.8,20.6,,54
2018-01-10T00:30:46.952Z,,,,44.1,20.6,,54
2018-01-10T00:30:56.984Z,,,,,20.9,,54
2018-01-10T00:31:06.930Z,,30,,44.2,,,
2018-01-10T00:31:16.958Z,,29,,44.5,20.9,,54
2018-01-10T00:31:26.995Z,,,,44.6,21.1,,54
2018-01-10T00:31:36.927Z,,,,,21.2,,54
2018-01-10T00:31:46.959Z,,,,44.9,,,
2018-01-10T00:31:56.913Z,,30,,45,21.3,,54
2018-01-10T00:32:06.920Z,,29,,45.2,21.5,,54
2018-01-10T00:32:16.966Z,,,,45.3,21.5,,54
2018-01-10T00:32:36.932Z,,,,45.6,21.6,,54
2018-01-10T00:32:46.965Z,,,,45.7,21.7,,54
2018-01-10T00:33:06.939Z,,,,45.8,21.9,,54
2018-01-10T00:33:16.957Z,,29,,46.1,21.9,,54
2018-01-10T00:33:26.957Z,,30,,46.2,22,,54
2018-01-10T00:33:36.940Z,,,,,22.4,,54
2018-01-10T00:33:46.923Z,1,0,0,44.1,,,
2018-01-10T00:33:56.970Z,,,,42.6,22.4,,54
2018-01-10T00:34:06.912Z,,,,41.9,22.2,,54
2018-01-10T00:34:16.931Z,,,,41.1,22.1,,54
2018-01-10T00:34:26.915Z,,,,40.5,21.7,,54
2018-01-10T00:34:36.949Z,,,,,21.3,,54
2018-01-10T00:34:46.913Z,,,,39.6,,,
2018-01-10T00:34:56.944Z,,,,,21.2,,54
2018-01-10T00:35:06.965Z,,,,38.8,,,
2018-01-10T00:35:16.996Z,,,,,20.9,,54
2018-01-10T00:35:26.911Z,,,,38.5,,,
