Time,ChActive,HwTOutlet,ActPow,PrimTSet,HwTSet,PrimT,HwActive
2018-01-11T00:00:03.046Z,,22.2,,,54,39.9,
2018-01-11T00:00:12.940Z,,22.2,,,54,39.8,
2018-01-11T00:00:22.740Z,,22.1,,,54,39.6,
2018-01-11T00:00:32.721Z,,22,,,54,39.4,
2018-01-11T00:00:42.813Z,,21.9,,,54,39.2,
2018-01-11T00:00:52.784Z,,21.9,,,54,38.9,
2018-01-11T00:01:13.640Z,,21.6,,,54,38.8,
2018-01-11T00:01:28.899Z,,21.5,,,54,38.6,
2018-01-11T00:01:29.226Z,,21.2,,,54,,
2018-01-11T00:01:42.732Z,,21.3,,,54,,
2018-01-11T00:01:52.801Z,,21.3,,,54,,
2018-01-11T00:02:03.668Z,,21.1,,,54,,
2018-01-11T00:02:13.002Z,,20.8,,,54,38.5,
2018-01-11T00:02:28.002Z,,20.4,,,54,,
2018-01-11T00:02:32.781Z,,20.1,,,54,,
2018-01-11T00:02:42.736Z,,19.8,,,54,38.6,
2018-01-11T00:02:52.742Z,,19.6,,,54,,
2018-01-11T00:03:02.803Z,,19.4,,,54,,
2018-01-11T00:03:12.756Z,,19.2,,,54,,
2018-01-11T00:03:22.760Z,,18.9,,,54,38.7,
2018-01-11T00:03:33.726Z,,18.8,,,54,,
2018-01-11T00:03:42.735Z,,18.6,,,54,38.8,
2018-01-11T00:03:52.722Z,,18.4,,,54,,
2018-01-11T00:04:02.774Z,,18.1,,,54,38.9,
2018-01-11T00:04:12.730Z,,17.9,,,54,38.9,
2018-01-11T00:04:22.721Z,,17.8,,,54,39.1,
2018-01-11T00:04:32.721Z,,17.7,,,54,,
2018-01-11T00:04:43.606Z,,17.5,,,54,,
2018-01-11T00:04:54.843Z,,17.4,,,54,39.2,
2018-01-11T00:05:02.774Z,,17.3,,,54,,
2018-01-11T00:05:12.751Z,,17.1,,,54,,
2018-01-11T00:05:22.731Z,,17.1,,,54,,
2018-01-11T00:05:32.776Z,,17,,,54,,
2018-01-11T00:05:42.840Z,,16.8,,,54,,
2018-01-11T00:05:52.727Z,,16.8,,,54,,
2018-01-11T00:06:03.642Z,1,16.7,,,54,39.2,0
2018-01-11T00:06:12.830Z,,16.5,38,,54,43.1,
2018-01-11T00:06:27.825Z,,16.5,33,,54,44.3,
2018-01-11T00:06:32.866Z,,16.8,29,,54,43.6,
2018-01-11T00:06:42.748Z,,17.8,,,54,44,
2018-01-11T00:06:52.721Z,,18.8,,,54,44.5,
2018-01-11T00:07:02.754Z,1,19.6,0,,54,43.8,0
2018-01-11T00:07:12.755Z,,20,,,54,41.9,
2018-01-11T00:07:22.808Z,,20.2,,,54,40.8,
2018-01-11T00:07:32.818Z,,20.4,,,54,39.9,
2018-01-11T00:07:43.589Z,,20.2,,,54,38.9,
2018-01-11T00:07:53.596Z,,20.1,,,54,38.4,
2018-01-11T00:08:02.757Z,,20,,,54,37.9,
2018-01-11T00:08:15.817Z,,20,,,54,37.4,
2018-01-11T00:08:22.752Z,,19.8,,,54,36.9,
2018-01-11T00:08:32.739Z,,19.8,,,54,36.6,
2018-01-11T00:08:42.721Z,,19.8,,,54,36.4,
2018-01-11T00:08:53.618Z,,19.7,,,54,35.9,
2018-01-11T00:09:02.740Z,,19.7,,,54,35.8,
2018-01-11T00:09:12.738Z,,19.7,,,54,35.5,
2018-01-11T00:09:22.816Z,,19.6,,,54,35.3,
2018-01-11T00:09:32.734Z,,19.7,,,54,34.9,
2018-01-11T00:09:43.583Z,,19.7,,,54,,
2018-01-11T00:09:52.767Z,,19.6,,,54,34.8,
2018-01-11T00:10:02.821Z,,19.6,,,54,34.7,
2018-01-11T00:10:13.677Z,,19.6,,,54,,
2018-01-11T00:10:22.806Z,,19.6,,,54,34.6,
2018-01-11T00:10:33.665Z,,19.4,,,54,,
2018-01-11T00:10:43.693Z,,19.4,,,54,34.5,
2018-01-11T00:10:52.902Z,,19.4,,,54,,
2018-01-11T00:11:02.774Z,,19.3,,,54,34.4,
2018-01-11T00:11:13.684Z,,19.3,,,54,,
2018-01-11T00:11:23.592Z,,19.4,,,54,34.3,
2018-01-11T00:11:32.734Z,,19.4,,,54,34.2,
2018-01-11T00:11:42.794Z,,19.3,,,54,34.1,
2018-01-11T00:11:53.745Z,,19.3,,,54,34,
2018-01-11T00:12:03.590Z,1,19.3,40,,54,37.7,0
2018-01-11T00:12:12.763Z,,19.2,31,,54,41,
2018-01-11T00:12:22.880Z,,19.2,29,,54,39.9,
2018-01-11T00:12:33.611Z,,19.3,,,54,40,
2018-01-11T00:12:42.728Z,,19.2,,,54,41.2,
2018-01-11T00:12:53.592Z,1,19.4,29,61,54,41.8,0
2018-01-11T00:13:03.621Z,,19.7,,,54,42,
