Time,PrimTSet,PrimT,ChActive,HwTOutlet,HwActive,ActPow,HwTSet
2018-01-12T00:00:01.583Z,,49.9,,39.8,,,54
2018-01-12T00:00:11.549Z,,50,,39.8,,,54
2018-01-12T00:00:21.549Z,,50.3,,39.8,,,54
2018-01-12T00:00:31.543Z,,50.6,,39.7,,,54
2018-01-12T00:00:41.621Z,,51,,39.7,,30,54
2018-01-12T00:00:51.570Z,,51.1,,39.7,,29,54
2018-01-12T00:01:01.606Z,,51.3,1,39.7,0,0,54
2018-01-12T00:01:11.556Z,,48.9,,39.7,,,54
2018-01-12T00:01:21.553Z,,47.8,,39.7,,,54
2018-01-12T00:01:31.564Z,,46.7,,39.7,,,54
2018-01-12T00:01:41.543Z,,45.9,,39.7,,,54
2018-01-12T00:01:51.595Z,,45.5,,39.7,,,54
2018-01-12T00:02:01.598Z,,44.9,,39.7,,,54
2018-01-12T00:02:11.551Z,,44.5,,39.7,,,54
2018-01-12T00:02:21.578Z,,43.9,,39.7,,,54
2018-01-12T00:02:31.557Z,,43.7,,39.7,,,54
2018-01-12T00:02:41.567Z,,43.3,,39.7,,,54
2018-01-12T00:02:51.569Z,,42.9,,39.7,,,54
2018-01-12T00:03:01.558Z,,42.6,,39.7,,,54
2018-01-12T00:03:11.588Z,,42.2,,39.7,,,54
2018-01-12T00:03:21.650Z,,41.9,,39.7,,,54
2018-01-12T00:03:31.609Z,,41.7,,39.7,,,54
2018-01-12T00:03:41.685Z,,41.6,,39.7,,,54
2018-01-12T00:03:51.603Z,,41.4,,39.7,,,54
2018-01-12T00:04:01.550Z,,41.3,,39.7,,,54
2018-01-12T00:04:11.750Z,,43,1,39.7,0,43,54
2018-01-12T00:04:21.671Z,,45.2,,39.7,,37,54
2018-01-12T00:04:31.611Z,,46,,39.7,,29,54
2018-01-12T00:04:41.565Z,,47.1,,39.7,,,54
2018-01-12T00:04:51.553Z,,48,,39.7,,,54
2018-01-12T00:05:01.548Z,,48.2,,39.7,,,54
2018-01-12T00:05:11.549Z,,49,,39.7,,,54
2018-01-12T00:05:21.567Z,,49.2,,39.7,,,54
2018-01-12T00:05:31.551Z,,49.5,,39.7,,,54
2018-01-12T00:05:41.552Z,,50,,39.7,,,54
2018-01-12T00:05:51.551Z,,50.1,,39.7,,,54
2018-01-12T00:06:01.662Z,,50.3,,39.7,,,54
2018-01-12T00:06:11.575Z,,50.5,,39.6,,,54
2018-01-12T00:06:21.794Z,,50.6,,39.6,,,54
2018-01-12T00:06:31.631Z,,51,,39.6,,,54
2018-01-12T00:06:41.563Z,,,,39.6,,,54
2018-01-12T00:06:51.636Z,,51.1,,39.6,,,54
2018-01-12T00:07:01.573Z,,51.2,,39.6,,,54
2018-01-12T00:07:11.547Z,,51.3,,39.6,,,54
2018-01-12T00:07:21.549Z,,,,39.6,,,54
2018-01-12T00:07:31.566Z,,51.4,,39.6,,30,54
2018-01-12T00:07:41.629Z,,51.5,,39.6,,29,54
2018-01-12T00:07:51.604Z,,51.5,1,39.5,0,0,54
2018-01-12T00:08:01.570Z,,48.9,,39.6,,,54
2018-01-12T00:08:11.572Z,,47.9,,39.5,,,54
2018-01-12T00:08:21.591Z,,46.8,,39.5,,,54
2018-01-12T00:08:31.567Z,,45.9,,39.6,,,54
2018-01-12T00:08:41.573Z,,45.5,,39.6,,,54
2018-01-12T00:08:51.561Z,,44.9,,39.6,,,54
2018-01-12T00:09:01.615Z,,44.4,,39.6,,,54
2018-01-12T00:09:11.576Z,,43.9,,39.6,,,54
2018-01-12T00:09:21.616Z,,43.6,,39.6,,,54
2018-01-12T00:09:31.549Z,,42.9,,39.6,,,54
2018-01-12T00:09:41.566Z,,,,39.6,,,54
2018-01-12T00:09:51.556Z,,42.6,,39.6,,,54
2018-01-12T00:10:01.603Z,,42.2,,39.7,,,54
2018-01-12T00:10:11.584Z,,41.9,,39.7,,,54
2018-01-12T00:10:21.617Z,,41.8,,39.7,,,54
2018-01-12T00:10:31.551Z,,41.6,,39.7,,,54
2018-01-12T00:10:41.577Z,,41.5,,39.7,,,54
2018-01-12T00:10:51.629Z,,41.2,,39.7,,,54
2018-01-12T00:11:01.573Z,,,,39.7,,,54
2018-01-12T00:11:11.613Z,,,,39.7,,,54
2018-01-12T00:11:21.557Z,,,,39.7,,,54
2018-01-12T00:11:31.558Z,,,,39.7,,,54
2018-01-12T00:11:41.566Z,,,,39.7,,,54
2018-01-12T00:11:51.551Z,,41.1,,39.7,,,54
2018-01-12T00:12:01.567Z,,,,39.7,,,54
2018-01-12T00:12:11.606Z,,,,39.7,,,54
2018-01-12T00:12:21.657Z,,,,39.7,,,54
2018-01-12T00:12:31.567Z,,46,1,39.7,0,38,54
2018-01-12T00:12:41.639Z,,47.9,,39.7,,29,54
2018-01-12T00:12:51.594Z,,46.8,,39.7,,,54
2018-01-12T00:13:01.560Z,,47.1,,39.6,,29,54
2018-01-12T00:13:11.610Z,,48,,39.6,,,54
2018-01-12T00:13:21.561Z,,48.3,,39.6,,,54
2018-01-12T00:13:31.594Z,,48.5,,39.6,,,54
2018-01-12T00:13:41.550Z,,48.8,,39.6,,,54
2018-01-12T00:13:51.569Z,,49,,39.6,,,54
2018-01-12T00:14:01.575Z,,49.2,,39.5,,30,54
2018-01-12T00:14:11.549Z,,49.4,,39.5,,,54
2018-01-12T00:14:21.652Z,,49.5,,39.5,,,54
2018-01-12T00:14:31.562Z,,49.7,,39.5,,29,54
2018-01-12T00:14:41.613Z,,49.8,,39.4,,,54
2018-01-12T00:14:51.553Z,61,50,1,39.4,0,29,54
2018-01-12T00:15:01.552Z,,50.1,,39.4,,,54
2018-01-12T00:15:11.557Z,,50.2,,39.4,,,54
2018-01-12T00:15:21.568Z,,50.3,,39.4,,,54
2018-01-12T00:15:31.592Z,,50.4,,39.4,,,54
2018-01-12T00:15:41.941Z,,50.5,,39.3,,,54
2018-01-12T00:15:51.563Z,,50.6,,39.3,,,54
2018-01-12T00:16:01.573Z,,50.7,,39.3,,30,54
2018-01-12T00:16:11.584Z,,,,39.3,,,54
2018-01-12T00:16:21.624Z,,51,,39.3,,29,54
2018-01-12T00:16:31.644Z,,,,39.3,,,54
2018-01-12T00:16:41.564Z,,51.1,,39.3,,,54
2018-01-12T00:16:51.560Z,,51.2,,39.3,,,54
2018-01-12T00:17:01.587Z,,51.3,,39.3,,,54
2018-01-12T00:17:11.564Z,,51.4,,39.3,,,54
2018-01-12T00:17:21.595Z,,51.5,1,39.3,0,0,54
2018-01-12T00:17:31.558Z,,48.8,,39.3,,,54
2018-01-12T00:17:41.556Z,,47.8,,39.3,,,54
2018-01-12T00:17:51.657Z,,46.8,,39.3,,,54
2018-01-12T00:18:01.636Z,,45.8,1,39.4,0,,54
2018-01-12T00:18:11.561Z,,51,,39.4,,36,54
2018-01-12T00:18:21.596Z,,51.8,,39.4,,29,54
2018-01-12T00:18:31.571Z,,50.7,,39.4,,,54
2018-01-12T00:18:41.641Z,,51,,39.4,,30,54
2018-01-12T00:18:51.666Z,,51.4,,39.4,,29,54
2018-01-12T00:19:01.576Z,,51.3,,39.4,,,54
2018-01-12T00:19:11.571Z,,51.5,,39.5,,,54
2018-01-12T00:19:21.664Z,,51.6,,39.5,,,54
2018-01-12T00:19:31.608Z,,52,,39.5,,,54
2018-01-12T00:19:41.557Z,,,,39.5,,,54
2018-01-12T00:19:51.585Z,,52.1,,39.6,,30,54
2018-01-12T00:20:01.658Z,,51.8,1,39.6,0,0,54
2018-01-12T00:20:11.580Z,,49.9,,39.6,,,54
2018-01-12T00:20:21.572Z,,48.7,,39.6,,,54
2018-01-12T00:20:31.619Z,,47.7,,39.6,,,54
2018-01-12T00:20:41.564Z,,46.9,,39.7,,,54
2018-01-12T00:20:51.578Z,,45.9,,39.7,,,54
2018-01-12T00:21:01.574Z,,45.8,,39.7,,,54
2018-01-12T00:21:11.563Z,,45.3,,39.7,,,54
2018-01-12T00:21:21.553Z,,44.9,,39.8,,,54
2018-01-12T00:21:31.559Z,,44.5,,39.8,,,54
2018-01-12T00:21:41.567Z,,43.9,,39.8,,,54
2018-01-12T00:21:51.560Z,,43.8,,39.8,,,54
2018-01-12T00:22:01.569Z,,43.5,,39.8,,,54
2018-01-12T00:22:11.554Z,,43.3,,39.9,,,54
2018-01-12T00:22:21.597Z,,43.1,,39.9,,,54
2018-01-12T00:22:31.558Z,,42.9,,39.9,,,54
2018-01-12T00:22:41.591Z,,42.7,,39.9,,,54
2018-01-12T00:22:51.603Z,,42.4,,39.9,,,54
2018-01-12T00:23:01.572Z,,42.2,,39.9,,,54
2018-01-12T00:23:11.769Z,,,,40,,,54
2018-01-12T00:23:21.652Z,,47.1,1,40,0,38,54
2018-01-12T00:23:31.592Z,,48.9,,40,,29,54
2018-01-12T00:23:41.560Z,,47.9,,40,,,54
2018-01-12T00:23:51.582Z,,49,,40,,,54
2018-01-12T00:24:01.557Z,,49.3,,40,,,54
2018-01-12T00:24:11.563Z,,49.4,,40,,,54
2018-01-12T00:24:21.578Z,,50,,40,,30,54
2018-01-12T00:24:31.561Z,,50.1,,40,,29,54
2018-01-12T00:24:41.590Z,,50.4,,40,,,54
2018-01-12T00:24:51.586Z,,50.6,,40,,,54
2018-01-12T00:25:01.573Z,,51,,40,,,54
2018-01-12T00:25:11.562Z,,51.1,,40,,,54
2018-01-12T00:25:21.563Z,,51.3,,40,,,54
2018-01-12T00:25:31.693Z,,51.4,,39.9,,,54
2018-01-12T00:25:41.564Z,,51.6,,39.9,,,54
2018-01-12T00:25:51.557Z,,51.7,,39.9,,,54
2018-01-12T00:26:01.591Z,,51.8,,39.9,,,54
2018-01-12T00:26:11.620Z,,52,,39.9,,29,54
2018-01-12T00:26:21.654Z,,,,39.9,,30,54
2018-01-12T00:26:31.587Z,,52.1,,39.9,,,54
2018-01-12T00:26:41.606Z,,52.2,,39.9,,,54
2018-01-12T00:26:51.596Z,,,,39.9,,29,54
2018-01-12T00:27:01.560Z,,52.3,,39.9,,,54
2018-01-12T00:27:11.630Z,,50.9,1,39.9,0,0,54
2018-01-12T00:27:21.559Z,,48.9,,39.9,,,54
2018-01-12T00:27:31.560Z,,48.5,,39.9,,,54
2018-01-12T00:27:41.561Z,,47.8,,39.9,,,54
2018-01-12T00:27:51.596Z,,46.8,,39.9,,,54
2018-01-12T00:28:01.588Z,,45.9,,40,,,54
2018-01-12T00:28:11.570Z,,45.7,,40,,,54
2018-01-12T00:28:21.574Z,,44.9,,40,,,54
2018-01-12T00:28:31.669Z,,44.4,1,40,0,,54
2018-01-12T00:28:41.621Z,,49,,40,,38,54
2018-01-12T00:28:51.563Z,,50.9,,40,,29,54
2018-01-12T00:29:01.588Z,,49.9,,40.1,,29,54
2018-01-12T00:29:11.588Z,,50.1,,40.1,,,54
2018-01-12T00:29:21.578Z,,51,,40.1,,29,54
2018-01-12T00:29:31.568Z,,51.2,,40.1,,30,54
2018-01-12T00:29:41.629Z,,51.3,,40.1,,,54
2018-01-12T00:29:51.558Z,,51.6,,40.1,,29,54
2018-01-12T00:30:01.583Z,,51.8,,40.2,,30,54
2018-01-12T00:30:11.563Z,,52,,40.2,,29,54
2018-01-12T00:30:21.653Z,,52.2,,40.2,,,54
2018-01-12T00:30:31.660Z,,52.4,,40.2,,,54
2018-01-12T00:30:41.630Z,,52.6,,40.2,,,54
2018-01-12T00:30:51.616Z,,52.8,,40.2,,,54
2018-01-12T00:31:01.566Z,,53,,40.2,,,54
2018-01-12T00:31:11.627Z,,53,,40.3,,,54
2018-01-12T00:31:21.568Z,,53.1,,40.3,,,54
2018-01-12T00:31:31.568Z,,53.2,,40.3,,,54
2018-01-12T00:31:41.630Z,,53.3,,40.3,,,54
2018-01-12T00:31:51.585Z,,,,40.3,,,54
2018-01-12T00:32:01.671Z,,53.4,,40.3,,,54
2018-01-12T00:32:11.591Z,,53.5,,40.4,,,54
2018-01-12T00:32:21.666Z,,53.6,,40.4,,30,54
2018-01-12T00:32:31.602Z,,,,40.4,,29,54
2018-01-12T00:32:41.593Z,,53.7,,40.4,,,54
2018-01-12T00:32:51.572Z,,53.8,,40.4,,,54
2018-01-12T00:33:01.562Z,,,,40.4,,,54
2018-01-12T00:33:11.599Z,,54,,40.5,,30,54
2018-01-12T00:33:21.573Z,,,,40.5,,29,54
2018-01-12T00:33:31.567Z,,,,40.5,,,54
2018-01-12T00:33:41.603Z,,54.1,,40.6,,,54
2018-01-12T00:33:51.564Z,,54.3,,40.6,,30,54
2018-01-12T00:34:01.568Z,,,,40.6,,29,54
2018-01-12T00:34:11.561Z,,54.4,,40.6,,,54
2018-01-12T00:34:21.575Z,,53.8,1,40.7,0,0,54
2018-01-12T00:34:31.575Z,,50.9,,40.7,,,54
2018-01-12T00:34:41.571Z,,50.4,,40.7,,,54
2018-01-12T00:34:51.567Z,,49.7,,40.7,,,54
2018-01-12T00:35:01.648Z,,48.8,,40.8,,,54
2018-01-12T00:35:11.571Z,,47.9,,40.8,,,54
2018-01-12T00:35:21.585Z,,47.7,,40.8,,,54
2018-01-12T00:35:31.755Z,,46.9,,40.8,,,54
2018-01-12T00:35:41.635Z,,46.7,,40.9,,,54
2018-01-12T00:35:51.566Z,,46.3,,40.9,,,54
2018-01-12T00:36:01.562Z,,45.9,,40.9,,,54
2018-01-12T00:36:11.565Z,,45.7,,41.1,,,54
2018-01-12T00:36:22.045Z,,45.4,,41.1,,,54
2018-01-12T00:36:31.566Z,,45.1,,41.1,,,54
2018-01-12T00:36:41.678Z,,44.9,,41.1,,,54
2018-01-12T00:36:51.611Z,,44.7,,41.2,,,54
2018-01-12T00:37:01.567Z,,44.5,,41.2,,,54
2018-01-12T00:37:11.568Z,,44.3,,41.2,,,54
2018-01-12T00:37:21.598Z,,44.1,,41.2,,,54
2018-01-12T00:37:31.572Z,,,,41.2,,,54
2018-01-12T00:37:41.571Z,,,,41.2,,,54
2018-01-12T00:37:51.601Z,,,,41.3,,,54
2018-01-12T00:38:01.575Z,,,,41.3,,,54
2018-01-12T00:38:11.578Z,,44,,41.3,,,54
2018-01-12T00:38:21.567Z,,,,41.3,,,54
2018-01-12T00:38:31.634Z,,,,41.3,,,54
2018-01-12T00:38:41.629Z,,,,41.3,,,54
2018-01-12T00:38:51.730Z,,,,41.3,,,54
2018-01-12T00:39:01.609Z,,,,41.3,,,54
2018-01-12T00:39:11.636Z,,,,41.3,,,54
2018-01-12T00:39:21.748Z,,,,41.2,,,54
2018-01-12T00:39:31.609Z,,,,41.2,,,54
2018-01-12T00:39:41.570Z,,,,41.2,,,54
2018-01-12T00:39:51.646Z,,,,41.2,,,54
2018-01-12T00:40:01.631Z,,,,41.2,,,54
2018-01-12T00:40:11.601Z,,44.1,,41.2,,,54
2018-01-12T00:40:21.663Z,,,,41.2,,,54
2018-01-12T00:40:31.567Z,,,,41.1,,,54
2018-01-12T00:40:41.588Z,,44.2,,41.1,,,54
2018-01-12T00:40:51.569Z,,,,41.1,,,54
2018-01-12T00:41:01.575Z,,,,41.1,,,54
2018-01-12T00:41:11.581Z,,,,41.1,,,54
2018-01-12T00:41:21.651Z,,,,40.9,,,54
2018-01-12T00:41:31.572Z,,,,40.9,,,54
2018-01-12T00:41:41.683Z,,,,40.9,,,54
2018-01-12T00:41:51.571Z,,45.1,1,40.9,0,44,54
2018-01-12T00:42:01.653Z,,50.1,,40.8,,31,54
2018-01-12T00:42:11.606Z,,48.9,,40.8,,29,54
2018-01-12T00:42:21.654Z,,48.2,,40.8,,,54
2018-01-12T00:42:31.624Z,,49.2,,40.8,,,54
2018-01-12T00:42:41.570Z,,49.6,,40.8,,,54
2018-01-12T00:42:51.574Z,,,,40.7,,,54
2018-01-12T00:43:01.574Z,,49.8,,40.7,,,54
2018-01-12T00:43:11.624Z,,,,40.7,,,54
2018-01-12T00:43:21.577Z,,,,40.6,,,54
2018-01-12T00:43:31.575Z,,50,,40.6,,,54
2018-01-12T00:43:41.575Z,,,,40.6,,,54
2018-01-12T00:43:51.657Z,,50.1,,40.6,,,54
2018-01-12T00:44:01.624Z,,50.2,,40.6,,30,54
2018-01-12T00:44:11.642Z,,50.3,,40.5,,29,54
2018-01-12T00:44:21.648Z,,50.4,,40.5,,,54
2018-01-12T00:44:31.578Z,,50.5,,40.5,,,54
2018-01-12T00:44:41.574Z,,,,40.4,,,54
2018-01-12T00:44:51.580Z,,50.6,,40.4,,,54
2018-01-12T00:45:01.616Z,,50.7,,40.4,,,54
2018-01-12T00:45:11.832Z,,51,,40.4,,,54
2018-01-12T00:45:21.584Z,,,,40.4,,,54
2018-01-12T00:45:31.617Z,,51.1,,40.4,,,54
2018-01-12T00:45:41.633Z,,51.2,,40.4,,,54
2018-01-12T00:45:51.569Z,,51.3,,40.4,,,54
2018-01-12T00:46:01.578Z,,51.4,,40.4,,,54
2018-01-12T00:46:11.628Z,,51.5,,40.4,,30,54
2018-01-12T00:46:21.578Z,,51.6,,40.4,,29,54
2018-01-12T00:46:31.592Z,,51.7,,40.4,,,54
2018-01-12T00:46:41.578Z,,51.8,,40.4,,,54
2018-01-12T00:46:51.593Z,,51.9,,40.4,,,54
2018-01-12T00:47:01.575Z,,52,,40.4,,,54
2018-01-12T00:47:11.568Z,,52.1,,40.4,,,54
2018-01-12T00:47:21.590Z,,52.2,,40.4,,,54
2018-01-12T00:47:31.602Z,,,,40.4,,,54
2018-01-12T00:47:41.596Z,,52.3,,40.4,,30,54
2018-01-12T00:47:51.569Z,,52.4,,40.4,,29,54
2018-01-12T00:48:01.600Z,,52.6,,40.5,,,54
