Time,PrimTSet,HwActive,PrimT,HwTOutlet,ChActive,ActPow,HwTSet
2018-01-13T00:00:04.383Z,,,,13.1,,,54
2018-01-13T00:00:14.510Z,,,,12.9,,,54
2018-01-13T00:00:24.450Z,,,,12.9,,,54
2018-01-13T00:00:34.367Z,,,,12.9,,,54
2018-01-13T00:00:44.374Z,,,35.7,12.9,,,54
2018-01-13T00:00:54.372Z,,,,12.9,,,54
2018-01-13T00:01:04.401Z,,,,12.9,,,54
2018-01-13T00:01:14.481Z,,,,12.9,,,54
2018-01-13T00:01:24.368Z,,,,12.8,,,54
2018-01-13T00:01:34.399Z,,,,12.8,,,54
2018-01-13T00:01:44.389Z,,0,35.6,12.8,2,44,54
2018-01-13T00:01:54.390Z,,,40.1,12.8,,36,54
2018-01-13T00:02:04.439Z,,,40.7,13.6,,29,54
2018-01-13T00:02:14.532Z,,,39.1,14.5,,30,54
2018-01-13T00:02:24.404Z,,,40.1,15.3,,29,54
2018-01-13T00:02:34.368Z,,,40.3,15.7,,,54
2018-01-13T00:02:44.373Z,,,40.5,16.5,,,54
2018-01-13T00:02:54.373Z,,,40.7,16.7,,,54
2018-01-13T00:03:04.379Z,,,,17,,,54
2018-01-13T00:03:14.484Z,,,40.9,17.3,,,54
2018-01-13T00:03:24.393Z,,,,17.7,,29,54
2018-01-13T00:03:34.373Z,,,41.1,17.8,,,54
2018-01-13T00:03:44.384Z,,,41.2,17.9,,,54
2018-01-13T00:03:54.374Z,,,41.3,18.4,,30,54
2018-01-13T00:04:04.408Z,,,41.4,18.4,,29,54
2018-01-13T00:04:14.489Z,,,41.5,18.6,,30,54
2018-01-13T00:04:25.530Z,,,41.6,18.6,,29,54
2018-01-13T00:04:34.411Z,,,41.7,19,,,54
2018-01-13T00:04:44.384Z,,,41.8,19.2,,,54
2018-01-13T00:04:54.372Z,,,42,19,,30,54
2018-01-13T00:05:04.426Z,,,42.1,18.9,,29,54
2018-01-13T00:05:14.473Z,,,42.2,19.2,,30,54
2018-01-13T00:05:24.371Z,,,42.4,19.4,,,54
2018-01-13T00:05:34.398Z,,,42.6,19.4,,,54
2018-01-13T00:05:44.369Z,,,42.8,19.4,,29,54
2018-01-13T00:05:54.383Z,,,42.9,19.4,,,54
2018-01-13T00:06:04.425Z,,,43,19.4,,,54
2018-01-13T00:06:14.476Z,,,43.1,19.6,,,54
2018-01-13T00:06:24.371Z,,,43.3,19.7,,,54
2018-01-13T00:06:34.427Z,,,43.4,19.7,,30,54
2018-01-13T00:06:44.399Z,,,43.5,19.7,,29,54
2018-01-13T00:06:54.385Z,,,43.7,19.8,,30,54
2018-01-13T00:07:04.427Z,,,43.8,20,,29,54
2018-01-13T00:07:14.527Z,,,44,19.8,,,54
2018-01-13T00:07:24.428Z,,,44.1,20,,,54
2018-01-13T00:07:34.371Z,,,44.2,20.1,,30,54
2018-01-13T00:07:44.384Z,,,44.3,20,,29,54
2018-01-13T00:07:54.425Z,,,44.4,20.2,,,54
2018-01-13T00:08:04.377Z,,,44.6,20.2,,30,54
2018-01-13T00:08:14.514Z,,,44.7,20.2,,0,54
2018-01-13T00:08:24.506Z,,0,42.7,20.4,2,,54
2018-01-13T00:08:34.384Z,,,40.9,20.1,,,54
2018-01-13T00:08:44.382Z,,,40.3,19.4,,,54
2018-01-13T00:08:54.379Z,,,39.7,19.2,,,54
2018-01-13T00:09:04.375Z,,,38.9,19.6,,,54
2018-01-13T00:09:14.529Z,,,38.5,19.4,,,54
2018-01-13T00:09:24.417Z,,,37.9,18.8,,,54
2018-01-13T00:09:34.378Z,,,37.6,18.6,,,54
2018-01-13T00:09:44.385Z,,,37.3,18.6,,,54
2018-01-13T00:09:54.390Z,,,36.9,18.4,,,54
2018-01-13T00:10:04.374Z,,,36.6,18.1,,,54
2018-01-13T00:10:14.474Z,,,36.3,17.9,,,54
2018-01-13T00:10:24.375Z,,,36.1,17.8,,,54
2018-01-13T00:10:34.395Z,,,35.9,17.7,,,54
2018-01-13T00:10:44.374Z,,,35.8,17.5,,,54
2018-01-13T00:10:54.422Z,,,35.6,17.5,,,54
2018-01-13T00:11:04.497Z,,,35.5,17.4,,,54
2018-01-13T00:11:14.528Z,,,35.3,17.4,,,54
2018-01-13T00:11:24.428Z,,,,17.3,,,54
2018-01-13T00:11:34.379Z,,,,17,,,54
2018-01-13T00:11:44.392Z,,,,17.3,,,54
2018-01-13T00:11:54.379Z,,,35.2,17.9,,,54
2018-01-13T00:12:04.403Z,,,,17.9,,,54
2018-01-13T00:12:14.488Z,,,,17.4,,,54
2018-01-13T00:12:24.438Z,,,,17.1,,,54
2018-01-13T00:12:34.378Z,,,,17,,,54
2018-01-13T00:12:44.395Z,,,,16.8,,,54
2018-01-13T00:12:54.383Z,,,35.3,16.5,,,54
2018-01-13T00:13:04.383Z,,,,16.4,,,54
2018-01-13T00:13:14.603Z,,,,16.2,,,54
2018-01-13T00:13:24.377Z,,,35.4,15.9,,,54
2018-01-13T00:13:34.444Z,,,,15.7,,,54
2018-01-13T00:13:44.402Z,,,35.5,15.4,,,54
2018-01-13T00:13:54.378Z,,,,15.3,,,54
2018-01-13T00:14:04.379Z,,,35.6,15.1,,,54
2018-01-13T00:14:14.499Z,,,,15,,,54
2018-01-13T00:14:24.453Z,,,35.7,14.8,,,54
2018-01-13T00:14:34.502Z,,,,14.7,,,54
2018-01-13T00:14:44.412Z,,,,14.5,,,54
2018-01-13T00:14:54.376Z,,,35.8,14.3,,,54
2018-01-13T00:15:04.484Z,,,,14.3,,,54
2018-01-13T00:15:14.478Z,,,,14.2,,,54
2018-01-13T00:15:24.386Z,,0,35.8,14,2,,54
2018-01-13T00:15:34.386Z,,,40.2,14,,37,54
2018-01-13T00:15:44.424Z,,,41.4,14.8,,29,54
2018-01-13T00:15:54.378Z,,,40.1,15.9,,,54
2018-01-13T00:16:04.397Z,,,41.1,15.9,,,54
2018-01-13T00:16:14.477Z,,,41.5,16.4,,,54
2018-01-13T00:16:24.399Z,,,41.9,17,,,54
2018-01-13T00:16:34.390Z,,,42.1,17.4,,,54
2018-01-13T00:16:44.390Z,,,42.3,17.5,,,54
2018-01-13T00:16:54.379Z,61,0,42.6,17.9,2,29,54
2018-01-13T00:17:04.377Z,,,42.8,18.2,,,54
2018-01-13T00:17:14.538Z,,,42.9,18.5,,,54
