Time,PrimT,ChActive,ActPow,PrimTSet,HwTSet,HwTOutlet,HwActive
2018-01-14T00:00:05.200Z,36.8,,,,54,21.2,
2018-01-14T00:00:15.301Z,36.4,,,,54,21.1,
2018-01-14T00:00:25.195Z,35.9,,,,54,20.9,
2018-01-14T00:00:35.240Z,35.8,,,,54,20.8,
2018-01-14T00:00:45.211Z,35.5,,,,54,20.6,
2018-01-14T00:00:55.213Z,35.2,,,,54,20.6,
2018-01-14T00:01:05.193Z,34.9,,,,54,20.5,
2018-01-14T00:01:15.314Z,34.7,,,,54,20.4,
2018-01-14T00:01:25.206Z,34.5,,,,54,20.2,
2018-01-14T00:01:35.248Z,34.3,,,,54,20.1,
2018-01-14T00:01:45.196Z,34.2,,,,54,20.1,
2018-01-14T00:01:55.207Z,34,,,,54,20,
2018-01-14T00:02:05.222Z,33.9,,,,54,19.8,
2018-01-14T00:02:15.308Z,,,,,54,19.7,
2018-01-14T00:02:25.191Z,,,,,54,19.7,
2018-01-14T00:02:35.308Z,,,,,54,19.7,
2018-01-14T00:02:45.205Z,,,,,54,19.6,
2018-01-14T00:02:55.193Z,,,,,54,19.3,
2018-01-14T00:03:05.191Z,33.8,,,,54,19,
2018-01-14T00:03:15.292Z,,,,,54,18.8,
2018-01-14T00:03:25.207Z,,,,,54,18.5,
2018-01-14T00:03:35.235Z,,,,,54,18.2,
2018-01-14T00:03:45.194Z,,,,,54,17.9,
2018-01-14T00:03:55.228Z,33.9,,,,54,17.7,
2018-01-14T00:04:05.248Z,,,,,54,17.4,
2018-01-14T00:04:15.351Z,,,,,54,17.1,
2018-01-14T00:04:25.197Z,34,,,,54,17,
2018-01-14T00:04:35.191Z,,,,,54,16.7,
2018-01-14T00:04:45.199Z,,,,,54,16.5,
2018-01-14T00:04:55.209Z,34.1,,,,54,16.4,
2018-01-14T00:05:05.200Z,,,,,54,16.2,
2018-01-14T00:05:15.308Z,34.2,,,,54,16.1,
2018-01-14T00:05:25.211Z,,,,,54,15.9,
