Time,PrimT,HwActive,ChActive,PrimTSet,HwTSet,ActPow,HwTOutlet
2018-01-15T00:00:06.039Z,,,,,54,,39.3
2018-01-15T00:00:16.271Z,54.1,,,,54,,39.3
2018-01-15T00:00:26.018Z,53.8,0,2,,54,0,39.4
2018-01-15T00:00:36.015Z,51.9,,,,54,,39.5
2018-01-15T00:00:46.037Z,50.7,,,,54,,39.6
2018-01-15T00:00:56.022Z,49.7,,,,54,,39.7
2018-01-15T00:01:06.014Z,48.9,,,,54,,39.7
2018-01-15T00:01:16.232Z,48.5,,,,54,,39.8
2018-01-15T00:01:26.042Z,47.9,,,,54,,39.8
2018-01-15T00:01:36.014Z,46.9,,,,54,,39.8
2018-01-15T00:01:46.035Z,,,,,54,,39.8
2018-01-15T00:01:56.076Z,46.5,,,,54,,39.8
2018-01-15T00:02:06.016Z,45.9,,,,54,,39.8
2018-01-15T00:02:16.141Z,45.7,,,,54,,39.7
2018-01-15T00:02:26.017Z,45.5,,,,54,,39.7
2018-01-15T00:02:36.018Z,45.2,,,,54,,39.6
2018-01-15T00:02:46.045Z,44.9,,,,54,,39.6
2018-01-15T00:02:56.018Z,44.8,,,,54,,39.6
2018-01-15T00:03:06.017Z,44.5,,,,54,,39.5
2018-01-15T00:03:16.149Z,44.3,,,,54,,39.5
2018-01-15T00:03:26.079Z,44,,,,54,,39.4
2018-01-15T00:03:36.029Z,,,,,54,,39.3
2018-01-15T00:03:46.020Z,,,,,54,,39.3
2018-01-15T00:03:56.023Z,,,,,54,,39.2
2018-01-15T00:04:06.019Z,,,,,54,,39.1
2018-01-15T00:04:16.204Z,43.9,,,,54,,39.1
2018-01-15T00:04:26.015Z,,,,,54,,39.1
2018-01-15T00:04:36.036Z,,,,,54,,39.1
2018-01-15T00:04:46.021Z,,,,,54,,39.1
2018-01-15T00:04:56.177Z,,,,,54,,38.9
2018-01-15T00:05:06.019Z,,,,,54,,38.9
2018-01-15T00:05:16.139Z,,,,,54,,38.8
2018-01-15T00:05:26.021Z,,,,,54,,38.7
2018-01-15T00:05:36.030Z,,,,,54,,38.6
2018-01-15T00:05:46.061Z,,,,,54,,38.5
2018-01-15T00:05:56.059Z,48.2,0,2,,54,38,38.3
2018-01-15T00:06:06.032Z,49.9,,,,54,29,38.2
2018-01-15T00:06:16.232Z,48.8,,,,54,,38
2018-01-15T00:06:26.023Z,49,,,,54,29,37.9
2018-01-15T00:06:36.021Z,49.9,,,,54,29,37.9
2018-01-15T00:06:46.030Z,49.7,,,,54,,37.8
2018-01-15T00:06:56.023Z,50,,,,54,,37.8
2018-01-15T00:07:06.043Z,,,,,54,,37.8
2018-01-15T00:07:16.134Z,,,,,54,,37.9
2018-01-15T00:07:26.018Z,50.1,,,,54,,38
2018-01-15T00:07:36.042Z,50.2,,,,54,,38
2018-01-15T00:07:46.074Z,,,,,54,,38.1
2018-01-15T00:07:56.024Z,50.4,,,,54,,38.1
2018-01-15T00:08:06.017Z,,,,,54,,38.2
2018-01-15T00:08:16.147Z,50.6,,,,54,30,38.2
2018-01-15T00:08:26.016Z,,,,,54,29,38.3
2018-01-15T00:08:36.050Z,,,,,54,,38.3
2018-01-15T00:08:46.082Z,50.7,,,,54,30,38.3
2018-01-15T00:08:56.109Z,,,,,54,29,38.4
2018-01-15T00:09:06.049Z,51,,,,54,30,38.4
2018-01-15T00:09:16.125Z,,,,,54,29,38.5
2018-01-15T00:09:26.022Z,51.1,,,,54,,38.5
2018-01-15T00:09:36.106Z,,,,,54,,38.6
2018-01-15T00:09:46.086Z,51.2,,,,54,,38.6
2018-01-15T00:09:56.016Z,,,,,54,,38.6
2018-01-15T00:10:06.076Z,,,,,54,,38.6
2018-01-15T00:10:16.157Z,51.3,,,,54,,38.6
2018-01-15T00:10:26.017Z,51.4,,,,54,,38.7
2018-01-15T00:10:36.021Z,,,,,54,,38.7
2018-01-15T00:10:46.017Z,51.5,,,,54,,38.7
2018-01-15T00:10:56.032Z,51.6,,,,54,,38.8
2018-01-15T00:11:06.026Z,51.7,,,,54,,38.8
2018-01-15T00:11:16.125Z,51.6,,,,54,,38.9
2018-01-15T00:11:26.028Z,51.7,,,,54,,38.9
2018-01-15T00:11:36.085Z,51.8,,,,54,,39.1
2018-01-15T00:11:46.020Z,51.9,,,,54,,39.1
2018-01-15T00:11:56.024Z,52,,,,54,,39.2
2018-01-15T00:12:06.019Z,,,,,54,,39.2
2018-01-15T00:12:16.138Z,,,,,54,,39.3
2018-01-15T00:12:26.048Z,52.1,,,,54,30,39.4
2018-01-15T00:12:36.017Z,,,,,54,29,39.4
2018-01-15T00:12:46.096Z,52.2,,,,54,,39.5
2018-01-15T00:12:56.020Z,,,,,54,,39.5
2018-01-15T00:13:06.132Z,52.3,,,,54,,39.6
2018-01-15T00:13:16.110Z,52.4,,,,54,,39.6
2018-01-15T00:13:26.049Z,52.6,,,,54,,39.7
2018-01-15T00:13:36.075Z,,,,,54,,39.8
2018-01-15T00:13:46.054Z,52.7,,,,54,,39.8
2018-01-15T00:13:56.019Z,52.8,,,,54,,39.9
2018-01-15T00:14:06.090Z,,,,,54,,39.9
2018-01-15T00:14:16.132Z,53,,,,54,,40
2018-01-15T00:14:26.023Z,53,,,,54,29,40
2018-01-15T00:14:36.037Z,,,,,54,,40.1
2018-01-15T00:14:46.019Z,,,,,54,,40.1
2018-01-15T00:14:56.058Z,53.1,,,,54,,40.2
2018-01-15T00:15:06.173Z,53,,,,54,,40.2
2018-01-15T00:15:16.120Z,53.1,,,,54,,40.3
2018-01-15T00:15:26.071Z,53.2,,,,54,,40.3
2018-01-15T00:15:36.042Z,53.3,,,,54,,40.4
2018-01-15T00:15:46.022Z,53.2,,,,54,,40.4
2018-01-15T00:15:56.021Z,53.3,,,,54,,40.5
2018-01-15T00:16:06.023Z,,,,,54,,40.5
2018-01-15T00:16:16.153Z,53.4,,,,54,,40.6
2018-01-15T00:16:26.043Z,53.5,,,,54,,40.6
2018-01-15T00:16:36.047Z,,,,,54,,40.7
2018-01-15T00:16:46.035Z,53.6,,,,54,30,40.7
2018-01-15T00:16:56.075Z,,,,,54,29,40.7
2018-01-15T00:17:06.042Z,53.7,,,,54,,40.8
2018-01-15T00:17:16.136Z,,,,,54,,40.8
2018-01-15T00:17:26.066Z,,,,,54,,40.9
2018-01-15T00:17:36.064Z,,,,,54,,40.9
2018-01-15T00:17:46.037Z,,,,,54,,41.1
2018-01-15T00:17:56.034Z,53.8,,,,54,,41.1
2018-01-15T00:18:06.032Z,53.9,,,,54,,41.2
2018-01-15T00:18:16.186Z,54,,,,54,29,41.2
2018-01-15T00:18:26.080Z,,,,,54,,41.3
2018-01-15T00:18:36.112Z,54,,,,54,30,41.3
2018-01-15T00:18:46.047Z,,,,,54,,41.4
2018-01-15T00:19:01.146Z,54.1,,,,54,29,41.4
2018-01-15T00:19:06.067Z,,,,,54,30,41.5
2018-01-15T00:19:16.168Z,54.3,,,,54,29,41.5
2018-01-15T00:19:26.037Z,54.1,,,,54,,41.6
2018-01-15T00:19:36.047Z,54.3,,,,54,30,41.6
2018-01-15T00:19:46.053Z,54.4,,,,54,,41.7
2018-01-15T00:19:56.026Z,,,,,54,29,41.8
2018-01-15T00:20:06.027Z,,,,,54,,41.8
2018-01-15T00:20:16.278Z,54.5,,,,54,,41.9
2018-01-15T00:20:26.092Z,,,,,54,,41.9
2018-01-15T00:20:36.025Z,,,,,54,,41.9
2018-01-15T00:20:46.029Z,,,,,54,,42
2018-01-15T00:20:56.022Z,54.6,0,2,61,54,29,42
2018-01-15T00:21:06.041Z,,,,,54,,42
2018-01-15T00:21:16.215Z,54.7,,,,54,,42
2018-01-15T00:21:26.039Z,,,,,54,30,42.1
2018-01-15T00:21:36.026Z,54.8,,,,54,29,42.1
2018-01-15T00:21:46.032Z,,,,,54,,42.1
2018-01-15T00:21:56.028Z,54.9,,,,54,,42.2
2018-01-15T00:22:06.033Z,,,,,54,30,42.2
2018-01-15T00:22:16.131Z,53.9,0,2,,54,0,42.2
2018-01-15T00:22:26.199Z,52.9,,,,54,,42.3
2018-01-15T00:22:36.043Z,50.9,,,,54,,42.3
2018-01-15T00:22:46.030Z,50.5,,,,54,,42.3
2018-01-15T00:22:56.124Z,49.8,,,,54,,42.4
2018-01-15T00:23:06.026Z,48.9,,,,54,,42.4
2018-01-15T00:23:16.131Z,48.5,,,,54,,42.3
2018-01-15T00:23:26.032Z,47.9,,,,54,,42.3
2018-01-15T00:23:36.031Z,47.6,,,,54,,42.2
2018-01-15T00:23:46.082Z,46.9,,,,54,,42.2
2018-01-15T00:23:56.026Z,46.7,,,,54,,42.1
2018-01-15T00:24:06.082Z,46.4,,,,54,,42
2018-01-15T00:24:16.137Z,45.9,,,,54,,42
2018-01-15T00:24:26.038Z,45.8,,,,54,,41.9
2018-01-15T00:24:36.054Z,45.6,,,,54,,41.8
2018-01-15T00:24:46.034Z,45.4,,,,54,,41.7
2018-01-15T00:24:56.041Z,45.2,,,,54,,41.7
2018-01-15T00:25:06.032Z,44.9,,,,54,,41.6
2018-01-15T00:25:16.186Z,44.7,,,,54,,41.5
2018-01-15T00:25:26.025Z,,,,,54,,41.4
2018-01-15T00:25:36.062Z,,,,,54,,41.3
2018-01-15T00:25:46.059Z,,,,,54,,41.2
2018-01-15T00:25:56.053Z,44.6,,,,54,,41.1
2018-01-15T00:26:11.135Z,,,,,54,,41.1
2018-01-15T00:26:16.235Z,,,,,54,,40.9
2018-01-15T00:26:26.025Z,,,,,54,,40.9
2018-01-15T00:26:36.044Z,,,,,54,,40.8
2018-01-15T00:26:46.105Z,,,,,54,,40.8
2018-01-15T00:26:56.034Z,,,,,54,,40.7
2018-01-15T00:27:06.152Z,,,,,54,,40.6
2018-01-15T00:27:16.158Z,,,,,54,,40.5
2018-01-15T00:27:26.030Z,44.5,,,,54,,40.4
2018-01-15T00:27:36.050Z,44.6,,,,54,,40.2
2018-01-15T00:27:46.114Z,,,,,54,,40.1
2018-01-15T00:27:56.036Z,,,,,54,,40
2018-01-15T00:28:06.073Z,44.7,,,,54,,39.8
2018-01-15T00:28:16.182Z,44.8,,,,54,,39.7
2018-01-15T00:28:26.033Z,49.1,0,2,,54,38,39.5
2018-01-15T00:28:36.078Z,49.9,,,,54,29,39.4
2018-01-15T00:28:46.032Z,48.8,,,,54,,39.3
2018-01-15T00:28:56.052Z,49.2,,,,54,30,39.1
2018-01-15T00:29:06.051Z,49.9,,,,54,29,38.9
2018-01-15T00:29:16.133Z,50,,,,54,,38.9
2018-01-15T00:29:26.032Z,50.1,,,,54,,38.9
2018-01-15T00:29:36.078Z,,,,,54,,38.9
2018-01-15T00:29:46.118Z,,,,,54,30,38.9
2018-01-15T00:29:56.058Z,50.2,,,,54,29,39.1
2018-01-15T00:30:06.087Z,50.3,,,,54,,39.1
2018-01-15T00:30:16.129Z,50.4,,,,54,,39.2
2018-01-15T00:30:26.172Z,50.5,,,,54,30,39.2
2018-01-15T00:30:41.190Z,,,,,54,29,39.3
2018-01-15T00:30:46.080Z,,,,,54,30,39.3
2018-01-15T00:30:56.054Z,50.6,,,,54,29,39.3
2018-01-15T00:31:06.081Z,,,,,54,,39.4
2018-01-15T00:31:16.209Z,,,,,54,,39.4
2018-01-15T00:31:26.031Z,50.7,,,,54,,39.4
2018-01-15T00:31:36.110Z,,,,,54,,39.4
2018-01-15T00:31:46.051Z,50.9,,,,54,,39.4
2018-01-15T00:31:56.050Z,51,,,,54,30,39.5
2018-01-15T00:32:06.048Z,,,,,54,29,39.5
2018-01-15T00:32:16.161Z,,,,,54,,39.5
2018-01-15T00:32:26.072Z,51.1,,,,54,,39.6
2018-01-15T00:32:36.108Z,,,,,54,30,39.6
2018-01-15T00:32:46.039Z,51.2,,,,54,,39.6
2018-01-15T00:32:56.032Z,51.3,,,,54,29,39.6
2018-01-15T00:33:06.112Z,51.4,,,,54,,39.7
2018-01-15T00:33:16.155Z,51.5,,,,54,,39.7
2018-01-15T00:33:26.075Z,51.6,,,,54,30,39.7
2018-01-15T00:33:36.030Z,,,,,54,29,39.8
2018-01-15T00:33:46.047Z,51.7,,,,54,,39.8
2018-01-15T00:33:56.033Z,51.8,,,,54,,39.8
2018-01-15T00:34:06.034Z,51.9,,,,54,,39.9
2018-01-15T00:34:16.136Z,52,,,,54,29,39.9
2018-01-15T00:34:26.085Z,,,,,54,,39.9
