Time,ChActive,PrimTSet,PrimT,HwTOutlet,HwTSet,ActPow,HwActive
2018-01-17T00:00:07.740Z,,,43.7,36.6,54,,
2018-01-17T00:00:17.878Z,,,43.4,36.6,54,,
2018-01-17T00:00:27.668Z,,,43.2,36.6,54,,
2018-01-17T00:00:37.700Z,1,,47.2,36.5,54,38,0
2018-01-17T00:00:47.703Z,,,49.7,36.5,54,29,
2018-01-17T00:00:57.692Z,,,48.3,36.4,54,,
2018-01-17T00:01:07.680Z,,,49.1,36.4,54,,
2018-01-17T00:01:17.782Z,,,49.5,36.3,54,,
2018-01-17T00:01:27.678Z,,,49.7,36.3,54,,
2018-01-17T00:01:37.662Z,,,50,36.4,54,,
2018-01-17T00:01:47.666Z,,,50.3,36.4,54,,
2018-01-17T00:01:57.669Z,,,50.5,36.5,54,,
2018-01-17T00:02:07.724Z,,,50.9,36.5,54,,
2018-01-17T00:02:17.767Z,,,51.1,36.6,54,,
2018-01-17T00:02:27.670Z,,,51.3,36.7,54,,
2018-01-17T00:02:37.742Z,,,51.4,36.8,54,,
2018-01-17T00:02:47.663Z,,,51.6,36.8,54,,
2018-01-17T00:02:57.693Z,,,51.7,36.9,54,,
2018-01-17T00:03:07.730Z,,,51.8,37.1,54,,
2018-01-17T00:03:17.773Z,1,,50.6,37.1,54,0,0
2018-01-17T00:03:27.704Z,,,48.5,37.2,54,,
2018-01-17T00:03:37.737Z,,,47.7,37.3,54,,
2018-01-17T00:03:47.668Z,,,46.8,37.4,54,,
2018-01-17T00:03:57.673Z,,,46.1,37.4,54,,
2018-01-17T00:04:07.768Z,,,45.6,37.4,54,,
2018-01-17T00:04:17.769Z,,,45.1,37.4,54,,
2018-01-17T00:04:27.669Z,,,44.6,37.3,54,,
2018-01-17T00:04:37.716Z,,,44.1,37.3,54,,
2018-01-17T00:04:47.677Z,,,43.7,37.3,54,,
2018-01-17T00:04:57.728Z,,,43.3,37.2,54,,
2018-01-17T00:05:07.714Z,,,42.9,37.2,54,,
2018-01-17T00:05:17.773Z,,,42.7,37.1,54,,
2018-01-17T00:05:27.673Z,,,42.4,37.1,54,,
2018-01-17T00:05:37.754Z,1,,45.2,36.9,54,41,0
2018-01-17T00:05:47.675Z,,,46.8,36.9,54,29,
2018-01-17T00:05:57.675Z,,,47.2,36.8,54,,
2018-01-17T00:06:07.677Z,,,48.2,36.7,54,29,
2018-01-17T00:06:17.788Z,,,48.7,36.7,54,,
2018-01-17T00:06:27.725Z,,,49.2,36.7,54,30,
2018-01-17T00:06:37.665Z,,,49.5,36.7,54,,
2018-01-17T00:06:47.669Z,,,50,36.7,54,30,
2018-01-17T00:06:57.668Z,,,50.2,36.8,54,,
2018-01-17T00:07:07.665Z,,,50.4,36.8,54,29,
2018-01-17T00:07:17.776Z,,,50.6,36.9,54,,
2018-01-17T00:07:27.715Z,,,50.9,36.9,54,,
2018-01-17T00:07:37.666Z,,,51,37.1,54,,
2018-01-17T00:07:47.696Z,,,51.1,37.2,54,,
2018-01-17T00:07:57.736Z,,,51.2,37.3,54,,
2018-01-17T00:08:07.668Z,,,51.3,37.4,54,,
2018-01-17T00:08:17.825Z,,,51.4,37.5,54,,
2018-01-17T00:08:27.669Z,,,,37.5,54,,
2018-01-17T00:08:37.675Z,,,51.5,37.6,54,,
2018-01-17T00:08:47.707Z,,,,37.7,54,,
2018-01-17T00:08:57.690Z,,,51.6,37.8,54,,
2018-01-17T00:09:07.678Z,,,,37.8,54,,
2018-01-17T00:09:17.788Z,,,51.7,37.9,54,,
2018-01-17T00:09:27.678Z,,,,37.9,54,,
2018-01-17T00:09:37.668Z,,,51.8,38,54,,
2018-01-17T00:09:47.675Z,,,,38.1,54,,
2018-01-17T00:09:57.671Z,,,,38.1,54,,
2018-01-17T00:10:07.672Z,,,51.9,38.2,54,,
2018-01-17T00:10:17.819Z,,,52,38.2,54,,
2018-01-17T00:10:27.684Z,,,,38.3,54,,
2018-01-17T00:10:37.688Z,,,,38.3,54,,
2018-01-17T00:10:47.671Z,,,52.1,38.4,54,,
2018-01-17T00:10:57.729Z,,,52.2,38.4,54,,
2018-01-17T00:11:07.670Z,,,,38.5,54,,
2018-01-17T00:11:17.770Z,,,52.3,38.5,54,,
2018-01-17T00:11:27.675Z,,,,38.6,54,,
2018-01-17T00:11:37.670Z,,,52.4,38.6,54,,
2018-01-17T00:11:47.720Z,,,,38.7,54,,
2018-01-17T00:11:57.691Z,,,52.6,38.7,54,,
2018-01-17T00:12:07.675Z,,,,38.8,54,,
2018-01-17T00:12:17.796Z,,,52.7,38.8,54,,
2018-01-17T00:12:27.766Z,,,,38.9,54,,
2018-01-17T00:12:37.696Z,,,52.8,38.9,54,30,
2018-01-17T00:12:47.707Z,,,52.9,39.1,54,29,
2018-01-17T00:12:57.672Z,,,,39.1,54,,
2018-01-17T00:13:07.668Z,,,53,39.2,54,,
2018-01-17T00:13:17.775Z,,,,39.2,54,,
2018-01-17T00:13:27.670Z,,,53.1,39.3,54,,
2018-01-17T00:13:37.701Z,,,53.2,39.3,54,,
2018-01-17T00:13:47.696Z,,,,39.4,54,,
2018-01-17T00:13:57.678Z,,,53.3,39.4,54,,
2018-01-17T00:14:07.709Z,,,,39.5,54,,
2018-01-17T00:14:17.771Z,,,53.4,39.5,54,,
2018-01-17T00:14:27.675Z,,,53.5,39.6,54,,
2018-01-17T00:14:37.687Z,,,,39.6,54,,
2018-01-17T00:14:47.673Z,,,,39.7,54,,
2018-01-17T00:14:57.675Z,,,53.6,39.7,54,,
2018-01-17T00:15:07.677Z,,,,39.8,54,,
2018-01-17T00:15:17.801Z,,,53.7,39.9,54,,
2018-01-17T00:15:27.675Z,,,,39.9,54,,
2018-01-17T00:15:37.675Z,,,53.8,39.9,54,,
2018-01-17T00:15:47.689Z,,,53.9,40,54,,
2018-01-17T00:15:57.679Z,,,,40,54,,
2018-01-17T00:16:07.677Z,,,53.9,40.1,54,,
2018-01-17T00:16:17.856Z,,,54,40.1,54,,
2018-01-17T00:16:27.694Z,,,,40.2,54,,
2018-01-17T00:16:37.714Z,,,54.1,40.3,54,,
2018-01-17T00:16:47.724Z,,,,40.3,54,,
2018-01-17T00:16:57.687Z,,,54.3,40.4,54,30,
2018-01-17T00:17:07.735Z,,,,40.4,54,29,
2018-01-17T00:17:17.774Z,,,,40.5,54,,
2018-01-17T00:17:27.712Z,,,54.4,40.5,54,,
2018-01-17T00:17:37.674Z,,,,40.5,54,,
2018-01-17T00:17:47.678Z,,,54.5,40.6,54,,
2018-01-17T00:17:57.673Z,,,,40.6,54,,
2018-01-17T00:18:07.704Z,,,,40.6,54,,
2018-01-17T00:18:17.804Z,,,54.6,40.7,54,,
2018-01-17T00:18:27.702Z,,,,40.7,54,,
2018-01-17T00:18:37.729Z,,,54.7,40.8,54,30,
2018-01-17T00:18:47.672Z,,,,40.8,54,29,
2018-01-17T00:18:57.777Z,,,,40.9,54,,
2018-01-17T00:19:07.738Z,,,54.8,40.9,54,,
2018-01-17T00:19:17.918Z,,,,41.1,54,,
2018-01-17T00:19:27.814Z,,,54.9,41.1,54,,
2018-01-17T00:19:37.680Z,1,,53.8,41.1,54,0,0
2018-01-17T00:19:47.703Z,,,51.7,41.2,54,,
2018-01-17T00:19:57.717Z,,,50.7,41.2,54,,
2018-01-17T00:20:07.681Z,,,49.9,41.2,54,,
2018-01-17T00:20:17.787Z,,,49.2,41.2,54,,
2018-01-17T00:20:27.681Z,,,48.7,41.2,54,,
2018-01-17T00:20:37.721Z,,,48.2,41.2,54,,
2018-01-17T00:20:47.680Z,,,47.7,41.1,54,,
2018-01-17T00:20:57.685Z,,,47.2,41.1,54,,
2018-01-17T00:21:07.694Z,,,46.8,40.9,54,,
2018-01-17T00:21:17.891Z,,,46.5,40.8,54,,
