Time,HwTOutlet,ActPow,HwTSet,PrimTSet,HwActive,ChActive,PrimT
2018-01-28T00:00:07.815Z,25.3,29,54,,,,47.7
2018-01-28T00:00:17.775Z,25.3,,54,,,,47.8
2018-01-28T00:00:27.782Z,25.3,30,54,,,,47.9
2018-01-28T00:00:37.868Z,25.4,29,54,,,,48
2018-01-28T00:00:47.774Z,25.4,,54,,,,48.1
2018-01-28T00:00:57.792Z,25.5,,54,,,,
2018-01-28T00:01:07.778Z,25.5,,54,,,,48.2
2018-01-28T00:01:17.775Z,25.6,,54,,,,48.3
2018-01-28T00:01:27.780Z,25.6,,54,,,,48.4
2018-01-28T00:01:37.865Z,25.6,30,54,,,,48.5
2018-01-28T00:01:47.776Z,25.7,29,54,,,,48.6
2018-01-28T00:01:57.777Z,25.9,,54,,,,48.7
2018-01-28T00:02:07.779Z,25.7,0,54,,0,2,47.9
2018-01-28T00:02:17.776Z,25.9,,54,,,,45.7
2018-01-28T00:02:27.768Z,25.7,,54,,,,44.7
2018-01-28T00:02:37.923Z,25.6,,54,,,,43.9
2018-01-28T00:02:47.788Z,25.4,,54,,,,43.3
2018-01-28T00:02:57.805Z,25.3,,54,,,,42.8
2018-01-28T00:03:07.777Z,25,,54,,,,42.2
2018-01-28T00:03:17.777Z,24.9,,54,,,,41.8
2018-01-28T00:03:27.806Z,24.8,,54,,,,41.4
2018-01-28T00:03:37.896Z,24.7,,54,,,,41
2018-01-28T00:03:47.778Z,24.5,,54,,,,40.7
2018-01-28T00:03:57.828Z,24.4,,54,,,,40.4
2018-01-28T00:04:07.785Z,24.3,,54,,,,40.2
2018-01-28T00:04:17.790Z,24.2,,54,,,,39.9
2018-01-28T00:04:27.801Z,24.2,,54,,,,39.7
2018-01-28T00:04:37.920Z,23.9,,54,,,,39.6
2018-01-28T00:04:47.777Z,23.9,,54,,,,39.4
2018-01-28T00:04:57.833Z,23.8,,54,,,,39.2
2018-01-28T00:05:07.959Z,23.7,,54,,,,39.1
2018-01-28T00:05:17.784Z,23.6,,54,,,,
2018-01-28T00:05:27.811Z,23.3,,54,,,,38.9
2018-01-28T00:05:37.936Z,23.4,,54,,,,
2018-01-28T00:05:47.779Z,23.4,,54,,,,
2018-01-28T00:05:57.847Z,23.2,,54,,,,
2018-01-28T00:06:07.780Z,22.8,,54,,,,
2018-01-28T00:06:17.798Z,22.6,,54,,,,
2018-01-28T00:06:27.799Z,22.4,,54,,,,
2018-01-28T00:06:37.888Z,22,,54,,,,
2018-01-28T00:06:47.797Z,21.7,,54,,,,
2018-01-28T00:06:57.811Z,21.5,,54,,,,
2018-01-28T00:07:08.028Z,21.3,,54,,,,39.1
2018-01-28T00:07:17.811Z,21.1,,54,,,,
2018-01-28T00:07:27.779Z,20.9,,54,,,,39.2
2018-01-28T00:07:37.874Z,20.6,,54,,,,
2018-01-28T00:07:47.811Z,20.5,,54,,,,39.3
2018-01-28T00:07:57.791Z,20.4,,54,,,,
2018-01-28T00:08:07.782Z,20.2,,54,,,,39.4
2018-01-28T00:08:17.803Z,20,,54,,,,
2018-01-28T00:08:27.781Z,20,,54,,,,
2018-01-28T00:08:37.919Z,19.7,,54,,,,39.5
2018-01-28T00:08:47.789Z,19.7,,54,,,,
2018-01-28T00:08:57.771Z,19.6,,54,,,,39.6
2018-01-28T00:09:07.786Z,19.4,,54,,,,
2018-01-28T00:09:17.811Z,19.3,,54,,,,
2018-01-28T00:09:27.778Z,19.3,,54,,,,
2018-01-28T00:09:37.891Z,19.2,,54,,,,
2018-01-28T00:09:47.813Z,19,,54,,,,
2018-01-28T00:09:57.772Z,18.9,,54,,,,
2018-01-28T00:10:07.778Z,18.9,,54,,,,39.7
2018-01-28T00:10:17.779Z,18.8,,54,,,,39.6
2018-01-28T00:10:27.783Z,18.8,,54,,,,
2018-01-28T00:10:37.875Z,18.6,,54,,,,
2018-01-28T00:10:47.797Z,18.6,,54,,,,39.7
2018-01-28T00:10:57.790Z,18.5,,54,,,,39.6
2018-01-28T00:11:07.779Z,18.5,,54,,,,
2018-01-28T00:11:17.784Z,18.4,,54,,,,
2018-01-28T00:11:27.780Z,18.4,,54,,,,
2018-01-28T00:11:37.870Z,18.2,,54,,,,
2018-01-28T00:11:47.780Z,18.2,,54,,,,
2018-01-28T00:11:57.780Z,18.1,,54,,,,
2018-01-28T00:12:07.779Z,18.1,,54,,,,
2018-01-28T00:12:17.783Z,18.1,,54,,,,39.5
2018-01-28T00:12:27.781Z,17.9,,54,,,,
2018-01-28T00:12:37.871Z,17.9,,54,,,,
2018-01-28T00:12:47.802Z,17.8,,54,,,,
2018-01-28T00:12:57.778Z,17.8,,54,,,,
2018-01-28T00:13:12.797Z,17.8,,54,,,,
2018-01-28T00:13:17.843Z,17.7,,54,,,,
2018-01-28T00:13:27.783Z,17.7,,54,,,,39.4
2018-01-28T00:13:37.924Z,17.5,,54,,,,
2018-01-28T00:13:47.846Z,17.5,,54,,,,
2018-01-28T00:13:57.786Z,17.5,,54,,,,
2018-01-28T00:14:07.816Z,17.5,,54,,,,
2018-01-28T00:14:17.778Z,17.4,,54,,,,39.3
2018-01-28T00:14:27.787Z,17.4,,54,,,,
2018-01-28T00:14:37.993Z,17.4,,54,,,,
2018-01-28T00:14:47.803Z,17.3,,54,,,,
2018-01-28T00:14:57.797Z,17.3,,54,,,,
2018-01-28T00:15:07.814Z,17.1,,54,,,,39.2
2018-01-28T00:15:17.798Z,17.1,,54,,,,
2018-01-28T00:15:27.801Z,17.1,,54,,,,
2018-01-28T00:15:37.874Z,17.1,,54,,,,
2018-01-28T00:15:47.777Z,17,,54,,,,
2018-01-28T00:15:57.781Z,17,,54,,,,
2018-01-28T00:16:07.829Z,17,,54,,,,39.1
2018-01-28T00:16:17.781Z,17,,54,,,,
2018-01-28T00:16:27.807Z,16.8,,54,,,,
2018-01-28T00:16:37.898Z,16.8,,54,,,,
2018-01-28T00:16:47.782Z,16.8,,54,,,,
2018-01-28T00:16:57.808Z,16.8,,54,,,,39.1
2018-01-28T00:17:07.831Z,16.7,,54,,,,38.9
2018-01-28T00:17:17.782Z,16.7,,54,,,,
2018-01-28T00:17:27.782Z,16.7,,54,,,,
2018-01-28T00:17:37.930Z,16.7,,54,,,,
2018-01-28T00:17:47.980Z,16.7,,54,,,,
2018-01-28T00:17:57.810Z,16.5,,54,,,,38.8
2018-01-28T00:18:07.782Z,16.5,,54,,,,
2018-01-28T00:18:17.791Z,16.5,,54,,,,
2018-01-28T00:18:27.815Z,16.5,,54,,,,
2018-01-28T00:18:37.885Z,16.5,,54,,,,
2018-01-28T00:18:47.789Z,16.4,,54,,,,
2018-01-28T00:18:57.873Z,16.4,,54,,,,
2018-01-28T00:19:07.781Z,16.4,,54,,,,38.7
2018-01-28T00:19:17.990Z,16.4,,54,,,,
2018-01-28T00:19:27.801Z,16.4,,54,,,,
2018-01-28T00:19:37.875Z,16.4,,54,,,,
2018-01-28T00:19:47.974Z,16.2,,54,,,,
2018-01-28T00:19:57.781Z,16.2,,54,,,,
2018-01-28T00:20:07.790Z,16.2,,54,,,,
2018-01-28T00:20:17.793Z,16.2,,54,,,,38.6
2018-01-28T00:20:27.826Z,16.2,,54,,,,
2018-01-28T00:20:37.919Z,16.2,,54,,,,
2018-01-28T00:20:47.799Z,16.1,,54,,,,
2018-01-28T00:20:57.794Z,16.1,,54,,,,
2018-01-28T00:21:07.860Z,16.1,,54,,,,
2018-01-28T00:21:17.783Z,16.1,,54,,,,
2018-01-28T00:21:27.815Z,16.1,,54,,,,
2018-01-28T00:21:37.876Z,16.1,,54,,,,38.5
2018-01-28T00:21:47.813Z,16.1,,54,,,,
2018-01-28T00:21:57.831Z,15.9,,54,,,,
2018-01-28T00:22:07.787Z,15.9,,54,,,,
2018-01-28T00:22:17.790Z,15.9,43,54,,0,2,40.5
2018-01-28T00:22:27.826Z,15.9,31,54,,,,43.6
2018-01-28T00:22:37.905Z,16.4,29,54,,,,41.6
2018-01-28T00:22:48.020Z,17.3,30,54,,,,41.7
2018-01-28T00:22:57.787Z,18.2,29,54,,,,42.1
2018-01-28T00:23:07.783Z,18.8,29,54,,,,41.9
2018-01-28T00:23:17.806Z,19.4,30,54,,,,41.8
2018-01-28T00:23:27.841Z,19.7,29,54,,,,41.7
2018-01-28T00:23:37.927Z,20.1,,54,,,,41.6
2018-01-28T00:23:47.810Z,20.5,,54,,,,41.5
2018-01-28T00:23:57.847Z,20.6,,54,,,,
2018-01-28T00:24:07.787Z,20.9,,54,,,,41.6
2018-01-28T00:24:17.817Z,21.2,,54,,,,41.7
2018-01-28T00:24:27.850Z,21.5,,54,,,,41.8
2018-01-28T00:24:37.886Z,21.6,,54,,,,
2018-01-28T00:24:47.825Z,21.6,,54,,,,41.9
2018-01-28T00:24:57.809Z,21.9,,54,,,,
2018-01-28T00:25:07.785Z,22.1,,54,,,,42
2018-01-28T00:25:17.823Z,22.1,,54,,,,42.1
2018-01-28T00:25:27.786Z,22.2,,54,,,,42.2
