Time,PrimT,PrimTSet,HwActive,HwTOutlet,ActPow,ChActive,HwTSet
2018-01-29T00:00:08.673Z,31.9,,,29.7,,,54
2018-01-29T00:00:18.595Z,31.7,,,29.6,,,54
2018-01-29T00:00:28.597Z,,,,29.6,,,54
2018-01-29T00:00:38.721Z,31.8,,,29.6,,,54
2018-01-29T00:00:48.598Z,31.7,,,29.5,,,54
2018-01-29T00:00:58.659Z,,,,29.5,,,54
2018-01-29T00:01:08.599Z,,,,29.5,,,54
2018-01-29T00:01:18.641Z,,,,29.5,,,54
2018-01-29T00:01:28.671Z,,,,29.5,,,54
2018-01-29T00:01:38.763Z,,,,29.5,,,54
2018-01-29T00:01:48.603Z,,,,29.3,,,54
2018-01-29T00:01:58.666Z,,,,29.3,,,54
2018-01-29T00:02:08.619Z,,,,29.3,,,54
2018-01-29T00:02:18.603Z,,,,29.3,,,54
2018-01-29T00:02:28.673Z,,,,29.3,,,54
2018-01-29T00:02:38.705Z,,,,29.3,,,54
2018-01-29T00:02:48.641Z,,,,29.2,,,54
2018-01-29T00:02:58.617Z,,,,29.2,,,54
2018-01-29T00:03:08.606Z,,,,29.2,,,54
2018-01-29T00:03:18.599Z,,,,29.2,,,54
2018-01-29T00:03:28.607Z,31.8,,,29.1,,,54
2018-01-29T00:03:38.695Z,,,,29.1,,,54
2018-01-29T00:03:48.601Z,,,,29.1,,,54
2018-01-29T00:03:58.636Z,,,,29,,,54
2018-01-29T00:04:08.609Z,,,,29,,,54
2018-01-29T00:04:18.606Z,,,,29,,,54
2018-01-29T00:04:28.775Z,,,,29,,,54
2018-01-29T00:04:38.725Z,31.9,,,28.9,,,54
2018-01-29T00:04:48.607Z,,,,28.9,,,54
2018-01-29T00:04:58.602Z,,,,28.9,,,54
2018-01-29T00:05:08.605Z,,,,28.7,,,54
2018-01-29T00:05:18.668Z,,,,28.7,,,54
2018-01-29T00:05:28.608Z,32,,,28.7,,,54
2018-01-29T00:05:38.728Z,,,,28.6,,,54
2018-01-29T00:05:48.599Z,,,,28.6,,,54
2018-01-29T00:05:58.599Z,,,,28.5,,,54
2018-01-29T00:06:08.628Z,,,,28.5,,,54
2018-01-29T00:06:18.611Z,32.1,,,28.5,,,54
2018-01-29T00:06:28.601Z,,,,28.5,,,54
2018-01-29T00:06:38.710Z,,,,28.4,,,54
2018-01-29T00:06:48.603Z,,,,28.4,,,54
2018-01-29T00:06:58.605Z,,,,28.3,,,54
2018-01-29T00:07:08.610Z,,,,28.3,,,54
2018-01-29T00:07:18.614Z,,,,28.3,,,54
2018-01-29T00:07:28.606Z,32.2,,,28.1,,,54
2018-01-29T00:07:38.750Z,,,,28.1,,,54
2018-01-29T00:07:48.601Z,,,,28,,,54
2018-01-29T00:07:58.604Z,,,,28,,,54
2018-01-29T00:08:08.599Z,,,,28,,,54
2018-01-29T00:08:18.630Z,,,,27.9,,,54
2018-01-29T00:08:28.615Z,,,,27.9,,,54
2018-01-29T00:08:38.751Z,,,,27.9,,,54
2018-01-29T00:08:48.602Z,,,,27.8,,,54
2018-01-29T00:08:58.611Z,,,,27.8,,,54
2018-01-29T00:09:08.621Z,,,,27.8,,,54
2018-01-29T00:09:18.633Z,,,,27.7,,,54
2018-01-29T00:09:28.603Z,,,,27.7,,,54
2018-01-29T00:09:38.796Z,,,,27.7,,,54
2018-01-29T00:09:48.604Z,,,,27.5,,,54
2018-01-29T00:09:58.623Z,,,,27.5,,,54
2018-01-29T00:10:08.658Z,,,,27.5,,,54
2018-01-29T00:10:18.616Z,,,,27.5,,,54
2018-01-29T00:10:28.617Z,,,,27.4,,,54
2018-01-29T00:10:38.779Z,,,,27.4,,,54
2018-01-29T00:10:48.609Z,,,,27.4,,,54
2018-01-29T00:10:58.600Z,,,,27.3,,,54
2018-01-29T00:11:08.610Z,,,,27.3,,,54
2018-01-29T00:11:18.608Z,,,,27.3,,,54
2018-01-29T00:11:28.751Z,,,,27.2,,,54
2018-01-29T00:11:38.854Z,,,,27.2,,,54
2018-01-29T00:11:48.614Z,32.1,,,27.2,,,54
2018-01-29T00:11:58.609Z,35.8,,0,27.1,39,2,54
2018-01-29T00:12:08.615Z,38.2,,,27.1,31,,54
2018-01-29T00:12:18.604Z,36.6,,,27.1,29,,54
2018-01-29T00:12:28.635Z,37.3,,,27.1,,,54
2018-01-29T00:12:38.775Z,38,,,26.9,,,54
2018-01-29T00:12:48.607Z,38,,,26.9,29,,54
2018-01-29T00:12:58.605Z,38.3,,,27.1,,,54
2018-01-29T00:13:08.602Z,38.5,,,27.1,,,54
2018-01-29T00:13:18.673Z,38.7,,,27.2,,,54
2018-01-29T00:13:28.622Z,38.8,,,27.3,,,54
2018-01-29T00:13:38.780Z,39.1,,,27.4,,,54
2018-01-29T00:13:48.627Z,39.3,,,27.5,,,54
2018-01-29T00:13:58.647Z,39.5,,,27.7,,,54
2018-01-29T00:14:08.635Z,39.7,,,27.8,,,54
2018-01-29T00:14:18.618Z,39.8,,,27.9,,,54
2018-01-29T00:14:28.605Z,39.9,,,28.1,,,54
2018-01-29T00:14:38.706Z,40,,,28.3,,,54
2018-01-29T00:14:48.618Z,40.1,,,28.4,,,54
2018-01-29T00:14:58.658Z,40.2,,,28.5,,,54
2018-01-29T00:15:08.638Z,40.4,,,28.6,,,54
2018-01-29T00:15:18.627Z,40.5,,,28.6,30,,54
2018-01-29T00:15:28.620Z,40.7,,,28.7,29,,54
2018-01-29T00:15:38.709Z,40.8,,,28.9,,,54
2018-01-29T00:15:48.630Z,41,,,28.9,,,54
2018-01-29T00:15:58.624Z,41.1,,,29,,,54
2018-01-29T00:16:08.701Z,41.3,,,29.1,,,54
2018-01-29T00:16:18.630Z,41.4,,,29.1,,,54
2018-01-29T00:16:28.618Z,41.6,,,29.2,,,54
2018-01-29T00:16:38.709Z,41.7,,,29.3,,,54
2018-01-29T00:16:48.631Z,41.9,,,29.3,,,54
2018-01-29T00:16:58.621Z,42,,,29.5,,,54
2018-01-29T00:17:08.613Z,42.1,,,29.6,,,54
2018-01-29T00:17:18.606Z,42.3,,,29.6,,,54
2018-01-29T00:17:28.617Z,42.6,,,29.7,0,,54
2018-01-29T00:17:38.738Z,40.9,,0,29.8,,2,54
2018-01-29T00:17:48.609Z,38.9,,,30,,,54
2018-01-29T00:17:58.607Z,38.2,,,30.1,,,54
2018-01-29T00:18:08.727Z,37.6,,,30.2,,,54
2018-01-29T00:18:18.612Z,36.9,,,30.2,,,54
2018-01-29T00:18:28.633Z,36.4,,,30.3,,,54
2018-01-29T00:18:38.742Z,35.9,,,30.4,,,54
2018-01-29T00:18:48.652Z,35.6,,,30.4,,,54
2018-01-29T00:18:58.611Z,35.3,,,30.6,,,54
2018-01-29T00:19:08.610Z,34.9,,,30.6,,,54
2018-01-29T00:19:18.614Z,34.6,,,30.6,,,54
2018-01-29T00:19:28.634Z,34.4,,,30.6,,,54
2018-01-29T00:19:38.728Z,34.2,,,30.7,,,54
2018-01-29T00:19:48.607Z,34,,,30.7,,,54
2018-01-29T00:19:58.615Z,33.9,,,30.7,,,54
2018-01-29T00:20:08.625Z,33.7,,,30.7,,,54
2018-01-29T00:20:18.691Z,33.6,,,30.7,,,54
2018-01-29T00:20:28.613Z,33.4,,,30.7,,,54
2018-01-29T00:20:38.719Z,,,,30.7,,,54
2018-01-29T00:20:48.609Z,,,,30.7,,,54
2018-01-29T00:20:58.609Z,,,,30.7,,,54
2018-01-29T00:21:08.610Z,,,,30.7,,,54
2018-01-29T00:21:18.616Z,,,,30.7,,,54
2018-01-29T00:21:28.609Z,,,,30.7,,,54
2018-01-29T00:21:38.737Z,,,,30.7,,,54
2018-01-29T00:21:48.624Z,,,,30.7,,,54
2018-01-29T00:21:58.647Z,,,,30.7,,,54
2018-01-29T00:22:08.639Z,,,,30.7,,,54
2018-01-29T00:22:18.626Z,,,,30.7,,,54
2018-01-29T00:22:28.611Z,,,,30.7,,,54
2018-01-29T00:22:38.737Z,,,,30.7,,,54
2018-01-29T00:22:48.620Z,,,,30.7,,,54
2018-01-29T00:22:58.614Z,,,,30.7,,,54
2018-01-29T00:23:08.638Z,,,,30.7,,,54
2018-01-29T00:23:18.608Z,,,,30.7,,,54
2018-01-29T00:23:28.621Z,,,,30.7,,,54
2018-01-29T00:23:38.710Z,,,,30.7,,,54
2018-01-29T00:23:48.638Z,33.5,,,30.7,,,54
2018-01-29T00:23:58.607Z,,,,30.6,,,54
2018-01-29T00:24:08.613Z,,,,30.6,,,54
2018-01-29T00:24:18.623Z,,,,30.6,,,54
