Time,PrimTSet,ActPow,HwActive,PrimT,ChActive,HwTSet,HwTOutlet
2018-01-30T00:00:09.436Z,,29,,,,54,29.7
2018-01-30T00:00:19.478Z,,,,,,54,30
2018-01-30T00:00:29.438Z,,,,,,54,29.7
2018-01-30T00:00:39.554Z,,,,,,54,29.6
2018-01-30T00:00:49.440Z,,,,,,54,29.6
2018-01-30T00:00:59.434Z,,30,,64.4,,54,29.5
2018-01-30T00:01:09.450Z,,29,,,,54,29.5
2018-01-30T00:01:19.449Z,,,,,,54,29.5
2018-01-30T00:01:29.436Z,,,,,,54,29.7
2018-01-30T00:01:39.580Z,,,,,,54,29.5
2018-01-30T00:01:49.461Z,,,,,,54,29.7
2018-01-30T00:01:59.431Z,,,,,,54,29.6
2018-01-30T00:02:09.431Z,,,,,,54,29.5
2018-01-30T00:02:19.435Z,,,,,,54,29.6
2018-01-30T00:02:29.451Z,,,,64.5,,54,29.6
2018-01-30T00:02:39.530Z,,,,,,54,29.7
2018-01-30T00:02:49.431Z,,,,,,54,29.7
2018-01-30T00:02:59.442Z,,,,,,54,29.6
2018-01-30T00:03:09.434Z,,,,,,54,29.6
2018-01-30T00:03:19.432Z,,,,,,54,29.7
2018-01-30T00:03:29.452Z,,,,,,54,29.5
2018-01-30T00:03:39.552Z,,,,64.6,,54,30.1
2018-01-30T00:03:49.433Z,,,,,,54,29.7
2018-01-30T00:03:59.465Z,,30,,,,54,29.7
2018-01-30T00:04:09.471Z,,29,,,,54,29.7
2018-01-30T00:04:19.434Z,,,,,,54,29.5
2018-01-30T00:04:29.434Z,,,,,,54,29.6
2018-01-30T00:04:39.535Z,,,,64.7,,54,30
2018-01-30T00:04:49.436Z,,,,,,54,30
2018-01-30T00:04:59.434Z,,,,,,54,29.6
2018-01-30T00:05:09.452Z,,,,,,54,29.7
2018-01-30T00:05:19.432Z,,,,,,54,29.6
2018-01-30T00:05:29.431Z,,,,,,54,29.7
2018-01-30T00:05:39.530Z,,,,64.8,,54,29.6
2018-01-30T00:05:49.445Z,,,,,,54,30.1
2018-01-30T00:05:59.445Z,,,,,,54,29.8
2018-01-30T00:06:09.432Z,,,,,,54,29.8
2018-01-30T00:06:19.457Z,,,,,,54,29.8
2018-01-30T00:06:29.436Z,,,,,,54,29.7
2018-01-30T00:06:39.567Z,,,,64.9,,54,29.7
2018-01-30T00:06:49.437Z,,,,,,54,29.7
2018-01-30T00:06:59.447Z,,,,,,54,29.8
2018-01-30T00:07:09.437Z,,,,,,54,29.8
2018-01-30T00:07:19.453Z,,0,0,64.9,2,54,30
2018-01-30T00:07:29.441Z,,,,61.9,,54,29.8
2018-01-30T00:07:39.578Z,,,,60.9,,54,29.6
2018-01-30T00:07:49.438Z,,,,59.7,,54,29.8
2018-01-30T00:07:59.454Z,,,,58.9,,54,29.5
2018-01-30T00:08:09.524Z,,,,57.9,,54,30.1
2018-01-30T00:08:19.455Z,,,,57.4,,54,30.8
2018-01-30T00:08:29.435Z,,,,56.8,,54,30.6
2018-01-30T00:08:39.558Z,,,,56.3,,54,30
2018-01-30T00:08:49.470Z,,,,55.7,,54,30.1
2018-01-30T00:08:59.438Z,,,,55.3,,54,30
2018-01-30T00:09:09.451Z,,44,0,55,2,54,30
