Time,HwActive,PrimT,HwTSet,ChActive,PrimTSet,HwTOutlet,ActPow
2018-02-01T00:00:01.099Z,,,54,,,27.7,
2018-02-01T00:00:11.120Z,,,54,,,28,
2018-02-01T00:00:21.323Z,,,54,,,28.1,30
2018-02-01T00:00:31.095Z,,64.8,54,,,27.9,29
2018-02-01T00:00:41.100Z,,,54,,,27.9,
2018-02-01T00:00:51.206Z,,,54,,,27.9,
2018-02-01T00:01:01.130Z,,,54,,,27.9,
2018-02-01T00:01:11.130Z,,,54,,,27.9,
2018-02-01T00:01:21.121Z,,,54,,,27.9,
2018-02-01T00:01:31.101Z,,,54,,,28,
2018-02-01T00:01:41.141Z,,,54,,,27.8,
2018-02-01T00:01:51.261Z,,64.9,54,,,27.9,30
2018-02-01T00:02:01.105Z,,,54,,,27.9,29
2018-02-01T00:02:11.109Z,,,54,,,27.9,
2018-02-01T00:02:21.110Z,,,54,,,27.8,
2018-02-01T00:02:31.108Z,,,54,,,27.9,
2018-02-01T00:02:41.110Z,,,54,,,27.8,
2018-02-01T00:02:51.208Z,,,54,,,28.1,
2018-02-01T00:03:01.116Z,,,54,,,28,
2018-02-01T00:03:11.143Z,0,63.3,54,2,,27.9,0
2018-02-01T00:03:21.153Z,,61.5,54,,,27.9,
2018-02-01T00:03:31.212Z,,60.6,54,,,27.9,
2018-02-01T00:03:41.103Z,,59.4,54,,,28,
2018-02-01T00:03:51.213Z,,58.5,54,,,27.8,
2018-02-01T00:04:01.104Z,,57.8,54,,,27.5,
2018-02-01T00:04:11.102Z,,57.1,54,,,27.5,
2018-02-01T00:04:21.185Z,,56.5,54,,,27.4,
2018-02-01T00:04:31.098Z,,56.1,54,,,27.1,
2018-02-01T00:04:41.105Z,,55.6,54,,,26.9,
2018-02-01T00:04:51.209Z,,55.2,54,,,27.3,
2018-02-01T00:05:01.115Z,0,54.9,54,2,,26.9,44
2018-02-01T00:05:11.100Z,,58.3,54,,,26.9,38
2018-02-01T00:05:21.099Z,,58.7,54,,,26.6,29
2018-02-01T00:05:31.101Z,,59.4,54,,,26.7,
2018-02-01T00:05:41.103Z,,60.1,54,,,26.6,
2018-02-01T00:05:51.215Z,,60.6,54,,,26.8,
2018-02-01T00:06:01.131Z,,61.2,54,,,26.8,
2018-02-01T00:06:11.106Z,,61.5,54,,,26.7,
2018-02-01T00:06:21.117Z,,61.8,54,,,26.7,30
2018-02-01T00:06:31.133Z,,62,54,,,26.8,29
2018-02-01T00:06:41.107Z,,62.2,54,,,26.9,
2018-02-01T00:06:51.250Z,,62.5,54,,,26.8,
2018-02-01T00:07:01.110Z,,62.6,54,,,26.5,
2018-02-01T00:07:11.171Z,,62.7,54,,,26.9,
2018-02-01T00:07:21.107Z,,62.8,54,,,26.8,
2018-02-01T00:07:31.101Z,,,54,,,26.7,
2018-02-01T00:07:41.179Z,,62.9,54,,,26.8,
2018-02-01T00:07:51.222Z,,63.1,54,,,26.9,30
2018-02-01T00:08:01.100Z,,,54,,,27.1,29
2018-02-01T00:08:11.099Z,,63.2,54,,,27.2,30
2018-02-01T00:08:21.119Z,,,54,,,27.2,
2018-02-01T00:08:31.119Z,,63.3,54,,,26.9,29
2018-02-01T00:08:41.125Z,,63.4,54,,,27.2,
2018-02-01T00:08:51.220Z,,63.3,54,,,27.1,
2018-02-01T00:09:01.118Z,,63.4,54,,,26.8,
2018-02-01T00:09:11.117Z,,,54,,,27.3,
2018-02-01T00:09:21.118Z,,,54,,,27.4,
2018-02-01T00:09:31.113Z,,,54,,,27.5,
2018-02-01T00:09:41.121Z,,63.5,54,,,27.2,
2018-02-01T00:09:51.223Z,,,54,,,27.3,
2018-02-01T00:10:01.107Z,,,54,,,27.3,30
2018-02-01T00:10:11.103Z,,,54,,,27.4,29
2018-02-01T00:10:21.122Z,,,54,,,27.1,
2018-02-01T00:10:31.102Z,,,54,,,27.2,
2018-02-01T00:10:41.102Z,,,54,,,27.2,
2018-02-01T00:10:51.235Z,,,54,,,27.1,30
2018-02-01T00:11:01.133Z,,63.6,54,,,27.3,29
2018-02-01T00:11:11.152Z,,,54,,,27.3,
