Time,ChActive,HwTOutlet,PrimTSet,PrimT,ActPow,HwTSet,HwActive
2018-02-03T00:00:02.761Z,,13.2,,,,54,
2018-02-03T00:00:12.793Z,,13.2,,,,54,
2018-02-03T00:00:22.986Z,,13.4,,,,54,
2018-02-03T00:00:32.756Z,,13.2,,,,54,
2018-02-03T00:00:42.856Z,,13.2,,,,54,
2018-02-03T00:00:52.877Z,,13.2,,,,54,
2018-02-03T00:01:02.758Z,,13.2,,41.6,,54,
2018-02-03T00:01:12.757Z,,13.2,,,,54,
2018-02-03T00:01:22.756Z,,13.2,,,,54,
2018-02-03T00:01:32.757Z,,13.2,,,,54,
2018-02-03T00:01:42.788Z,,13.2,,,,54,
2018-02-03T00:01:52.888Z,,13.2,,,,54,
2018-02-03T00:02:02.764Z,,13.2,,,,54,
2018-02-03T00:02:12.809Z,,13.2,,41.5,,54,
2018-02-03T00:02:22.796Z,,13.2,,,,54,
2018-02-03T00:02:32.761Z,,13.2,,,,54,
2018-02-03T00:02:42.908Z,,13.2,,,,54,
2018-02-03T00:02:53.019Z,,13.2,,,,54,
2018-02-03T00:03:02.815Z,,13.2,,,,54,
2018-02-03T00:03:12.770Z,0,13.2,0,42.2,,54,2
2018-02-03T00:03:22.783Z,0,33.9,,39.2,74,54,2
2018-02-03T00:03:32.800Z,,34.5,,43,119,54,
2018-02-03T00:03:42.791Z,,38.5,,49.1,121,54,
2018-02-03T00:03:52.991Z,,44.1,,53.1,121,54,
2018-02-03T00:04:02.790Z,,49.2,,56,100,54,
2018-02-03T00:04:12.944Z,0,51.3,,55.9,0,54,0
2018-02-03T00:04:22.842Z,,52.3,,45.6,,54,
2018-02-03T00:04:32.770Z,,53.2,,46.1,,54,
2018-02-03T00:04:43.072Z,,49.2,,52.1,,54,
2018-02-03T00:04:53.017Z,,45.9,,54,,54,
2018-02-03T00:05:02.819Z,,43.7,,54.4,,54,
2018-02-03T00:05:12.818Z,,43,5,54.6,,54,
2018-02-03T00:05:22.762Z,,43.1,,54.7,,54,
2018-02-03T00:05:32.829Z,,43.3,,,,54,
2018-02-03T00:05:43.177Z,,42.7,,54.6,,54,
2018-02-03T00:05:52.982Z,,41.1,,,,54,
2018-02-03T00:06:02.932Z,,38.3,,54.5,,54,
2018-02-03T00:06:12.763Z,,35.8,,,,54,
2018-02-03T00:06:22.832Z,,33.7,,,,54,
2018-02-03T00:06:32.763Z,,31.8,,54.4,,54,
2018-02-03T00:06:42.774Z,,30,,,,54,
2018-02-03T00:06:52.950Z,,28.5,,,,54,
2018-02-03T00:07:02.925Z,,27.2,,,,54,
2018-02-03T00:07:12.779Z,,26.1,,,,54,
2018-02-03T00:07:22.785Z,,24.8,,,,54,
2018-02-03T00:07:32.784Z,,24.2,,,,54,
2018-02-03T00:07:42.765Z,,23.2,,,,54,
2018-02-03T00:07:52.879Z,,22.5,,,,54,
2018-02-03T00:08:02.808Z,,21.9,,,,54,
2018-02-03T00:08:12.770Z,,21.3,,,,54,
2018-02-03T00:08:27.991Z,,20.9,,,,54,
2018-02-03T00:08:32.772Z,,20.5,,,,54,
2018-02-03T00:08:42.785Z,,20.1,,,,54,
2018-02-03T00:08:57.944Z,,19.4,,,,54,
2018-02-03T00:09:02.766Z,,19.3,,,,54,
2018-02-03T00:09:12.798Z,,18.9,,54.3,,54,
2018-02-03T00:09:22.774Z,,19,,,,54,
2018-02-03T00:09:32.775Z,,19.2,,,,54,
2018-02-03T00:09:42.785Z,,19.2,,,,54,
2018-02-03T00:09:52.962Z,,19,,54.1,,54,
2018-02-03T00:10:02.818Z,,18.8,,,,54,
2018-02-03T00:10:12.808Z,,18.6,,54,,54,
2018-02-03T00:10:27.880Z,,18.5,,,,54,
2018-02-03T00:10:32.849Z,,18.1,,53.9,,54,
2018-02-03T00:10:42.778Z,,17.7,,,,54,
2018-02-03T00:10:52.949Z,,17,,,,54,
2018-02-03T00:11:02.792Z,,16.5,,53.8,,54,
2018-02-03T00:11:12.811Z,,16.2,,,,54,
2018-02-03T00:11:22.803Z,,15.9,,53.7,,54,
2018-02-03T00:11:32.829Z,,15.6,,,,54,
2018-02-03T00:11:42.794Z,,15.3,,53.6,,54,
2018-02-03T00:11:53.059Z,,15,,,,54,
2018-02-03T00:12:02.807Z,,14.8,,53.5,,54,
2018-02-03T00:12:12.776Z,,14.5,,,,54,
2018-02-03T00:12:22.837Z,,14.3,,53.4,,54,
2018-02-03T00:12:32.790Z,,14.2,,,,54,
2018-02-03T00:12:42.859Z,,14,,53.3,,54,
2018-02-03T00:12:52.929Z,,13.9,,,,54,
2018-02-03T00:13:02.768Z,,13.7,,53.2,,54,
2018-02-03T00:13:12.810Z,,13.6,,,,54,
2018-02-03T00:13:22.791Z,,13.4,,53.1,,54,
2018-02-03T00:13:32.862Z,,13.2,,,,54,
2018-02-03T00:13:42.883Z,,13.1,,53,,54,
2018-02-03T00:13:52.864Z,,13.1,,53,,54,
2018-02-03T00:14:02.987Z,,13.1,,52.9,,54,
2018-02-03T00:14:12.846Z,,13.1,,,,54,
2018-02-03T00:14:22.812Z,,12.9,,52.8,,54,
2018-02-03T00:14:32.769Z,,12.8,,,,54,
2018-02-03T00:14:42.834Z,,12.8,,52.7,,54,
2018-02-03T00:14:52.917Z,,12.6,,,,54,
2018-02-03T00:15:02.768Z,,12.6,,52.6,,54,
2018-02-03T00:15:12.778Z,,12.6,,,,54,
2018-02-03T00:15:22.820Z,,12.6,,,,54,
2018-02-03T00:15:32.771Z,,12.5,,52.4,,54,
2018-02-03T00:15:42.853Z,,12.5,,,,54,
2018-02-03T00:15:53.145Z,,12.3,,52.3,,54,
2018-02-03T00:16:02.783Z,,12.3,,,,54,
2018-02-03T00:16:12.769Z,,12.3,,52.2,,54,
2018-02-03T00:16:22.779Z,,12.3,,,,54,
2018-02-03T00:16:32.774Z,,12.2,,,,54,
2018-02-03T00:16:42.773Z,,12.2,,52.1,,54,
2018-02-03T00:16:52.977Z,,12.2,,,,54,
2018-02-03T00:17:02.769Z,,12.2,,52,,54,
2018-02-03T00:17:12.818Z,,12,,,,54,
2018-02-03T00:17:22.776Z,,12.2,,51.9,,54,
2018-02-03T00:17:32.791Z,,12,,,,54,
2018-02-03T00:17:42.769Z,,12,,,,54,
2018-02-03T00:17:52.883Z,,12,,51.8,,54,
2018-02-03T00:18:02.766Z,,12,,,,54,
2018-02-03T00:18:12.770Z,,12,,,,54,
2018-02-03T00:18:22.903Z,,12,,51.7,,54,
2018-02-03T00:18:32.839Z,,12,,,,54,
2018-02-03T00:18:42.827Z,,11.8,,,,54,
2018-02-03T00:18:53.305Z,,11.8,,51.6,,54,
2018-02-03T00:19:02.807Z,,11.8,,,,54,
2018-02-03T00:19:12.776Z,,11.8,,51.5,,54,
2018-02-03T00:19:22.837Z,,11.6,,,,54,
2018-02-03T00:19:32.831Z,,11.6,,,,54,
2018-02-03T00:19:42.914Z,,11.6,,51.4,,54,
2018-02-03T00:19:52.928Z,,11.6,,,,54,
2018-02-03T00:20:02.826Z,,11.6,,,,54,
2018-02-03T00:20:13.009Z,,11.6,,51.3,,54,
