Time,ActPow,HwTOutlet,HwTSet,HwActive,PrimT,PrimTSet,ChActive
2018-02-04T00:00:08.837Z,,16.8,54,,,,
2018-02-04T00:00:23.644Z,,16.7,54,,34.6,,
2018-02-04T00:00:33.585Z,,16.7,54,,,,
2018-02-04T00:00:53.782Z,,16.5,54,,,,
2018-02-04T00:01:03.750Z,,16.5,54,,,,
2018-02-04T00:01:13.599Z,0,,,0,34.6,61,2
2018-02-04T00:01:23.626Z,,16.5,54,,,,
2018-02-04T00:01:38.681Z,,16.4,54,,,,
2018-02-04T00:01:43.586Z,,,,,34.5,,
2018-02-04T00:01:58.751Z,,16.4,54,,,,
2018-02-04T00:02:03.697Z,,16.4,54,,,,
2018-02-04T00:02:23.584Z,,16.2,54,,,,
2018-02-04T00:02:34.119Z,,16.2,54,,,,
2018-02-04T00:02:53.817Z,,16.2,54,,,,
2018-02-04T00:03:03.584Z,,16.2,54,,34.4,,
2018-02-04T00:03:23.834Z,,16.1,54,,,,
2018-02-04T00:03:33.840Z,,16.1,54,,,,
2018-02-04T00:03:53.899Z,,16.1,54,,,,
2018-02-04T00:04:08.808Z,,16.1,54,,34.3,,
2018-02-04T00:04:23.709Z,,15.9,54,,,,
2018-02-04T00:04:33.813Z,,15.9,54,,,,
2018-02-04T00:04:53.790Z,,15.9,54,,,,
2018-02-04T00:05:03.890Z,,15.9,54,,34.2,,
2018-02-04T00:05:23.731Z,,15.9,54,,,,
2018-02-04T00:05:33.590Z,42,15.9,54,0,36.7,,2
2018-02-04T00:05:43.828Z,29,15.7,54,,39.7,,
2018-02-04T00:05:53.708Z,,15.7,54,,37.8,,
2018-02-04T00:06:03.713Z,,16.1,54,,38.3,,
2018-02-04T00:06:13.764Z,,17.5,54,,38.7,,
2018-02-04T00:06:23.591Z,,18.2,54,,,,
2018-02-04T00:06:33.711Z,,,,,38.9,,
2018-02-04T00:06:43.838Z,,19.2,54,,,,
2018-02-04T00:06:54.171Z,,,,,39.1,,
2018-02-04T00:07:08.696Z,,19.6,54,,,,
2018-02-04T00:07:13.594Z,,20.1,54,,39.2,,
2018-02-04T00:07:33.905Z,,20.4,54,,39.4,,
2018-02-04T00:07:48.697Z,,20.6,54,,39.5,,
2018-02-04T00:08:03.657Z,,21.1,54,,39.6,,
2018-02-04T00:08:13.593Z,,,,,39.7,,
2018-02-04T00:08:23.608Z,,21.3,54,,,,
2018-02-04T00:08:33.609Z,,,,,40,,
2018-02-04T00:08:43.645Z,,21.6,54,,,,
2018-02-04T00:08:53.722Z,,,,,40.1,,
2018-02-04T00:09:03.679Z,,21.6,54,,40.3,,
2018-02-04T00:09:13.832Z,,21.7,54,,40.6,,
2018-02-04T00:09:23.638Z,,22,54,,,,
2018-02-04T00:09:33.621Z,30,,,,40.7,,
2018-02-04T00:09:43.666Z,30,22.1,54,,41,,
2018-02-04T00:09:54.502Z,,22.4,54,,,,
2018-02-04T00:10:03.645Z,29,22.4,54,,41.2,,
2018-02-04T00:10:13.957Z,,22.5,54,,41.5,,
2018-02-04T00:10:23.709Z,,22.7,54,,,,
2018-02-04T00:10:33.596Z,,,,,41.7,,
2018-02-04T00:10:48.776Z,0,22.8,54,0,41.6,,2
2018-02-04T00:10:53.692Z,,23,54,,39.1,,
2018-02-04T00:11:03.640Z,,23,54,,38,,
2018-02-04T00:11:13.767Z,,23,54,,37.3,,
2018-02-04T00:11:23.591Z,,23,54,,36.5,,
2018-02-04T00:11:33.637Z,,22.7,54,,,,
2018-02-04T00:11:43.607Z,,,,,35.6,,
2018-02-04T00:11:53.713Z,,22.6,54,,,,
2018-02-04T00:12:03.717Z,,22.6,54,,34.7,,
2018-02-04T00:12:18.786Z,,22.4,54,,,,
2018-02-04T00:12:23.628Z,,,,,34.4,,
2018-02-04T00:12:33.855Z,,22.2,54,,33.9,,
2018-02-04T00:12:43.717Z,,22.1,54,,,,
2018-02-04T00:12:53.840Z,,22.1,54,,33.7,,
2018-02-04T00:13:08.715Z,,22,54,,33.5,,
2018-02-04T00:13:13.673Z,,22,54,,33.2,,
2018-02-04T00:13:23.599Z,,21.7,54,,,,
2018-02-04T00:13:33.949Z,,,,,32.9,,
2018-02-04T00:13:43.760Z,,21.6,54,,32.8,,
2018-02-04T00:13:53.790Z,,21.6,54,,,,
2018-02-04T00:14:03.771Z,,21.5,54,,,,
2018-02-04T00:14:14.267Z,,21.3,54,,,,
2018-02-04T00:14:39.063Z,,21.3,54,,,,
2018-02-04T00:14:43.770Z,,21.2,54,0,32.8,,2
2018-02-04T00:14:54.781Z,36,21.1,54,,38.1,,
2018-02-04T00:15:03.772Z,29,20.6,54,,39.5,,
2018-02-04T00:15:18.864Z,,20.5,54,,38.8,,
2018-02-04T00:15:28.864Z,29,20.8,54,,39.7,,
2018-02-04T00:15:33.673Z,29,21.3,54,,40.1,,
2018-02-04T00:15:43.738Z,,21.6,54,,,,
2018-02-04T00:15:59.064Z,,21.9,54,,40.5,,
2018-02-04T00:16:03.872Z,,22.1,54,,41.1,,
2018-02-04T00:16:18.767Z,,22.5,54,,,,
2018-02-04T00:16:28.865Z,,,,,41.4,,
2018-02-04T00:16:38.865Z,,22.5,54,,41.8,,
2018-02-04T00:16:43.670Z,,22.6,54,,42,,
2018-02-04T00:16:53.925Z,,22.6,54,,,,
2018-02-04T00:17:08.840Z,,,,,42.2,,
2018-02-04T00:17:18.763Z,,22.7,54,,42.6,,
2018-02-04T00:17:23.655Z,,22.8,54,,,,
2018-02-04T00:17:38.711Z,,23.2,54,,42.8,,
2018-02-04T00:17:43.671Z,29,22.7,54,,43.1,,
2018-02-04T00:17:53.784Z,,22.8,54,,,,
2018-02-04T00:18:08.867Z,,23,54,,43.2,,
2018-02-04T00:18:13.604Z,,23,54,,43.4,,
2018-02-04T00:18:23.621Z,30,23.1,54,,43.5,,
2018-02-04T00:18:39.068Z,29,23.2,54,,43.6,,
2018-02-04T00:18:48.775Z,,23.3,54,,43.8,,
2018-02-04T00:18:58.867Z,,23.3,54,,44,,
2018-02-04T00:19:03.675Z,,23.4,54,,,,
2018-02-04T00:19:13.748Z,,23.4,54,,44.2,,
2018-02-04T00:19:29.006Z,,23.6,54,,44.3,,
2018-02-04T00:19:33.882Z,,23.7,54,,44.4,,
2018-02-04T00:19:43.679Z,,23.8,54,,44.6,,
2018-02-04T00:19:53.721Z,,23.9,54,,44.7,,
2018-02-04T00:20:08.868Z,,23.9,54,,44.8,,
2018-02-04T00:20:13.673Z,,24,54,,45,,
2018-02-04T00:20:23.777Z,,24.2,54,,,,
