Time,ActPow,HwActive,PrimT,PrimTSet,HwTOutlet,ChActive,HwTSet
2018-02-05T00:00:04.450Z,,,,,17.9,,54
2018-02-05T00:00:14.573Z,,,,,17.8,,54
2018-02-05T00:00:24.410Z,,,39.7,,18.6,,54
2018-02-05T00:00:34.405Z,,,,,18.6,,54
2018-02-05T00:00:44.408Z,,,,,18.5,,54
2018-02-05T00:00:54.428Z,,,,,18.2,,54
2018-02-05T00:01:04.454Z,,,,,18.2,,54
2018-02-05T00:01:14.543Z,,,,,18.1,,54
2018-02-05T00:01:24.426Z,,,39.8,,17.8,,54
2018-02-05T00:01:34.407Z,,,,,17.7,,54
2018-02-05T00:01:44.426Z,,,,,17.4,,54
2018-02-05T00:01:54.429Z,,,39.9,,17.3,,54
2018-02-05T00:02:04.410Z,,,40,,17,,54
2018-02-05T00:02:14.529Z,,,,,16.8,,54
2018-02-05T00:02:24.438Z,,,40.1,,16.7,,54
2018-02-05T00:02:34.413Z,,,,,16.5,,54
2018-02-05T00:02:44.422Z,,,40.2,,16.4,,54
2018-02-05T00:02:54.438Z,,,,,16.2,,54
2018-02-05T00:03:04.413Z,,,,,16.1,,54
2018-02-05T00:03:14.534Z,0,0,40.3,61,15.9,2,54
2018-02-05T00:03:24.438Z,,,,,15.7,,54
2018-02-05T00:03:34.421Z,,,,,15.6,,54
2018-02-05T00:03:44.425Z,,,,,15.3,,54
2018-02-05T00:03:54.452Z,,,40.4,,15.1,,54
2018-02-05T00:04:04.425Z,,,,,15.1,,54
2018-02-05T00:04:14.579Z,,,,,15,,54
2018-02-05T00:04:24.492Z,,,,,14.8,,54
2018-02-05T00:04:34.432Z,,,,,14.8,,54
2018-02-05T00:04:44.594Z,,,,,14.7,,54
2018-02-05T00:04:54.476Z,,,,,14.5,,54
2018-02-05T00:05:04.425Z,,,,,14.5,,54
2018-02-05T00:05:14.607Z,,,,,14.3,,54
2018-02-05T00:05:24.447Z,,,,,14.2,,54
