Time,ActPow,PrimTSet,ChActive,HwActive,HwTSet,HwTOutlet,PrimT
2018-02-07T00:00:03.068Z,,,,,54,51.2,
2018-02-07T00:00:13.065Z,,,,,54,51.3,64.2
2018-02-07T00:00:23.130Z,,,,,54,51.3,
2018-02-07T00:00:33.066Z,,,,,54,51.3,
2018-02-07T00:00:43.066Z,,,,,54,51.3,
2018-02-07T00:00:53.072Z,,,,,54,51.3,64.4
2018-02-07T00:01:03.062Z,,,,,54,51.3,
2018-02-07T00:01:13.073Z,,,,,54,51.3,
2018-02-07T00:01:23.117Z,,,,,54,51.4,
2018-02-07T00:01:33.067Z,,,,,54,51.4,64.5
2018-02-07T00:01:43.084Z,,,,,54,51.4,
2018-02-07T00:01:53.067Z,,,,,54,51.4,
2018-02-07T00:02:03.073Z,,,,,54,51.5,
2018-02-07T00:02:13.074Z,,,,,54,51.5,64.6
2018-02-07T00:02:23.075Z,,,,,54,51.5,
2018-02-07T00:02:33.065Z,,,,,54,51.5,
2018-02-07T00:02:43.067Z,,,,,54,51.5,64.7
2018-02-07T00:02:53.077Z,,,,,54,51.6,
2018-02-07T00:03:03.062Z,,,,,54,51.6,
2018-02-07T00:03:13.069Z,,,,,54,51.6,
2018-02-07T00:03:23.068Z,30,,,,54,51.6,64.8
2018-02-07T00:03:33.063Z,29,,,,54,51.6,
2018-02-07T00:03:43.100Z,,,,,54,51.6,
2018-02-07T00:03:53.070Z,,,,,54,51.7,
2018-02-07T00:04:03.067Z,,,,,54,51.7,64.9
2018-02-07T00:04:13.090Z,,,,,54,51.7,
2018-02-07T00:04:23.070Z,,,,,54,51.7,
2018-02-07T00:04:33.067Z,0,,1,0,54,51.7,62.7
2018-02-07T00:04:43.080Z,,,,,54,51.8,61.5
2018-02-07T00:04:53.099Z,,,,,54,51.8,60.6
2018-02-07T00:05:03.090Z,,,,,54,51.8,58.9
2018-02-07T00:05:13.082Z,,,,,54,51.8,58.4
2018-02-07T00:05:23.065Z,,,,,54,51.8,57.7
2018-02-07T00:05:33.089Z,,,,,54,51.8,56.9
2018-02-07T00:05:48.174Z,,,,,54,51.8,56.4
2018-02-07T00:05:53.069Z,,,,,54,51.7,55.9
2018-02-07T00:06:03.080Z,,,,,54,51.6,55.3
2018-02-07T00:06:13.071Z,,,1,0,54,51.5,54.8
2018-02-07T00:06:23.068Z,40,,,,54,51.4,58.1
2018-02-07T00:06:33.074Z,29,,,,54,51.3,58.9
2018-02-07T00:06:43.097Z,,,,,54,51.2,59.1
2018-02-07T00:06:53.091Z,,,,,54,51.1,60.2
2018-02-07T00:07:03.090Z,,,,,54,51,60.7
2018-02-07T00:07:13.104Z,,,1,0,54,51,61.3
2018-02-07T00:07:23.065Z,,,,,54,50.9,61.6
2018-02-07T00:07:33.080Z,30,,,,54,50.9,62
2018-02-07T00:07:43.067Z,29,,,,54,50.8,62.4
2018-02-07T00:07:53.094Z,30,,,,54,50.9,62.6
2018-02-07T00:08:03.072Z,29,,,,54,50.9,62.7
2018-02-07T00:08:13.108Z,,,,,54,50.9,62.9
2018-02-07T00:08:23.175Z,,,,,54,50.9,63.1
2018-02-07T00:08:33.071Z,,,,,54,50.9,63.2
2018-02-07T00:08:43.072Z,,,,,54,50.9,63.3
2018-02-07T00:08:53.087Z,30,,,,54,50.9,
2018-02-07T00:09:03.077Z,29,,,,54,51,63.4
2018-02-07T00:09:13.065Z,,,,,54,51,63.5
2018-02-07T00:09:23.066Z,,,,,54,51,63.6
2018-02-07T00:09:33.068Z,,,,,54,51,
2018-02-07T00:09:43.065Z,,,,,54,51,63.8
2018-02-07T00:09:53.065Z,,,,,54,51,
2018-02-07T00:10:03.107Z,,,,,54,51.1,63.9
2018-02-07T00:10:13.143Z,,,,,54,51.1,
2018-02-07T00:10:23.075Z,,,,,54,51.1,64
2018-02-07T00:10:33.071Z,30,,,,54,51.1,
2018-02-07T00:10:43.097Z,29,,,,54,51.1,
2018-02-07T00:10:53.091Z,30,,,,54,51.1,
2018-02-07T00:11:03.089Z,29,,,,54,51.1,
2018-02-07T00:11:13.155Z,,,,,54,51.1,64.1
2018-02-07T00:11:23.110Z,,,,,54,51.2,
2018-02-07T00:11:33.067Z,,,,,54,51.2,
2018-02-07T00:11:43.077Z,,,,,54,51.2,
2018-02-07T00:11:53.075Z,,,,,54,51.2,64.2
2018-02-07T00:12:03.126Z,,,,,54,51.2,
2018-02-07T00:12:13.077Z,,,,,54,51.2,
2018-02-07T00:12:23.095Z,30,,,,54,51.2,
2018-02-07T00:12:33.070Z,29,,,,54,51.3,
2018-02-07T00:12:43.069Z,30,,,,54,51.3,64.4
2018-02-07T00:12:53.072Z,29,,,,54,51.3,
2018-02-07T00:13:03.119Z,30,,,,54,51.3,
2018-02-07T00:13:13.084Z,29,,,,54,51.3,
2018-02-07T00:13:23.073Z,,,,,54,51.3,64.5
2018-02-07T00:13:33.071Z,,,,,54,51.4,
2018-02-07T00:13:43.083Z,,,,,54,51.4,
2018-02-07T00:13:53.095Z,,,,,54,51.4,64.6
2018-02-07T00:14:03.081Z,,,,,54,51.4,
2018-02-07T00:14:13.082Z,30,,,,54,51.4,
2018-02-07T00:14:23.073Z,29,,,,54,51.4,
2018-02-07T00:14:33.097Z,,,,,54,51.4,64.7
2018-02-07T00:14:43.078Z,,,,,54,51.5,
2018-02-07T00:14:53.075Z,30,,,,54,51.5,
2018-02-07T00:15:03.074Z,29,,,,54,51.5,
2018-02-07T00:15:13.079Z,,,,,54,51.5,64.8
2018-02-07T00:15:23.080Z,,,,,54,51.6,
2018-02-07T00:15:33.081Z,,,,,54,51.6,
2018-02-07T00:15:43.071Z,,,,,54,51.6,
2018-02-07T00:15:53.074Z,30,,,,54,51.7,64.9
2018-02-07T00:16:03.075Z,29,,,,54,51.7,
2018-02-07T00:16:13.082Z,,,,,54,51.7,
2018-02-07T00:16:23.087Z,,,,,54,51.7,
2018-02-07T00:16:33.074Z,0,,1,0,54,51.7,62.9
2018-02-07T00:16:43.250Z,,,,,54,51.8,61.4
2018-02-07T00:16:53.076Z,,,,,54,51.8,59.8
2018-02-07T00:17:03.075Z,,,,,54,51.8,58.9
2018-02-07T00:17:13.076Z,,,,,54,51.8,58.3
2018-02-07T00:17:23.074Z,,,,,54,51.8,57.4
2018-02-07T00:17:33.078Z,,,,,54,51.7,56.8
2018-02-07T00:17:43.074Z,,,,,54,51.7,56.2
2018-02-07T00:17:53.075Z,,,,,54,51.6,55.6
2018-02-07T00:18:03.071Z,,,,,54,51.6,55.2
2018-02-07T00:18:13.077Z,44,,1,0,54,51.5,55
2018-02-07T00:18:23.157Z,37,,,,54,51.4,58.3
2018-02-07T00:18:33.075Z,30,,,,54,51.3,58.8
2018-02-07T00:18:43.097Z,30,,,,54,51.2,59.5
2018-02-07T00:18:53.090Z,29,,,,54,51.1,60.2
2018-02-07T00:19:03.109Z,,,,,54,51,60.7
2018-02-07T00:19:13.090Z,,,,,54,51,61.3
