Time,HwActive,ActPow,PrimTSet,PrimT,HwTSet,ChActive,HwTOutlet
2018-02-09T00:00:04.713Z,,,,41.2,,,
2018-02-09T00:00:14.715Z,,,,41,54,,17.8
2018-02-09T00:00:24.803Z,,,,40.8,54,,17.8
2018-02-09T00:00:34.815Z,,,,40.7,54,,17.7
2018-02-09T00:00:44.819Z,,,,,54,,17.5
2018-02-09T00:00:54.712Z,,,,,54,,18.5
2018-02-09T00:01:14.758Z,,,,,54,,18.4
2018-02-09T00:01:24.794Z,,,,,54,,17.7
2018-02-09T00:01:34.715Z,,,,,54,,17.1
2018-02-09T00:01:54.748Z,,,,,54,,16.2
2018-02-09T00:02:04.739Z,,,,,54,,15.9
2018-02-09T00:02:14.723Z,,,,40.8,54,,15.7
2018-02-09T00:02:24.916Z,,,,40.9,,,
2018-02-09T00:02:34.722Z,,,,41,54,,15.6
2018-02-09T00:02:44.724Z,,,,,54,,15.1
2018-02-09T00:02:54.726Z,,,,,54,,15
2018-02-09T00:03:04.750Z,,,,41.1,,,
2018-02-09T00:03:14.846Z,,,,41.2,54,,14.8
2018-02-09T00:03:24.810Z,,,,,54,,14.7
2018-02-09T00:03:34.716Z,,,,,54,,14.5
2018-02-09T00:03:44.718Z,,,,41.3,,,
2018-02-09T00:03:54.830Z,,,,,54,,13.9
2018-02-09T00:04:14.710Z,,,,,54,,13.6
2018-02-09T00:04:34.747Z,,,,,54,,13.4
2018-02-09T00:04:54.744Z,,,,,54,,13.2
2018-02-09T00:05:04.799Z,,,,,54,,13.2
2018-02-09T00:05:14.790Z,,,,41.4,54,,13.1
2018-02-09T00:05:24.795Z,,,,41.3,,,
2018-02-09T00:05:34.711Z,,,,,54,,12.9
2018-02-09T00:05:44.837Z,,,,,54,,12.9
2018-02-09T00:06:04.808Z,,,,,54,,13.1
2018-02-09T00:06:24.749Z,,,,,54,,12.9
2018-02-09T00:06:34.722Z,,,,,54,,12.8
2018-02-09T00:06:54.721Z,,,,41.2,54,,12.6
2018-02-09T00:07:04.780Z,,,,,54,,12.6
2018-02-09T00:07:14.860Z,,,,,54,,12.6
2018-02-09T00:07:24.790Z,,,,,54,,12.6
2018-02-09T00:07:34.720Z,,,,,54,,12.5
2018-02-09T00:07:54.833Z,,,,41.1,54,,12.5
2018-02-09T00:08:04.732Z,,,,,54,,12.5
2018-02-09T00:08:14.726Z,,,,,54,,12.5
2018-02-09T00:08:24.717Z,,,,,54,,12.3
2018-02-09T00:08:34.892Z,0,44,,42.3,54,2,12.3
2018-02-09T00:08:44.733Z,,31,,45.6,54,,12.5
2018-02-09T00:08:54.795Z,,29,,43.8,54,,12.9
2018-02-09T00:09:04.719Z,,29,,44.2,54,,14
2018-02-09T00:09:14.763Z,,,,44.6,54,,15.6
2018-02-09T00:09:24.743Z,,,,,54,,16.8
2018-02-09T00:09:44.723Z,,,,,54,,17.5
2018-02-09T00:09:54.767Z,,,,,54,,18.4
2018-02-09T00:10:14.764Z,,,,44.7,54,,18.5
2018-02-09T00:10:24.754Z,0,0,,43,54,2,18.6
2018-02-09T00:10:34.815Z,,,,41.1,54,,18.9
