Time,HwTSet,HwActive,ActPow,PrimTSet,ChActive,PrimT,HwTOutlet
2018-02-12T00:00:07.300Z,54,,,,,52.6,24.3
2018-02-12T00:00:17.335Z,54,,,,,51.9,24
2018-02-12T00:00:27.198Z,54,,,,,51.5,23.9
2018-02-12T00:00:37.398Z,54,,,,,50.9,23.7
2018-02-12T00:00:47.195Z,54,,,,,50.6,23.8
2018-02-12T00:00:57.259Z,54,,,,,50.2,23.4
2018-02-12T00:01:07.360Z,54,,,,,49.9,23.3
2018-02-12T00:01:17.312Z,54,,,,,49.6,23.3
2018-02-12T00:01:27.204Z,54,,,,,49.3,23.2
2018-02-12T00:01:37.196Z,54,,,,,49,23.2
2018-02-12T00:01:47.194Z,54,,,,,48.9,23
2018-02-12T00:01:57.198Z,54,,,,,48.5,22.8
2018-02-12T00:02:07.190Z,54,,,,,,22.7
2018-02-12T00:02:17.218Z,54,,,,,,22.5
2018-02-12T00:02:27.189Z,54,,,,,48.4,22.8
2018-02-12T00:02:37.212Z,54,,,,,,22.6
2018-02-12T00:02:47.359Z,54,,,,,,21.9
2018-02-12T00:02:57.485Z,54,,,,,,21.6
2018-02-12T00:03:07.428Z,54,,,,,,21.2
2018-02-12T00:03:17.198Z,54,,,,,,21.1
2018-02-12T00:03:27.185Z,54,,,,,,20.9
2018-02-12T00:03:37.187Z,54,,,,,48.5,20.6
2018-02-12T00:03:47.250Z,54,,,,,,20.5
2018-02-12T00:03:57.326Z,54,,,,,48.6,20.2
2018-02-12T00:04:07.185Z,54,,,,,,20
2018-02-12T00:04:17.294Z,54,,,,,48.7,19.8
2018-02-12T00:04:27.331Z,54,,,,,,19.6
2018-02-12T00:04:37.259Z,54,,,,,48.8,19.4
2018-02-12T00:04:47.320Z,54,,,,,,19.2
2018-02-12T00:04:57.213Z,54,,,,,,19
2018-02-12T00:05:07.191Z,54,,,,,,18.9
2018-02-12T00:05:17.367Z,54,,,,,,18.6
2018-02-12T00:05:27.262Z,54,,,,,,18.5
2018-02-12T00:05:37.227Z,54,,,,,48.9,18.4
