Time,HwTSet,HwTOutlet,PrimTSet,PrimT,ChActive,HwActive,ActPow
2018-02-14T00:00:14.024Z,54,19,,,,,
2018-02-14T00:00:19.072Z,54,19.6,,46.2,,,
2018-02-14T00:00:28.852Z,54,19.7,,,,,
2018-02-14T00:00:38.838Z,54,19.7,,,,,
2018-02-14T00:00:48.834Z,54,19.2,,,,,
2018-02-14T00:00:58.853Z,54,18.6,,46.3,,,
2018-02-14T00:01:08.832Z,54,18.5,,,,,
2018-02-14T00:01:18.977Z,54,18.2,,,,,
2018-02-14T00:01:28.884Z,54,18.2,,46.4,,,
2018-02-14T00:01:38.839Z,54,17.9,,,,,
2018-02-14T00:01:48.849Z,54,17.8,,46.5,,,
2018-02-14T00:01:58.886Z,54,17.5,,,,,
2018-02-14T00:02:08.840Z,54,17.4,,46.6,,,
2018-02-14T00:02:18.936Z,54,17.3,,,,,
2018-02-14T00:02:28.867Z,54,17.3,,46.7,,,
2018-02-14T00:02:38.860Z,54,17,,,,,
2018-02-14T00:02:48.863Z,54,16.8,,,,,
2018-02-14T00:02:58.944Z,54,16.7,,,,,
2018-02-14T00:03:08.835Z,54,16.5,,47.2,1,0,45
2018-02-14T00:03:19.006Z,54,16.2,,51.4,,,33
2018-02-14T00:03:28.892Z,54,16.7,,50.7,,,29
2018-02-14T00:03:38.848Z,54,17.1,,50.2,,,
2018-02-14T00:03:48.870Z,54,17.8,,51.4,,,
2018-02-14T00:03:59.014Z,54,18.5,,51.5,,,
2018-02-14T00:04:08.921Z,54,19.3,,51.7,,,
2018-02-14T00:04:18.945Z,54,19.7,,,,,
2018-02-14T00:04:28.867Z,54,20,,51.8,,,
2018-02-14T00:04:38.929Z,54,20,,,,,
2018-02-14T00:04:48.923Z,54,19.8,,51.9,,,
2018-02-14T00:04:58.883Z,54,19.7,,52,,,
2018-02-14T00:05:08.839Z,54,20,,52.1,,,
2018-02-14T00:05:19.004Z,54,19.6,,52.2,,,
2018-02-14T00:05:28.844Z,54,19.7,,52.3,,,
2018-02-14T00:05:38.850Z,54,19.7,,52.6,,,
2018-02-14T00:05:48.842Z,54,20,,52.7,,,
2018-02-14T00:05:58.947Z,54,19.7,,52.8,,,
2018-02-14T00:06:08.840Z,54,19.8,,52.9,,,
2018-02-14T00:06:19.024Z,54,19.6,,53,,,
2018-02-14T00:06:33.911Z,54,20.1,,,,,
2018-02-14T00:06:38.948Z,54,20,,53.1,,,
2018-02-14T00:06:48.970Z,54,20.2,,53.2,,,
2018-02-14T00:06:58.851Z,54,20.5,,,,,
2018-02-14T00:07:08.851Z,54,20.5,,53.3,,,
2018-02-14T00:07:19.021Z,54,20.5,,,,,
2018-02-14T00:07:28.867Z,54,20.6,,,,,
2018-02-14T00:07:38.944Z,54,20.5,,53.4,,,
2018-02-14T00:07:48.953Z,54,20.2,,,,,
2018-02-14T00:07:58.960Z,54,20.2,,,,,
2018-02-14T00:08:08.853Z,54,20.4,,53.5,,,
2018-02-14T00:08:19.041Z,54,20.2,,,,,
2018-02-14T00:08:28.914Z,54,20.4,,53.6,,,
2018-02-14T00:08:38.834Z,54,20.8,,,,,
2018-02-14T00:08:48.890Z,54,20.9,,,,,
2018-02-14T00:08:58.842Z,54,20.4,,53.7,,,30
2018-02-14T00:09:08.874Z,54,20.5,,,,,29
2018-02-14T00:09:18.949Z,54,20.8,,53.8,,,30
2018-02-14T00:09:28.907Z,54,20.9,,,,,
2018-02-14T00:09:38.839Z,54,21.1,,53.9,,,29
2018-02-14T00:09:48.879Z,54,20.8,,54,,,
2018-02-14T00:09:58.928Z,54,15.7,0,54,0,2,29
2018-02-14T00:10:08.837Z,54,41.6,,51.3,,,74
2018-02-14T00:10:19.013Z,54,45.3,,52.1,,,
2018-02-14T00:10:28.928Z,54,46,,54.4,,,119
2018-02-14T00:10:38.841Z,54,49.8,,57.4,,,110
2018-02-14T00:10:48.905Z,54,53.6,,59,0,0,0
2018-02-14T00:10:58.841Z,54,56.8,,56.9,,,
2018-02-14T00:11:08.846Z,54,56.4,,56.4,,,
2018-02-14T00:11:18.947Z,54,54.2,,55.7,,,
2018-02-14T00:11:28.837Z,54,46.5,,55.6,,,
2018-02-14T00:11:38.850Z,54,38,,55.5,,,
2018-02-14T00:11:48.847Z,54,30.3,61,,1,0,
2018-02-14T00:11:58.838Z,54,25.4,,55.4,,,
2018-02-14T00:12:08.836Z,54,22.2,,55.5,,,
2018-02-14T00:12:18.976Z,54,19.2,,,,,
2018-02-14T00:12:28.838Z,54,17.4,,55.6,,,
2018-02-14T00:12:38.848Z,54,16.1,,,,,
2018-02-14T00:12:48.916Z,54,15.1,,55.9,,,
2018-02-14T00:12:58.958Z,54,14.2,,56.1,,,
2018-02-14T00:13:08.913Z,54,13.6,,56.4,,,
2018-02-14T00:13:18.937Z,54,12.8,,56.6,,,
2018-02-14T00:13:28.842Z,54,12.3,,56.9,,,
2018-02-14T00:13:38.866Z,54,12,,57,,,
2018-02-14T00:13:48.835Z,54,11.4,,57.2,,,
2018-02-14T00:13:59.170Z,54,11.1,,57.7,1,0,
2018-02-14T00:14:08.843Z,54,11.4,,59.5,,,39
