Time,PrimT,HwTSet,PrimTSet,HwActive,ChActive,HwTOutlet,ActPow
2018-02-15T00:00:09.691Z,,54,,,,23.3,
2018-02-15T00:00:19.701Z,,54,,,,23.3,
2018-02-15T00:00:29.675Z,,54,,,,23.3,
2018-02-15T00:00:39.833Z,,54,,,,23.4,
2018-02-15T00:00:49.710Z,63.4,54,,,,23.4,30
2018-02-15T00:00:59.714Z,,54,,,,23.3,29
2018-02-15T00:01:09.714Z,,54,,,,23.3,
2018-02-15T00:01:19.900Z,,54,,,,23.3,
2018-02-15T00:01:29.879Z,,54,,,,23.3,
2018-02-15T00:01:39.738Z,,54,,,,23.3,
2018-02-15T00:01:49.743Z,63.5,54,,,,23.4,
2018-02-15T00:01:59.683Z,63.4,54,,,,23.4,
2018-02-15T00:02:09.713Z,63.5,54,,,,23.4,30
2018-02-15T00:02:19.706Z,,54,,,,23.4,29
2018-02-15T00:02:29.754Z,,54,,,,23.4,
2018-02-15T00:02:39.778Z,,54,,,,23.4,
2018-02-15T00:02:49.651Z,,54,,,,23.3,
2018-02-15T00:02:59.659Z,63.6,54,,,,23.4,30
2018-02-15T00:03:09.659Z,,54,,,,23.4,29
2018-02-15T00:03:19.663Z,,54,,,,23.4,
2018-02-15T00:03:29.678Z,,54,,,,23.4,
2018-02-15T00:03:39.652Z,,54,,,,23.3,
2018-02-15T00:03:49.657Z,,54,,,,23.4,
2018-02-15T00:03:59.731Z,,54,,,,23.6,
2018-02-15T00:04:09.672Z,,54,,,,23.3,
2018-02-15T00:04:24.763Z,,54,,,,23.4,
2018-02-15T00:04:29.821Z,63.8,54,,,,23.4,
2018-02-15T00:04:39.655Z,,54,,,,23.4,30
2018-02-15T00:04:49.830Z,,54,,,,23.6,29
2018-02-15T00:04:59.660Z,,54,,,,23.2,
2018-02-15T00:05:09.829Z,,54,,,,23.4,
2018-02-15T00:05:20.745Z,,54,,,,23.6,
2018-02-15T00:05:29.748Z,,54,,,,23.6,
2018-02-15T00:05:39.799Z,,54,,,,23.6,
2018-02-15T00:05:49.704Z,,54,,,,23.7,30
2018-02-15T00:05:59.716Z,63.9,54,,,,23.6,29
2018-02-15T00:06:10.814Z,,54,,,,23.7,
2018-02-15T00:06:19.708Z,,54,,,,23.7,
2018-02-15T00:06:29.682Z,,54,,,,23.7,
2018-02-15T00:06:39.653Z,,54,,,,23.9,
2018-02-15T00:06:49.688Z,,54,,,,23.7,
2018-02-15T00:06:59.654Z,,54,,,,23.7,
2018-02-15T00:07:09.688Z,64,54,,,,23.7,29
2018-02-15T00:07:19.974Z,64,54,,,,23.7,
2018-02-15T00:07:29.662Z,,54,,,,23.7,
2018-02-15T00:07:39.657Z,,54,,,,23.6,
2018-02-15T00:07:49.657Z,,54,,,,23.4,30
2018-02-15T00:07:59.779Z,,54,,,,23.4,29
2018-02-15T00:08:09.657Z,,54,,,,23.3,30
2018-02-15T00:08:19.692Z,,54,,,,23.4,
2018-02-15T00:08:29.658Z,64.1,54,,,,23.4,29
2018-02-15T00:08:39.701Z,,54,,,,23.6,
2018-02-15T00:08:49.658Z,,54,,,,23.4,
2018-02-15T00:08:59.694Z,,54,,,,23.3,
2018-02-15T00:09:09.658Z,,54,,,,23.4,
2018-02-15T00:09:20.727Z,,54,,,,23.6,
2018-02-15T00:09:29.665Z,,54,,,,23.6,
2018-02-15T00:09:39.745Z,,54,,,,23.4,
2018-02-15T00:09:49.666Z,,54,,,,23.4,
2018-02-15T00:09:59.714Z,,54,,,,23.6,
2018-02-15T00:10:09.698Z,64.2,54,,,,23.6,
2018-02-15T00:10:19.676Z,,54,,,,23.6,
2018-02-15T00:10:29.796Z,,54,,,,23.7,
2018-02-15T00:10:39.694Z,,54,,,,23.6,30
2018-02-15T00:10:49.659Z,,54,,,,23.4,29
2018-02-15T00:10:59.687Z,,54,,,,23.6,
2018-02-15T00:11:09.821Z,,54,,,,23.6,
2018-02-15T00:11:19.851Z,,54,,,,23.6,
2018-02-15T00:11:29.722Z,,54,,,,23.7,
2018-02-15T00:11:39.822Z,,54,,,,23.7,
2018-02-15T00:11:49.681Z,,54,,,,23.7,
2018-02-15T00:11:59.719Z,64.4,54,,,,23.6,30
2018-02-15T00:12:09.822Z,,54,,,,23.6,29
2018-02-15T00:12:19.801Z,,54,,,,23.6,
2018-02-15T00:12:29.677Z,,54,,,,23.7,
2018-02-15T00:12:39.722Z,,54,,,,23.8,
2018-02-15T00:12:49.659Z,,54,,,,23.8,30
2018-02-15T00:12:59.864Z,,54,,,,23.8,29
2018-02-15T00:13:09.701Z,,54,,,,23.7,30
2018-02-15T00:13:19.692Z,64.5,54,,,,23.7,29
