Time,PrimTSet,ActPow,HwTSet,HwTOutlet,ChActive,HwActive,PrimT
2017-11-01T00:00:07.104Z,,,52,25.9,,,
2017-11-01T00:00:17.104Z,,,52,25.9,,,
2017-11-01T00:00:37.109Z,,,52,25.9,,,
2017-11-01T00:00:47.107Z,,,52,25.9,,,
2017-11-01T00:00:57.105Z,,,52,25.9,,,32.5
2017-11-01T00:01:07.105Z,,,52,25.9,,,
2017-11-01T00:01:17.105Z,,,52,25.9,,,
2017-11-01T00:01:37.105Z,,,52,25.9,,,
2017-11-01T00:01:47.104Z,,,52,25.9,,,
2017-11-01T00:01:57.110Z,,,52,25.9,,,
2017-11-01T00:02:07.104Z,,,52,25.9,,,
2017-11-01T00:02:17.109Z,,,52,25.9,,,
2017-11-01T00:02:27.105Z,5,0,,,0,0,32.5
2017-11-01T00:02:37.104Z,,,52,25.9,,,
2017-11-01T00:02:47.104Z,,,52,25.9,,,
2017-11-01T00:02:57.105Z,,,52,25.7,,,
2017-11-01T00:03:07.109Z,,,52,25.7,,,
2017-11-01T00:03:17.104Z,,,52,25.7,,,
2017-11-01T00:03:37.105Z,,,52,25.7,,,
2017-11-01T00:03:47.104Z,,,52,25.7,,,
2017-11-01T00:03:57.106Z,,,52,25.7,,,
2017-11-01T00:04:07.104Z,,,52,25.7,,,
2017-11-01T00:04:17.110Z,,,52,25.7,,,
2017-11-01T00:04:37.109Z,,,52,25.7,,,
2017-11-01T00:04:47.104Z,,,52,25.7,,,32.4
2017-11-01T00:04:57.105Z,,,52,25.7,,,
2017-11-01T00:05:07.109Z,,,52,25.7,,,
2017-11-01T00:05:17.104Z,,,52,25.7,,,
2017-11-01T00:05:37.107Z,,,52,25.7,,,
2017-11-01T00:05:47.104Z,,,52,25.7,,,
2017-11-01T00:05:57.108Z,,,52,25.7,,,
2017-11-01T00:06:07.105Z,,,52,25.7,,,
2017-11-01T00:06:17.104Z,,,52,25.7,,,
2017-11-01T00:06:37.105Z,,,52,25.7,,,
2017-11-01T00:06:47.104Z,,,52,25.7,,,
2017-11-01T00:06:57.104Z,,,52,25.7,,,
2017-11-01T00:07:07.104Z,,,52,25.6,,,
2017-11-01T00:07:17.108Z,,,52,25.6,,,
2017-11-01T00:07:37.104Z,,,52,25.6,,,
2017-11-01T00:07:47.107Z,,,52,25.6,,,
