Time,HwTSet,PrimT,HwActive,ChActive,PrimTSet,HwTOutlet,ActPow
2017-11-02T00:00:07.064Z,52,45,0,0,,43.6,36
2017-11-02T00:00:17.059Z,,44.7,0,0,,,0
2017-11-02T00:00:27.059Z,52,44.4,,,,44.6,
2017-11-02T00:00:37.062Z,52,44.1,,,,44.1,
2017-11-02T00:00:47.059Z,52,,,,,44,
2017-11-02T00:00:57.065Z,52,,,,,43.9,
2017-11-02T00:01:17.059Z,52,,,,,43.7,
2017-11-02T00:01:27.059Z,,44,0,0,,,
2017-11-02T00:01:37.065Z,52,,,,,43.3,
2017-11-02T00:01:47.064Z,52,44,,,,43,
2017-11-02T00:01:57.059Z,,43.9,,,,,
2017-11-02T00:02:07.061Z,,43.9,,,,,
2017-11-02T00:02:17.059Z,52,44,,,,42.9,
2017-11-02T00:02:27.060Z,,43.9,,,,,
2017-11-02T00:02:37.060Z,52,,,,,42.4,
2017-11-02T00:02:57.059Z,52,,,,,42.2,
2017-11-02T00:03:17.060Z,52,,,,,42,
2017-11-02T00:03:37.059Z,52,,,,,41.6,
2017-11-02T00:03:47.059Z,,43.8,,,,,
2017-11-02T00:03:57.068Z,52,,,,,41.4,
2017-11-02T00:04:17.059Z,52,,,,,41.2,
2017-11-02T00:04:27.064Z,,43.8,0,0,5,,0
2017-11-02T00:04:37.063Z,52,43.7,,,,40.7,
2017-11-02T00:04:47.059Z,52,,,,,40.6,
2017-11-02T00:04:57.059Z,52,,,,,40.5,
2017-11-02T00:05:17.059Z,52,,,,,40.4,
2017-11-02T00:05:37.059Z,52,,,,,40,
2017-11-02T00:05:47.059Z,,43.6,,,,,
2017-11-02T00:05:57.059Z,52,,,,,39.8,
2017-11-02T00:06:17.059Z,52,,,,,39.7,
2017-11-02T00:06:27.060Z,,43.5,,,,,
2017-11-02T00:06:37.061Z,52,,,,,39.3,
2017-11-02T00:06:57.060Z,52,,,,,39.1,
2017-11-02T00:07:07.090Z,,43.4,,,,,
2017-11-02T00:07:17.059Z,52,,,,,38.9,
2017-11-02T00:07:37.059Z,52,,,,,38.6,
2017-11-02T00:07:47.059Z,,43.3,,,,,
2017-11-02T00:07:57.064Z,52,,,,,38.4,
2017-11-02T00:08:17.062Z,52,,,,,38.3,
2017-11-02T00:08:27.059Z,,43.2,,,,,
2017-11-02T00:08:37.059Z,52,,,,,38,
2017-11-02T00:08:47.064Z,52,43.1,,,,37.9,
2017-11-02T00:08:57.059Z,52,,,,,37.8,
2017-11-02T00:09:17.061Z,52,,,,,37.7,
2017-11-02T00:09:37.059Z,52,43,,,,37.4,
2017-11-02T00:09:47.059Z,52,43,,,,37.3,
2017-11-02T00:09:57.059Z,,43,,,,,
2017-11-02T00:10:07.059Z,52,,,,,37.2,
2017-11-02T00:10:17.059Z,,42.9,,,,,
2017-11-02T00:10:27.059Z,52,,,,,37.1,
2017-11-02T00:10:37.059Z,52,42.8,,,,36.8,
2017-11-02T00:10:47.059Z,52,,,,,36.7,
2017-11-02T00:10:57.059Z,52,,,,,36.6,
2017-11-02T00:11:17.059Z,52,,,,,36.5,
2017-11-02T00:11:27.059Z,,42.7,,,,,
2017-11-02T00:11:37.059Z,52,,,,,36.3,
2017-11-02T00:11:47.059Z,52,,,,,36.2,
2017-11-02T00:11:57.059Z,52,,,,,36.1,
2017-11-02T00:12:07.059Z,,42.6,,,,,
2017-11-02T00:12:17.059Z,52,,,,,36,
2017-11-02T00:12:37.059Z,52,42.4,,,,35.8,
2017-11-02T00:12:57.059Z,52,,,,,35.7,
2017-11-02T00:13:17.059Z,52,,,,,35.6,
2017-11-02T00:13:27.059Z,,42.3,,,,,
2017-11-02T00:13:37.059Z,52,,,,,35.4,
2017-11-02T00:13:57.060Z,52,,,,,35.2,
2017-11-02T00:14:07.059Z,,42.2,,,,,
2017-11-02T00:14:17.059Z,52,,,,,35.2,
2017-11-02T00:14:37.059Z,52,,,,,34.9,
2017-11-02T00:14:47.059Z,,42.1,,,,,
2017-11-02T00:14:57.064Z,52,,,,,34.8,
2017-11-02T00:15:17.059Z,52,,,,,34.7,
2017-11-02T00:15:37.059Z,52,42,,,,34.5,
2017-11-02T00:15:47.059Z,52,,,,,34.4,
2017-11-02T00:15:57.059Z,52,,,,,34.4,
2017-11-02T00:16:17.059Z,52,,,,,34.3,
2017-11-02T00:16:27.059Z,,41.9,,,,,
2017-11-02T00:16:37.061Z,52,,,,,34.1,
2017-11-02T00:16:57.059Z,52,,,,,34,
2017-11-02T00:17:17.061Z,52,,,,,34,
2017-11-02T00:17:27.062Z,,41.8,,,,,
2017-11-02T00:17:37.059Z,52,,,,,33.8,
2017-11-02T00:17:57.059Z,52,,,,,33.7,
2017-11-02T00:18:07.059Z,,41.7,,,,,
2017-11-02T00:18:17.062Z,52,,,,,33.6,
2017-11-02T00:18:37.059Z,52,,,,,33.5,
2017-11-02T00:18:47.059Z,52,,,,,33.4,
2017-11-02T00:18:57.059Z,52,,,,,33.4,
2017-11-02T00:19:07.059Z,,41.6,,,,,
2017-11-02T00:19:17.063Z,52,,,,,33.3,
2017-11-02T00:19:37.060Z,52,,,,,33.2,
2017-11-02T00:19:57.059Z,52,,,,,33.1,
2017-11-02T00:20:07.059Z,,41.5,,,,,
2017-11-02T00:20:17.064Z,52,,,,,33.1,
2017-11-02T00:20:37.059Z,52,,,,,32.8,
2017-11-02T00:20:57.058Z,52,,,,,32.7,
2017-11-02T00:21:17.063Z,52,,,,,32.7,
2017-11-02T00:21:27.058Z,,41.4,,,,,
2017-11-02T00:21:37.058Z,52,,,,,32.6,
2017-11-02T00:21:57.059Z,52,,,,,32.5,
2017-11-02T00:22:07.059Z,,41.3,,,,,
2017-11-02T00:22:17.117Z,52,,,,,32.5,
2017-11-02T00:22:37.059Z,52,,,,,32.3,
2017-11-02T00:22:57.081Z,52,,,,,32.3,
